_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000006183,0.427346051,0.508081377,0.000158603,0.003611519,0.001027806,0.000008881,0.000000163,0.000000280,0.309440166,0.158338308,0.387576312,0.341326594,0.011117782,0.261613965,0.241370246,0.014485285,0.018332679,0.025083613,0.227958143,0.468474388,0.002030174,0.002521631,0.000006145,0.000901469,0.004400134,0.000017701,0.000627199,0.010955865,0.014857513,0.002733687,0.005682210,0.000063840,0.004067298,0.000029392,0.000013209,0.072433569,0.226372615,0.000510943,0.000195019,0.038829878,0.019718163,0.875903547,0.339754224,0.007502310,0.008500537,0.001956307,0.018213978,0.004104115,0.007739144,0.000000297,0.000000886
0.000010615,0.452311575,0.539834499,0.000245542,0.003104016,0.001076818,0.000012009,0.000000252,0.000000392,0.255607545,0.149399608,0.385900348,0.347419441,0.021280726,0.114291191,0.142439201,0.045936860,0.019393241,0.022575831,0.263195634,0.441236049,0.002931607,0.002868914,0.000005384,0.000587152,0.004408587,0.000020580,0.000542398,0.016072117,0.014967714,0.004628274,0.010034140,0.000034686,0.001096251,0.000021360,0.000010367,0.129870236,0.231671035,0.000211401,0.000894365,0.050812081,0.027137835,0.930685639,0.429426014,0.016174324,0.015871303,0.003545629,0.034164671,0.007878159,0.012602067,0.000000298,0.000001770
0.000008294,0.433675379,0.517405272,0.000185340,0.003357149,0.001184515,0.000011360,0.000000151,0.000000265,0.337449729,0.191624776,0.348159254,0.298177809,0.008069495,0.332788289,0.300750196,0.011005851,0.023842080,0.030150132,0.272954822,0.485086054,0.001950686,0.001947244,0.000008949,0.000794909,0.002663054,0.000010961,0.000461974,0.009617566,0.015043853,0.006747108,0.013802430,0.000050313,0.004003133,0.000026100,0.000011865,0.093147658,0.279542923,0.000259016,0.000136137,0.019886741,0.009989544,0.860920250,0.341722339,0.030990062,0.040360983,0.004792999,0.045314513,0.008143351,0.018271469,0.000000369,0.000001127
0.000006190,0.532488823,0.624244571,0.000092628,0.001568039,0.000486077,0.000009561,0.000000172,0.000000212,0.391430318,0.211716548,0.346723497,0.285989702,0.024282828,0.146919385,0.130712613,0.032694925,0.024487136,0.036056086,0.298816741,0.530592680,0.001334322,0.001642936,0.000008433,0.000819791,0.003449643,0.000014313,0.000557292,0.005360059,0.011502651,0.009752936,0.017785111,0.000055022,0.001825553,0.000038188,0.000017220,0.061719988,0.183392420,0.000394563,0.000289427,0.027564377,0.012720018,0.838575840,0.310728222,0.009966308,0.012114309,0.004096915,0.029082434,0.006121064,0.013293686,0.000000295,0.000000984
0.000006222,0.611984730,0.654554904,0.000094575,0.001103526,0.000494233,0.000010608,0.000000145,0.000000202,0.332895547,0.219799459,0.346980065,0.303288788,0.011526673,0.245011657,0.220767722,0.019451417,0.024674745,0.031239517,0.353056103,0.523303270,0.001675287,0.001423323,0.000007760,0.000983025,0.004399739,0.000012760,0.000693531,0.005794188,0.017032530,0.007003347,0.011775795,0.000044603,0.001974059,0.000036814,0.000014922,0.062650368,0.213241011,0.000370630,0.000285038,0.040953562,0.017365521,0.864825368,0.260984391,0.008411144,0.010355616,0.003679582,0.020403896,0.003872583,0.009985848,0.000000214,0.000000842
0.000005731,0.572804570,0.616171241,0.000152901,0.001616658,0.000618782,0.000009313,0.000000136,0.000000214,0.357814699,0.238368869,0.369813144,0.331067175,0.009681640,0.280966550,0.257253110,0.015025909,0.021204373,0.026976751,0.337999821,0.506366968,0.001533342,0.001167179,0.000006217,0.001211789,0.006295514,0.000017196,0.000863513,0.005521823,0.013639676,0.004120196,0.007790382,0.000057001,0.005439745,0.000041006,0.000015541,0.040565569,0.208392277,0.000670203,0.000116403,0.058293205,0.024988845,0.858199954,0.275580496,0.003074253,0.004101898,0.001610415,0.017230725,0.002172529,0.005156773,0.000000208,0.000000739
0.000005210,0.425518990,0.491197199,0.000235391,0.003249945,0.001238781,0.000012101,0.000000153,0.000000236,0.278115541,0.202198610,0.349357516,0.307483107,0.014842586,0.179416627,0.179924548,0.027384438,0.021821711,0.029107349,0.208418861,0.518852115,0.002119536,0.001583350,0.000005193,0.001046726,0.007942254,0.000026514,0.000834483,0.014668892,0.017836904,0.001141807,0.001735405,0.000056085,0.001414823,0.000041357,0.000022862,0.118557177,0.170392036,0.000596546,0.000850069,0.092389643,0.045129873,0.855643272,0.274800152,0.004186265,0.002968569,0.002008606,0.003695173,0.001801052,0.003183458,0.000000188,0.000000650
0.000005608,0.445474327,0.485504240,0.000459696,0.002320029,0.000602902,0.000013392,0.000000329,0.000000320,0.224221453,0.160519108,0.336397290,0.300449669,0.015087218,0.167093948,0.174285576,0.029473577,0.025719324,0.030739952,0.284656346,0.497840434,0.002736027,0.002494038,0.000019722,0.000509379,0.006101251,0.000040927,0.000531087,0.007684815,0.004148246,0.012310812,0.027943034,0.000116885,0.000418439,0.000147656,0.000147749,0.051146794,0.078651972,0.000864597,0.000961553,0.046081401,0.011653150,0.553458691,0.226079583,0.002013136,0.001989925,0.001492207,0.031056086,0.003907007,0.006247126,0.000000532,0.000001762
0.000002976,0.343376040,0.386146337,0.000660044,0.006761051,0.001733386,0.000023616,0.000000287,0.000000211,0.413196415,0.240698740,0.422561824,0.413469791,0.017466223,0.176151767,0.164959386,0.017880052,0.013901305,0.017018192,0.312088192,0.448895425,0.001094498,0.000931862,0.000021325,0.003672221,0.020446243,0.000016621,0.000953704,0.001878891,0.008145547,0.009410313,0.009940722,0.000209229,0.000566973,0.000589600,0.000514873,0.041906577,0.101597436,0.001254565,0.000677587,0.108090475,0.041998900,0.322989702,0.192291722,0.000507903,0.000373631,0.002044020,0.002658013,0.002788702,0.007149356,0.000000456,0.000001144
0.000001623,0.519228935,0.551233530,0.000069032,0.002923863,0.001092661,0.000018145,0.000000178,0.000000127,0.261956453,0.174793765,0.411162496,0.397719502,0.061785165,0.061185833,0.058685657,0.061554525,0.013238303,0.018648002,0.226467103,0.516877890,0.001741944,0.001709272,0.000015120,0.003098583,0.019373303,0.000021804,0.001355180,0.001470881,0.016743682,0.002618219,0.002311363,0.000205154,0.001316384,0.000470636,0.000258346,0.031931505,0.146181107,0.002634924,0.000414719,0.134632736,0.053398952,0.282647282,0.092809074,0.000279280,0.000254801,0.001207570,0.000756710,0.000686553,0.002233013,0.000000173,0.000000481
