_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000004263,0.160823941,0.169870660,0.008650431,0.008722397,0.008809134,0.000042051,0.000000382,0.000000578,0.055542395,0.044024576,0.144884899,0.143394530,0.005002819,0.329886883,0.295112938,0.016576240,0.064989321,0.063475683,0.337287158,0.398978055,0.012562853,0.015211948,0.000088396,0.000161268,0.003442503,0.000050801,0.000470562,0.036514752,0.079575814,0.006138235,0.005670210,0.000033461,0.000368559,0.000370987,0.000281657,0.500695705,0.507353306,0.000095286,0.000999749,0.078525290,0.010700400,0.137835503,0.009099648,0.067115732,0.063313358,0.017495461,0.011089901,0.000104939,0.000190371,0.000000430,0.000002381
0.000005717,0.157185152,0.191049710,0.007002807,0.008774251,0.009267964,0.000042116,0.000000348,0.000000870,0.038319830,0.030763896,0.114895709,0.108004026,0.008289143,0.252003700,0.236828610,0.021808574,0.082176641,0.091037855,0.201139271,0.358041346,0.016158428,0.022063328,0.000046138,0.000281512,0.005869687,0.000046885,0.000648721,0.108265236,0.112989627,0.002016650,0.002308663,0.000025519,0.000724181,0.000238789,0.000179421,0.608780384,0.563028097,0.000071871,0.000736164,0.144296423,0.031248191,0.240419820,0.012692322,0.061661158,0.049975812,0.009892263,0.009337496,0.000113103,0.000142731,0.000000311,0.000002065
0.000003859,0.161410972,0.165140912,0.008927680,0.008476791,0.010662431,0.000030012,0.000000213,0.000000500,0.044659857,0.037370879,0.107613094,0.104542121,0.009170592,0.214937419,0.222277358,0.027069306,0.083305493,0.083921164,0.233417809,0.303529948,0.014983829,0.015178896,0.000042850,0.000279356,0.003982889,0.000041767,0.000553738,0.064074501,0.082964577,0.001108138,0.001089318,0.000044833,0.001468729,0.000180270,0.000118124,0.506814122,0.463479936,0.000147938,0.000517398,0.069248244,0.014674503,0.191903472,0.013048351,0.041317776,0.034933712,0.008245540,0.003842184,0.000093647,0.000141157,0.000000330,0.000001306
0.000002875,0.085312478,0.066981643,0.042561140,0.017485423,0.020019975,0.000027339,0.000000236,0.000000342,0.229222938,0.156144664,0.460335284,0.435153753,0.015271572,0.189050883,0.187085479,0.029056454,0.015956614,0.015258226,0.389005601,0.400286943,0.002809598,0.003880779,0.000042677,0.000266804,0.002491066,0.000039940,0.000412399,0.032667737,0.054715149,0.000858253,0.000735581,0.000043581,0.000752604,0.000111174,0.000078116,0.396256566,0.358748913,0.000282658,0.000867783,0.045018904,0.017234797,0.161336809,0.007407795,0.372855842,0.314515948,0.015250748,0.007136428,0.000152944,0.000229836,0.000000384,0.000001548
0.000001367,0.007808431,0.007367573,0.213665515,0.090700574,0.064071372,0.000021286,0.000000178,0.000000281,0.538399935,0.450754166,0.738112926,0.710749984,0.029530570,0.251618266,0.252993375,0.007800875,0.005421451,0.004333944,0.375152856,0.425572246,0.000782787,0.000613974,0.000045201,0.000423155,0.002785664,0.000047033,0.000608991,0.072561480,0.147406638,0.000369133,0.000274074,0.000063309,0.000560100,0.000157295,0.000116585,0.506671667,0.413089007,0.000368444,0.002205885,0.033445686,0.016270606,0.097205274,0.004705352,0.193911940,0.160192952,0.009432440,0.002822488,0.000135611,0.000227444,0.000000833,0.000000503
0.000000807,0.003529053,0.007358961,0.206152290,0.180439159,0.062318105,0.000018960,0.000000275,0.000000226,0.582340956,0.535371304,0.746572495,0.710628629,0.027478755,0.248690948,0.251551658,0.007965257,0.004997770,0.003671506,0.390510857,0.440841168,0.000666402,0.000405134,0.000077370,0.000129594,0.001243822,0.000053844,0.000324425,0.009139258,0.075918093,0.002666156,0.001613611,0.000101619,0.000349352,0.000311316,0.000190568,0.203342676,0.323017269,0.000721067,0.002436946,0.013740568,0.002770199,0.055409811,0.007391635,0.184813961,0.224807426,0.043193623,0.014171813,0.000396455,0.001043154,0.000001689,0.000000459
0.000000833,0.003848618,0.004287300,0.365043312,0.097041786,0.050764889,0.000104413,0.000000773,0.000000346,0.392763376,0.354498684,0.570916057,0.533445954,0.023974741,0.198083580,0.193452209,0.013418826,0.011406285,0.009624139,0.371776313,0.427293181,0.001184330,0.000945920,0.000737387,0.000538153,0.011236815,0.000060025,0.000777836,0.005331619,0.025044350,0.003134412,0.002037980,0.001597966,0.000424059,0.016634895,0.015417567,0.073957071,0.134941265,0.001119863,0.000507089,0.005911408,0.004208606,0.002086617,0.013470823,0.181983575,0.213439226,0.081081718,0.039522905,0.009350958,0.021180671,0.000002339,0.000001256
0.000001440,0.002713149,0.003503916,0.358806282,0.103127517,0.064534187,0.000340332,0.000001624,0.000000377,0.389994740,0.404498458,0.583702385,0.533554673,0.011805480,0.271383017,0.278356761,0.009204146,0.012643513,0.008256579,0.432601988,0.404599398,0.001514250,0.000635193,0.001037841,0.002037272,0.088989019,0.000119139,0.002317006,0.003415553,0.022305423,0.024578728,0.014874043,0.001800773,0.000134208,0.107615255,0.105033956,0.086727522,0.123510584,0.000437329,0.001014186,0.016865276,0.010969940,0.002355964,0.025006184,0.032396890,0.033961535,0.048484780,0.012947215,0.023396028,0.042333767,0.000002962,0.000003469
0.000001350,0.002183329,0.003366588,0.423511833,0.117054142,0.058701932,0.000318770,0.000002265,0.000000518,0.161523208,0.140714720,0.431416899,0.393213838,0.008046833,0.282138675,0.247304365,0.015897147,0.018240649,0.015163115,0.302974045,0.407001257,0.004298375,0.005246599,0.000994426,0.002858456,0.075453661,0.000066357,0.002174096,0.003964857,0.024987735,0.021049676,0.012310864,0.001328021,0.000651836,0.063737422,0.047171790,0.082223803,0.170321003,0.000317675,0.000167754,0.025294369,0.014202478,0.003973628,0.030748615,0.036681432,0.035446409,0.095437109,0.010245397,0.021299228,0.036318816,0.000001507,0.000004365
0.000001175,0.003608746,0.004429568,0.380224586,0.079696707,0.051681455,0.000314390,0.000001759,0.000000377,0.159446701,0.156117052,0.348305166,0.331585050,0.009521883,0.237377465,0.211880237,0.021061663,0.026705632,0.021932261,0.389423847,0.412900925,0.004373873,0.003925129,0.001029113,0.002370744,0.093590848,0.000104269,0.002439408,0.003058603,0.021612428,0.008478794,0.004797885,0.002102434,0.000137360,0.093648262,0.071019158,0.082870759,0.130766988,0.000356774,0.001033789,0.013761165,0.013309551,0.001606317,0.021240413,0.032365955,0.031258665,0.049459156,0.006313709,0.013265720,0.021461336,0.000001644,0.000004652
0.000000358,0.001009827,0.002032041,0.416726142,0.250749469,0.087035604,0.000039730,0.000000630,0.000000156,0.150216281,0.150853842,0.350739658,0.318464965,0.010443880,0.247381642,0.225648418,0.016513186,0.028144866,0.024231888,0.369718701,0.429913431,0.004639614,0.004385219,0.000118495,0.001811836,0.027438683,0.000106757,0.002082231,0.000592270,0.015522109,0.008659793,0.004312265,0.000537045,0.000266747,0.009012221,0.004209075,0.017133869,0.072960675,0.005490636,0.001436197,0.039013445,0.014337576,0.010775567,0.008152889,0.000200054,0.000214118,0.006958640,0.000707919,0.000145593,0.000332860,0.000001051,0.000000839
0.000000402,0.001354809,0.001640758,0.453760028,0.293127507,0.157446340,0.000017894,0.000000330,0.000000183,0.122862712,0.116904773,0.198671699,0.214880034,0.010109957,0.210264713,0.222705558,0.028128477,0.055006191,0.048304740,0.462102234,0.420442611,0.007832650,0.008084972,0.000022126,0.003053637,0.019859195,0.000111498,0.001636509,0.001718141,0.044757027,0.000346644,0.000209259,0.000249404,0.000232229,0.001361909,0.000587414,0.019128093,0.065383084,0.051883906,0.013204770,0.213354111,0.101765186,0.058630493,0.002636740,0.000010487,0.000008771,0.000301433,0.000082007,0.000005441,0.000018419,0.000000638,0.000000353
0.000000485,0.001540634,0.001422719,0.418812782,0.281418800,0.167314842,0.000026355,0.000000438,0.000000189,0.102326773,0.157949015,0.264837295,0.275784671,0.006247674,0.279985607,0.270904899,0.020767238,0.040867966,0.029853530,0.416745394,0.356644958,0.008168621,0.005477464,0.000041291,0.001117019,0.013995227,0.000110746,0.000987410,0.000982385,0.018939650,0.005941804,0.003618337,0.000127898,0.000045695,0.001842999,0.001135587,0.030446360,0.068087198,0.007230535,0.021514425,0.106969982,0.028112978,0.057748076,0.005094380,0.000053676,0.000048505,0.001699920,0.000477386,0.000031187,0.000084824,0.000001145,0.000000750
0.000001116,0.001060766,0.000825671,0.503732979,0.221321091,0.149362355,0.000332450,0.000001627,0.000000311,0.096816264,0.119025871,0.316180885,0.304653645,0.015032551,0.183542803,0.178835511,0.020318795,0.031655870,0.022354158,0.389605880,0.312460274,0.008529817,0.006363857,0.000566384,0.002322677,0.084756233,0.000120125,0.001957854,0.002184730,0.050616272,0.037023980,0.018355494,0.000429194,0.000153592,0.081622250,0.048455622,0.090917237,0.259617090,0.000140482,0.000647293,0.049640439,0.040052369,0.006462956,0.014665783,0.005398230,0.005819458,0.040604509,0.003571393,0.004638645,0.009665620,0.000001577,0.000003445
0.000001337,0.000718793,0.000573217,0.566626906,0.279240429,0.189318910,0.000516238,0.000003259,0.000000623,0.086380199,0.072677858,0.208891779,0.218552634,0.005809681,0.307061583,0.277115226,0.013723699,0.045467932,0.037142266,0.444195867,0.310491174,0.010713784,0.010762603,0.001114083,0.001316508,0.067640260,0.000191505,0.001175194,0.002310340,0.026760465,0.085634939,0.045442112,0.000781710,0.000115966,0.194622278,0.155381471,0.053247586,0.122316398,0.000328543,0.000763791,0.040764522,0.020010116,0.008326107,0.031402368,0.008504783,0.008927278,0.146713138,0.010843475,0.041338824,0.081588291,0.000002529,0.000004015
