_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001091,0.422348678,0.294373900,0.000215654,0.005461069,0.003753953,0.000058775,0.000000278,0.000000208,0.162710965,0.224631295,0.253563941,0.338404208,0.027801273,0.117467113,0.171560302,0.063800052,0.056303650,0.030955626,0.743314564,0.350615203,0.007957522,0.003196721,0.000036311,0.015036512,0.153322428,0.000645741,0.011673580,0.031869974,0.025348647,0.000003234,0.000002886,0.008159567,0.000306179,0.001585050,0.002113807,0.007653664,0.003182815,0.754430950,0.064358652,0.538015783,0.774486721,0.026984863,0.009723576,0.000000658,0.000000167,0.000017376,0.000002835,0.000054113,0.000041013,0.000000333,0.000000155
0.000000837,0.259053379,0.178001866,0.000486389,0.007127645,0.005790615,0.000060026,0.000000303,0.000000254,0.088599607,0.121152245,0.248505369,0.297536522,0.138635531,0.037120208,0.036858749,0.144891307,0.056619562,0.033183567,0.700724483,0.331729412,0.015196212,0.006180439,0.000076891,0.020497622,0.208461508,0.000886194,0.008042259,0.024198860,0.014138089,0.000005226,0.000005387,0.016760111,0.000377457,0.005623374,0.007883533,0.005547835,0.003447917,0.554970145,0.017483668,0.240300104,0.585803151,0.008560377,0.007174181,0.000001139,0.000000393,0.000020940,0.000007136,0.000164216,0.000110264,0.000000518,0.000000240
0.000000856,0.280278713,0.170038596,0.000181188,0.007202941,0.006302273,0.000057008,0.000000254,0.000000196,0.078451499,0.125074998,0.194826856,0.252790064,0.061218943,0.086197704,0.086002804,0.061009727,0.074250966,0.044399131,0.719286442,0.395505697,0.015570581,0.005979840,0.000074394,0.017572824,0.207553029,0.000984287,0.010217640,0.013262045,0.025949840,0.000003875,0.000003675,0.016675945,0.000574880,0.006402771,0.006245747,0.004801855,0.007065220,0.523983061,0.012408215,0.232315689,0.627291679,0.010407932,0.007181188,0.000001092,0.000000556,0.000015198,0.000007325,0.000146863,0.000152217,0.000000392,0.000000173
0.000000880,0.263478726,0.171996862,0.000339042,0.007322276,0.006054663,0.000062131,0.000000256,0.000000213,0.092131801,0.135042295,0.206114516,0.257607907,0.077316113,0.059786286,0.065898135,0.084356621,0.065756470,0.040610306,0.665805399,0.354314238,0.013078923,0.004732818,0.000069036,0.019352913,0.197546691,0.000671413,0.009595077,0.014910237,0.021955334,0.000007099,0.000006293,0.014104295,0.000513858,0.006761468,0.007158724,0.006352963,0.007031321,0.464523315,0.009264358,0.273583859,0.554344833,0.011134969,0.007212905,0.000001444,0.000000628,0.000029568,0.000008888,0.000131438,0.000147468,0.000000367,0.000000189
0.000001058,0.250743479,0.169390514,0.000485559,0.007801429,0.005103391,0.000077076,0.000000294,0.000000214,0.141367048,0.198019505,0.314826459,0.350061953,0.070718504,0.067371219,0.067611337,0.073608443,0.044770058,0.026292572,0.686836481,0.396518439,0.008789862,0.002517991,0.000069295,0.007694897,0.153595075,0.000666066,0.005866632,0.014540210,0.015902027,0.000045445,0.000045889,0.003806177,0.000067371,0.008494856,0.010529394,0.013708031,0.010510578,0.119746342,0.034113556,0.288575917,0.422890157,0.014468719,0.009635195,0.000005210,0.000002316,0.000084860,0.000041314,0.000174554,0.000211629,0.000000473,0.000000335
0.000001121,0.293159872,0.233513415,0.000322614,0.006635452,0.003329547,0.000079648,0.000000234,0.000000173,0.148215815,0.216307014,0.297220558,0.334749967,0.070705019,0.060970951,0.073339052,0.073519073,0.048356786,0.029573087,0.725107312,0.443418562,0.008589289,0.002045267,0.000067892,0.005939428,0.174360469,0.000884523,0.007048700,0.019635875,0.018886788,0.000035030,0.000045138,0.003335753,0.000105001,0.007588735,0.009405931,0.010015249,0.012064630,0.087716974,0.014651294,0.270508081,0.428916991,0.013105183,0.009392568,0.000006074,0.000003417,0.000040890,0.000066741,0.000209088,0.000233581,0.000000358,0.000000353
0.000001491,0.333495051,0.259426147,0.000702644,0.004551310,0.003093056,0.000093564,0.000000320,0.000000278,0.152240992,0.253684342,0.397231162,0.415625364,0.072363071,0.065425105,0.060714662,0.071861424,0.032009691,0.019891296,0.705095530,0.493876636,0.007168644,0.001700032,0.000057305,0.009461095,0.178453416,0.000355272,0.006510413,0.021753388,0.007458674,0.000108149,0.000131728,0.001708323,0.000075518,0.005759188,0.011234303,0.022226838,0.007532119,0.085257813,0.019272855,0.391636163,0.427357852,0.024406610,0.010698132,0.000006481,0.000001923,0.000112948,0.000070235,0.000298131,0.000221567,0.000000460,0.000000504
0.000001313,0.404844820,0.341881186,0.000261926,0.007392398,0.002617136,0.000066220,0.000000146,0.000000131,0.176964968,0.265271753,0.345330417,0.381420225,0.018725524,0.142717212,0.183512166,0.038539831,0.036024123,0.025735527,0.633744001,0.518849313,0.006499742,0.001407696,0.000045788,0.006260542,0.124127842,0.000273075,0.006503962,0.021940626,0.018827826,0.000033403,0.000050057,0.001718700,0.001821717,0.004165352,0.004379928,0.018486898,0.038040567,0.066202864,0.000522969,0.414977074,0.340889394,0.032123510,0.009601440,0.000009164,0.000005113,0.000028032,0.000077446,0.000103333,0.000141226,0.000000167,0.000000315
0.000000777,0.152820006,0.273153543,0.000312895,0.027138012,0.002946041,0.000024103,0.000000084,0.000000080,0.143527851,0.244118854,0.389168650,0.384854347,0.037962113,0.106227905,0.109525315,0.046564177,0.033376001,0.023564234,0.484202385,0.583124518,0.009423858,0.001668672,0.000022856,0.001804947,0.053519696,0.000671619,0.004825620,0.019327188,0.041512862,0.000007484,0.000012148,0.001556991,0.001894663,0.001267879,0.000999153,0.007729242,0.040130880,0.179855376,0.001422909,0.295857549,0.298382133,0.035925891,0.007318565,0.000003359,0.000003502,0.000006920,0.000045745,0.000028662,0.000065252,0.000000199,0.000000123
0.000001152,0.174939916,0.237919062,0.000314078,0.016305521,0.002140660,0.000037482,0.000000130,0.000000102,0.125772238,0.194817826,0.241755232,0.264266163,0.015817352,0.200425193,0.202037394,0.027898738,0.055324119,0.049006112,0.436382592,0.576168180,0.008512651,0.002550469,0.000038446,0.003065061,0.045752857,0.000157869,0.002706263,0.024027675,0.060023308,0.000033936,0.000044219,0.001198098,0.000762564,0.001722516,0.001707773,0.019994799,0.064840473,0.027303260,0.001924463,0.218646914,0.168013021,0.057740696,0.020270785,0.000031937,0.000027999,0.000036201,0.000092073,0.000250217,0.000648879,0.000000210,0.000000222
0.000000933,0.104407363,0.203504726,0.000409664,0.018555027,0.003775372,0.000046246,0.000000132,0.000000076,0.135365084,0.220884383,0.273520261,0.278570503,0.062060539,0.071336955,0.076399334,0.064164720,0.048682146,0.043852940,0.400582165,0.572186410,0.007396867,0.001676189,0.000035252,0.008067069,0.051572781,0.000043369,0.003083242,0.004919300,0.029543953,0.000142929,0.000120181,0.001073626,0.003196843,0.001857049,0.001319432,0.020272158,0.084291235,0.009885058,0.000205965,0.136709273,0.110573374,0.060335144,0.034579959,0.000092867,0.000069777,0.000292598,0.000080818,0.000879055,0.002723910,0.000000157,0.000000217
0.000000800,0.014321399,0.205099255,0.002685778,0.098072864,0.003123300,0.000065616,0.000000186,0.000000153,0.170711562,0.275617003,0.374291778,0.363655716,0.052680027,0.096055314,0.084349036,0.049850132,0.030379675,0.031155033,0.200419068,0.515600443,0.006768086,0.001075709,0.000074754,0.011850961,0.046737339,0.000039783,0.001330828,0.012407513,0.027832758,0.000501198,0.000360899,0.001846414,0.001093239,0.004382447,0.004554207,0.045383882,0.062987663,0.005570213,0.000411774,0.133600563,0.105142415,0.043303397,0.042078212,0.000218019,0.000091577,0.001789720,0.000084453,0.002331373,0.005421238,0.000000415,0.000000314
0.000001320,0.010838720,0.259167671,0.002228444,0.102638029,0.001837684,0.000051966,0.000000183,0.000000104,0.157047525,0.287195951,0.387697637,0.368944556,0.061942223,0.079731196,0.075400062,0.060617592,0.029723449,0.026407467,0.234082803,0.467889220,0.006898589,0.001169130,0.000033258,0.002105145,0.028163660,0.000083723,0.002047171,0.023921339,0.044869587,0.000212204,0.000163652,0.001038045,0.001562468,0.000702786,0.000639469,0.096125677,0.091037899,0.002976023,0.000636884,0.136251375,0.087509088,0.147438869,0.084908612,0.000979630,0.000440194,0.001608240,0.000075516,0.003567933,0.007128070,0.000000219,0.000000229
0.000001050,0.020585991,0.419481426,0.000718740,0.063263237,0.000881950,0.000052243,0.000000141,0.000000107,0.243010566,0.339508504,0.463963181,0.467236221,0.020448226,0.167936653,0.175156504,0.033510227,0.022269996,0.017506126,0.280836910,0.451415479,0.005054368,0.000789004,0.000033054,0.002967868,0.055556979,0.000164567,0.003016908,0.018534316,0.041147765,0.000061962,0.000056600,0.001685311,0.004247486,0.001064440,0.001013821,0.032128375,0.056842923,0.017697869,0.000365034,0.268628240,0.209082156,0.141226038,0.070438452,0.000090888,0.000044538,0.000219994,0.000034232,0.001736442,0.004236623,0.000000190,0.000000169
0.000002045,0.228068277,0.331954598,0.000139287,0.006039766,0.000837954,0.000180810,0.000000325,0.000000145,0.151037022,0.293564558,0.219842374,0.240005180,0.017228182,0.188811794,0.187338009,0.028698364,0.065253556,0.055783819,0.480794877,0.602160811,0.007063093,0.001056219,0.000154888,0.008071133,0.157339722,0.000135937,0.004428652,0.006268384,0.059002060,0.000922868,0.000658825,0.002180485,0.000551729,0.017732020,0.016698908,0.020895766,0.075105116,0.002554272,0.000468714,0.157928020,0.169698030,0.042850308,0.048474010,0.000242272,0.000159359,0.000970649,0.000210285,0.012381813,0.028813928,0.000000202,0.000000596
0.000001425,0.025494540,0.354688764,0.000323099,0.048061252,0.000915526,0.000381391,0.000000153,0.000000163,0.246031821,0.431518584,0.505492747,0.449407190,0.065402322,0.101596095,0.093586706,0.050114300,0.030334329,0.018324500,0.414937437,0.550005913,0.006760603,0.000311866,0.000638857,0.012484730,0.077942804,0.000043326,0.001927074,0.013865981,0.047918551,0.001728943,0.001306655,0.001535053,0.001191102,0.062115412,0.071595810,0.064698398,0.154505432,0.000344191,0.000099313,0.072116628,0.085948043,0.027637182,0.035389487,0.004034698,0.002837774,0.003035605,0.000413465,0.205103755,0.343621433,0.000000449,0.000000582
0.000001756,0.019616783,0.197487980,0.001134739,0.061630566,0.001117125,0.000090791,0.000000104,0.000000063,0.231229827,0.488271475,0.325661331,0.344097972,0.079877041,0.099703431,0.090554684,0.057373285,0.060220771,0.033834256,0.462760538,0.533993840,0.007360789,0.000298896,0.000062916,0.001380980,0.043220636,0.000198202,0.003697986,0.029499510,0.037246525,0.000233563,0.000211211,0.000685390,0.001885429,0.001100640,0.001311970,0.066014305,0.073334031,0.001147028,0.000249532,0.183917463,0.167872742,0.088244200,0.047792770,0.001660622,0.001098336,0.000665828,0.000123247,0.005225418,0.011779221,0.000000152,0.000000158
0.000001130,0.008979469,0.247685283,0.001210554,0.119295508,0.001178600,0.000088721,0.000000073,0.000000051,0.213591397,0.535096884,0.351410806,0.403021723,0.103838757,0.074879609,0.060692795,0.091406524,0.055011075,0.023373656,0.457681656,0.475090683,0.008844194,0.000222687,0.000048563,0.002183791,0.034972291,0.000166712,0.001924428,0.019918421,0.031397469,0.000183571,0.000144892,0.000919191,0.004317046,0.001059815,0.001133324,0.048774712,0.057755824,0.002891331,0.000129032,0.203919828,0.218120590,0.112334341,0.056184892,0.000586160,0.000325836,0.000682504,0.000057435,0.003215089,0.008230503,0.000000176,0.000000105
0.000001550,0.006087465,0.430294544,0.000621147,0.096745715,0.000642072,0.000189917,0.000000172,0.000000173,0.229144409,0.557120621,0.365824819,0.399456203,0.017982427,0.231674805,0.253082812,0.015807884,0.050156433,0.020002440,0.516860545,0.469242871,0.007345423,0.000189968,0.000237904,0.001106728,0.110518537,0.000830606,0.005748982,0.033995055,0.070398577,0.000118885,0.000134179,0.002870333,0.000038118,0.012905374,0.026230905,0.033429462,0.052599307,0.003396085,0.033653606,0.096789598,0.087797970,0.021230986,0.033989072,0.000468321,0.000524582,0.000179660,0.000330016,0.016597504,0.044229634,0.000000718,0.000000302
0.000000631,0.065542750,0.559047937,0.000075946,0.025160495,0.000598341,0.000062929,0.000000080,0.000000083,0.348297030,0.552717984,0.569019318,0.567171812,0.009526903,0.338500887,0.345234454,0.010550824,0.017626436,0.008979111,0.486907840,0.546656370,0.003684343,0.000215540,0.000089328,0.002562541,0.073523901,0.000458429,0.006099274,0.014916829,0.095966250,0.000018175,0.000010917,0.007245934,0.000970281,0.002579108,0.003814982,0.010094350,0.017763840,0.134704739,0.003202503,0.121865198,0.168370545,0.020695278,0.015354237,0.000023068,0.000014171,0.000148532,0.000016541,0.000990587,0.002785894,0.000000241,0.000000069
