_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001564,0.674294114,0.716563344,0.000011523,0.001387632,0.001909657,0.000354367,0.000000278,0.000000367,0.242944732,0.226036385,0.140708357,0.135468140,0.001664888,0.417489380,0.535495162,0.017094528,0.080692016,0.081779465,0.599800646,0.540349960,0.002702011,0.002126878,0.001745047,0.001429147,0.123975739,0.000494472,0.003381758,0.006399283,0.010042400,0.000233275,0.000149738,0.014573701,0.001783255,0.057980068,0.070957653,0.036587462,0.026510300,0.002846546,0.000092269,0.002094172,0.008641742,0.000224270,0.012051657,0.102220632,0.078457624,0.031191330,0.005055699,0.027518427,0.046889335,0.000000403,0.000001455
0.000001681,0.624753594,0.691279709,0.000014857,0.001751675,0.001994055,0.000390239,0.000000286,0.000000411,0.244684219,0.239218757,0.143755063,0.137524962,0.001752065,0.419382960,0.529448032,0.017106142,0.079640180,0.082346082,0.611940861,0.568675756,0.002707353,0.002007766,0.001882773,0.001281871,0.136051133,0.000651971,0.003601730,0.006789195,0.013693437,0.000124427,0.000078561,0.016729040,0.001418970,0.068136193,0.081673428,0.040935796,0.036345903,0.002679334,0.000133753,0.002149233,0.011768856,0.000193224,0.010518556,0.155229315,0.134461001,0.029336860,0.006173326,0.026696445,0.050906096,0.000000385,0.000001446
0.000001824,0.728689849,0.779147327,0.000008528,0.000965495,0.001109379,0.000537649,0.000000387,0.000000582,0.223318771,0.211957023,0.164246261,0.155321300,0.001373937,0.387797564,0.584975362,0.019841708,0.069707625,0.069771998,0.590684354,0.533374071,0.003478839,0.002683986,0.002420298,0.002109931,0.217860967,0.000780112,0.003954411,0.005956499,0.014886304,0.000386206,0.000237487,0.015715498,0.001423041,0.108743206,0.121405818,0.031870760,0.040559538,0.002056906,0.000087058,0.002520581,0.010584087,0.000249961,0.010704357,0.148465827,0.155811131,0.045720059,0.009985362,0.046620574,0.083825462,0.000000385,0.000002026
0.000002028,0.757905602,0.801113129,0.000008682,0.000808434,0.000928352,0.000570887,0.000000411,0.000000590,0.217306167,0.235902727,0.167160049,0.164002165,0.001196687,0.442009658,0.597990692,0.016518893,0.068874523,0.066466697,0.577859282,0.506975174,0.003731829,0.002480266,0.002006733,0.002398270,0.313352555,0.001073735,0.005536695,0.005647548,0.015983304,0.000675386,0.000419422,0.013808798,0.001267456,0.090429276,0.093809880,0.028900627,0.041775968,0.001906224,0.000083498,0.002578064,0.008791124,0.000317153,0.010592400,0.148871422,0.166696966,0.056739863,0.013069769,0.035886772,0.063591987,0.000000364,0.000002188
0.000002029,0.736977935,0.783460140,0.000011947,0.000840057,0.000882507,0.000538089,0.000000400,0.000000596,0.225729659,0.216939613,0.171269521,0.163344666,0.001646146,0.421128660,0.539533377,0.016825451,0.068565466,0.069053762,0.573387146,0.537674010,0.003421003,0.002782181,0.001761779,0.002552633,0.352453798,0.001121254,0.006146231,0.006950094,0.018074416,0.000527622,0.000337035,0.013618630,0.001736299,0.082302265,0.084762387,0.029278643,0.047518414,0.001934453,0.000062734,0.002599679,0.008171383,0.000341792,0.010152455,0.180882558,0.210212395,0.050169971,0.013244894,0.033777371,0.061324615,0.000000311,0.000002015
0.000001825,0.665014863,0.738362908,0.000024435,0.001334121,0.001219528,0.000600978,0.000000428,0.000000504,0.221502423,0.213673145,0.169047177,0.162104174,0.001314441,0.477414370,0.562451124,0.013402908,0.066929825,0.068246700,0.578781962,0.561920941,0.003362091,0.002793081,0.001761385,0.002597273,0.338022262,0.001240904,0.003782287,0.006240966,0.025352307,0.000411455,0.000243883,0.012892533,0.001437386,0.129658923,0.115676135,0.029734138,0.059173115,0.001637380,0.000079861,0.002787689,0.009405057,0.000384519,0.013382381,0.168257043,0.198602244,0.038745549,0.007963758,0.049706437,0.090868562,0.000000360,0.000002043
0.000001719,0.670061588,0.729853153,0.000031943,0.001130219,0.001068595,0.000638723,0.000000392,0.000000474,0.240651906,0.235939711,0.173623949,0.169182584,0.001702414,0.423219085,0.524088979,0.016116675,0.065972179,0.066386349,0.594372988,0.555459619,0.002895520,0.002425808,0.001893222,0.003439277,0.334190339,0.000963360,0.003456350,0.007598495,0.031417556,0.000291323,0.000172625,0.012186549,0.001644467,0.153089538,0.139023513,0.033496384,0.070136115,0.001646778,0.000074554,0.003049204,0.010815188,0.000362251,0.012413356,0.184286386,0.219341427,0.030703900,0.007482819,0.046961866,0.088418633,0.000000369,0.000001972
0.000001728,0.682940900,0.746505380,0.000019931,0.001129940,0.001066684,0.000613389,0.000000367,0.000000463,0.223497286,0.217300132,0.171500385,0.165654391,0.001708537,0.457731754,0.512985229,0.014127973,0.069529027,0.069758035,0.599503994,0.570643306,0.003277251,0.002764078,0.001686283,0.003501815,0.352903187,0.001034045,0.004459101,0.006598564,0.037348162,0.000272327,0.000155384,0.011946106,0.001903407,0.128256500,0.100636393,0.028008468,0.078162000,0.001695276,0.000063052,0.003049999,0.011845830,0.000355423,0.010891688,0.209927499,0.271067351,0.036717568,0.008314024,0.034954078,0.073186986,0.000000295,0.000001789
0.000001473,0.665091634,0.745477080,0.000014704,0.001108026,0.000972120,0.000621210,0.000000325,0.000000436,0.245955750,0.242185578,0.179479614,0.173592061,0.002752958,0.400994450,0.429242253,0.016687449,0.070348099,0.070823684,0.596485496,0.582270563,0.002941015,0.002533563,0.001735467,0.006264408,0.341745377,0.000642725,0.003646864,0.006637345,0.039186735,0.000336216,0.000190907,0.011477099,0.001599036,0.158479661,0.130499899,0.029280210,0.071931995,0.001475571,0.000070333,0.002939070,0.011539300,0.000329386,0.012041476,0.161786750,0.201101288,0.033374827,0.006568541,0.036770213,0.074728407,0.000000352,0.000001750
0.000001409,0.731549501,0.792531073,0.000012918,0.000648041,0.000687870,0.000676920,0.000000270,0.000000527,0.324505985,0.353814274,0.256759703,0.251936585,0.002385823,0.511335969,0.464261621,0.011688249,0.052131791,0.053024944,0.619953871,0.618325472,0.002102580,0.001507889,0.002049873,0.013078099,0.337763876,0.000361144,0.003555544,0.007333129,0.027801886,0.000464904,0.000280168,0.012345584,0.002756489,0.168434739,0.153213203,0.020808188,0.048999932,0.001934431,0.000032793,0.002630496,0.010197382,0.000236288,0.011038519,0.205118254,0.240169451,0.042616915,0.011810339,0.036115341,0.064504936,0.000000405,0.000001772
0.000000622,0.665048659,0.756499171,0.000017696,0.001252003,0.001141982,0.000240471,0.000000171,0.000000243,0.649927139,0.636131763,0.592799604,0.581964016,0.021377536,0.285384566,0.292715967,0.009171108,0.013306440,0.013834895,0.735557973,0.740949869,0.000651572,0.000272334,0.001001814,0.009662867,0.238544270,0.000280517,0.002967229,0.005563912,0.037398797,0.000139120,0.000090751,0.027042195,0.002088564,0.177596495,0.144907728,0.012266502,0.039592236,0.007018229,0.000095798,0.001666053,0.005610545,0.000166766,0.012416573,0.042528450,0.062855728,0.007727696,0.002959837,0.059633080,0.110889092,0.000000590,0.000000634
0.000000595,0.695864618,0.779376626,0.000018358,0.000905405,0.001009075,0.000248024,0.000000178,0.000000265,0.594422221,0.589833379,0.574691892,0.564876080,0.021133920,0.277866125,0.283125639,0.009697293,0.014713730,0.014905432,0.744627953,0.737751245,0.000800878,0.000344273,0.001280642,0.004900214,0.175455436,0.000417840,0.001894411,0.005423702,0.021882737,0.000149904,0.000100133,0.033936389,0.001688319,0.242284968,0.222348005,0.012362376,0.028173836,0.007469801,0.000106962,0.001376845,0.006054620,0.000127590,0.013204908,0.048560243,0.064738512,0.008915060,0.003596317,0.089186728,0.151281133,0.000000686,0.000000707
0.000001061,0.732277870,0.790508866,0.000018460,0.000556099,0.000831984,0.000304332,0.000000244,0.000000408,0.443294436,0.416937262,0.471386015,0.447871804,0.008117583,0.309684843,0.288308561,0.018345319,0.022845136,0.021904221,0.716362238,0.644972861,0.001488105,0.000854335,0.002063106,0.002748439,0.071938306,0.000306692,0.000909931,0.004553117,0.006224504,0.000357170,0.000283888,0.028803185,0.001773646,0.208016738,0.234205335,0.014446671,0.017532464,0.006074542,0.000086910,0.001449662,0.006374854,0.000219576,0.023409765,0.055492368,0.056020811,0.010848449,0.007517473,0.256764024,0.299487114,0.000000864,0.000001386
0.000000895,0.737571716,0.804076672,0.000012407,0.000607416,0.000742515,0.000240045,0.000000223,0.000000367,0.472598702,0.455681801,0.420796216,0.393932462,0.007552783,0.373965919,0.347478122,0.012510265,0.028603043,0.031464547,0.739643455,0.720999002,0.001320015,0.000752405,0.002003166,0.002878325,0.074242085,0.000309143,0.000992649,0.004927428,0.006622381,0.000259533,0.000212244,0.049808003,0.002141457,0.177250981,0.201970518,0.008621973,0.010824216,0.012138974,0.000076684,0.000953499,0.004706312,0.000131326,0.019165197,0.055044327,0.055168703,0.010531855,0.007403301,0.209083632,0.246780753,0.000000839,0.000001113
0.000001553,0.709079325,0.776876688,0.000012759,0.000669087,0.000777167,0.000424981,0.000000283,0.000000597,0.330609769,0.322433025,0.259350598,0.245763749,0.003383027,0.425602615,0.408632725,0.016526651,0.054965124,0.056179758,0.666827559,0.621614099,0.002350595,0.001711853,0.003086867,0.002042870,0.067891367,0.000338226,0.001212077,0.007801090,0.006688724,0.000211831,0.000173861,0.034570910,0.002475285,0.167920157,0.213152602,0.016215829,0.015726781,0.008207713,0.000066731,0.001420081,0.008304316,0.000161328,0.015748376,0.181311086,0.155372933,0.017287161,0.014363610,0.248155296,0.274771541,0.000000777,0.000001727
0.000001122,0.554279447,0.637689233,0.000040625,0.001589581,0.001903332,0.000489543,0.000000282,0.000000617,0.336306334,0.242473960,0.169528201,0.154471099,0.003091593,0.402522296,0.440138429,0.018876847,0.090510905,0.097271279,0.644939959,0.643918395,0.001991058,0.002611854,0.003863107,0.001689442,0.091161251,0.000552429,0.001372863,0.016457027,0.007333080,0.000083789,0.000068424,0.028938042,0.004916208,0.229491234,0.336632073,0.027166780,0.016611371,0.005135661,0.000028242,0.001437760,0.009535528,0.000104584,0.009047557,0.254129440,0.155357406,0.020718824,0.007893953,0.143255010,0.126011044,0.000000649,0.000001783
0.000001338,0.607489526,0.674121141,0.000054292,0.001313005,0.002322106,0.000784943,0.000000371,0.000000447,0.275827140,0.277946651,0.157059416,0.155677319,0.001595644,0.619401813,0.588528633,0.007419662,0.099759705,0.096387729,0.668826103,0.626509130,0.002506660,0.002462618,0.001610035,0.003057212,0.310200483,0.001798502,0.003122559,0.007784822,0.012801704,0.000096106,0.000059164,0.022553105,0.002345680,0.221658781,0.240152776,0.016941734,0.020686630,0.009419608,0.000058031,0.002731836,0.022023212,0.000324963,0.007002618,0.646051764,0.543377042,0.021968629,0.003044261,0.122074306,0.129017428,0.000000298,0.000001485
0.000001479,0.613699853,0.632312298,0.000061458,0.001396290,0.003301593,0.000881768,0.000000416,0.000000511,0.245780006,0.285089612,0.155870706,0.171261847,0.001548380,0.628528714,0.606194735,0.007013810,0.099622883,0.083123870,0.690996170,0.601116717,0.002837186,0.002501916,0.001327180,0.006272574,0.443557590,0.001757044,0.003208684,0.012389945,0.017002210,0.000111003,0.000076267,0.025480304,0.002039251,0.214887217,0.227406532,0.018585781,0.022971656,0.011646813,0.000066122,0.002351386,0.016265219,0.000401918,0.006467232,0.706829369,0.613638997,0.014264698,0.003369235,0.079725564,0.069406793,0.000000358,0.000001952
0.000001303,0.610199094,0.677248120,0.000064368,0.001541067,0.002687400,0.000868790,0.000000346,0.000000661,0.225201905,0.262891471,0.153575346,0.165746614,0.001281009,0.657201052,0.628379405,0.006114230,0.094066314,0.083067924,0.644972444,0.573497176,0.003254300,0.002760389,0.001580760,0.006080545,0.396566898,0.001372967,0.002822234,0.009831964,0.013943937,0.000150155,0.000095236,0.017792033,0.004783278,0.251048625,0.242299259,0.016644623,0.026819183,0.007313346,0.000021687,0.002670137,0.014637648,0.000307412,0.006318057,0.635742188,0.577369452,0.029661782,0.006950763,0.062445369,0.066738926,0.000000366,0.000001866
0.000001322,0.608303308,0.668983102,0.000070074,0.001591109,0.002818916,0.000873713,0.000000347,0.000000650,0.222772151,0.256587118,0.160806149,0.173444912,0.001256296,0.653997064,0.625491023,0.006345342,0.089374602,0.077893041,0.644157410,0.567360401,0.003332075,0.002860503,0.001548766,0.006202632,0.397002816,0.001363320,0.002810072,0.010058227,0.014178117,0.000140239,0.000088491,0.017998276,0.005068663,0.246006265,0.235062107,0.016928669,0.027261071,0.007403186,0.000021264,0.002748530,0.015238157,0.000321712,0.006562427,0.637779713,0.578834355,0.028025012,0.006262957,0.065293081,0.070087343,0.000000358,0.000001885
0.000001519,0.594955683,0.644577861,0.000045785,0.001484713,0.002880572,0.000649501,0.000000303,0.000000649,0.211894646,0.269708633,0.137125000,0.148113757,0.001058127,0.680714726,0.643476129,0.005696118,0.101492278,0.091898568,0.621169150,0.545793414,0.003326490,0.002586584,0.002261700,0.002483198,0.290263027,0.001566039,0.004704926,0.009314820,0.013913685,0.000085082,0.000052412,0.019375283,0.003697892,0.150140807,0.158599794,0.024070388,0.028738748,0.003730864,0.000032176,0.002342595,0.021737689,0.000141906,0.006054348,0.503169537,0.430581272,0.046837449,0.010422779,0.039172366,0.054928772,0.000000352,0.000001587
0.000001490,0.606306791,0.652881980,0.000045163,0.001751302,0.002652372,0.000522608,0.000000282,0.000000567,0.189996719,0.209550813,0.148003131,0.157982647,0.000716254,0.568019390,0.667273343,0.011461859,0.077675939,0.067824528,0.587574840,0.473666370,0.004103739,0.002930171,0.003003341,0.001232512,0.153704539,0.001210468,0.002620469,0.013207523,0.012661163,0.000070525,0.000048187,0.021557212,0.001319401,0.143929467,0.178056687,0.053005267,0.028333811,0.002639701,0.000145673,0.001722813,0.015143027,0.000090650,0.008763603,0.144820437,0.103910998,0.018174382,0.004673238,0.023441706,0.031415422,0.000000677,0.000002248
