_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000365,0.013320045,0.024879146,0.036144324,0.094341576,0.054723755,0.000126091,0.000000230,0.000000351,0.133113518,0.070746139,0.211700663,0.197051570,0.118784986,0.042606827,0.036977842,0.118630327,0.054277230,0.062520750,0.274698257,0.434971511,0.006585093,0.012400405,0.000829717,0.000863951,0.164454877,0.000627465,0.003597393,0.016777541,0.008105346,0.000101939,0.000090698,0.006053957,0.000727561,0.114731409,0.152340084,0.057950370,0.028031616,0.000742753,0.000151838,0.005969433,0.030575054,0.000128886,0.002048083,0.009513131,0.007980233,0.003343741,0.001388506,0.007715624,0.006522276,0.000000488,0.000001249
0.000000310,0.009327088,0.018446414,0.051614445,0.112180308,0.064014599,0.000082388,0.000000186,0.000000405,0.112581782,0.054475900,0.209445059,0.195564866,0.159178644,0.031521667,0.026520524,0.155219570,0.058933463,0.067868046,0.255525023,0.424151003,0.008573532,0.019009979,0.000624763,0.001616219,0.167478472,0.000398688,0.005104662,0.022131162,0.011087966,0.000028529,0.000032509,0.008820825,0.001282025,0.070828743,0.083618104,0.033345565,0.027823037,0.001735819,0.000138630,0.008092382,0.059002589,0.000091830,0.001134038,0.003143631,0.003278729,0.000860054,0.001159453,0.002681478,0.002145166,0.000000396,0.000001016
0.000000627,0.032307073,0.042987477,0.029831940,0.046414241,0.039356414,0.000126045,0.000000176,0.000000663,0.136889637,0.055563092,0.223840162,0.205762163,0.089307629,0.056137197,0.050550465,0.084143952,0.053771749,0.062263370,0.259402543,0.350086123,0.007780544,0.016087342,0.000873618,0.001640285,0.172204599,0.000347272,0.006482484,0.054390866,0.008883224,0.000032255,0.000044712,0.007954993,0.001585682,0.073382072,0.112893507,0.075857922,0.032926295,0.000881038,0.000092354,0.008754056,0.057833888,0.000113466,0.001202462,0.009735015,0.008267523,0.001073348,0.002364896,0.007951016,0.003991876,0.000000454,0.000001509
0.000000622,0.031703066,0.038800389,0.031551320,0.059465468,0.032325983,0.000103220,0.000000248,0.000000588,0.115626708,0.073112063,0.156654924,0.145289153,0.151038751,0.032057930,0.029700451,0.143184662,0.084994301,0.102533989,0.208142713,0.477340698,0.007879737,0.015727000,0.000925042,0.001834724,0.216481388,0.000495988,0.006760610,0.046670917,0.008407534,0.000041795,0.000058481,0.016838582,0.000737414,0.089169294,0.148610726,0.055005897,0.021673298,0.001267646,0.000170999,0.006094488,0.040743113,0.000106573,0.001502620,0.009592771,0.008644606,0.000916908,0.002608313,0.011683157,0.005732641,0.000000433,0.000001799
0.000000525,0.023499649,0.033392407,0.026804408,0.082041897,0.038090948,0.000070957,0.000000201,0.000000445,0.090180688,0.069739141,0.150222912,0.142608657,0.128702462,0.036394119,0.034079380,0.120471261,0.085694477,0.098116465,0.200130701,0.411836594,0.010528768,0.016724704,0.000532078,0.001493383,0.205613300,0.000663767,0.006396283,0.037510067,0.012203602,0.000013640,0.000022407,0.018690804,0.000536856,0.068945490,0.093871161,0.034532137,0.022307402,0.003507271,0.000459383,0.009829169,0.058091570,0.000170764,0.001843514,0.002202944,0.002686448,0.000196142,0.001351411,0.006735827,0.003858898,0.000000447,0.000001150
0.000000635,0.038923670,0.047334626,0.024841905,0.042293597,0.046142250,0.000103516,0.000000219,0.000000635,0.142123222,0.055332735,0.258726746,0.247147799,0.217974126,0.020112682,0.023757126,0.192827925,0.044010751,0.046153262,0.254713237,0.273068309,0.007934098,0.017433301,0.000549386,0.001718989,0.189781711,0.000493600,0.005693085,0.037050989,0.008740792,0.000037392,0.000053165,0.007715412,0.000721657,0.065718822,0.096550822,0.070064612,0.028983863,0.001564682,0.000273639,0.013255320,0.055229213,0.000208665,0.001907608,0.003960500,0.003812324,0.000534432,0.001876437,0.006504076,0.003412187,0.000000449,0.000001576
0.000000715,0.027595157,0.044533662,0.016580194,0.076149270,0.049909521,0.000172482,0.000000322,0.000000606,0.100372039,0.055618510,0.277311444,0.256136030,0.195855841,0.024427518,0.022533113,0.189478830,0.045417078,0.046456005,0.194845602,0.328138560,0.012226881,0.023544116,0.000826106,0.001252899,0.179456800,0.000567193,0.003449444,0.021577226,0.011549334,0.000225698,0.000215986,0.004407166,0.000889671,0.132801399,0.156941772,0.105984785,0.060139850,0.000252527,0.000108638,0.012841229,0.058046155,0.000348030,0.004037709,0.016393127,0.014606773,0.002969565,0.001744797,0.026419997,0.017771272,0.000000411,0.000002386
0.000000593,0.018980704,0.028108276,0.017371610,0.130706280,0.050396755,0.000114366,0.000000304,0.000000507,0.072741099,0.037049737,0.214865729,0.198724493,0.202965140,0.024552442,0.020936940,0.198970333,0.063351102,0.068040289,0.172018752,0.326607078,0.015601448,0.035546709,0.000687829,0.001008377,0.231326565,0.001097166,0.004407237,0.025840834,0.011254002,0.000067554,0.000079526,0.013097130,0.000909135,0.102744505,0.131708294,0.044089079,0.026131917,0.001188515,0.000168363,0.007561906,0.035327259,0.000264090,0.004844890,0.008298369,0.009059154,0.000822443,0.001310170,0.026937926,0.019576369,0.000000406,0.000001705
0.000000720,0.020106828,0.032340255,0.017019609,0.135441273,0.050883636,0.000103619,0.000000327,0.000000558,0.097744443,0.050344363,0.219783694,0.195295960,0.305876821,0.013652281,0.013891434,0.287557662,0.056578033,0.065498397,0.173221037,0.373873115,0.009820814,0.027930690,0.000482500,0.000928337,0.186979309,0.000761690,0.005805702,0.026216414,0.011288890,0.000087813,0.000101256,0.005955314,0.001221716,0.055959202,0.068928070,0.071257144,0.045053031,0.000799824,0.000131025,0.015853886,0.049262349,0.000436581,0.003869171,0.007566621,0.008003904,0.000953449,0.001672149,0.013466583,0.008056998,0.000000310,0.000001751
0.000000758,0.014665253,0.023341306,0.034593832,0.120287143,0.085097916,0.000156433,0.000000570,0.000000783,0.122802593,0.031823695,0.168396220,0.152506724,0.358449131,0.011646900,0.012148503,0.340229690,0.073346928,0.083639130,0.230506897,0.241306379,0.009251211,0.032708116,0.000799760,0.000762687,0.163370699,0.000740427,0.002620098,0.015746757,0.002247605,0.001023273,0.001032847,0.006218755,0.003480973,0.114785537,0.147054300,0.053040452,0.019070648,0.000565416,0.000018548,0.008292951,0.014251791,0.000321027,0.008086051,0.014394751,0.010338769,0.008527184,0.004794782,0.043323193,0.026727453,0.000000601,0.000002597
