_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000785,0.000855456,0.001342728,0.422739476,0.332579345,0.237521216,0.000258063,0.000000710,0.000000332,0.161490098,0.126679257,0.123485774,0.130029872,0.004179030,0.422419429,0.378526926,0.008885613,0.063213490,0.063368790,0.321671009,0.312696189,0.003893772,0.004450639,0.000683498,0.000725996,0.213428378,0.000833403,0.003746223,0.002291648,0.011048742,0.000998963,0.000569823,0.002052483,0.002087702,0.085936099,0.051206868,0.036470879,0.098772243,0.000405371,0.000072476,0.004360976,0.026056722,0.000564219,0.014983364,0.029085061,0.036834259,0.040577918,0.009137515,0.012351803,0.027701043,0.000001531,0.000001409
0.000000702,0.000632237,0.000927971,0.441046625,0.372745663,0.266514719,0.000238231,0.000000718,0.000000319,0.168515280,0.127473414,0.122991823,0.129437730,0.005042201,0.408231258,0.377209038,0.007997042,0.063712440,0.065011047,0.307743996,0.318899661,0.003623532,0.004558766,0.000691206,0.000573103,0.210469738,0.000955546,0.003720152,0.002581664,0.010296972,0.000958991,0.000571909,0.002163905,0.001981110,0.088171512,0.055704959,0.037495095,0.092699677,0.000440250,0.000075413,0.004235159,0.025245544,0.000502158,0.013323153,0.029935203,0.037194747,0.037400369,0.009711421,0.011919368,0.025512969,0.000001591,0.000001224
0.000000565,0.000545320,0.000649647,0.492714912,0.369022936,0.285644948,0.000208378,0.000000610,0.000000259,0.145034641,0.112758331,0.133081347,0.143663719,0.004826356,0.424824148,0.400591969,0.006922508,0.060500853,0.057180468,0.316189378,0.268320084,0.004532597,0.005116627,0.000637407,0.000611856,0.187852889,0.000881619,0.003415206,0.002185071,0.010705731,0.000763010,0.000419949,0.002393188,0.001565784,0.085165605,0.052475821,0.034701932,0.075438939,0.000540663,0.000115105,0.003706612,0.026510665,0.000487875,0.013587088,0.015149955,0.017450763,0.028599460,0.004604811,0.010883324,0.023298426,0.000001703,0.000000979
0.000000641,0.000213833,0.000273147,0.585247815,0.492992014,0.362658292,0.000203569,0.000000690,0.000000243,0.165875047,0.161450475,0.095331922,0.105905138,0.006809517,0.371658832,0.353713900,0.008079923,0.088645570,0.084207594,0.391870439,0.330301821,0.003813231,0.003358868,0.000681672,0.000499921,0.125840917,0.000625838,0.002798944,0.002107142,0.012388147,0.001017867,0.000559915,0.002403591,0.002052200,0.077013724,0.045012090,0.034954261,0.095771804,0.000465908,0.000093146,0.004536422,0.023118200,0.000606404,0.014620196,0.018640934,0.023216015,0.027034905,0.005923001,0.011121725,0.025580272,0.000001809,0.000000855
0.000000591,0.000172317,0.000220816,0.570926309,0.554323196,0.509210944,0.000067351,0.000000785,0.000000285,0.710695803,0.709315956,0.837949991,0.821540058,0.063322164,0.255407751,0.120846674,0.012106708,0.002906766,0.001605302,0.651409030,0.466571212,0.000445643,0.000181592,0.000247216,0.000711518,0.022600297,0.000402520,0.001637726,0.001649508,0.032837797,0.000686796,0.000362893,0.002074910,0.000841655,0.008429828,0.006111107,0.037488088,0.111821800,0.002988691,0.001579320,0.009476000,0.013241631,0.004878558,0.019808156,0.004416191,0.006446599,0.005515736,0.002381584,0.002864695,0.007268029,0.000003488,0.000000507
0.000000459,0.000196538,0.000342272,0.523636460,0.526518106,0.458901167,0.000017421,0.000000363,0.000000183,0.715783238,0.727290332,0.821332097,0.794630647,0.048286125,0.233914062,0.163489059,0.012968616,0.003635785,0.002026152,0.602637649,0.447743326,0.000484636,0.000155593,0.000063454,0.000427656,0.007041409,0.000405501,0.001180897,0.002255913,0.035707764,0.000138573,0.000099551,0.001347157,0.000471042,0.000794970,0.000641594,0.026752912,0.063054658,0.020353399,0.010860428,0.010154378,0.010158678,0.014742889,0.016828291,0.000722052,0.001128960,0.000742370,0.000930885,0.000304050,0.000864357,0.000003489,0.000000210
0.000000435,0.000214216,0.000357957,0.495429754,0.516771197,0.456061423,0.000017679,0.000000361,0.000000179,0.701119900,0.707997739,0.815685987,0.791315317,0.048710302,0.251817584,0.164157689,0.011248942,0.003753128,0.002054666,0.614946246,0.436150938,0.000513811,0.000173252,0.000062579,0.000538870,0.008128664,0.000375987,0.001179537,0.002060421,0.037082803,0.000155841,0.000108502,0.001403910,0.000418126,0.000915397,0.000727456,0.023443472,0.056017507,0.020698080,0.011398398,0.011642544,0.011969464,0.014749325,0.016918831,0.000536609,0.000808601,0.000669805,0.000726566,0.000302282,0.000883015,0.000003322,0.000000214
0.000000567,0.000461201,0.000801478,0.492615491,0.377223849,0.325623333,0.000013354,0.000000159,0.000000141,0.550453544,0.567008257,0.584768832,0.551750183,0.014846768,0.235661119,0.234991774,0.021807654,0.012761367,0.009089378,0.563645124,0.532786489,0.000780233,0.000250849,0.000043271,0.000894300,0.005961561,0.000141913,0.000984381,0.005434083,0.027466696,0.000056340,0.000045873,0.000891198,0.000834967,0.000350121,0.000358340,0.033908814,0.031165823,0.033355203,0.006769686,0.009554236,0.008256861,0.016951783,0.013793087,0.000467838,0.000481730,0.000358409,0.000484931,0.000098221,0.000236653,0.000001907,0.000000188
0.000000283,0.000257144,0.000714011,0.450597733,0.451293558,0.265027761,0.000008351,0.000000091,0.000000084,0.317606479,0.402769089,0.243726537,0.247849226,0.011312938,0.301029086,0.311443001,0.012096499,0.047562398,0.036122177,0.492136896,0.390245974,0.001836055,0.000685365,0.000038523,0.000685631,0.005221931,0.000128017,0.001131602,0.003192251,0.036040075,0.000028586,0.000022307,0.001044951,0.000874694,0.000297259,0.000200931,0.018364964,0.036039535,0.038436767,0.005888104,0.006178567,0.009311667,0.009717397,0.007181831,0.000331175,0.000462534,0.000258985,0.000378658,0.000038230,0.000104270,0.000001462,0.000000097
0.000000440,0.000285330,0.000703155,0.465465367,0.484209806,0.299805641,0.000011870,0.000000131,0.000000105,0.205778882,0.211329356,0.091907419,0.095523216,0.005332644,0.355034202,0.330914348,0.014596838,0.108193696,0.100261979,0.416694105,0.435926586,0.002869936,0.001806858,0.000046440,0.000535602,0.008493427,0.000163204,0.001605817,0.003074703,0.031812266,0.000031417,0.000027162,0.000902424,0.000704266,0.000407936,0.000298063,0.022187958,0.045861371,0.022847246,0.005865420,0.010087087,0.013890309,0.008774213,0.007025114,0.000283898,0.000428021,0.000213503,0.000439862,0.000039553,0.000114437,0.000001105,0.000000163
