_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000256,0.487551779,0.402803272,0.002583905,0.001127621,0.002281378,0.000024794,0.000000062,0.000000070,0.432688415,0.261228472,0.301461041,0.311397403,0.015616095,0.062945090,0.313373536,0.127442673,0.036351766,0.033984687,0.518135190,0.502102971,0.001262082,0.001657027,0.000239916,0.002195587,0.006811623,0.000018902,0.003567999,0.003241820,0.021072941,0.000018765,0.000009989,0.001568246,0.003403185,0.000497696,0.000313704,0.027858810,0.042478170,0.012500914,0.000279890,0.001481464,0.007275196,0.000762589,0.001052472,0.152111411,0.137742341,0.033847943,0.002270500,0.000045794,0.000113237,0.000000131,0.000000295
0.000000215,0.439456642,0.370838165,0.003685965,0.001068506,0.001827116,0.000060106,0.000000070,0.000000074,0.373796463,0.272129595,0.294206798,0.326552451,0.011809008,0.074286230,0.340854406,0.108698599,0.036719374,0.029122062,0.500581205,0.487379462,0.001683304,0.001283721,0.000679376,0.004512460,0.034809407,0.000031306,0.010710677,0.003813095,0.030678345,0.000009287,0.000005003,0.009812875,0.003459106,0.005010367,0.003488866,0.019075569,0.047277067,0.012133559,0.000212222,0.001317911,0.012386618,0.000087456,0.001042280,0.030002899,0.036853891,0.011957708,0.000819995,0.000115968,0.000322948,0.000000142,0.000000354
0.000000245,0.471886456,0.425738871,0.002624938,0.000868136,0.001230571,0.000148186,0.000000081,0.000000131,0.341940165,0.279982537,0.324333996,0.360014409,0.027444281,0.054899823,0.196942270,0.121616311,0.032171503,0.026912002,0.464106590,0.456589907,0.001861150,0.001295024,0.001347836,0.013141199,0.155400053,0.000053477,0.016132759,0.004998010,0.059111755,0.000008860,0.000004201,0.013508432,0.001539527,0.033420917,0.024772480,0.027696956,0.068019539,0.002797142,0.000259239,0.001862934,0.050973941,0.000034651,0.000822244,0.040796414,0.050165441,0.013993885,0.000856654,0.000363531,0.001032396,0.000000141,0.000000558
0.000000233,0.470398366,0.389558524,0.003167305,0.000761694,0.001465988,0.000124101,0.000000083,0.000000117,0.353533715,0.252270103,0.271509737,0.303778112,0.024209203,0.058370646,0.217391312,0.116573118,0.040626548,0.035614882,0.471713275,0.496723145,0.001656259,0.001443542,0.001302483,0.013511306,0.154910386,0.000044024,0.017562652,0.004960597,0.037073698,0.000008388,0.000004501,0.015297876,0.002805526,0.028274167,0.022416988,0.022908317,0.053941127,0.003892786,0.000132452,0.001631091,0.035013396,0.000033577,0.000785160,0.038424786,0.045561589,0.010949843,0.000953557,0.000332490,0.000876368,0.000000126,0.000000525
0.000000165,0.382535309,0.311912149,0.005421839,0.001341276,0.002100436,0.000119234,0.000000056,0.000000109,0.362919182,0.279958785,0.338344753,0.378413737,0.031516772,0.077408813,0.165352553,0.084471330,0.032468721,0.028277207,0.466839939,0.463722348,0.001794485,0.001255362,0.001475165,0.020998707,0.179711789,0.000045425,0.013277777,0.003913478,0.042586379,0.000005344,0.000002913,0.020530386,0.001882606,0.050214816,0.036734074,0.016318483,0.049781814,0.003857478,0.000201255,0.001046353,0.044077925,0.000014668,0.000576007,0.023637000,0.032832056,0.006230748,0.000807585,0.000266556,0.000733351,0.000000191,0.000000505
0.000000198,0.361966729,0.266456246,0.010188708,0.001009522,0.002240049,0.000116465,0.000000079,0.000000120,0.337093115,0.265626550,0.300754100,0.346401781,0.024357066,0.067204334,0.207383558,0.098071113,0.034469690,0.030840881,0.462490857,0.459573418,0.001847438,0.001364275,0.001230627,0.027919728,0.223786518,0.000043943,0.013464322,0.003818058,0.016863909,0.000016033,0.000009888,0.020473257,0.003006787,0.037582878,0.034444164,0.013585632,0.024944121,0.004246502,0.000092012,0.001297401,0.038012035,0.000022187,0.000766101,0.012012495,0.012758881,0.004675013,0.000671698,0.000326945,0.000624195,0.000000201,0.000000727
0.000000201,0.309359908,0.224491611,0.008200939,0.001376333,0.003178999,0.000123880,0.000000083,0.000000160,0.295484185,0.238487840,0.255610704,0.288467824,0.023131337,0.065692447,0.213052362,0.097160973,0.039443437,0.039016265,0.440862417,0.495243102,0.001956678,0.001585233,0.001197612,0.061562035,0.281026483,0.000039189,0.012747000,0.005554701,0.014150702,0.000021848,0.000014712,0.017506186,0.003548307,0.044884812,0.050897587,0.017378351,0.022546731,0.003931305,0.000061705,0.001814608,0.040035989,0.000028096,0.000650233,0.006399738,0.005515401,0.003262381,0.000508222,0.000186908,0.000261050,0.000000215,0.000000803
0.000000372,0.243442044,0.162703335,0.008486924,0.002038829,0.005331148,0.000279386,0.000000216,0.000000243,0.279804707,0.230644420,0.188006267,0.214325532,0.032602295,0.031943344,0.193473697,0.175624266,0.058732133,0.056808166,0.537027121,0.556293011,0.002225429,0.001538888,0.001791958,0.050376449,0.300599456,0.000058969,0.006216910,0.004346163,0.014748037,0.000303635,0.000208630,0.004874685,0.000982750,0.133509278,0.171789080,0.036539428,0.061755195,0.000423729,0.000063197,0.003416558,0.032454945,0.000107560,0.001186169,0.016696481,0.016107144,0.008641672,0.002285067,0.000797166,0.001049889,0.000000314,0.000002373
0.000000174,0.319697887,0.234888107,0.004611539,0.002451688,0.003347463,0.000166743,0.000000107,0.000000151,0.307563871,0.205805138,0.280785322,0.325077742,0.029464856,0.034768570,0.196926668,0.166757241,0.033506420,0.028788831,0.429204077,0.436294198,0.002112169,0.002027778,0.001405259,0.032188129,0.324143857,0.000124210,0.007745437,0.004778094,0.037468761,0.000025174,0.000014582,0.015319304,0.000865426,0.095865309,0.101827748,0.019117132,0.035315227,0.002492836,0.000258915,0.002184582,0.065921687,0.000036530,0.000696251,0.003825141,0.004027106,0.002774825,0.000372569,0.000254345,0.000503268,0.000000267,0.000000985
0.000000171,0.384079456,0.280215919,0.001980895,0.001923859,0.003300657,0.000098492,0.000000060,0.000000113,0.346743941,0.224672288,0.324228376,0.363646150,0.021312727,0.077011801,0.222663030,0.086339034,0.030852593,0.029427961,0.506315053,0.528371692,0.001564319,0.001817812,0.000983510,0.025692457,0.261469364,0.000083398,0.018122900,0.007352398,0.024037939,0.000005749,0.000004144,0.026354408,0.002571071,0.029334694,0.033385590,0.015669707,0.023065513,0.008573666,0.000139667,0.001843645,0.054664563,0.000026301,0.000437841,0.003636422,0.003588859,0.001301067,0.000294353,0.000131746,0.000213933,0.000000142,0.000000481
