_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000768,0.002071264,0.000904799,0.433754444,0.461710930,0.242552221,0.000012606,0.000000183,0.000000222,0.016485391,0.011186431,0.025327124,0.028734906,0.565741241,0.002338623,0.006148139,0.529310703,0.227352634,0.223946676,0.202233538,0.044183750,0.025451016,0.027796358,0.000066284,0.003025425,0.001391492,0.000004185,0.000280251,0.003955804,0.020034445,0.000605038,0.000631663,0.000137394,0.000301951,0.000279412,0.000136970,0.138005525,0.526572287,0.000546451,0.002587758,0.007831666,0.002643414,0.048718464,0.006111328,0.066472404,0.150779083,0.006183439,0.059576832,0.000042605,0.000080003,0.000000866,0.000000495
0.000000765,0.001515754,0.000733064,0.448957801,0.495827317,0.274352998,0.000012158,0.000000175,0.000000205,0.011522528,0.011145419,0.030957365,0.038541317,0.540228486,0.002786691,0.006031733,0.504269361,0.203288838,0.179243714,0.199309126,0.035665039,0.036722958,0.025276741,0.000060673,0.002807203,0.001268394,0.000004150,0.000263574,0.002251612,0.022400055,0.000873619,0.000831285,0.000156332,0.000365701,0.000252032,0.000112087,0.103762701,0.556004524,0.000716883,0.002285611,0.007367911,0.001838244,0.062238656,0.008106749,0.052785248,0.152216315,0.005580259,0.055773675,0.000040957,0.000099620,0.000000914,0.000000446
0.000000779,0.002594389,0.001188503,0.377104044,0.438743860,0.237633809,0.000012731,0.000000180,0.000000203,0.013161032,0.011556130,0.029617902,0.035830185,0.554040313,0.002410838,0.006405766,0.512164831,0.200132102,0.190742671,0.190411627,0.045261398,0.030289127,0.026200652,0.000060268,0.002899380,0.001512583,0.000003870,0.000344015,0.002996729,0.021950794,0.000666798,0.000640787,0.000148581,0.000306855,0.000269164,0.000128955,0.129214153,0.537096262,0.000644070,0.002747171,0.007847034,0.002134878,0.050791502,0.006655828,0.059861332,0.144901857,0.006588744,0.050496273,0.000046068,0.000096849,0.000000784,0.000000487
0.000000669,0.001565518,0.000769083,0.431751162,0.525083184,0.289775521,0.000013205,0.000000176,0.000000194,0.013294256,0.011827027,0.026055381,0.031600308,0.555804729,0.002419828,0.006173993,0.516377568,0.219358727,0.210732758,0.199853167,0.045387611,0.029797876,0.025399033,0.000065638,0.003118736,0.001357180,0.000003554,0.000290206,0.003108345,0.025466518,0.000571667,0.000517324,0.000163106,0.000326221,0.000319348,0.000149535,0.124906853,0.539665103,0.000750022,0.002784964,0.006927771,0.001759573,0.047635600,0.006511542,0.060698319,0.145527780,0.006228165,0.038413003,0.000049617,0.000106930,0.000000871,0.000000424
0.000000647,0.001380135,0.000707286,0.448376685,0.572000146,0.299918294,0.000013201,0.000000171,0.000000159,0.012839681,0.012922881,0.023704629,0.031146822,0.550843358,0.002361018,0.006804463,0.512360096,0.228073969,0.216304734,0.227489889,0.047987591,0.031204717,0.022563050,0.000063546,0.002721614,0.001227209,0.000004174,0.000241847,0.002875841,0.021638446,0.000448541,0.000389209,0.000210767,0.000445430,0.000283813,0.000143074,0.105287507,0.472456217,0.001072903,0.002108535,0.005836132,0.001420379,0.044129793,0.007869075,0.076982416,0.180131257,0.005768407,0.035335250,0.000053680,0.000116156,0.000000859,0.000000383
0.000000663,0.002241080,0.001031295,0.418335527,0.430125415,0.252451271,0.000014482,0.000000142,0.000000174,0.013913390,0.009884853,0.030413711,0.040555250,0.505734801,0.002924094,0.007963053,0.465337634,0.197218865,0.174104616,0.212808356,0.029103164,0.031465948,0.027734634,0.000063183,0.002791711,0.001381156,0.000003390,0.000311716,0.003577333,0.025486574,0.000522219,0.000451900,0.000181786,0.000613764,0.000263061,0.000134401,0.129988670,0.503472447,0.000885669,0.001356535,0.007272824,0.001615812,0.048863638,0.006654675,0.078647591,0.170873433,0.006915146,0.029294563,0.000053103,0.000114314,0.000000707,0.000000367
0.000000706,0.002303533,0.001004566,0.439754039,0.434146523,0.266353667,0.000013916,0.000000165,0.000000191,0.014130083,0.009895513,0.028022042,0.037908252,0.512327194,0.002829671,0.007871518,0.470954239,0.203346521,0.181470811,0.201010332,0.026388856,0.030375518,0.028052503,0.000060526,0.002426038,0.001128508,0.000003091,0.000246232,0.003186154,0.017931385,0.000685512,0.000636413,0.000191347,0.000490716,0.000218144,0.000119605,0.114352949,0.429120362,0.001074064,0.001779898,0.006098970,0.001368072,0.049394067,0.008250509,0.090964906,0.181313738,0.009111454,0.045755059,0.000075099,0.000139003,0.000000920,0.000000401
0.000000676,0.003556785,0.001254203,0.356205255,0.406918645,0.271225125,0.000014309,0.000000142,0.000000199,0.010801313,0.008102118,0.030742515,0.041796781,0.608804822,0.001832367,0.005049603,0.577466249,0.187335089,0.165408328,0.196987167,0.023785433,0.038336810,0.033703201,0.000073301,0.002032010,0.001289807,0.000006236,0.000243852,0.004025806,0.018071247,0.000384572,0.000406257,0.000216822,0.000467595,0.000322379,0.000172036,0.104699813,0.444247425,0.001004026,0.001768554,0.005200746,0.001695324,0.029739581,0.006273331,0.058896288,0.141969085,0.004417195,0.049192697,0.000044686,0.000080091,0.000000981,0.000000466
0.000000730,0.003580617,0.001934794,0.340808719,0.380206287,0.240078822,0.000015150,0.000000159,0.000000194,0.017512238,0.010829818,0.043860275,0.059157323,0.569628119,0.002156225,0.006027872,0.536290824,0.145701289,0.118970871,0.232925773,0.023377115,0.029692058,0.024463797,0.000063180,0.001805224,0.001161833,0.000004938,0.000259334,0.002503342,0.014816844,0.000744861,0.000673277,0.000217090,0.000545206,0.000200871,0.000114829,0.101746738,0.404133618,0.001325419,0.001434453,0.005882605,0.001501563,0.038554765,0.007240787,0.101214088,0.211415738,0.010409971,0.055693738,0.000044431,0.000086428,0.000000827,0.000000484
0.000000712,0.004660318,0.002645781,0.268736482,0.367769808,0.221989915,0.000013772,0.000000138,0.000000174,0.014323882,0.010071849,0.044464812,0.055526428,0.602818727,0.001856133,0.005139277,0.564847350,0.139130399,0.120969355,0.193305850,0.028153054,0.033507966,0.025754826,0.000059791,0.001849758,0.001401948,0.000005967,0.000304067,0.002916687,0.019941436,0.000539749,0.000516345,0.000197664,0.000691173,0.000246460,0.000122875,0.108381048,0.508510590,0.000951863,0.001145456,0.006216118,0.001807260,0.036713336,0.007025031,0.060012985,0.148268729,0.005834045,0.038931631,0.000037707,0.000083290,0.000000706,0.000000490
