_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001678,0.001155800,0.001433029,0.250163019,0.374899805,0.227966055,0.000069443,0.000000408,0.000001418,0.022381179,0.004027670,0.150549546,0.161753029,0.015030554,0.204826832,0.209988758,0.015225361,0.054554176,0.057231460,0.110680051,0.044007599,0.027826998,0.082137182,0.000178487,0.002180219,0.127758592,0.000231210,0.008820187,0.031864636,0.001024131,0.000133460,0.000539256,0.002903546,0.004483789,0.007948203,0.015595055,0.054513194,0.041048694,0.004751590,0.000101160,0.035876330,0.041657887,0.004497278,0.010802815,0.000429980,0.000382440,0.000110160,0.020211622,0.002294800,0.000895430,0.000001621,0.000001560
0.000001981,0.001181280,0.001589010,0.204162747,0.408654213,0.245127097,0.000070103,0.000000444,0.000001457,0.034664676,0.006438609,0.134395897,0.142817423,0.011546346,0.213224426,0.210291699,0.020294350,0.062678866,0.069373831,0.167039037,0.062653907,0.019888001,0.055381279,0.000174605,0.002001078,0.129795223,0.000283861,0.009806433,0.028947862,0.000760743,0.000131360,0.000591618,0.002661166,0.004505134,0.006136725,0.012441443,0.045997761,0.033759765,0.005560349,0.000098050,0.038045608,0.040408663,0.005100741,0.011169292,0.000306531,0.000278930,0.000093362,0.029193858,0.001620151,0.000630545,0.000001559,0.000001929
0.000001685,0.001089038,0.001375540,0.248841092,0.393070310,0.242604047,0.000068165,0.000000384,0.000001497,0.022995347,0.004569290,0.132680804,0.141776085,0.016242011,0.184382349,0.184592932,0.019468350,0.063423082,0.068834677,0.122682884,0.048429199,0.027341764,0.072043575,0.000188801,0.003061072,0.138938367,0.000193132,0.009057848,0.029518213,0.000989643,0.000103955,0.000475093,0.002915237,0.006729749,0.008465780,0.014485734,0.039659061,0.043301921,0.004661086,0.000061957,0.033831093,0.046552546,0.004260026,0.010263772,0.000345037,0.000353264,0.000083382,0.033424687,0.002301390,0.000891232,0.000001583,0.000001627
0.000002128,0.001283304,0.001753702,0.194293365,0.398358285,0.222849846,0.000080057,0.000000408,0.000001617,0.026670430,0.005978094,0.148279980,0.157991320,0.011533830,0.221446335,0.215891466,0.018252810,0.056316637,0.062175997,0.132748812,0.064678609,0.024367502,0.057175711,0.000215025,0.002856594,0.137983114,0.000210224,0.009977654,0.030579083,0.001089489,0.000133674,0.000596839,0.002064721,0.005666833,0.008264494,0.014544345,0.053945612,0.058731966,0.002745474,0.000061760,0.035820294,0.050296579,0.004987949,0.010882773,0.000542718,0.000576001,0.000109955,0.046429615,0.002119893,0.000867468,0.000001496,0.000002169
0.000002401,0.001803731,0.002427942,0.189766839,0.331499904,0.180540711,0.000095035,0.000000396,0.000001692,0.038681094,0.009038084,0.160495251,0.175433099,0.010662451,0.231796533,0.223862186,0.018379673,0.051599100,0.053585589,0.176828280,0.070066646,0.019102948,0.038731411,0.000246227,0.003357435,0.149457529,0.000191935,0.011171672,0.028023697,0.001015765,0.000211557,0.000910838,0.001702481,0.008455855,0.009208982,0.015880989,0.061846398,0.072914079,0.001718949,0.000030215,0.041138165,0.057436734,0.005495204,0.009508958,0.000648445,0.000691991,0.000153197,0.057061430,0.002033107,0.000790866,0.000001380,0.000002547
0.000001781,0.001360807,0.001652905,0.213091359,0.363713533,0.183507785,0.000084077,0.000000390,0.000001160,0.034607731,0.009788048,0.171944782,0.190498084,0.011153964,0.235401705,0.239772514,0.015272190,0.049176842,0.046392992,0.187881812,0.067271754,0.021333646,0.038068458,0.000194593,0.002870430,0.156856492,0.000278345,0.010466070,0.018684354,0.002170793,0.000129014,0.000494160,0.001766358,0.002162060,0.009640138,0.014768068,0.049063120,0.086847961,0.002329377,0.000173793,0.041437682,0.069859877,0.004966226,0.009586164,0.000449298,0.000632408,0.000085027,0.029745556,0.001167580,0.000615008,0.000001454,0.000002044
0.000001702,0.000877121,0.001175641,0.235892549,0.413475245,0.210286170,0.000088459,0.000000452,0.000001307,0.030653259,0.006382769,0.178667173,0.194223955,0.012285137,0.258437425,0.269609928,0.010767230,0.048058171,0.049620535,0.149014845,0.076124437,0.024981666,0.058642149,0.000232583,0.003380120,0.163876250,0.000285287,0.009448379,0.025371611,0.003174591,0.000136383,0.000550666,0.001400041,0.005476907,0.014821132,0.020165373,0.050806548,0.148755521,0.001734555,0.000058430,0.049590342,0.077773564,0.006458397,0.009944425,0.000474188,0.000726418,0.000076514,0.040389683,0.001479045,0.000753708,0.000001428,0.000001893
0.000001408,0.000734534,0.001309739,0.291421562,0.419312537,0.156633049,0.000069906,0.000000569,0.000001141,0.027826779,0.007550038,0.211828947,0.215357035,0.025283284,0.147879913,0.149728373,0.022005850,0.042498466,0.040813636,0.117553674,0.068068400,0.027073948,0.053602543,0.000185705,0.003424942,0.171107948,0.000393135,0.007378856,0.010865070,0.002082299,0.000297343,0.001153895,0.001219576,0.001831525,0.014415752,0.017739397,0.035892051,0.114202097,0.001800208,0.000155322,0.057940248,0.088094726,0.008513761,0.012650819,0.000226413,0.000362142,0.000093756,0.048994407,0.001147764,0.000626201,0.000001603,0.000001914
0.000001562,0.000433835,0.000636351,0.454753727,0.422718346,0.208773941,0.000099494,0.000002234,0.000001150,0.063136362,0.017109726,0.195336625,0.203630254,0.017332545,0.208876789,0.208760783,0.016932897,0.047990352,0.047066607,0.270537436,0.110032886,0.016439592,0.025492663,0.000516348,0.004739162,0.179971024,0.000305819,0.002780569,0.002059877,0.000896943,0.007069161,0.021518283,0.003327536,0.000527160,0.047202058,0.050675046,0.012158253,0.031058133,0.002547977,0.000231815,0.017509416,0.021085521,0.003907102,0.023942398,0.000311209,0.000440856,0.001424892,0.246770367,0.006192976,0.005458674,0.000005707,0.000003731
0.000001220,0.000693747,0.000918703,0.349094331,0.405765682,0.184558138,0.000131283,0.000001644,0.000001128,0.051778007,0.015616965,0.268288761,0.262588799,0.014869998,0.268665135,0.289620668,0.008975171,0.035378631,0.028242033,0.187551543,0.060226288,0.019927111,0.028527299,0.000766327,0.005460727,0.171761841,0.000215195,0.001967541,0.002327791,0.001594270,0.008340226,0.022851273,0.003135088,0.000504912,0.096694872,0.094313405,0.011663280,0.035035238,0.001591979,0.000230332,0.011602049,0.021501157,0.002860940,0.031506982,0.000692895,0.001099232,0.001947997,0.238185838,0.021839255,0.022633072,0.000008361,0.000004156
0.000001477,0.009644773,0.009107076,0.097322822,0.149139062,0.099280812,0.000142266,0.000001780,0.000000966,0.093083300,0.029056486,0.307829440,0.300525367,0.078718692,0.044993456,0.057330091,0.087349191,0.026926540,0.021779103,0.274602354,0.049814302,0.010381121,0.014886939,0.000631402,0.021633446,0.083566345,0.000020147,0.000854436,0.000400617,0.001087175,0.075384282,0.116790250,0.002532841,0.000271586,0.096491970,0.074377455,0.010220138,0.027472520,0.002652622,0.000358006,0.012395231,0.012650599,0.004188220,0.053257510,0.000351799,0.000382665,0.011273013,0.154944092,0.027488079,0.035819013,0.000009474,0.000008081
0.000001394,0.006156148,0.005417285,0.142085031,0.207102016,0.147409886,0.000174463,0.000001532,0.000001281,0.072811343,0.016529277,0.279761016,0.288759887,0.055787291,0.042876337,0.079855584,0.102483585,0.028881470,0.021737410,0.290172786,0.029854503,0.014528026,0.023649290,0.000768841,0.012830439,0.061060697,0.000033177,0.000442207,0.000455643,0.001714633,0.024818972,0.044493716,0.001985802,0.000453136,0.165808544,0.139853567,0.011722766,0.066024646,0.001642432,0.000315981,0.014974484,0.016922502,0.006045336,0.071903445,0.000515455,0.000858734,0.004175763,0.180214882,0.046229977,0.074322999,0.000009717,0.000008194
0.000001401,0.011331732,0.011331782,0.093888447,0.117524192,0.050360043,0.000396260,0.000001811,0.000001112,0.110814638,0.042843737,0.097399049,0.107033134,0.066398583,0.045885257,0.067944072,0.102232561,0.108576789,0.093120031,0.437375039,0.188824072,0.008809030,0.009677324,0.003227909,0.007651626,0.042321023,0.000021454,0.000555072,0.002338377,0.007054420,0.013804202,0.015319131,0.004208288,0.000116619,0.420238584,0.445345372,0.018786691,0.046129800,0.002143394,0.000914307,0.006539361,0.003630337,0.002387186,0.029785812,0.016330335,0.024306566,0.025780503,0.190523729,0.218187675,0.312832713,0.000006132,0.000006452
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000000829,0.004999992,0.008270342,0.138424397,0.204349667,0.094659284,0.000144178,0.000001584,0.000000604,0.070933856,0.023392795,0.268221319,0.265730023,0.004006379,0.474867016,0.439704418,0.004172665,0.027110461,0.026649779,0.164802268,0.099345528,0.010954342,0.025545003,0.000509823,0.002257119,0.141363651,0.000238422,0.001613706,0.000805357,0.002129144,0.015127722,0.012557017,0.004591296,0.000120060,0.098075315,0.082552224,0.021723069,0.023067817,0.003435380,0.001573061,0.007348476,0.006183079,0.001621666,0.049472850,0.001864013,0.001727362,0.016179735,0.007003705,0.030453028,0.039165206,0.000004826,0.000003583
