_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002052,0.235824719,0.265871346,0.012003748,0.002721034,0.003685737,0.000062806,0.000000273,0.000000214,0.168987900,0.209078729,0.092143096,0.106578812,0.057089109,0.042900622,0.068022005,0.088814989,0.091621719,0.074570574,0.434818655,0.255934358,0.004431183,0.001344725,0.000280732,0.000679700,0.008555745,0.000048852,0.000524132,0.002655233,0.014823185,0.001540092,0.001239238,0.001973258,0.001115308,0.006782957,0.004404265,0.040547095,0.174659967,0.001170445,0.000289924,0.006126540,0.002348130,0.004500028,0.040965024,0.030887721,0.065882176,0.005617932,0.009382896,0.005086614,0.016371420,0.000001206,0.000001483
0.000001722,0.135619700,0.179784462,0.019508170,0.004670730,0.005846074,0.000066948,0.000000242,0.000000207,0.156814292,0.177733377,0.059991807,0.065284781,0.066358298,0.040786434,0.058740549,0.084035210,0.134840727,0.119300038,0.429622710,0.274416357,0.004630946,0.001599451,0.000303196,0.001552849,0.009362437,0.000020406,0.000626412,0.003895814,0.014069492,0.000792430,0.000632029,0.002790791,0.003173914,0.007540044,0.004649594,0.041468836,0.162323758,0.001241049,0.000092907,0.004884020,0.002363903,0.003057351,0.035929419,0.054058298,0.089496657,0.007951873,0.006908383,0.006298596,0.015891830,0.000001107,0.000001251
0.000001329,0.081877515,0.132934183,0.034681786,0.008590901,0.008989273,0.000054942,0.000000227,0.000000150,0.143024221,0.169625163,0.064823754,0.071210846,0.044826414,0.053208005,0.078261144,0.071343549,0.130741030,0.110204883,0.440929323,0.324473381,0.005158300,0.001821396,0.000254198,0.000954108,0.006207952,0.000020518,0.000578423,0.002199927,0.014842467,0.001008131,0.000694790,0.002021500,0.003234578,0.005116920,0.002766084,0.030455103,0.154802606,0.001589179,0.000099511,0.003982834,0.001785484,0.003368674,0.030232482,0.051043987,0.089156516,0.010836327,0.005482354,0.004170022,0.012917036,0.000000978,0.000001084
0.000001613,0.098975010,0.142767385,0.033317249,0.006860327,0.008803386,0.000075665,0.000000307,0.000000191,0.145293027,0.164037436,0.063392654,0.070305154,0.041144431,0.058343429,0.081616014,0.066015497,0.129006088,0.112239040,0.427747637,0.310142249,0.005001611,0.001936427,0.000306642,0.001831621,0.009445600,0.000015741,0.000634945,0.002071399,0.014651458,0.002223437,0.001440698,0.001967810,0.002627985,0.008251439,0.004511998,0.034196280,0.147487625,0.001109323,0.000091077,0.005036453,0.002128198,0.003500600,0.036661569,0.054219462,0.081452921,0.018013339,0.006007017,0.006449617,0.019527806,0.000001096,0.000001551
0.000001418,0.070729494,0.132006124,0.047042988,0.006513427,0.007021517,0.000085010,0.000000289,0.000000205,0.172194883,0.205150694,0.062518522,0.070102915,0.057771549,0.047896940,0.065495305,0.073164299,0.137216955,0.122356586,0.497220010,0.311926782,0.004038208,0.001399129,0.000361858,0.003015952,0.014008137,0.000015315,0.000745716,0.002585529,0.012261668,0.001525566,0.000987872,0.002490948,0.002759531,0.011679694,0.007556537,0.036767900,0.119942591,0.001001374,0.000081215,0.004829624,0.003088106,0.002232745,0.031044045,0.050650317,0.066085406,0.015755843,0.005051633,0.006548651,0.016492970,0.000001197,0.000001472
0.000001926,0.130671799,0.174929574,0.039124545,0.003261806,0.005350415,0.000114836,0.000000529,0.000000265,0.135116324,0.185812503,0.071071431,0.084193237,0.078168787,0.035580557,0.050489642,0.091151536,0.116732150,0.102087945,0.474750370,0.274716437,0.005569689,0.001799544,0.000462348,0.002491537,0.019539123,0.000027814,0.000541049,0.002159929,0.006663216,0.005388385,0.003726099,0.003463122,0.001823749,0.023453789,0.016642543,0.030403178,0.080077223,0.001055864,0.000079915,0.004601943,0.002638049,0.002380391,0.057728212,0.040643517,0.051406253,0.022194255,0.009380512,0.020179069,0.046655905,0.000001778,0.000002597
0.000002476,0.213261738,0.254998744,0.028061612,0.001732476,0.002986745,0.000086169,0.000000740,0.000000330,0.148718610,0.203051642,0.080785543,0.101665698,0.111981809,0.024612561,0.039080359,0.125344738,0.103602976,0.086590886,0.517030656,0.237052202,0.004954075,0.001588422,0.000352376,0.003822539,0.014683033,0.000015685,0.000386137,0.001618008,0.004374014,0.042760454,0.029237993,0.002061258,0.000686941,0.013187963,0.010237315,0.034667499,0.051395860,0.001189884,0.000190694,0.008800159,0.002154359,0.006799296,0.073841535,0.015107418,0.015740007,0.035987224,0.011969437,0.015002384,0.031941440,0.000002250,0.000003388
0.000002944,0.234441340,0.255492926,0.023188980,0.001259756,0.002704757,0.000116453,0.000000592,0.000000483,0.185450479,0.211800039,0.095528647,0.111467287,0.150846109,0.019374385,0.032695338,0.158953935,0.091387466,0.080611035,0.504949331,0.278027087,0.003873650,0.001379700,0.000459602,0.004761918,0.023112498,0.000016109,0.000741050,0.004591814,0.002963822,0.014667085,0.012333992,0.002290658,0.005664330,0.015368891,0.016562440,0.046989165,0.064003430,0.000741742,0.000018884,0.011101526,0.002894362,0.004429258,0.057683282,0.031755030,0.029456913,0.022827376,0.016424842,0.016617479,0.025557552,0.000001357,0.000003486
0.000002861,0.278230160,0.323303312,0.016435552,0.001232054,0.001868665,0.000106252,0.000000841,0.000000363,0.141403481,0.207423449,0.077048011,0.090629436,0.074108236,0.037063953,0.055815261,0.096670173,0.108017214,0.103309736,0.479057133,0.317771554,0.004345603,0.001601843,0.000356432,0.004367666,0.025021417,0.000021715,0.000624289,0.002875008,0.003715356,0.023372978,0.015918009,0.002391041,0.000478309,0.015296957,0.015153861,0.045830783,0.031355627,0.001307983,0.000297947,0.009942223,0.002574983,0.007016627,0.096664779,0.019417625,0.014708009,0.032754119,0.007378964,0.027785461,0.050387856,0.000001670,0.000003477
0.000002836,0.330387473,0.325019091,0.008838909,0.001206629,0.002089024,0.000069509,0.000000485,0.000000384,0.172355488,0.229175016,0.084457427,0.088093661,0.155310303,0.019905975,0.031087829,0.147871584,0.103803247,0.107180700,0.532336295,0.342793196,0.003444296,0.001108708,0.000242097,0.003473717,0.025925757,0.000032754,0.000670567,0.003993190,0.004024658,0.006548658,0.007280622,0.002240405,0.002888359,0.014224056,0.013306841,0.024408711,0.060669906,0.001767748,0.000049832,0.016027231,0.003671876,0.006333082,0.060222898,0.004713371,0.006013609,0.003703982,0.013627672,0.009425278,0.014404531,0.000001351,0.000002581
