_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000058845,0.253832906,0.000839331,0.064087115,0.009448742,0.374968052,0.000187307,0.000008724,0.000000207,0.103618868,0.005415741,0.745971918,0.105128713,0.050846118,0.189293757,0.114977501,0.014759528,0.003032352,0.186342672,0.005033002,0.444960207,0.003015790,0.263362736,0.000063579,0.008220696,0.138219044,0.000111030,0.075640835,0.262757242,0.149003267,0.000027865,0.000044881,0.014373726,0.118391342,0.007177453,0.004187200,0.092320107,0.046193447,0.110170543,0.000059235,0.162035361,0.028639035,0.215268359,0.354494125,0.327961087,0.155594707,0.000072307,0.000087511,0.666920483,0.406971514,0.000000248,0.000001671
0.000119872,0.067389555,0.000162184,0.224019289,0.019379120,0.619295120,0.000279208,0.000027023,0.000000889,0.098059714,0.002484590,0.709075630,0.171990097,0.018378483,0.202741131,0.236212596,0.013971460,0.003984564,0.106783748,0.008566041,0.228108168,0.005171707,0.340101331,0.000115722,0.009771743,0.358722508,0.002183938,0.086100854,0.923193216,0.462080359,0.000002380,0.000010106,0.120325059,0.039180730,0.015030235,0.014358892,0.119360700,0.050034232,0.373830318,0.000525306,0.103192188,0.034260474,0.221126288,0.521909475,0.055857766,0.017540088,0.000002429,0.000077164,0.783353686,0.238672331,0.000001228,0.000006220
0.000112259,0.403376430,0.000051018,0.053528566,0.002936184,0.821034908,0.000357836,0.000025061,0.000000124,0.075870343,0.013882408,0.817490876,0.109374575,0.066938281,0.145954147,0.099834390,0.035565645,0.002524004,0.219912067,0.007207901,0.620422959,0.005433052,0.150272265,0.000149951,0.006177300,0.224388003,0.000953369,0.068689592,0.558329225,0.661036432,0.000020862,0.000043324,0.189513773,0.022394544,0.062014107,0.012396964,0.054826487,0.141091257,0.231284469,0.000198620,0.087765299,0.029613892,0.155165687,0.249461964,0.489442140,0.409447968,0.000048555,0.000127073,0.784905851,0.718048096,0.000000149,0.000002657
0.000174133,0.146706760,0.000194797,0.201604262,0.010658856,0.620376229,0.000285515,0.000024092,0.000000848,0.110307962,0.003503550,0.681051493,0.170981437,0.007663629,0.209449977,0.372368276,0.021036934,0.004791994,0.105482318,0.009101287,0.208621889,0.005838946,0.280315518,0.000132088,0.006083880,0.402909726,0.005514572,0.107923344,0.968086720,0.607229173,0.000001185,0.000007172,0.251196325,0.075462550,0.011652100,0.011098658,0.074946269,0.037888426,0.544884562,0.000360274,0.085636690,0.033780359,0.207916781,0.405294061,0.028655263,0.011781929,0.000000575,0.000090928,0.743649244,0.151839733,0.000001095,0.000008650
0.000102390,0.286978364,0.000142785,0.174901381,0.006450338,0.483679175,0.000082181,0.000007508,0.000000332,0.156099528,0.012866810,0.814079404,0.320122689,0.013750194,0.227770314,0.299229622,0.017620286,0.001514722,0.055412404,0.011495042,0.388266325,0.003629704,0.127838448,0.000019008,0.015846603,0.178071052,0.000166543,0.165410101,0.742390394,0.029260686,0.000002214,0.000010665,0.033513300,0.311613768,0.000793400,0.000749704,0.031678997,0.004056976,0.663759232,0.000187066,0.047763169,0.017142609,0.504417419,0.723594427,0.013615140,0.004357554,0.000002305,0.000140805,0.781939745,0.187176883,0.000000737,0.000002503
0.000086818,0.085124239,0.000043517,0.402347684,0.024581369,0.704256177,0.000091726,0.000010412,0.000000620,0.172070310,0.017243715,0.815320969,0.538870215,0.009519351,0.307752222,0.449350089,0.011853602,0.001507346,0.020248363,0.011278735,0.263477832,0.007042116,0.097113691,0.000023540,0.003234413,0.329563528,0.004415595,0.311355233,0.938009143,0.058988515,0.000000253,0.000002307,0.189498380,0.320275307,0.001457790,0.001776967,0.012372999,0.002054617,0.969917774,0.000579618,0.098275125,0.058925737,0.327138543,0.489291638,0.000741194,0.000268711,0.000000106,0.000069838,0.598587036,0.030014573,0.000001266,0.000002425
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
