_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000004066,0.089288875,0.113910399,0.014781374,0.022829849,0.007369634,0.000055184,0.000000116,0.000000185,0.164597899,0.268483162,0.177873611,0.208451703,0.013861699,0.232627034,0.254348367,0.012954767,0.062643543,0.041456025,0.543573558,0.253987372,0.005610848,0.001388393,0.000064959,0.000316881,0.007506271,0.000054382,0.001097002,0.022480121,0.121880710,0.000343190,0.000251625,0.000115092,0.000095153,0.000366503,0.000263849,0.616741419,0.585740447,0.000132495,0.013185523,0.045606773,0.040112801,0.048675586,0.007607814,0.145246401,0.158365175,0.005079471,0.002005243,0.000285622,0.000858204,0.000000624,0.000000916
0.000003656,0.084534816,0.099611916,0.015284974,0.021272505,0.007811423,0.000055300,0.000000114,0.000000153,0.183970422,0.281905085,0.169331536,0.191945195,0.014367723,0.206365198,0.205301791,0.022278968,0.068418510,0.052156668,0.533877850,0.332651705,0.004774653,0.001294850,0.000051959,0.000511932,0.013264085,0.000039356,0.002507812,0.010641094,0.113556400,0.000479091,0.000311692,0.000098642,0.000305551,0.000377794,0.000189757,0.530758202,0.637424707,0.000085280,0.003007769,0.090090699,0.073478542,0.055417087,0.008608073,0.047832988,0.067394800,0.006935090,0.001414629,0.000190507,0.000722834,0.000000253,0.000000702
0.000003994,0.046996817,0.059717160,0.022861363,0.044185862,0.014696795,0.000100628,0.000000177,0.000000176,0.164394796,0.276333809,0.132689014,0.163078487,0.009920988,0.287517816,0.295423508,0.012609141,0.086707808,0.061972097,0.573996305,0.298598856,0.005689241,0.001644198,0.000091950,0.000439434,0.013690359,0.000051594,0.001735353,0.012289587,0.200416654,0.000607692,0.000309018,0.000118493,0.000172211,0.000928265,0.000489008,0.581883788,0.641578913,0.000075361,0.005437658,0.101776749,0.086374477,0.039413601,0.008902059,0.097772442,0.125743091,0.012185268,0.001290539,0.000386705,0.001743523,0.000000385,0.000000821
0.000005623,0.048722737,0.058386099,0.023064312,0.038396034,0.013777133,0.000148337,0.000000227,0.000000206,0.166286662,0.280732900,0.127176121,0.158329695,0.008894550,0.295016110,0.299701273,0.012735394,0.089193426,0.064338662,0.587411582,0.300134301,0.005332481,0.001579217,0.000110160,0.000520012,0.022456501,0.000064925,0.002594941,0.012952779,0.139162049,0.000522153,0.000307021,0.000181937,0.000224825,0.001319847,0.000875325,0.562326431,0.618567705,0.000084728,0.003527160,0.128445491,0.117204562,0.028503072,0.011473940,0.132884845,0.173349857,0.006631355,0.001542784,0.000523341,0.002072900,0.000000351,0.000001190
0.000004105,0.085734330,0.140450045,0.016560871,0.021940487,0.005264944,0.000064210,0.000000166,0.000000211,0.163923055,0.232626110,0.114974715,0.144121468,0.019484555,0.160954013,0.170877323,0.030742008,0.103642792,0.078067981,0.598905325,0.331336528,0.005943872,0.001971527,0.000066237,0.000297240,0.011257776,0.000073913,0.001898935,0.016764984,0.159049749,0.000421147,0.000255524,0.000086407,0.000027117,0.000380867,0.000233567,0.624142528,0.554848790,0.000081248,0.063869394,0.083571970,0.082043126,0.043071009,0.006098025,0.073455587,0.086110376,0.008766006,0.001339385,0.000153515,0.000491459,0.000000428,0.000000939
0.000008581,0.049208023,0.078150578,0.014864327,0.033225302,0.009962855,0.000215189,0.000000441,0.000000280,0.103878766,0.212884098,0.073706836,0.100183524,0.014577798,0.218466669,0.233246580,0.016782554,0.149031550,0.115556195,0.667392790,0.387046754,0.007667387,0.002603660,0.000170121,0.000450879,0.052264560,0.000248457,0.004838797,0.010326799,0.108740032,0.000343043,0.000230392,0.000563824,0.000108783,0.003551405,0.002970743,0.403474092,0.565056682,0.000130026,0.006526699,0.074109308,0.096430175,0.018798659,0.013422342,0.173586816,0.291952699,0.003247614,0.003386144,0.001520569,0.006875818,0.000000389,0.000001847
0.000006081,0.054522458,0.071887620,0.017402437,0.029323496,0.009732593,0.000263021,0.000000217,0.000000293,0.150229797,0.234134644,0.118592657,0.146080941,0.020706287,0.171752453,0.186227009,0.021449719,0.099269718,0.074259907,0.665433347,0.308231443,0.006115682,0.001719322,0.000282750,0.001035932,0.092967607,0.000273441,0.007319666,0.050710432,0.110212207,0.000011607,0.000011740,0.001926013,0.000332844,0.006657014,0.008410829,0.457978308,0.461675227,0.000361850,0.003593944,0.057759229,0.198922560,0.004303472,0.009007590,0.107175931,0.147136793,0.000401062,0.001054732,0.002021512,0.004363092,0.000000445,0.000001373
0.000016400,0.066155069,0.065795720,0.008115737,0.031641014,0.015398329,0.000452093,0.000000622,0.000000460,0.122953169,0.263769865,0.068203673,0.088885576,0.009662339,0.292221993,0.296315789,0.013679037,0.167365327,0.127358377,0.662030339,0.431026787,0.006581124,0.001535922,0.000248642,0.000579555,0.104104742,0.000514526,0.006024421,0.004668746,0.011999915,0.000412540,0.000307141,0.001269920,0.000264511,0.006302028,0.008318165,0.225702077,0.227628440,0.000230078,0.001428228,0.072533317,0.225667790,0.014513398,0.024296587,0.553455710,0.636494994,0.005364016,0.010865879,0.014356821,0.039226554,0.000000352,0.000003054
0.000009413,0.088134788,0.170997009,0.006646872,0.018796761,0.005095268,0.000062550,0.000000193,0.000000307,0.139530137,0.322039306,0.130193040,0.167643994,0.006401403,0.370875865,0.378626019,0.009240134,0.101287313,0.062382136,0.633857012,0.350733429,0.006464653,0.001181820,0.000046398,0.000249490,0.010688826,0.000043348,0.003433124,0.008892985,0.024565948,0.002777164,0.002760579,0.000068954,0.000165175,0.000121761,0.000118950,0.393837780,0.365825266,0.000117453,0.003639091,0.058997210,0.024764199,0.166052476,0.017605212,0.159536272,0.196725264,0.010858539,0.021951053,0.001083808,0.002972591,0.000000392,0.000001389
0.000009207,0.304936290,0.411511302,0.000951722,0.005838710,0.001948999,0.000056372,0.000000153,0.000000356,0.158721983,0.272494733,0.240897998,0.254788280,0.006436516,0.318071574,0.301720649,0.015525381,0.050807584,0.031603523,0.468382210,0.294492096,0.005925983,0.001418784,0.000050759,0.000163464,0.009480320,0.000058445,0.003470827,0.011963201,0.029082906,0.005287630,0.006325591,0.000054653,0.000250139,0.000115906,0.000094654,0.312764943,0.417883724,0.000114573,0.001511520,0.076636188,0.017116005,0.193052351,0.015178225,0.093208469,0.149385631,0.009869358,0.038278859,0.000619806,0.001714503,0.000000272,0.000001640
0.000002388,0.197127759,0.327667892,0.001897904,0.008626861,0.002094518,0.000019848,0.000000075,0.000000138,0.206528172,0.266156524,0.283043295,0.261553198,0.014150910,0.227955699,0.226649374,0.016459033,0.037222173,0.031029698,0.364114106,0.373489380,0.003829923,0.001069219,0.000054132,0.000170481,0.004136368,0.000035837,0.001688276,0.006574780,0.028959254,0.001450665,0.001793059,0.000109739,0.000777792,0.000190966,0.000127807,0.136895761,0.395936668,0.000455845,0.000502426,0.023267984,0.004309132,0.056453053,0.008044773,0.025632234,0.058878090,0.003355663,0.016843989,0.000332529,0.001064494,0.000000374,0.000000577
0.000003884,0.348954648,0.303030103,0.002322522,0.003714387,0.002562562,0.000024876,0.000000097,0.000000243,0.240430877,0.286441982,0.302373797,0.289608866,0.026303576,0.157753915,0.144935206,0.029409558,0.034141745,0.030529082,0.380707562,0.405795068,0.002873737,0.001079920,0.000049052,0.000450731,0.003444481,0.000008740,0.001212825,0.009352314,0.013649405,0.013652802,0.015998717,0.000043469,0.002239699,0.000103998,0.000086300,0.204383850,0.333497822,0.000147320,0.000069249,0.034833834,0.005030674,0.159806520,0.010513104,0.090223864,0.118450820,0.024140587,0.053457156,0.000703508,0.001559064,0.000000274,0.000000988
0.000002325,0.314684808,0.352776170,0.002302788,0.004003593,0.001717474,0.000017980,0.000000062,0.000000170,0.293207377,0.279193759,0.270406008,0.240721032,0.040958758,0.127665520,0.117115073,0.031481646,0.039790053,0.041691761,0.375724852,0.449435502,0.002210576,0.000953035,0.000037252,0.000596273,0.005033566,0.000009697,0.002023593,0.007373371,0.024963617,0.008731361,0.009687493,0.000035700,0.006018639,0.000129910,0.000076511,0.141938046,0.469760686,0.000139593,0.000023892,0.053077515,0.008254603,0.119324028,0.004789798,0.027481897,0.047808018,0.011129830,0.022100419,0.000160035,0.000416389,0.000000168,0.000000593
0.000002771,0.267493725,0.234380826,0.003234280,0.006277670,0.003999801,0.000018245,0.000000079,0.000000177,0.286607087,0.246380314,0.273943365,0.238324150,0.038165864,0.124864876,0.113256164,0.033382159,0.040516712,0.041250799,0.409860671,0.438473016,0.002305589,0.001187471,0.000029356,0.000543036,0.007155803,0.000013815,0.003209095,0.008184247,0.018421872,0.004619082,0.006465664,0.000049886,0.005339879,0.000125388,0.000082844,0.113695875,0.361945301,0.000288239,0.000034519,0.068162791,0.008385650,0.159720287,0.006735163,0.011780229,0.020400193,0.004375418,0.017510548,0.000251699,0.000544085,0.000000162,0.000000634
