_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001928,0.000158668,0.000105208,0.796258271,0.402881920,0.306497067,0.000404076,0.000002793,0.000001686,0.098111987,0.060680177,0.474194527,0.445082754,0.017370731,0.185636178,0.166303411,0.021412499,0.016826041,0.015479722,0.345960885,0.226299480,0.011492197,0.015610869,0.001513417,0.001361783,0.107028253,0.000244352,0.003308912,0.006322393,0.014763613,0.004057036,0.003662524,0.001987941,0.000136892,0.052143537,0.070142090,0.114532426,0.124214076,0.000288621,0.001723711,0.010571032,0.060952742,0.000933391,0.012318806,0.112065457,0.114757076,0.075737372,0.060694966,0.018738387,0.041434452,0.000003011,0.000004273
0.000002071,0.000154290,0.000099900,0.787930965,0.404910088,0.296785295,0.000363050,0.000002602,0.000001707,0.102701798,0.047367956,0.480475694,0.451288909,0.016232222,0.200875103,0.183365703,0.018293653,0.016337154,0.015021081,0.327803880,0.172549367,0.010971776,0.018965209,0.001251165,0.001214647,0.104142927,0.000278735,0.004245635,0.006174956,0.016111586,0.004582391,0.004124292,0.001657409,0.000185434,0.035433490,0.045564551,0.130263910,0.166140527,0.000215591,0.001209125,0.014590556,0.077488348,0.001217169,0.011418049,0.107475892,0.117116354,0.069765881,0.056459736,0.009682979,0.022336390,0.000002352,0.000003875
0.000002284,0.000413381,0.000488328,0.621476054,0.347053289,0.180293873,0.000361351,0.000002456,0.000002056,0.141994327,0.069390178,0.525653124,0.506371737,0.010174418,0.271040410,0.249535114,0.013012514,0.011678053,0.011292403,0.254787892,0.202203631,0.006851508,0.012927772,0.001389154,0.001004474,0.094961412,0.000346160,0.003264837,0.009588921,0.011039087,0.002567063,0.002257033,0.002221787,0.000131302,0.035416629,0.055089395,0.156110644,0.098105222,0.000305964,0.002165103,0.010319287,0.078856573,0.000981972,0.017132081,0.194487959,0.168970734,0.094124317,0.066963166,0.022898572,0.042145044,0.000003405,0.000005001
0.000002154,0.001301941,0.001299857,0.492718339,0.209450573,0.114335768,0.000314436,0.000001950,0.000001492,0.167662412,0.109957412,0.567498922,0.550550938,0.010695200,0.236515671,0.210699633,0.018602079,0.009809191,0.008647239,0.267767727,0.249829575,0.004874929,0.007832798,0.001252345,0.001522492,0.097416282,0.000244867,0.003924734,0.007667304,0.014634699,0.001354066,0.001063890,0.002536298,0.000143113,0.031413447,0.042412695,0.149451286,0.128870413,0.000299943,0.002067013,0.010946435,0.075620845,0.000920040,0.015384247,0.216636509,0.206394151,0.067023538,0.044536255,0.013348621,0.025396287,0.000002315,0.000005434
0.000002594,0.001411084,0.001216201,0.502337098,0.217088550,0.130243570,0.000420750,0.000001869,0.000001759,0.121778332,0.078224666,0.490215480,0.462351114,0.010200632,0.263839781,0.242095500,0.013834654,0.014059568,0.012968132,0.297969282,0.292353481,0.007066561,0.012011447,0.001452164,0.001058409,0.115015954,0.000516347,0.003631919,0.012983885,0.021185311,0.000841578,0.000723726,0.001699247,0.000106938,0.060661301,0.087815769,0.225155413,0.211076036,0.000163470,0.002698579,0.012487558,0.128274009,0.000843573,0.012505942,0.210260019,0.219961077,0.038437828,0.049885537,0.011644974,0.022046186,0.000002455,0.000006467
0.000002858,0.004665368,0.005160084,0.388820320,0.095439084,0.057834253,0.000400541,0.000001857,0.000001657,0.136935309,0.090223894,0.474819809,0.444194019,0.008846460,0.258033007,0.226796776,0.018782655,0.015475660,0.013020378,0.314073235,0.259130269,0.006167249,0.008958794,0.001635519,0.000907687,0.101084128,0.000462934,0.003005273,0.009684040,0.012938200,0.000999401,0.000811638,0.002658610,0.000239999,0.050979339,0.071412146,0.140304297,0.119717561,0.000387716,0.001032393,0.011048476,0.084766611,0.000722377,0.016018389,0.319467515,0.308076501,0.079930343,0.073868111,0.015965465,0.033141375,0.000002194,0.000006688
0.000001681,0.001885371,0.001491419,0.485230893,0.138391659,0.127584770,0.000599600,0.000001781,0.000001398,0.095164128,0.067326620,0.253058910,0.253978640,0.008805209,0.286039621,0.259650022,0.014412040,0.040107504,0.033498492,0.462105721,0.278552979,0.009606898,0.012022339,0.002000917,0.001569027,0.174242631,0.000694092,0.003093253,0.004164776,0.010720305,0.000538543,0.000384433,0.003697639,0.000320885,0.217951849,0.231004089,0.054025646,0.088950664,0.000760836,0.000559005,0.008815211,0.091077045,0.000614509,0.009330583,0.429848552,0.468261898,0.070026718,0.056965847,0.033416066,0.068876833,0.000001686,0.000004235
0.000001361,0.002609316,0.001479835,0.471774787,0.111447483,0.143447638,0.000582988,0.000001369,0.000001103,0.094939269,0.048922941,0.248317063,0.257711053,0.008857696,0.299234629,0.279851824,0.012152750,0.040965743,0.032436851,0.468820840,0.185948610,0.010502310,0.015287803,0.001893266,0.001386493,0.125071526,0.000692299,0.002526694,0.003418627,0.011947750,0.000246036,0.000159929,0.004880941,0.000275102,0.249157339,0.268143713,0.050232008,0.075297192,0.001154501,0.000933845,0.007437576,0.089982912,0.000518432,0.009612910,0.485218525,0.500938594,0.041004084,0.019453811,0.033227909,0.068761200,0.000001780,0.000003506
0.000002037,0.012227180,0.009296424,0.275690466,0.048549779,0.052325685,0.000571328,0.000001351,0.000001162,0.124301754,0.112698898,0.399413973,0.391560912,0.007318620,0.293669343,0.268021643,0.015512807,0.022326685,0.015599031,0.433200449,0.320050985,0.006485890,0.006951519,0.001885427,0.001723349,0.191998035,0.000693562,0.004394847,0.006980536,0.015402625,0.000382110,0.000249735,0.003276081,0.000343262,0.155489445,0.171402678,0.087038942,0.095100202,0.000502546,0.000561545,0.009006751,0.099506401,0.000503817,0.008871279,0.457454324,0.427496463,0.077462494,0.029808722,0.021007789,0.039618392,0.000001412,0.000005747
0.000002729,0.011837052,0.009572975,0.273042828,0.043692261,0.044784874,0.000663098,0.000001644,0.000001583,0.129730240,0.126212806,0.398650706,0.385480851,0.008724947,0.265594542,0.246495962,0.016729807,0.022896094,0.016044589,0.408499062,0.330869406,0.006075018,0.006073256,0.002179885,0.001685946,0.181635767,0.000677346,0.003762187,0.012567297,0.019574350,0.001082248,0.000778113,0.001989401,0.000200071,0.180766687,0.222856715,0.143031329,0.126802251,0.000243634,0.000770038,0.011983853,0.098365992,0.000955702,0.012184660,0.348244667,0.312442482,0.085919239,0.041956477,0.038063403,0.066733755,0.000002013,0.000007412
