_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000003155,0.382852018,0.318516493,0.000564628,0.002618754,0.003519672,0.000087556,0.000000096,0.000000276,0.303195685,0.304094255,0.053099081,0.068246290,0.011833639,0.287567228,0.306562454,0.018814163,0.227261290,0.225897700,0.872251809,0.686486363,0.001762587,0.000983416,0.000192680,0.001430702,0.236181512,0.000439825,0.200442106,0.035066571,0.003966539,0.000058466,0.000119021,0.001234201,0.002164816,0.002613181,0.004941476,0.067635849,0.019618565,0.008768749,0.000199325,0.018971294,0.105608739,0.001641383,0.000305242,0.000597816,0.000350441,0.000280787,0.003410063,0.000022098,0.000011262,0.000000187,0.000000678
0.000002906,0.354188621,0.313831091,0.000940664,0.002560257,0.002857273,0.000074950,0.000000077,0.000000208,0.310559720,0.405333728,0.056003377,0.090195850,0.016470212,0.256680191,0.272355437,0.016527914,0.207836851,0.181284055,0.907530844,0.757407010,0.002116215,0.000445399,0.000105165,0.002615358,0.226993248,0.001215615,0.092723168,0.009048881,0.008177550,0.000019206,0.000042593,0.001977201,0.002628637,0.004581271,0.004967723,0.013599856,0.023916498,0.045848962,0.000331261,0.091810755,0.562738776,0.002724096,0.000431136,0.000015733,0.000015733,0.000018608,0.000772567,0.000017571,0.000011281,0.000000278,0.000000405
0.000002949,0.407558411,0.383137703,0.000522829,0.001491522,0.002031225,0.000119106,0.000000079,0.000000240,0.374977946,0.382260948,0.051557567,0.068307661,0.024364239,0.198659390,0.207536280,0.022419071,0.248754054,0.250096500,0.907952964,0.813674986,0.001589677,0.000450351,0.000168529,0.004354711,0.245596886,0.001018431,0.072140530,0.009179670,0.007156257,0.000038981,0.000078538,0.001337435,0.001757927,0.008932550,0.011284713,0.018984174,0.026325164,0.019684307,0.000283572,0.094427817,0.618288279,0.002206475,0.000396061,0.000031808,0.000029670,0.000042418,0.000923364,0.000025773,0.000017721,0.000000267,0.000000454
0.000003511,0.549211144,0.528110921,0.000270780,0.000910887,0.000960773,0.000105629,0.000000124,0.000000306,0.374257982,0.376271635,0.082881272,0.093921207,0.028314447,0.193963364,0.205404982,0.014943962,0.153596506,0.172651619,0.847376466,0.864832342,0.001103257,0.000448287,0.000171952,0.003596385,0.212624818,0.000679462,0.047120132,0.013219325,0.003859801,0.000245897,0.000520786,0.000930158,0.000472440,0.006735861,0.012830582,0.040019058,0.027201982,0.005810761,0.000559551,0.062405191,0.396388084,0.002435460,0.000729985,0.000141440,0.000102111,0.000186906,0.003390737,0.000061117,0.000033928,0.000000299,0.000000771
0.000001610,0.546597660,0.512290299,0.000353310,0.001109480,0.001188785,0.000056454,0.000000063,0.000000198,0.406792462,0.395660460,0.124648422,0.149228126,0.080648519,0.097817585,0.076509669,0.041725468,0.104177453,0.109387971,0.854577065,0.800897360,0.001158232,0.000429593,0.000112678,0.004209521,0.179907948,0.000716750,0.046618622,0.008538322,0.011164005,0.000022311,0.000041634,0.001451055,0.000874429,0.006329011,0.007117606,0.014349831,0.030936316,0.049062017,0.000957521,0.103961609,0.548688173,0.001913598,0.000291262,0.000014496,0.000014808,0.000025979,0.000555883,0.000009115,0.000008780,0.000000227,0.000000295
0.000002789,0.644161761,0.632733881,0.000142283,0.000671387,0.000494650,0.000079940,0.000000102,0.000000279,0.368106693,0.349499285,0.080909528,0.091550998,0.048035949,0.113560967,0.107503310,0.039762426,0.166514471,0.183663607,0.892499089,0.872449934,0.001309227,0.000532182,0.000150065,0.006000248,0.199978665,0.000599090,0.041205730,0.014435669,0.005741290,0.000090879,0.000183943,0.001580505,0.000316159,0.006628274,0.011004683,0.019907249,0.015253628,0.032973912,0.001903880,0.065678410,0.419575632,0.002199427,0.000489473,0.000030423,0.000021790,0.000072191,0.001209072,0.000026104,0.000019153,0.000000319,0.000000595
0.000003353,0.532041907,0.511049271,0.000244341,0.001224560,0.000876169,0.000063210,0.000000163,0.000000251,0.384584904,0.362751633,0.080912068,0.095463641,0.045025118,0.140139297,0.132263660,0.025163572,0.157270670,0.177483380,0.893559873,0.887272954,0.001301432,0.000475020,0.000088831,0.003883619,0.201906130,0.001190948,0.030508032,0.009136401,0.006409719,0.000097508,0.000216857,0.001533372,0.000496032,0.005793984,0.007852117,0.012792583,0.021689544,0.053547017,0.001570424,0.131178513,0.452618212,0.006261506,0.001207482,0.000011584,0.000010406,0.000030929,0.001080220,0.000035600,0.000027973,0.000000376,0.000000561
0.000004188,0.550656199,0.501116872,0.000345990,0.000888324,0.000940229,0.000063586,0.000000215,0.000000310,0.383289456,0.373917907,0.074003689,0.093198799,0.038311046,0.171569228,0.165260956,0.016938485,0.163194552,0.171518177,0.889714539,0.820852160,0.001213146,0.000476517,0.000081546,0.001802278,0.205754980,0.001887485,0.039116535,0.008399039,0.004301930,0.000297460,0.000613126,0.001102568,0.000143713,0.003613549,0.006736899,0.018846132,0.015741298,0.029407883,0.004455282,0.141530782,0.416502267,0.008728022,0.001479645,0.000017120,0.000013451,0.000068434,0.001588574,0.000039001,0.000028170,0.000000404,0.000000642
0.000004995,0.511238098,0.441567451,0.000421850,0.001031717,0.001095491,0.000057273,0.000000197,0.000000291,0.378762215,0.362076640,0.061831053,0.076716706,0.044751655,0.122299135,0.118737996,0.031038720,0.192520976,0.213658571,0.870864928,0.811329007,0.001245506,0.000487651,0.000078035,0.002290548,0.180256471,0.001050222,0.039337840,0.010670558,0.003222141,0.000383555,0.001024455,0.000903997,0.000465066,0.002892999,0.004802329,0.017776949,0.021904845,0.020025471,0.000850499,0.175879613,0.418932855,0.011763278,0.001631240,0.000018290,0.000016553,0.000047548,0.003009392,0.000036269,0.000026423,0.000000317,0.000000767
0.000003484,0.494452029,0.471182019,0.000356386,0.000983373,0.000832800,0.000066680,0.000000153,0.000000299,0.350814730,0.286402196,0.042309854,0.047204494,0.049976751,0.148578018,0.134767264,0.020244870,0.263563901,0.315654159,0.853484273,0.842103243,0.001318632,0.000733352,0.000134135,0.004550451,0.203710765,0.000781135,0.034340378,0.007883067,0.005153271,0.000246002,0.000650417,0.000976214,0.001256872,0.006967638,0.008729046,0.013591422,0.047446527,0.009573409,0.000204673,0.115052193,0.502206206,0.004442373,0.000946061,0.000035578,0.000048817,0.000048983,0.004984027,0.000037056,0.000031175,0.000000307,0.000000736
