_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002304,0.012670035,0.012676670,0.269871920,0.078326494,0.043026935,0.000052095,0.000000591,0.000000135,0.255599231,0.150546283,0.123137087,0.115983322,0.009507400,0.239923194,0.203146860,0.017229958,0.068830654,0.074360445,0.401028007,0.386162549,0.002390950,0.001055462,0.000147962,0.004417327,0.063289560,0.000049999,0.004243166,0.000872254,0.010642370,0.002778237,0.002335212,0.002359812,0.000608670,0.005908537,0.004440467,0.015824851,0.112558320,0.002871530,0.000487661,0.027549386,0.011726926,0.014281800,0.052788559,0.000690301,0.001221391,0.002182652,0.002825817,0.002575137,0.008053564,0.000000732,0.000001202
0.000003127,0.045676090,0.025983216,0.135695502,0.045975547,0.048751961,0.000066043,0.000000647,0.000000160,0.196352214,0.122689813,0.124566101,0.126321778,0.019038614,0.130862400,0.137691170,0.032423224,0.061115764,0.062272601,0.382321328,0.424056530,0.002710423,0.001345500,0.000147945,0.005783034,0.069080703,0.000028850,0.004749958,0.001620664,0.006670027,0.003272558,0.002917171,0.002017224,0.000669059,0.005200122,0.005417866,0.030349106,0.086222962,0.002047149,0.000320670,0.033362526,0.009665725,0.014162802,0.049981125,0.001479538,0.001810374,0.003187038,0.003317060,0.003762782,0.007687248,0.000000550,0.000001881
0.000002186,0.067823775,0.055434413,0.092000328,0.033384860,0.028138775,0.000048645,0.000000345,0.000000123,0.270724237,0.176611423,0.166889817,0.174540505,0.016794620,0.138135791,0.159387887,0.031825583,0.045584992,0.045446847,0.426227599,0.416074693,0.002120741,0.000831091,0.000117796,0.004896648,0.064415745,0.000041903,0.005385217,0.001836654,0.008280344,0.000693879,0.000638743,0.002512471,0.000656181,0.003749380,0.003975490,0.022204125,0.070972331,0.004578523,0.000633968,0.026178608,0.011925873,0.009839143,0.037844114,0.000815401,0.001102957,0.001094146,0.001589586,0.001693242,0.003824912,0.000000473,0.000001208
0.000002299,0.042332463,0.052023143,0.121909320,0.059874523,0.032205518,0.000055322,0.000000613,0.000000133,0.225090429,0.171807185,0.204124257,0.215823635,0.012692603,0.113683738,0.210279211,0.042282034,0.036124367,0.030543659,0.411751658,0.399615288,0.003026720,0.000980362,0.000150254,0.002244832,0.049256142,0.000073471,0.002732516,0.001357262,0.013044496,0.000919658,0.000824348,0.003442330,0.000174803,0.004649526,0.004794136,0.015444712,0.060869608,0.004308125,0.003484025,0.013711196,0.007900498,0.009080385,0.065467335,0.001227173,0.001994865,0.001255057,0.002472063,0.006508933,0.017216591,0.000000871,0.000001905
0.000002953,0.029022880,0.029859960,0.197776839,0.058056321,0.038085129,0.000071551,0.000001640,0.000000281,0.174042270,0.082345188,0.080072239,0.083323695,0.009030258,0.092382960,0.276486635,0.056709744,0.081337072,0.085341811,0.365989447,0.372643590,0.003774928,0.002687993,0.000174182,0.006439405,0.131342769,0.000114552,0.004055164,0.001553874,0.007196619,0.001701032,0.001559602,0.004148120,0.000295295,0.011169339,0.012990241,0.017504480,0.050101057,0.005140377,0.001363455,0.044184506,0.016761780,0.016904892,0.070789285,0.000317817,0.000356383,0.001024071,0.001551519,0.005303983,0.011180894,0.000000831,0.000003068
0.000001699,0.055566892,0.054106284,0.023170490,0.045397729,0.037312411,0.000037230,0.000000212,0.000000102,0.147327557,0.105838150,0.097339578,0.099292114,0.019594148,0.119417660,0.137145415,0.036665961,0.077199735,0.089740828,0.360002726,0.539636433,0.004034709,0.002040285,0.000076465,0.003158876,0.054562196,0.000060186,0.004444185,0.003925694,0.017325137,0.000177546,0.000272608,0.001208219,0.002997359,0.004134154,0.003470164,0.026189782,0.247783616,0.003354130,0.000105145,0.056280676,0.020443657,0.016757654,0.015987281,0.000371721,0.000775598,0.000129548,0.001726029,0.000384021,0.001036263,0.000000257,0.000000757
0.000007490,0.086623758,0.060105763,0.041035201,0.025047645,0.020727584,0.000260484,0.000000750,0.000000346,0.256718040,0.231494024,0.218668967,0.223037377,0.004205768,0.423396170,0.374038756,0.007296762,0.039144661,0.037550837,0.491417885,0.448237300,0.002313074,0.000730883,0.000405873,0.003454039,0.181823343,0.000115682,0.008547951,0.002272637,0.023520777,0.009595036,0.011006965,0.000625305,0.000117880,0.021686696,0.025762018,0.060808785,0.323702067,0.000101172,0.000682305,0.035161372,0.033087119,0.012178089,0.027785400,0.010804359,0.024283018,0.003156706,0.034906823,0.015367961,0.044342142,0.000000738,0.000005107
0.000000932,0.059199262,0.075077243,0.048632469,0.034446921,0.019969262,0.000037455,0.000000216,0.000000083,0.285601169,0.234513208,0.215045974,0.236815929,0.107986800,0.028793311,0.047079980,0.111578144,0.034139372,0.034349512,0.368506700,0.363189250,0.001983493,0.000854089,0.000042277,0.008476253,0.108957037,0.000069478,0.011620500,0.001765059,0.019237578,0.000117461,0.000076863,0.002679132,0.001633519,0.002804667,0.001912190,0.012700929,0.054226894,0.023535023,0.000507105,0.091746226,0.052835181,0.016146336,0.018250860,0.000087492,0.000094608,0.000456728,0.000116006,0.000508978,0.001334886,0.000000187,0.000000322
0.000001035,0.042544391,0.023398867,0.096783124,0.055121094,0.054474752,0.000026655,0.000000164,0.000000044,0.406049609,0.361405939,0.359663337,0.356783390,0.047746386,0.066781871,0.085731775,0.065792441,0.020780187,0.016776277,0.364739507,0.344904870,0.001137204,0.000353567,0.000035534,0.005924935,0.017282899,0.000012223,0.002647164,0.000909065,0.011537033,0.001410208,0.000894354,0.000825203,0.003896347,0.000903845,0.000442838,0.014323601,0.059966657,0.011303562,0.000142228,0.030934850,0.006648049,0.052527536,0.046938300,0.000385191,0.000389626,0.002163783,0.000386266,0.001436601,0.003383013,0.000000438,0.000000403
0.000001231,0.012781996,0.023088835,0.180794448,0.106853649,0.042560045,0.000097273,0.000000580,0.000000156,0.283669055,0.319861740,0.444342822,0.403271616,0.175092712,0.021534927,0.027745549,0.143615440,0.014965238,0.014377888,0.182664171,0.415154368,0.002116864,0.000489852,0.000397133,0.008949696,0.026209008,0.000011315,0.000723794,0.000828284,0.005984788,0.011252124,0.009432765,0.004539306,0.003522677,0.025754424,0.020012436,0.013600304,0.082379788,0.002192090,0.000027290,0.006934949,0.003489698,0.006079856,0.068808578,0.007825213,0.010198744,0.010733365,0.008553625,0.129196033,0.185427129,0.000001679,0.000001995
0.000000939,0.003595018,0.008589647,0.328874737,0.205408841,0.050825376,0.000076134,0.000000419,0.000000110,0.408718765,0.360162556,0.476080000,0.427189678,0.118195958,0.037582055,0.042450398,0.103813991,0.014853327,0.014483393,0.301767647,0.439708233,0.001340219,0.000389255,0.000243576,0.004594053,0.013875877,0.000012522,0.000697674,0.001537314,0.005416276,0.009344520,0.005376899,0.002424322,0.006002014,0.008311757,0.005838572,0.024826247,0.052081250,0.002477369,0.000030584,0.007494128,0.003116553,0.013601014,0.069021381,0.008631797,0.006562010,0.027522445,0.002189698,0.087593682,0.119228914,0.000001307,0.000000866
0.000000654,0.002048679,0.000679168,0.459252566,0.360631377,0.368405849,0.000096951,0.000000629,0.000000135,0.533561945,0.479640305,0.711601496,0.708290339,0.223092541,0.016674034,0.030386981,0.204485416,0.004378845,0.002867298,0.238911524,0.204288214,0.001050528,0.000375548,0.000387645,0.005362986,0.002318964,0.000004640,0.000132158,0.000714072,0.014404586,0.025581371,0.013216657,0.003288988,0.028089261,0.014342556,0.005398944,0.014347479,0.121888377,0.005096379,0.000010190,0.004359412,0.001305085,0.025771698,0.148815945,0.024431270,0.029922688,0.094971679,0.006471900,0.166600704,0.337316304,0.000004042,0.000001073
0.000000697,0.001365928,0.000978095,0.472007513,0.390039772,0.216765970,0.000090032,0.000000516,0.000000204,0.583539963,0.481995314,0.746418953,0.737651408,0.128074035,0.037620269,0.047843423,0.106089965,0.003628804,0.003321542,0.230790958,0.322611094,0.000942717,0.000316482,0.000348335,0.013238627,0.003810039,0.000004249,0.000197442,0.003637640,0.012590004,0.003972064,0.001698347,0.007056391,0.032068711,0.014030903,0.009228564,0.038190708,0.047412530,0.009281149,0.000022023,0.006404327,0.005301023,0.029702157,0.144481525,0.012587361,0.004890539,0.053460896,0.000421213,0.382019848,0.428825289,0.000004194,0.000000760
0.000001690,0.166580006,0.023720698,0.013688061,0.026609490,0.075551353,0.000088932,0.000000369,0.000000216,0.704250813,0.567342222,0.789111853,0.792144656,0.066703074,0.072693206,0.086599313,0.079173453,0.002939246,0.002283539,0.201773837,0.260124087,0.000441542,0.000280573,0.000373673,0.001979831,0.001787522,0.000007331,0.000387851,0.005464369,0.003856596,0.005621814,0.004379894,0.005739489,0.030044504,0.005156303,0.004337600,0.031366337,0.028296079,0.008841047,0.000013599,0.005380601,0.001359692,0.033299834,0.146115050,0.102410272,0.061106130,0.039758656,0.005390672,0.546333075,0.514375389,0.000001989,0.000001222
0.000001535,0.005895169,0.001870505,0.298755407,0.299576193,0.322409451,0.000069818,0.000000692,0.000000235,0.615746617,0.521755457,0.816053212,0.813015401,0.308268458,0.009669613,0.024682170,0.295851350,0.002223481,0.001323033,0.246900961,0.178094640,0.000790853,0.000281893,0.000311926,0.002036715,0.000599279,0.000004123,0.000068201,0.002612823,0.007508662,0.029114310,0.027577698,0.001801391,0.045282319,0.004218773,0.002732210,0.032774791,0.123301052,0.003285616,0.000011017,0.005186126,0.000941735,0.124333873,0.261913598,0.036048878,0.039399661,0.023837520,0.015937762,0.406738311,0.488772094,0.000007445,0.000002053
0.000000765,0.000767563,0.000754188,0.448558599,0.466236711,0.313775659,0.000050404,0.000000422,0.000000174,0.667055607,0.453763574,0.821528792,0.794771910,0.162281826,0.034930151,0.045292526,0.143653467,0.002946066,0.001977714,0.280542821,0.174386427,0.000848877,0.000433448,0.000235612,0.004434776,0.001997446,0.000006530,0.000322258,0.002688301,0.003511508,0.006971489,0.005381837,0.003069782,0.039816443,0.001397031,0.000902704,0.027874466,0.042776231,0.006657165,0.000017202,0.003437773,0.001605398,0.026750229,0.100849234,0.023324877,0.016341299,0.028453441,0.004118070,0.036562357,0.044871211,0.000004420,0.000000983
0.000000614,0.001501045,0.002562887,0.472657800,0.263682991,0.142508432,0.000031459,0.000000174,0.000000091,0.610424936,0.523973346,0.792476177,0.749384761,0.252849221,0.016727878,0.027899733,0.212729335,0.003618241,0.002022319,0.291407198,0.212665707,0.001052501,0.000195363,0.000087986,0.006099654,0.004523705,0.000011330,0.000479071,0.003616242,0.008657116,0.000570998,0.000420374,0.003124624,0.048564974,0.000935582,0.000594052,0.023166649,0.043226808,0.012974317,0.000034294,0.007147809,0.007967756,0.032354318,0.075633720,0.001962718,0.001439323,0.003057991,0.000372829,0.007796411,0.015578111,0.000001981,0.000000377
0.000001829,0.001297036,0.001451587,0.447975069,0.287080526,0.195923910,0.000034510,0.000000336,0.000000319,0.711412668,0.464203596,0.773669779,0.749104142,0.093037754,0.071714580,0.072807170,0.084057368,0.004090866,0.003512091,0.336396456,0.269259334,0.000625475,0.000349225,0.000131482,0.001598731,0.002169700,0.000013273,0.000477753,0.013434459,0.001289365,0.008891792,0.011036005,0.000827339,0.104754247,0.000248578,0.000348367,0.095709242,0.032144900,0.002071638,0.000006438,0.008367473,0.002479598,0.064944528,0.064882122,0.022219647,0.010105574,0.014494266,0.007331516,0.008359750,0.006070438,0.000002862,0.000001005
0.000001338,0.004313418,0.008782296,0.373000592,0.106588520,0.038122345,0.000065703,0.000000222,0.000000145,0.564145565,0.453623980,0.668567896,0.623455048,0.234429002,0.019751186,0.021971984,0.198770747,0.006106412,0.004573402,0.259737581,0.346005529,0.000827019,0.000190952,0.000210715,0.003554499,0.028217301,0.000031222,0.003608971,0.016870819,0.007567427,0.000202354,0.000213833,0.004059725,0.029853294,0.001702551,0.002429098,0.075977750,0.079696886,0.002981960,0.000024907,0.014674503,0.018752394,0.006787649,0.028420970,0.011263466,0.009089004,0.001813976,0.001387653,0.006919620,0.007973890,0.000000711,0.000000663
0.000003113,0.012457587,0.012974513,0.249216825,0.069896936,0.033624656,0.000063779,0.000000432,0.000000225,0.523262441,0.459392160,0.555757046,0.500086427,0.197817251,0.025085820,0.030324103,0.172105774,0.014256473,0.011727086,0.561167181,0.320594758,0.000937045,0.000227515,0.000227423,0.006395904,0.035630018,0.000029398,0.004537479,0.005276167,0.001038264,0.001728534,0.002868786,0.007792001,0.007392993,0.001511318,0.002539620,0.021286448,0.019233698,0.005019318,0.000044020,0.006102485,0.005728273,0.006521198,0.069330141,0.010414735,0.011704633,0.002137887,0.018768143,0.017357029,0.016502585,0.000001277,0.000002089
