_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001313,0.007452823,0.008687697,0.098563708,0.204901621,0.096945472,0.000607242,0.000000200,0.000000320,0.317110956,0.546481133,0.665008664,0.645904183,0.006271284,0.401922584,0.393624842,0.011197908,0.012198045,0.005795728,0.433730632,0.569361925,0.001878965,0.000285997,0.001176326,0.020305110,0.579446495,0.000694663,0.020372247,0.048125956,0.111447953,0.000018395,0.000015589,0.016843041,0.003414990,0.061426818,0.084997296,0.099592619,0.202306494,0.002736062,0.000097732,0.002609184,0.026291650,0.000291117,0.001571211,0.270856410,0.321948320,0.002115326,0.003823067,0.000905894,0.001495350,0.000000752,0.000002263
0.000000745,0.006117248,0.007549199,0.111274272,0.231735393,0.100325271,0.000465670,0.000000187,0.000000378,0.266911656,0.325469226,0.602922440,0.576054633,0.126687407,0.038422294,0.045832049,0.128991902,0.015144328,0.009653618,0.431927323,0.498492628,0.002645261,0.000833171,0.001382218,0.039332144,0.552550435,0.000344255,0.014852552,0.056851223,0.081357293,0.000007218,0.000008266,0.019400848,0.003577254,0.116621740,0.165379837,0.062542364,0.176873296,0.003597185,0.000083506,0.002127185,0.020508161,0.000186312,0.000985422,0.186896652,0.261818528,0.000773964,0.005506921,0.001271922,0.001501095,0.000000736,0.000002357
0.000000748,0.008594248,0.012083134,0.036097068,0.202394038,0.077899061,0.000494516,0.000000150,0.000000675,0.147256210,0.188029557,0.496307820,0.489627719,0.183431730,0.028125649,0.029743018,0.190572396,0.023915831,0.014371681,0.478225321,0.452829719,0.006314137,0.002305897,0.001943023,0.105490565,0.530799687,0.000115996,0.013557015,0.050786339,0.042407613,0.000016644,0.000019109,0.008554783,0.004457571,0.115398906,0.180154771,0.074003018,0.201470926,0.001153177,0.000035604,0.002235629,0.035590023,0.000166835,0.000589930,0.184752703,0.249194652,0.001391180,0.013701354,0.001040468,0.001087930,0.000000733,0.000003357
0.000000616,0.003539024,0.004084616,0.126887292,0.325014293,0.112856783,0.000455927,0.000000230,0.000000612,0.116541333,0.107456274,0.433601946,0.431882411,0.140235752,0.036558967,0.039916880,0.140615270,0.025733154,0.018138714,0.386272371,0.329790473,0.009089197,0.005027391,0.001829280,0.048144527,0.558629513,0.000253183,0.009899228,0.044434089,0.058662329,0.000027600,0.000033857,0.012095229,0.002345264,0.142699704,0.186880752,0.047512095,0.179088563,0.001648139,0.000068902,0.001865021,0.018016119,0.000182300,0.000860225,0.153132468,0.247899726,0.001443721,0.013962798,0.001334142,0.001678331,0.000001044,0.000003382
0.000001027,0.006290623,0.007026132,0.095817633,0.265365690,0.103074245,0.000621461,0.000000443,0.000001044,0.143264741,0.093195759,0.514038622,0.499314338,0.198953331,0.023374647,0.028013408,0.199068859,0.019059060,0.013809813,0.375985175,0.326926529,0.008130222,0.006115062,0.002078030,0.057880156,0.552627385,0.000250480,0.005689111,0.039145164,0.030516334,0.000124310,0.000174443,0.010352967,0.002535072,0.210063770,0.278567672,0.041671548,0.131009400,0.001484817,0.000043064,0.002703348,0.016662225,0.000367547,0.001728447,0.237848222,0.327159226,0.002658935,0.039150558,0.004050706,0.004404723,0.000001467,0.000007432
0.000001019,0.002951545,0.003482171,0.147862673,0.388933986,0.150622219,0.000747361,0.000000552,0.000001418,0.111697927,0.075671487,0.475080758,0.465384871,0.270242333,0.017920934,0.016763814,0.277175337,0.023176249,0.015903519,0.365529776,0.260412037,0.011880099,0.008581618,0.002546085,0.074115522,0.536861300,0.000241132,0.004637043,0.031591073,0.026715066,0.000218436,0.000294160,0.008707707,0.001949467,0.296849310,0.352156371,0.038143795,0.131043106,0.001487653,0.000051973,0.003336448,0.019513857,0.000427780,0.001866040,0.254186392,0.363061965,0.003714423,0.055945750,0.004441062,0.005331948,0.000001935,0.000008634
0.000001095,0.001305561,0.001122076,0.261315793,0.515561521,0.256343096,0.000864085,0.000001188,0.000001658,0.060829021,0.028743019,0.409391165,0.399275333,0.381383568,0.010129604,0.009217779,0.381658792,0.026783744,0.022340415,0.257465363,0.204894111,0.020240072,0.025110463,0.002411570,0.050985269,0.547996700,0.000307888,0.002133408,0.042416975,0.039486136,0.000876048,0.001313340,0.008213635,0.001735176,0.408839613,0.434950560,0.034514509,0.150189593,0.001015604,0.000043258,0.004378259,0.011574047,0.001122408,0.005769047,0.193903446,0.314995617,0.003938317,0.049274541,0.019224795,0.023622189,0.000002341,0.000011142
0.000001055,0.001672120,0.001678500,0.222034305,0.494491279,0.239606366,0.001019850,0.000001407,0.000001885,0.059818018,0.031726029,0.417334944,0.399171680,0.479958892,0.007343779,0.005388786,0.481683850,0.025626685,0.021625146,0.233135849,0.216287017,0.019710606,0.025948506,0.003134415,0.043319322,0.541786671,0.000571313,0.002019667,0.031466790,0.039758280,0.000748904,0.000972041,0.011262495,0.001161834,0.535930157,0.572661519,0.025749156,0.103170194,0.001820872,0.000071824,0.004330305,0.014921096,0.000732891,0.004610114,0.301722348,0.450874120,0.005287811,0.042432830,0.014942495,0.020062761,0.000002279,0.000012278
0.000001081,0.001414702,0.001291696,0.261991292,0.535207987,0.308526009,0.001409614,0.000001279,0.000001815,0.058231093,0.030098090,0.439012676,0.418578506,0.309685051,0.014777380,0.013948972,0.319313467,0.025070870,0.020524256,0.249997094,0.175100654,0.023123268,0.026221843,0.003067026,0.061057143,0.572034955,0.000427576,0.001481366,0.029334830,0.054533940,0.002655270,0.003114310,0.007461488,0.002239364,0.619611561,0.609784424,0.028110089,0.115651071,0.001243982,0.000030546,0.005140755,0.016899006,0.001291253,0.006173932,0.270564377,0.413188726,0.009493264,0.044371117,0.020296833,0.034368947,0.000002772,0.000012916
0.000000824,0.000613075,0.000509664,0.395987242,0.595776200,0.419736534,0.001582734,0.000001337,0.000001797,0.070436098,0.054010384,0.352143168,0.333783805,0.350862294,0.015977621,0.011151600,0.355624050,0.040134117,0.036972217,0.289305449,0.261870086,0.021668462,0.017741615,0.004877831,0.109740525,0.599939227,0.000372958,0.001126267,0.031916469,0.058620531,0.004906886,0.006132762,0.007641823,0.002599507,0.731075287,0.727472961,0.016093018,0.087008119,0.001549797,0.000016101,0.004184002,0.015072643,0.000929459,0.004728773,0.210238174,0.367992520,0.011186673,0.099217035,0.012341998,0.023336748,0.000003554,0.000011421
