_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000263,0.002706059,0.001389944,0.350662053,0.243846789,0.229259372,0.000036373,0.000000229,0.000000197,0.086344719,0.056123983,0.190273449,0.213294372,0.026590452,0.162243381,0.154676214,0.018285472,0.039559934,0.035829954,0.344562113,0.271892518,0.006719236,0.009679368,0.000128050,0.005428135,0.439239830,0.000916682,0.008710548,0.001598392,0.002179897,0.000311409,0.000237902,0.006672618,0.012612525,0.007834425,0.007402268,0.005126215,0.005266780,0.035343863,0.000028363,0.003133927,0.010395754,0.000580081,0.001792908,0.000151109,0.000093591,0.001959213,0.000549592,0.000128868,0.000108718,0.000000904,0.000000354
0.000000398,0.010077607,0.004847613,0.193391219,0.134719416,0.153172642,0.000037435,0.000000185,0.000000240,0.109821029,0.069502302,0.191104293,0.218375668,0.012073903,0.253292471,0.236580625,0.012217319,0.037322484,0.033643257,0.311091274,0.257794201,0.005493667,0.007208307,0.000111108,0.003167583,0.399296045,0.001214470,0.011093101,0.001574415,0.000985527,0.000829083,0.000700802,0.003702627,0.013036381,0.005492745,0.006293897,0.006643913,0.004595082,0.029757967,0.000017901,0.005290975,0.014304210,0.000939843,0.001374256,0.000086060,0.000046307,0.002442038,0.000700820,0.000100507,0.000076493,0.000000853,0.000000475
0.000000431,0.022700313,0.010803741,0.151536927,0.075485639,0.098099284,0.000026550,0.000000162,0.000000287,0.105975419,0.063791022,0.288909078,0.308182985,0.009971870,0.273322165,0.247609913,0.012243051,0.022708215,0.021438921,0.233243272,0.250099689,0.005577814,0.008956132,0.000073476,0.002633214,0.371646971,0.001613203,0.018362619,0.001699369,0.000928847,0.000340772,0.000315334,0.003049190,0.005020324,0.002452528,0.003381043,0.007594325,0.003484131,0.069028012,0.000088968,0.008185936,0.023707848,0.001475529,0.001022056,0.000031961,0.000016086,0.001035923,0.000386246,0.000045859,0.000033271,0.000000696,0.000000402
0.000000479,0.011377699,0.005825776,0.186061636,0.112931289,0.126394659,0.000024692,0.000000210,0.000000305,0.095451929,0.055871475,0.281314254,0.294943154,0.011480128,0.272916675,0.254020900,0.010463530,0.023468303,0.023000047,0.229485691,0.259660274,0.006126799,0.009964064,0.000062333,0.002702108,0.375935644,0.001638390,0.015833132,0.001511577,0.000817947,0.000593988,0.000615061,0.002463244,0.005528562,0.002292742,0.003076623,0.007166269,0.004084697,0.053574413,0.000071628,0.009421908,0.022084750,0.002364509,0.001721755,0.000030919,0.000016812,0.000906306,0.000573797,0.000064879,0.000048797,0.000000815,0.000000445
0.000000470,0.016940225,0.007800108,0.187420860,0.075871006,0.101955444,0.000025197,0.000000192,0.000000315,0.106246173,0.071606681,0.268853575,0.291456312,0.009380654,0.297218531,0.275275081,0.009935664,0.024979871,0.023495058,0.241812959,0.251053840,0.005879976,0.008268481,0.000064517,0.002389244,0.384343803,0.002237280,0.014832625,0.002330093,0.000589182,0.000416013,0.000418403,0.003229452,0.004427338,0.002003102,0.003431697,0.008197077,0.002179509,0.085226573,0.000105768,0.008642678,0.025760420,0.001813711,0.001412378,0.000023982,0.000009743,0.000939485,0.000374902,0.000055360,0.000033424,0.000000934,0.000000419
0.000000432,0.016849020,0.008193476,0.164178446,0.091317527,0.111791849,0.000024308,0.000000179,0.000000288,0.103324756,0.067539550,0.312100947,0.327063024,0.009977088,0.289044559,0.270480037,0.010187048,0.020972436,0.018968549,0.241777256,0.243130267,0.006111011,0.008631506,0.000060776,0.002178758,0.367961287,0.002335176,0.016049232,0.002070916,0.000776849,0.000296136,0.000298660,0.003149681,0.004724239,0.002055748,0.003210143,0.007084484,0.002595760,0.098352395,0.000110763,0.010451146,0.027881427,0.001921537,0.001318279,0.000018775,0.000008681,0.000656515,0.000323869,0.000048893,0.000032285,0.000000819,0.000000374
0.000000522,0.032544103,0.017023502,0.124376915,0.051883250,0.068073243,0.000023901,0.000000181,0.000000321,0.136112213,0.103612565,0.295844585,0.317414790,0.009863115,0.268741578,0.251386672,0.013574894,0.023895310,0.021114368,0.282384485,0.311344653,0.004826853,0.005997498,0.000057358,0.002108635,0.403537005,0.003615519,0.015881741,0.002478385,0.000680533,0.000365414,0.000451425,0.002663322,0.003624958,0.002096514,0.003656322,0.005814883,0.002465572,0.134905457,0.000138987,0.015118860,0.038830455,0.002554199,0.000990175,0.000007526,0.000003761,0.000282187,0.000399632,0.000028406,0.000016195,0.000000915,0.000000493
0.000000337,0.035013195,0.019388668,0.102142937,0.055743624,0.074864678,0.000027907,0.000000118,0.000000273,0.140692487,0.104628339,0.309472650,0.328136027,0.010576410,0.265882581,0.252013594,0.013498377,0.022861224,0.020389998,0.272148520,0.309943616,0.004536960,0.006500942,0.000067498,0.003494211,0.383152157,0.002419993,0.022548787,0.001896488,0.001474147,0.000223531,0.000183666,0.001762179,0.004973097,0.002671716,0.003914268,0.006160852,0.003020306,0.124383628,0.000114429,0.017493378,0.072253436,0.001606823,0.000392440,0.000006713,0.000002883,0.000533749,0.000146461,0.000011481,0.000007412,0.000000664,0.000000310
0.000000356,0.034005117,0.018517567,0.102535523,0.052698124,0.071738631,0.000022711,0.000000101,0.000000263,0.134674311,0.108620726,0.300454170,0.321803242,0.007345611,0.336654186,0.331706107,0.008516640,0.024221124,0.018475017,0.316873312,0.285827011,0.005125400,0.005305858,0.000062069,0.003612126,0.401408583,0.002580249,0.016981656,0.003459923,0.001394098,0.000065594,0.000074710,0.003606503,0.013832150,0.002131046,0.003488693,0.004025499,0.002418199,0.239643872,0.000062158,0.017673545,0.072972156,0.001561710,0.000568124,0.000004224,0.000002057,0.000112932,0.000139679,0.000015519,0.000008751,0.000000727,0.000000266
0.000000377,0.031980246,0.015092454,0.127093837,0.043494705,0.076601990,0.000039528,0.000000150,0.000000256,0.159620449,0.107515238,0.265784264,0.294648737,0.006801225,0.350142509,0.334285766,0.008722216,0.028585369,0.022560231,0.338741630,0.290415347,0.004345622,0.005251782,0.000089423,0.003645220,0.451947659,0.003350668,0.010919153,0.001949731,0.003029374,0.000574830,0.000466119,0.001403456,0.008273917,0.006585814,0.007580297,0.005361376,0.007382929,0.053302478,0.000039310,0.018831672,0.059938475,0.001902585,0.000686237,0.000010325,0.000006228,0.000530268,0.000278753,0.000016437,0.000013162,0.000000818,0.000000445
