_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000844,0.088562801,0.069709711,0.054865912,0.009998314,0.012202343,0.000117091,0.000000314,0.000000158,0.128429696,0.075033352,0.048661467,0.056456979,0.085583374,0.033887286,0.057811677,0.107453078,0.167091772,0.155674949,0.436756492,0.340927869,0.005897023,0.003989314,0.000742433,0.004011901,0.205133602,0.000091102,0.004532375,0.019980200,0.008785040,0.000012077,0.000014358,0.083755523,0.002609664,0.045764614,0.063070312,0.016906066,0.018335665,0.021700479,0.000252998,0.001489728,0.005030849,0.000201439,0.011253758,0.010612413,0.011974867,0.000830070,0.001440521,0.040542386,0.048204884,0.000000756,0.000001075
0.000000837,0.063564740,0.046548590,0.074419066,0.014955493,0.018675340,0.000117995,0.000000358,0.000000162,0.127476603,0.085015774,0.044083115,0.052099038,0.101025224,0.024984686,0.053470835,0.144787803,0.182613984,0.163959384,0.440937310,0.359561324,0.005802178,0.003590704,0.000855311,0.004040055,0.168495268,0.000077388,0.003405602,0.019325236,0.007576603,0.000014804,0.000017571,0.090431355,0.003507584,0.053994238,0.076406330,0.017490609,0.019547060,0.022270449,0.000170368,0.001445982,0.004056549,0.000199149,0.011420487,0.011771575,0.012781532,0.000890474,0.001654155,0.046089847,0.051289756,0.000000895,0.000001214
0.000000858,0.061734226,0.045658115,0.082530946,0.015277066,0.018687924,0.000119497,0.000000371,0.000000157,0.125771463,0.083660059,0.042275235,0.049313072,0.099001668,0.025511907,0.054292556,0.142283767,0.189384341,0.170316771,0.441933751,0.362947702,0.005834101,0.003609576,0.000841942,0.003331696,0.168504536,0.000089950,0.003469313,0.018580949,0.008214757,0.000014550,0.000017098,0.083957136,0.003129549,0.053466689,0.074150875,0.017630383,0.021695409,0.019804349,0.000193421,0.001435646,0.004008180,0.000204844,0.011642390,0.012976699,0.015060047,0.000902639,0.001758505,0.049475159,0.056319226,0.000000879,0.000001204
0.000001251,0.068376005,0.044986129,0.097137295,0.013702567,0.019289315,0.000119563,0.000000456,0.000000222,0.128777876,0.089487866,0.047982633,0.056388766,0.132179275,0.020450246,0.040953085,0.159986913,0.165345639,0.150681466,0.431686521,0.347740948,0.005217921,0.003160706,0.000777779,0.003903783,0.126094744,0.000061936,0.002489734,0.019917164,0.003925567,0.000056515,0.000074535,0.047475722,0.003943101,0.054085691,0.085969038,0.026561687,0.022717183,0.012103094,0.000096105,0.002688371,0.003924794,0.000487460,0.018300351,0.009944735,0.009379005,0.001080007,0.002983506,0.069824845,0.066624895,0.000001105,0.000001745
0.000001120,0.078004465,0.051570859,0.103945784,0.010156357,0.014218295,0.000112832,0.000000405,0.000000182,0.148924515,0.105124377,0.069226272,0.083703190,0.099018276,0.024743006,0.051676746,0.140902176,0.115964822,0.099229224,0.427597493,0.311136067,0.004562084,0.002669388,0.000598070,0.004791046,0.130185857,0.000044446,0.003319323,0.014442259,0.006781980,0.000063322,0.000075529,0.033066586,0.003549059,0.045083448,0.057537578,0.024981143,0.032176089,0.010893162,0.000124032,0.004755046,0.005577807,0.000811051,0.018774826,0.006271070,0.006537264,0.000855227,0.001659486,0.059920650,0.064779259,0.000000809,0.000001569
0.000000715,0.048230957,0.040772971,0.142053157,0.015578090,0.017278779,0.000078559,0.000000294,0.000000163,0.141470507,0.078601889,0.104507998,0.121127553,0.050519060,0.054021481,0.084925331,0.079152942,0.083243117,0.071118429,0.396851450,0.285547286,0.006008182,0.004399525,0.000505490,0.004236396,0.161391988,0.000084751,0.004274245,0.023106661,0.009743822,0.000007271,0.000009634,0.108003929,0.005115778,0.032797795,0.042817958,0.013392634,0.016109809,0.065937348,0.000211938,0.003538745,0.006288323,0.000444725,0.012706515,0.002475384,0.002724056,0.000252207,0.000560852,0.035926271,0.039568674,0.000000705,0.000000857
0.000000698,0.046866663,0.034118749,0.146644861,0.015864244,0.019728800,0.000083166,0.000000276,0.000000134,0.146269515,0.108169019,0.093486011,0.114139386,0.067704722,0.040349059,0.068308845,0.098734707,0.091731057,0.074616507,0.419079989,0.308322906,0.005452837,0.002953033,0.000499728,0.003992860,0.143635720,0.000071362,0.003894072,0.018290484,0.011382731,0.000008940,0.000011327,0.079922363,0.004658684,0.035799615,0.042963453,0.013771323,0.022381591,0.042894367,0.000204076,0.003744606,0.006670088,0.000465811,0.012999598,0.002872776,0.003538224,0.000268949,0.000639456,0.035885744,0.043275256,0.000000699,0.000000822
0.000000677,0.039087385,0.028148741,0.161546037,0.019710707,0.022195114,0.000065246,0.000000325,0.000000149,0.155027539,0.088590972,0.121238254,0.139484465,0.051531374,0.054491729,0.083209224,0.077585265,0.072730601,0.062205750,0.372618198,0.287836522,0.005371641,0.004054184,0.000410432,0.003617360,0.154523730,0.000107138,0.003484805,0.019278834,0.006705856,0.000010075,0.000013732,0.112192281,0.005611614,0.028162682,0.037960410,0.009927093,0.011199319,0.091125488,0.000179997,0.003921076,0.005739696,0.000641629,0.016633233,0.001672491,0.001725517,0.000234957,0.000536939,0.047542356,0.051299080,0.000000757,0.000000772
0.000000500,0.038454928,0.031976938,0.168018103,0.020226490,0.019800860,0.000042389,0.000000240,0.000000112,0.180397704,0.123612627,0.148042649,0.173176944,0.053374220,0.051175199,0.083325848,0.084762782,0.059077937,0.050939478,0.360358983,0.315738887,0.004807959,0.003042991,0.000286671,0.004331042,0.136692375,0.000108660,0.003819602,0.014150823,0.009513764,0.000003991,0.000004966,0.165641516,0.005682568,0.017142972,0.018275142,0.005931002,0.009193480,0.180810466,0.000311499,0.003514104,0.009310075,0.000471733,0.012732379,0.000745015,0.000838176,0.000150644,0.000244059,0.018438641,0.025229232,0.000000616,0.000000505
0.000000253,0.021588316,0.016521070,0.177450195,0.057876777,0.046179239,0.000005690,0.000000119,0.000000053,0.158051357,0.133195966,0.131958604,0.162587538,0.056977402,0.037101883,0.085159421,0.121221289,0.066181906,0.057633046,0.376534641,0.306262016,0.005781000,0.003569944,0.000043850,0.002449080,0.009675073,0.000051928,0.001644002,0.002230696,0.003079027,0.000010773,0.000012221,0.036082480,0.009301365,0.000893929,0.000528108,0.001182289,0.004153024,0.804449558,0.000522684,0.004172332,0.003354261,0.003394856,0.008056426,0.000026101,0.000029294,0.000078087,0.000151603,0.000287584,0.000545876,0.000000897,0.000000152
