_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000003997,0.605832696,0.638544917,0.000018817,0.003183006,0.003362027,0.000126876,0.000000227,0.000001101,0.037909657,0.015873173,0.098772898,0.114273436,0.002873476,0.388898492,0.401753604,0.015526422,0.092016019,0.068345949,0.534528255,0.090002894,0.022101920,0.015439899,0.000296607,0.001892034,0.228716299,0.000759419,0.020056995,0.005043761,0.001834905,0.000431071,0.000599169,0.012556409,0.007413996,0.004253116,0.006282318,0.011219159,0.009629209,0.023282891,0.000058254,0.007917591,0.010996138,0.001884573,0.019529730,0.001039570,0.000985303,0.001301303,0.005001554,0.001679581,0.002036253,0.000000453,0.000001330
0.000004103,0.571983576,0.636438370,0.000030395,0.003461844,0.003185454,0.000153351,0.000000163,0.000001030,0.035626411,0.012088512,0.073555142,0.084315516,0.002092163,0.455517858,0.436861455,0.011943586,0.114095531,0.089260899,0.520667315,0.084409177,0.022136724,0.017324291,0.000294864,0.002706645,0.227771237,0.000435867,0.024194885,0.007034334,0.001747326,0.000340732,0.000415793,0.009695855,0.013532626,0.003368187,0.005024358,0.017737903,0.010184973,0.014013182,0.000032627,0.006537818,0.013176771,0.001567746,0.014314481,0.001833807,0.001296910,0.002145604,0.002848746,0.001478459,0.001495516,0.000000409,0.000001223
0.000004106,0.675614655,0.704412222,0.000024026,0.001853664,0.002379431,0.000175619,0.000000165,0.000001067,0.046756785,0.018803516,0.115749501,0.134053037,0.001883161,0.444361687,0.463980228,0.012497347,0.072227538,0.053164151,0.551460028,0.099077284,0.018093102,0.012214224,0.000366641,0.002832003,0.261462241,0.000536980,0.021073354,0.012831569,0.001902538,0.000170737,0.000236251,0.013076210,0.012623487,0.003968229,0.007620997,0.022364208,0.010575103,0.014708871,0.000037429,0.005434020,0.013203324,0.001372679,0.014889549,0.002233723,0.001574920,0.001316096,0.003107850,0.002620692,0.002377433,0.000000440,0.000001367
0.000003813,0.598667502,0.651008129,0.000033582,0.002288771,0.002927748,0.000196917,0.000000160,0.000000910,0.050354406,0.019096695,0.073205717,0.089748353,0.002599229,0.397797853,0.412363410,0.014040332,0.112079516,0.083503105,0.606535912,0.111159161,0.017576346,0.010596799,0.000431812,0.001695206,0.260164946,0.000792219,0.017025353,0.013608387,0.002125327,0.000122969,0.000160927,0.012970489,0.009475489,0.006604441,0.013476121,0.024195753,0.010465852,0.010846688,0.000046549,0.004535681,0.012162176,0.000946339,0.013612113,0.003148051,0.002301813,0.001395108,0.002986495,0.003474490,0.003597605,0.000000487,0.000001229
0.000005551,0.732544303,0.755467176,0.000014571,0.001062993,0.001708401,0.000189179,0.000000205,0.000001197,0.056157593,0.033934496,0.129426673,0.156147152,0.002274670,0.404787660,0.423348248,0.014066683,0.065416992,0.045396715,0.604587913,0.142251283,0.015491062,0.007336493,0.000371922,0.001788270,0.253305912,0.001143980,0.018106679,0.014652890,0.001489165,0.000419087,0.000610556,0.007483297,0.009456886,0.005014225,0.014071232,0.028967226,0.010413611,0.011890671,0.000037603,0.012304975,0.019966535,0.003030214,0.016287481,0.000914293,0.000586927,0.000847761,0.003386410,0.002410127,0.002104135,0.000000483,0.000001666
0.000005392,0.723457575,0.751288176,0.000012919,0.001341135,0.001653397,0.000297111,0.000000281,0.000000969,0.079356626,0.046140648,0.111374602,0.131933197,0.002194922,0.320662916,0.440159768,0.018860346,0.068475790,0.046982273,0.516727984,0.154868022,0.009730392,0.005507874,0.000536770,0.001745283,0.293855160,0.000910316,0.012099531,0.015803745,0.004406562,0.000695899,0.000881361,0.004901497,0.004360216,0.012637573,0.028577602,0.050562952,0.032077271,0.003359226,0.000050869,0.011747580,0.010812720,0.003840137,0.022919200,0.004049481,0.003368534,0.001607158,0.005158133,0.008065466,0.008915086,0.000000508,0.000002258
0.000009545,0.593995869,0.655544877,0.000016979,0.002199453,0.002219005,0.000193200,0.000000533,0.000001241,0.128066525,0.104082547,0.074913457,0.086200245,0.003795678,0.344577938,0.346930802,0.016774012,0.126096308,0.105228849,0.629743755,0.369914740,0.005039874,0.003225541,0.000351038,0.001462641,0.240072057,0.000798935,0.014580475,0.007041935,0.001529046,0.012175531,0.021234065,0.001898661,0.003147294,0.008500308,0.020683168,0.021863602,0.018092643,0.004217892,0.000028442,0.033871494,0.011595204,0.012410254,0.027834466,0.001013144,0.001000246,0.001614114,0.032918338,0.004467258,0.004700348,0.000000560,0.000003629
0.000010263,0.680805564,0.718710542,0.000013918,0.001223972,0.001703741,0.000113891,0.000000504,0.000001276,0.148701504,0.106848322,0.123308547,0.145118296,0.003297179,0.420596033,0.396188289,0.010053124,0.073765129,0.064002290,0.574023008,0.373596340,0.003838051,0.003563425,0.000175338,0.000765862,0.167747706,0.001141906,0.015972659,0.006430362,0.003715609,0.004386497,0.007933782,0.000802248,0.001197053,0.003962415,0.009532578,0.031163253,0.036481302,0.004758999,0.000152404,0.172964975,0.042380083,0.050586987,0.031406362,0.000258172,0.000296986,0.000371003,0.017355191,0.001172141,0.001422424,0.000000319,0.000002081
0.000005311,0.589947343,0.653480947,0.000051816,0.003676655,0.002489376,0.000226882,0.000000225,0.000000717,0.201320052,0.130972207,0.253733724,0.261507332,0.002670797,0.406547278,0.390934378,0.013563666,0.029407911,0.023356197,0.395126700,0.401206315,0.002714721,0.002220567,0.000349989,0.000853485,0.135045111,0.000514208,0.010992088,0.017658245,0.004936084,0.000939682,0.000897563,0.000793743,0.003006371,0.004192836,0.012019660,0.122772060,0.044145454,0.000681636,0.000066869,0.038034394,0.028603449,0.007856399,0.020420676,0.008025436,0.004675336,0.003383103,0.002825751,0.003685635,0.004383379,0.000000271,0.000001656
0.000002253,0.238512516,0.507488012,0.000063731,0.013751598,0.004096768,0.000066980,0.000000175,0.000000461,0.217992932,0.257339776,0.243658021,0.257278472,0.021907557,0.123289376,0.129575029,0.036726922,0.030667372,0.026793869,0.376806766,0.378688723,0.002248891,0.000902667,0.000096963,0.001429220,0.150098503,0.000608910,0.005972133,0.002505244,0.002478198,0.000968238,0.001073830,0.001486032,0.003885770,0.005639510,0.009186642,0.018930940,0.025554840,0.007465285,0.000074040,0.056005191,0.041350767,0.009816263,0.023886284,0.000142464,0.000132479,0.000557591,0.002364117,0.001032188,0.001693602,0.000000461,0.000000729
