_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000005718,0.055441279,0.024242615,0.316786259,0.005059192,0.008481721,0.000102148,0.000000852,0.000001017,0.110947751,0.112460189,0.016322739,0.015931813,0.128629699,0.039369404,0.031124571,0.140307382,0.469373763,0.482532889,0.578745127,0.472700506,0.006544899,0.004123216,0.000455952,0.004898514,0.024527689,0.000014848,0.004408120,0.016091380,0.007639194,0.009439201,0.008649323,0.000176021,0.000367988,0.002734507,0.003934501,0.529463649,0.321870267,0.000075623,0.000427762,0.063628197,0.053196263,0.010740927,0.001538454,0.087325230,0.047207795,0.101913847,0.047100708,0.000163468,0.000114866,0.000000676,0.000003077
0.000003499,0.055437613,0.023053966,0.362462491,0.005485584,0.008249078,0.000089890,0.000000469,0.000000485,0.101356864,0.094102949,0.013170263,0.012066768,0.093820035,0.048091847,0.044296447,0.102719307,0.503143013,0.524862647,0.568494141,0.529442072,0.006707690,0.004519423,0.000309825,0.005204920,0.033627965,0.000016267,0.005811386,0.017958336,0.010712546,0.001797547,0.001406601,0.000151488,0.000352394,0.003350192,0.004477599,0.604918122,0.311436534,0.000074414,0.000792120,0.081005909,0.079381399,0.007972763,0.001038070,0.027339391,0.012650015,0.023868341,0.003876337,0.000082649,0.000055321,0.000000391,0.000001626
0.000003360,0.069828719,0.030197777,0.309004873,0.004672488,0.007033862,0.000079872,0.000000363,0.000000466,0.107420310,0.097768039,0.014189492,0.013121720,0.083841652,0.053653874,0.050387349,0.091348983,0.482833982,0.505701184,0.564684749,0.527464926,0.006429960,0.004196555,0.000265018,0.004923662,0.033401825,0.000016526,0.006575020,0.020559669,0.010665758,0.001360620,0.001127837,0.000135006,0.000368829,0.002656256,0.003591024,0.606755495,0.295656264,0.000089395,0.000832817,0.089423239,0.090340652,0.008100919,0.000786357,0.020260414,0.009358260,0.016396170,0.003288104,0.000048698,0.000032844,0.000000340,0.000001408
0.000003100,0.054305829,0.023581292,0.317035824,0.006459427,0.008947574,0.000068708,0.000000408,0.000000486,0.093489543,0.081382029,0.012793336,0.011126121,0.113446899,0.042205632,0.034521013,0.122105263,0.526368380,0.542118311,0.566991508,0.543260813,0.007366230,0.005445444,0.000307924,0.004061708,0.029770790,0.000023619,0.006375237,0.020094866,0.006812250,0.001310962,0.001149649,0.000202637,0.000281598,0.002470078,0.003711147,0.548248112,0.208663747,0.000124908,0.001064005,0.044711798,0.060092725,0.005662920,0.000740875,0.021244939,0.009039984,0.018880265,0.004124561,0.000049407,0.000030760,0.000000449,0.000001577
0.000001839,0.049984161,0.016943887,0.328786045,0.007995007,0.012585517,0.000070950,0.000000336,0.000000283,0.100847177,0.088905521,0.014796713,0.014377179,0.103681758,0.041312754,0.036721081,0.107589133,0.451774716,0.477100730,0.601489305,0.551747799,0.006222277,0.004336128,0.000284015,0.006315086,0.069131598,0.000048559,0.009519648,0.008647145,0.005081267,0.000359779,0.000347039,0.000685614,0.000520958,0.008161419,0.010776486,0.207538381,0.115652256,0.000719494,0.000620410,0.046510667,0.090595178,0.002572347,0.000904744,0.001633766,0.000995526,0.002257582,0.001257411,0.000055326,0.000041691,0.000000404,0.000000979
0.000001946,0.110682473,0.050573204,0.173848286,0.003569089,0.005538428,0.000068057,0.000000315,0.000000345,0.121943593,0.078167200,0.022342259,0.019586438,0.110103041,0.034379594,0.043670468,0.108592339,0.359496564,0.393821239,0.488297790,0.568458200,0.005254192,0.004816687,0.000278655,0.007676815,0.081925981,0.000049539,0.013120072,0.015573629,0.004731939,0.000274035,0.000316009,0.000784296,0.000742225,0.007622018,0.012830155,0.210808769,0.096594982,0.001014023,0.000410507,0.062827922,0.093708850,0.002335967,0.000938895,0.001657102,0.000953744,0.001543139,0.001349939,0.000041558,0.000028690,0.000000304,0.000001110
0.000001730,0.179309577,0.079544008,0.134178251,0.002769719,0.004019913,0.000039684,0.000000307,0.000000261,0.131373495,0.110339850,0.029438788,0.036978193,0.018323284,0.175814286,0.185611531,0.026584029,0.289333403,0.326011240,0.691148400,0.617570281,0.005192306,0.003636284,0.000100263,0.006920029,0.097693451,0.000126876,0.016211532,0.002239345,0.005162121,0.000327713,0.000348431,0.000608475,0.000172315,0.004383566,0.005420824,0.043463837,0.040993847,0.012929707,0.004390664,0.145629168,0.211544573,0.007552876,0.000865195,0.000036573,0.000025794,0.000315089,0.000520623,0.000008621,0.000010780,0.000000351,0.000000639
0.000000798,0.520483792,0.355954051,0.010107525,0.001228357,0.001488067,0.000019122,0.000000109,0.000000163,0.226810962,0.137269095,0.044026539,0.053139273,0.037365802,0.108388580,0.121685341,0.047097016,0.222317412,0.255654514,0.714659929,0.550229669,0.003323983,0.003155120,0.000044525,0.017559813,0.090258636,0.000142647,0.016334888,0.001636923,0.006812450,0.000043079,0.000046611,0.000909728,0.000382990,0.002297466,0.001899265,0.008010911,0.014630250,0.260402411,0.006454267,0.218338042,0.480875641,0.008244317,0.000401649,0.000001681,0.000001150,0.000043752,0.000080000,0.000000963,0.000001715,0.000000258,0.000000199
0.000001202,0.564178944,0.371290028,0.007333920,0.000834734,0.001251101,0.000036678,0.000000299,0.000000269,0.264378667,0.159027934,0.058851808,0.068557963,0.022162028,0.150042996,0.159745663,0.031808138,0.161868602,0.191992998,0.713516831,0.524666548,0.002209708,0.002479205,0.000085977,0.015325096,0.147439808,0.000243168,0.010019633,0.001632863,0.002804172,0.000332102,0.000347000,0.001762610,0.000067267,0.006547311,0.011039496,0.007914544,0.005238520,0.186522081,0.018784165,0.168421715,0.288371444,0.006601350,0.001609209,0.000002355,0.000001105,0.000124930,0.000166949,0.000010833,0.000014115,0.000000602,0.000000509
0.000001525,0.253825486,0.101181053,0.084895805,0.004008919,0.011459043,0.000029864,0.000000413,0.000000201,0.153566852,0.099712349,0.025897520,0.037472133,0.035110243,0.070387423,0.100899048,0.059424944,0.240067825,0.258199066,0.726161242,0.506930113,0.003639551,0.003754855,0.000055378,0.044931363,0.155574605,0.000079427,0.011964412,0.001570490,0.001002695,0.000220052,0.000291953,0.002745215,0.003132292,0.004744664,0.006556815,0.004139446,0.005465372,0.393853366,0.000267781,0.166161120,0.108790256,0.014141613,0.003813744,0.000001662,0.000000856,0.000041024,0.000193862,0.000019283,0.000016712,0.000000558,0.000000662
