_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000710,0.000178833,0.000130537,0.627984047,0.598584414,0.735968351,0.000065517,0.000000596,0.000001395,0.056255769,0.012335205,0.177666739,0.187091514,0.003233858,0.515103161,0.484025508,0.006631010,0.042378750,0.042320229,0.230399743,0.088511221,0.016888773,0.036852609,0.000186238,0.001468256,0.209529638,0.004362461,0.005495051,0.007507156,0.002935767,0.000023150,0.000028999,0.017950684,0.006848125,0.015907824,0.022515235,0.015492693,0.006123513,0.131445318,0.000392987,0.021063251,0.032040995,0.001181887,0.008181670,0.000044646,0.000027612,0.000141749,0.000438202,0.000377224,0.000233007,0.000002245,0.000000526
0.000000672,0.000162298,0.000161804,0.620819390,0.571260095,0.683329582,0.000064036,0.000000599,0.000001343,0.060417399,0.013857155,0.158243120,0.165516347,0.004008848,0.493042856,0.472156554,0.005645586,0.048973333,0.049368128,0.286406994,0.101428896,0.014910691,0.031412702,0.000199061,0.001670027,0.198232204,0.003054739,0.004762506,0.006768160,0.002145315,0.000036662,0.000042017,0.016298739,0.004953837,0.016988175,0.025814924,0.020274919,0.005870282,0.064454861,0.000387834,0.013182031,0.028755069,0.000889864,0.009687969,0.000091672,0.000050357,0.000289785,0.000518057,0.000544640,0.000359137,0.000002464,0.000000582
0.000000736,0.000232462,0.000230884,0.564705133,0.566562414,0.666291296,0.000057746,0.000000647,0.000001178,0.068344668,0.015578052,0.172583103,0.174716070,0.004141720,0.477079213,0.453039378,0.006219892,0.043666333,0.045133159,0.264098555,0.104508743,0.012613958,0.028181031,0.000165708,0.001586826,0.167990491,0.002733108,0.003970935,0.006248944,0.002313570,0.000037541,0.000041184,0.016857475,0.003512007,0.014091290,0.020799888,0.020024724,0.005617969,0.075057343,0.000638957,0.014425749,0.028377119,0.001245068,0.016131848,0.000080579,0.000045542,0.000270890,0.000420804,0.000764900,0.000547624,0.000002643,0.000000630
0.000000484,0.000291664,0.000300132,0.518339097,0.544410229,0.642293215,0.000056492,0.000000587,0.000000702,0.096126981,0.021481760,0.198563501,0.198250726,0.004841700,0.472417265,0.447781801,0.005808463,0.038078055,0.039694741,0.309095621,0.129240021,0.008894045,0.020694301,0.000198974,0.001404883,0.183495268,0.002999913,0.003716382,0.002948554,0.002682242,0.000057090,0.000046435,0.021203488,0.003335215,0.019322628,0.022578513,0.013553315,0.005886028,0.056326866,0.000454869,0.005892552,0.017418327,0.000576917,0.013974383,0.000163067,0.000103447,0.000717546,0.000398125,0.000827919,0.000830257,0.000002339,0.000000585
0.000000415,0.000278648,0.000322018,0.549866676,0.572091579,0.629224420,0.000060332,0.000000599,0.000000733,0.060010821,0.017368313,0.254905939,0.255301386,0.004284421,0.485316247,0.457011044,0.005928655,0.028326083,0.027823851,0.231338143,0.117266126,0.014575611,0.029102188,0.000230921,0.001550192,0.158622950,0.002631055,0.002739267,0.002451241,0.004897875,0.000060638,0.000047293,0.023380607,0.003231880,0.027865592,0.027773488,0.010425597,0.008173459,0.062397402,0.000522103,0.005766475,0.016340028,0.000537861,0.016525162,0.000166305,0.000135836,0.000633146,0.000393058,0.000824164,0.001009295,0.000002507,0.000000648
0.000000664,0.000649628,0.000485062,0.542913437,0.426873177,0.569058537,0.000172764,0.000000760,0.000001067,0.131348297,0.020414600,0.220981628,0.232948303,0.003865405,0.494760275,0.467658043,0.007184319,0.034389101,0.032401435,0.359360337,0.099344514,0.007332397,0.020278571,0.000714203,0.000414577,0.124853589,0.005356684,0.001220179,0.007703760,0.002620935,0.000182067,0.000134709,0.014240996,0.003527068,0.099414632,0.161639616,0.048796739,0.010615252,0.008015219,0.000179256,0.003389772,0.008449594,0.000369576,0.025792547,0.002418497,0.001345791,0.004077789,0.001107478,0.007978324,0.006249756,0.000004708,0.000001306
0.000000851,0.000382437,0.000407608,0.546606779,0.478383213,0.590961695,0.000105719,0.000000898,0.000001719,0.118459821,0.025614789,0.313131452,0.308551252,0.007938363,0.347830296,0.335582227,0.010446171,0.023924759,0.020676428,0.377998710,0.085637756,0.008989034,0.017191133,0.000344905,0.001925416,0.155066282,0.002059720,0.001858788,0.004797796,0.001802344,0.000359611,0.000443653,0.011188588,0.003346195,0.064186804,0.096132450,0.023440883,0.013156284,0.023495052,0.000208852,0.015016145,0.012913353,0.001284645,0.024170130,0.000209085,0.000179594,0.000661918,0.002661199,0.002051269,0.001981586,0.000004842,0.000001603
0.000000998,0.000382505,0.000287620,0.511067390,0.460345447,0.664200068,0.000136557,0.000000825,0.000000969,0.104419559,0.065343358,0.172812343,0.203159377,0.005860931,0.348844618,0.325062662,0.016897010,0.048210297,0.041314155,0.360064864,0.185116783,0.009316467,0.008934677,0.000270658,0.001351672,0.218421847,0.002458641,0.002875875,0.008376587,0.001684288,0.000454655,0.000430391,0.006495527,0.002448765,0.039845455,0.073318139,0.046388730,0.007161097,0.013560790,0.000210908,0.017126042,0.011752900,0.002192970,0.017648051,0.000287728,0.000121971,0.001181742,0.000955348,0.003070256,0.001913485,0.000002789,0.000001463
0.000001162,0.001138240,0.000683492,0.500251651,0.421894312,0.493315041,0.000053675,0.000001660,0.000000741,0.187398329,0.059863575,0.290742934,0.291341633,0.006477612,0.318556756,0.279622406,0.018882142,0.027104894,0.028330734,0.339423150,0.220609188,0.004094475,0.010912846,0.000165535,0.001171099,0.079018615,0.000905374,0.001155108,0.001283368,0.000401602,0.004946362,0.005847978,0.006488540,0.001111585,0.018036056,0.025148906,0.009501941,0.003563669,0.057352010,0.000407042,0.010271187,0.002993505,0.005646429,0.073447242,0.000120269,0.000085192,0.001690142,0.004996336,0.008545425,0.008286459,0.000004894,0.000002411
0.000000788,0.000409102,0.000506771,0.472146660,0.590887487,0.627042651,0.000102484,0.000001675,0.000001532,0.186238959,0.064576343,0.365453571,0.354866982,0.007089464,0.400835931,0.384278178,0.007702988,0.019939302,0.017776685,0.318756402,0.136154220,0.005214088,0.011060211,0.000374394,0.004071665,0.174026310,0.000983490,0.001009714,0.002715467,0.000789991,0.004403939,0.005045517,0.009971231,0.001529226,0.087849960,0.121029966,0.018721839,0.007602307,0.016394850,0.000196341,0.012177895,0.005186590,0.002017346,0.048760921,0.000331450,0.000239761,0.002824196,0.006227253,0.009874353,0.008073642,0.000007148,0.000002882
