_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000003736,0.225743577,0.261954367,0.000687534,0.017655374,0.009291880,0.000040089,0.000000201,0.000000302,0.054341808,0.035827838,0.208889320,0.184074238,0.007850877,0.224885404,0.206443146,0.019834157,0.037956499,0.035407584,0.250051409,0.154027060,0.014122421,0.013258570,0.000124988,0.000179162,0.001355426,0.000053343,0.000178637,0.008041514,0.018527959,0.000238736,0.000230491,0.002385788,0.001447490,0.000599438,0.000400419,0.076302081,0.114766695,0.004899602,0.000870373,0.003042678,0.001555612,0.022881787,0.123076327,0.246712029,0.307197422,0.005163960,0.005805265,0.014332665,0.037357580,0.000001342,0.000001011
0.000004149,0.205309018,0.250905573,0.001174622,0.019740619,0.009608943,0.000038690,0.000000246,0.000000353,0.050990969,0.034145277,0.166152090,0.148422107,0.009488965,0.181613564,0.187334672,0.025143694,0.047289141,0.044820189,0.257221699,0.157927200,0.014756297,0.013703990,0.000138583,0.000145765,0.001401514,0.000070135,0.000166870,0.006940261,0.014627047,0.000216586,0.000227500,0.003418789,0.001524170,0.000748541,0.000529029,0.068690583,0.115944810,0.005121510,0.000876451,0.002625817,0.001588785,0.020094777,0.144907013,0.193622887,0.264392853,0.004172982,0.008080647,0.021669574,0.055407055,0.000001582,0.000001193
0.000004626,0.177938193,0.218103245,0.001384013,0.022824813,0.012489299,0.000049330,0.000000289,0.000000403,0.049105007,0.037225515,0.130470291,0.120398946,0.010300340,0.164390296,0.178707376,0.028709039,0.060913414,0.054801296,0.270809859,0.156721085,0.015638774,0.012061039,0.000168715,0.000167424,0.001717008,0.000058295,0.000195947,0.005735596,0.011949946,0.000504371,0.000514274,0.002936000,0.002743188,0.001046689,0.000749153,0.070332773,0.141202331,0.003039811,0.000326092,0.003277596,0.001446546,0.020736592,0.144234911,0.190300673,0.261657834,0.007194636,0.012086401,0.026051788,0.067839384,0.000001556,0.000001438
0.000004351,0.207153276,0.245401770,0.001490788,0.016958611,0.009684744,0.000049108,0.000000276,0.000000388,0.046263333,0.037509106,0.163105384,0.149896041,0.009581791,0.177523062,0.185908869,0.026198866,0.047874283,0.043175045,0.242301375,0.160934016,0.016619418,0.012390313,0.000172797,0.000162530,0.001874759,0.000057347,0.000209640,0.005180827,0.012003307,0.000613041,0.000616487,0.002455824,0.003096413,0.001080798,0.000750050,0.071338035,0.161664546,0.002392338,0.000254768,0.003526460,0.001560813,0.020003181,0.132366151,0.186890781,0.266739249,0.008117488,0.013015826,0.022971453,0.063243061,0.000001365,0.000001437
0.000005579,0.134337336,0.188388571,0.002482067,0.027888710,0.013389389,0.000095003,0.000000477,0.000000599,0.034475651,0.025604745,0.137912348,0.130934730,0.010018541,0.163276434,0.177195176,0.028580289,0.058363948,0.052885052,0.220783815,0.120655686,0.021806499,0.018693941,0.000249609,0.000170730,0.004567160,0.000127048,0.000328690,0.003831626,0.009070307,0.000917508,0.000824074,0.003547888,0.001944546,0.002869262,0.002387881,0.073581986,0.150806800,0.001871168,0.000292959,0.005613821,0.003549467,0.013936949,0.131242707,0.300294787,0.395935327,0.012332580,0.017136410,0.037791185,0.104761720,0.000001258,0.000002203
0.000005812,0.164914072,0.197795033,0.001660167,0.024956057,0.013833653,0.000197628,0.000001049,0.000001130,0.025269624,0.014487838,0.171109036,0.166498587,0.013959792,0.142269343,0.141516343,0.029120475,0.045841932,0.042949788,0.145186841,0.071826398,0.031159611,0.034663510,0.000676769,0.000088414,0.011606604,0.000486847,0.000444301,0.005491272,0.010919432,0.001551225,0.001685837,0.007927839,0.000624305,0.028780514,0.034705289,0.088537119,0.163917258,0.002730675,0.000622392,0.008425923,0.002757871,0.009868304,0.117435463,0.191270471,0.273359179,0.008006842,0.026469409,0.285779536,0.446526468,0.000002018,0.000003156
0.000004760,0.109874025,0.125378042,0.003854316,0.037147522,0.021000866,0.000273741,0.000001141,0.000001274,0.017712357,0.009023204,0.198694244,0.196974486,0.010615633,0.181980908,0.172565252,0.023430929,0.039955847,0.035512209,0.097534806,0.043793134,0.043165497,0.057892948,0.000893914,0.000250979,0.020207126,0.000331871,0.000680269,0.004729146,0.013745914,0.001087988,0.001073241,0.011464657,0.000636243,0.068921626,0.073634721,0.090379104,0.176667809,0.003728357,0.000672951,0.011338124,0.003109124,0.008497580,0.107476242,0.247987628,0.335042208,0.006914786,0.014519052,0.340117484,0.527214229,0.000001843,0.000003305
0.000004524,0.066187143,0.090012990,0.007153937,0.056678042,0.032349817,0.000388280,0.000001817,0.000002268,0.025400875,0.014167118,0.283513546,0.267854869,0.015352844,0.141307130,0.156465068,0.033196844,0.030190319,0.026113776,0.077791691,0.070517689,0.038064443,0.046783041,0.001265213,0.000403509,0.027175792,0.000402636,0.000961361,0.002606828,0.005813210,0.002381380,0.002108733,0.010567552,0.000643979,0.141775861,0.169959724,0.069805123,0.141497031,0.005919792,0.000417713,0.027132377,0.007109715,0.009057844,0.054387826,0.475484192,0.587109923,0.020281414,0.037360568,0.371013641,0.551928580,0.000001264,0.000004322
0.000003812,0.076448761,0.102649711,0.006532366,0.045215473,0.026590915,0.000391252,0.000001390,0.000001993,0.040110350,0.023769660,0.362129211,0.324587941,0.035558153,0.074392736,0.088403523,0.053896517,0.023589114,0.019483635,0.091649361,0.077798218,0.028944742,0.030991271,0.001385307,0.000750084,0.019350704,0.000246803,0.000561590,0.002935007,0.007921954,0.001397232,0.001157629,0.009318593,0.000651765,0.207650378,0.249114633,0.100788713,0.229738086,0.004412255,0.000451333,0.031897333,0.012280948,0.010274638,0.051360648,0.496560514,0.628239751,0.012008878,0.024361411,0.360474706,0.549268126,0.000001414,0.000004366
0.000003542,0.058104649,0.068503916,0.011416962,0.070686094,0.033558428,0.000148018,0.000001182,0.000000882,0.054144062,0.040462822,0.492083639,0.474936038,0.082829617,0.032969713,0.047309089,0.103594802,0.012778338,0.010694636,0.106596053,0.091358490,0.020740960,0.021151975,0.000514177,0.000335632,0.006459373,0.000096217,0.000262973,0.003774008,0.013622468,0.005102370,0.004689679,0.003748409,0.000435183,0.021870531,0.021311024,0.099241093,0.275307983,0.002161442,0.000636885,0.014787436,0.003546259,0.018880026,0.079871416,0.364795148,0.548356533,0.012271385,0.040319059,0.230191678,0.428459615,0.000001726,0.000004184
