_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000786,0.005207985,0.006645930,0.123618461,0.281670123,0.089474857,0.000050048,0.000000308,0.000000148,0.055339884,0.077429071,0.027835136,0.040603943,0.005465772,0.455793321,0.474382341,0.004313092,0.258556724,0.245573938,0.428736299,0.171304822,0.018246958,0.006113770,0.000052086,0.019595658,0.070433609,0.000047582,0.002501477,0.000540509,0.005571106,0.001399810,0.000767129,0.002967269,0.002318425,0.012060266,0.003341780,0.009171559,0.047687393,0.015012394,0.000254765,0.060262095,0.068120755,0.020710779,0.027450796,0.000042883,0.000032997,0.002624958,0.000119988,0.000862264,0.002729600,0.000001430,0.000000488
0.000000688,0.004436738,0.005054246,0.136495426,0.313611567,0.099783689,0.000032108,0.000000286,0.000000084,0.062871359,0.082546145,0.039562907,0.053873468,0.005166428,0.497570723,0.516143680,0.003274135,0.201902285,0.191319510,0.407570839,0.241124585,0.017068941,0.005557852,0.000028672,0.013574039,0.050548244,0.000042861,0.002634075,0.000317202,0.008525406,0.001279108,0.000659259,0.001828446,0.003622269,0.005592749,0.001050264,0.006558029,0.081273653,0.019219795,0.000210015,0.076567709,0.055463780,0.056128722,0.037157550,0.000026482,0.000027137,0.002013623,0.000086099,0.000864871,0.003841374,0.000000917,0.000000293
0.000000602,0.006758669,0.008015936,0.109677635,0.253369689,0.078744471,0.000031374,0.000000204,0.000000071,0.067862488,0.108698018,0.035726592,0.050927237,0.004577873,0.486325562,0.498505086,0.004110653,0.219703421,0.201683640,0.410532892,0.272834361,0.014838604,0.004061813,0.000039003,0.010472580,0.035161767,0.000030651,0.002268903,0.000349960,0.009934210,0.001112472,0.000584795,0.001802977,0.002936134,0.005957278,0.001162437,0.007735549,0.094850533,0.014256031,0.000217627,0.043338809,0.031799134,0.032805748,0.023370583,0.000053694,0.000060369,0.002400606,0.000121150,0.000758937,0.003229548,0.000000915,0.000000300
0.000000668,0.006325609,0.007534444,0.116448402,0.246972799,0.075986512,0.000036994,0.000000254,0.000000077,0.060001940,0.098566033,0.035352573,0.049814168,0.004961906,0.465109020,0.476118773,0.004600368,0.224345446,0.205579981,0.414550602,0.265392870,0.015884982,0.004611555,0.000045921,0.013464447,0.044883627,0.000030788,0.002666294,0.000303031,0.010743887,0.001430373,0.000758191,0.001977825,0.003077433,0.008253288,0.001573821,0.006806441,0.101213463,0.012569061,0.000181625,0.045503926,0.032867931,0.031122182,0.027931843,0.000056373,0.000068225,0.002404543,0.000151714,0.000899931,0.004039328,0.000000934,0.000000375
0.000000543,0.004742588,0.006306993,0.105708823,0.296248943,0.076414540,0.000022374,0.000000264,0.000000057,0.062905982,0.105441347,0.053365290,0.074796207,0.052032799,0.081087895,0.082712553,0.051172365,0.175585285,0.159054637,0.494457424,0.297961593,0.013544151,0.005648574,0.000016677,0.014728773,0.038701352,0.000032896,0.002473625,0.000236775,0.008480062,0.001047428,0.000603940,0.001226475,0.001537793,0.003643715,0.000604744,0.005421701,0.091144584,0.022855815,0.000553804,0.082297750,0.048424672,0.074776806,0.029345455,0.000015369,0.000018225,0.000876950,0.000098294,0.000302342,0.001190229,0.000000631,0.000000314
0.000000999,0.007527330,0.005068891,0.058055110,0.235227227,0.093920715,0.000030404,0.000000318,0.000000071,0.091968328,0.136065215,0.046221636,0.063770041,0.030934185,0.132865518,0.136127889,0.028077001,0.195679888,0.180440545,0.475977898,0.302374631,0.008823665,0.003878407,0.000016229,0.009855122,0.036890715,0.000026761,0.002080137,0.000282113,0.006463600,0.003875183,0.002205837,0.000547981,0.000994796,0.002640238,0.000509811,0.012072476,0.107687779,0.004602805,0.000517998,0.104088463,0.060463779,0.142608881,0.064161532,0.000051321,0.000051767,0.002584512,0.000206832,0.001045004,0.004001086,0.000000620,0.000000438
0.000000987,0.027314493,0.011846270,0.037393648,0.105547704,0.054199398,0.000018194,0.000000268,0.000000070,0.106665030,0.159729034,0.070308149,0.100070767,0.032878358,0.125628754,0.123919129,0.036351055,0.137619823,0.126403287,0.481575787,0.355948150,0.007299772,0.003471717,0.000010011,0.006658215,0.028958812,0.000037846,0.002085228,0.000393024,0.003005666,0.002053677,0.001267363,0.000631969,0.000700977,0.000891573,0.000255006,0.011273321,0.034819748,0.018711628,0.001403303,0.114620864,0.067679115,0.169503689,0.048583560,0.000016878,0.000011328,0.001702299,0.000121442,0.000509336,0.001360902,0.000000549,0.000000325
0.000000571,0.008048363,0.008532361,0.083054401,0.231351361,0.073341228,0.000016437,0.000000231,0.000000074,0.068582587,0.077112652,0.073613614,0.093397513,0.044010453,0.112021640,0.112287939,0.032467563,0.130996913,0.123107716,0.442818999,0.207567602,0.013893693,0.008333370,0.000008934,0.012005117,0.023432242,0.000024484,0.001500363,0.000285876,0.006820139,0.001397532,0.000708423,0.000679173,0.001388669,0.001167884,0.000216970,0.006719602,0.057708245,0.026757954,0.000893610,0.125065163,0.077153802,0.170066655,0.041558750,0.000010684,0.000009107,0.001508657,0.000055872,0.000326181,0.001283086,0.000000611,0.000000233
0.000000390,0.012713882,0.008283945,0.062697656,0.176691383,0.075771734,0.000008922,0.000000123,0.000000039,0.087413386,0.098507352,0.070490703,0.097919501,0.041460019,0.109906040,0.111052915,0.045787275,0.140963092,0.129200503,0.447614253,0.265707016,0.011942623,0.006687907,0.000004401,0.011108229,0.013056729,0.000018182,0.001369139,0.000201640,0.007384795,0.000945756,0.000413600,0.000398007,0.002493822,0.000341183,0.000041225,0.004270176,0.044097774,0.054563105,0.000707549,0.091788135,0.077762857,0.304618895,0.028041480,0.000005992,0.000004873,0.002018117,0.000029813,0.000116759,0.000555336,0.000000390,0.000000111
0.000000325,0.006017042,0.006124496,0.082610734,0.282076657,0.097424999,0.000007574,0.000000104,0.000000031,0.077954300,0.093629085,0.086149402,0.120212778,0.067090899,0.064919323,0.074955717,0.071904294,0.117682002,0.098014995,0.475966811,0.251012474,0.012158894,0.006185268,0.000005182,0.005285219,0.005274005,0.000010691,0.000763680,0.000200648,0.010797027,0.001504125,0.000669263,0.000248101,0.000975607,0.000239489,0.000030982,0.006805149,0.076918088,0.019500377,0.001472834,0.030351195,0.017324494,0.314234823,0.026461819,0.000032665,0.000032915,0.003711817,0.000079918,0.000236905,0.001041048,0.000000476,0.000000120
