_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000448,0.021308847,0.040226530,0.015085829,0.060958736,0.021641672,0.000022152,0.000000151,0.000000250,0.245925188,0.234414652,0.270592481,0.277082771,0.027987719,0.176548943,0.177334026,0.019710509,0.043729398,0.048121892,0.390850425,0.489338338,0.003990811,0.002398656,0.000074109,0.002045784,0.287988067,0.005422366,0.007325622,0.004835221,0.001850780,0.000018567,0.000041575,0.006531351,0.001238123,0.012640925,0.014152473,0.005830924,0.007673438,0.114163883,0.000967763,0.046591815,0.247092158,0.001371638,0.001433516,0.000003364,0.000002865,0.000016135,0.000320221,0.000064187,0.000038797,0.000001144,0.000000361
0.000000502,0.009982700,0.021315170,0.025500273,0.097719237,0.029631617,0.000029491,0.000000253,0.000000232,0.208643660,0.196412250,0.257526219,0.264886707,0.027709275,0.182441771,0.187417611,0.016246215,0.043707564,0.048327833,0.386901110,0.477735877,0.004692721,0.002839993,0.000079892,0.001734710,0.282704771,0.004872880,0.004335808,0.003101451,0.002327401,0.000043342,0.000080153,0.005434433,0.000886083,0.021984458,0.020294854,0.009385073,0.017347036,0.035277095,0.000922623,0.050498422,0.201843932,0.002347284,0.003698686,0.000009674,0.000008763,0.000040351,0.000370343,0.000254117,0.000194322,0.000001271,0.000000469
0.000000670,0.014871324,0.022899954,0.024518969,0.074147128,0.029428953,0.000025763,0.000000270,0.000000231,0.216179863,0.205839679,0.270090163,0.281630725,0.025675666,0.178282201,0.183252260,0.017786968,0.041600898,0.042400643,0.403657466,0.425037503,0.004795481,0.002718456,0.000057344,0.001938506,0.247483268,0.003898873,0.004772617,0.003277911,0.002391234,0.000032516,0.000062488,0.006265284,0.001120204,0.013010475,0.011523684,0.009038848,0.016332733,0.058816258,0.001056405,0.078927085,0.230574518,0.004701185,0.005982783,0.000005773,0.000005100,0.000024039,0.000254724,0.000281745,0.000218234,0.000001123,0.000000447
0.000000748,0.009616103,0.013839704,0.049081933,0.090535738,0.033799570,0.000030101,0.000000388,0.000000294,0.189058855,0.165326700,0.302603900,0.304054767,0.026560724,0.205779672,0.214731574,0.012294960,0.036829971,0.040916335,0.344651103,0.486932695,0.005680146,0.003919418,0.000080022,0.001854950,0.247195780,0.003330276,0.003919622,0.003759710,0.002021387,0.000126407,0.000292779,0.003094673,0.000965864,0.021798624,0.021145036,0.012225407,0.026246572,0.015829159,0.000518509,0.082824402,0.198656529,0.005312604,0.006150199,0.000013537,0.000013029,0.000037766,0.000849925,0.000499654,0.000352594,0.000001335,0.000000771
0.000000844,0.010863501,0.016934110,0.034813240,0.076777093,0.028954227,0.000031818,0.000000358,0.000000274,0.230943859,0.205674291,0.337522358,0.334010720,0.033886820,0.165458754,0.165120929,0.017137960,0.033166815,0.032815080,0.353873312,0.438401312,0.004540582,0.002696571,0.000076250,0.001383778,0.234216332,0.003973810,0.004520234,0.005122968,0.002167455,0.000071611,0.000162111,0.004303260,0.000632587,0.015998468,0.017723750,0.015416524,0.022467917,0.018059306,0.001138564,0.078522086,0.196066916,0.004990456,0.007775050,0.000019514,0.000017887,0.000036215,0.000679444,0.000612398,0.000392731,0.000001234,0.000000651
0.000001070,0.013816353,0.019752650,0.028652217,0.070271127,0.028757125,0.000027885,0.000000470,0.000000250,0.220593527,0.201223820,0.338359684,0.333888799,0.049489714,0.096674837,0.092688054,0.041740682,0.033284262,0.035392392,0.344335258,0.453436732,0.004848812,0.002856722,0.000050673,0.002543100,0.217593148,0.002268351,0.003730719,0.002339403,0.001499566,0.000237264,0.000472594,0.003403825,0.001153389,0.011538022,0.009542975,0.012568770,0.025701445,0.017468408,0.000473172,0.109338231,0.176403463,0.013626049,0.016442955,0.000012012,0.000010073,0.000051924,0.000558967,0.000606448,0.000477216,0.000000970,0.000000879
0.000000803,0.009234073,0.019389099,0.053222839,0.085522659,0.027684283,0.000024374,0.000000425,0.000000312,0.220927313,0.203462929,0.379798234,0.366883397,0.051806938,0.121271543,0.109134063,0.029934235,0.030453773,0.033832159,0.350228101,0.555441022,0.004998790,0.003165723,0.000059103,0.003457420,0.212233081,0.001913137,0.003744287,0.003350773,0.001198709,0.000197457,0.000471958,0.002701193,0.001108769,0.013822825,0.013702050,0.010109962,0.018103901,0.023386784,0.000471060,0.117120318,0.195797905,0.008768716,0.007889968,0.000007533,0.000006057,0.000032427,0.000741636,0.000321911,0.000208057,0.000001141,0.000000837
0.000001038,0.012447273,0.018866325,0.036546718,0.071060352,0.029670056,0.000025469,0.000000463,0.000000338,0.223967850,0.210200533,0.335098207,0.334678739,0.066081040,0.098608285,0.083546139,0.039374631,0.036170051,0.040908385,0.375502646,0.572874188,0.004732576,0.002859264,0.000057687,0.002725712,0.226162821,0.002456725,0.004479283,0.002587355,0.000863404,0.000558015,0.001336536,0.001865214,0.001059214,0.011843731,0.011826554,0.011039955,0.019870544,0.013895138,0.000314437,0.109410942,0.189461052,0.010280754,0.007130149,0.000008508,0.000007101,0.000054461,0.001325397,0.000271590,0.000174154,0.000001110,0.000001045
0.000001012,0.018429941,0.020392185,0.019996541,0.056277141,0.029560601,0.000027399,0.000000328,0.000000280,0.260941029,0.243383110,0.286647290,0.301887333,0.057161935,0.107561961,0.096336782,0.034686733,0.045019481,0.046605371,0.457623184,0.515892506,0.004178998,0.002005514,0.000059846,0.002810468,0.223688126,0.002215208,0.004466357,0.002863795,0.000879840,0.000286308,0.000668677,0.002380929,0.001171701,0.010653939,0.010889309,0.010396088,0.015323131,0.016229764,0.000341691,0.082742244,0.209681779,0.007203981,0.007299979,0.000009755,0.000007919,0.000048583,0.001010425,0.000331344,0.000216133,0.000001131,0.000000828
0.000000710,0.008838370,0.013842235,0.045248706,0.094220139,0.038346764,0.000033568,0.000000340,0.000000251,0.211192310,0.199742705,0.334608853,0.344997317,0.062507987,0.085302256,0.077840522,0.051032666,0.036741011,0.037292693,0.423017561,0.503612041,0.005679540,0.002845772,0.000075508,0.003642171,0.238856837,0.001616157,0.003419782,0.002838829,0.001526624,0.000147489,0.000290757,0.003418544,0.001278281,0.019157154,0.016570924,0.011624528,0.022786403,0.014728130,0.000354624,0.073435768,0.194604754,0.004950393,0.007278875,0.000014690,0.000012390,0.000055842,0.000589450,0.000533179,0.000411808,0.000001010,0.000000813
0.000000734,0.008077519,0.011514265,0.091220677,0.084776208,0.039025392,0.000033806,0.000000395,0.000000241,0.247737661,0.218288675,0.332522035,0.347211331,0.078527093,0.073460750,0.063103527,0.064025827,0.036796048,0.038526095,0.471162498,0.505992591,0.004676293,0.002535461,0.000071123,0.005083697,0.230053604,0.001227872,0.002928865,0.003701232,0.001585235,0.000100035,0.000176829,0.004153083,0.001301518,0.018750733,0.018047301,0.013432936,0.017725576,0.023156092,0.000485923,0.087530315,0.167394355,0.006944347,0.009535226,0.000013845,0.000009272,0.000054060,0.000328525,0.000743412,0.000517356,0.000001035,0.000000703
0.000000570,0.008872877,0.018187404,0.056162164,0.094849162,0.032016803,0.000030624,0.000000301,0.000000215,0.258203596,0.241196692,0.319586128,0.332719624,0.085553564,0.066276453,0.059586883,0.069803804,0.038189799,0.040487766,0.412047178,0.517925620,0.004308260,0.002079660,0.000066606,0.003473871,0.268601388,0.002019770,0.003513896,0.002826554,0.001920879,0.000103803,0.000190260,0.004348852,0.000891322,0.020135447,0.017384034,0.008589426,0.018618386,0.023496004,0.000612811,0.062818028,0.154446527,0.003934014,0.005639130,0.000011361,0.000009919,0.000050496,0.000454907,0.000405409,0.000338131,0.000000975,0.000000619
0.000000693,0.007499908,0.014131012,0.064753629,0.102487236,0.037828162,0.000046055,0.000000370,0.000000264,0.227949709,0.200232536,0.292899191,0.310707450,0.087210469,0.066659361,0.054797437,0.070502810,0.043455333,0.043932501,0.439253718,0.473727584,0.005406588,0.002895984,0.000101721,0.004246431,0.269275159,0.001707501,0.002705203,0.003738584,0.002187855,0.000151354,0.000279247,0.003353424,0.000953346,0.034167666,0.029997140,0.014650501,0.030644951,0.009128000,0.000402185,0.068325683,0.175112918,0.004227807,0.007237661,0.000025421,0.000022203,0.000070299,0.000630625,0.000778302,0.000580832,0.000001194,0.000000941
0.000000544,0.004511107,0.006565966,0.120166525,0.127732843,0.055476811,0.000039382,0.000000398,0.000000240,0.197282001,0.193679512,0.319272757,0.340132594,0.068412416,0.079868898,0.074092194,0.055886067,0.039091405,0.038710177,0.423512548,0.476866871,0.006213550,0.003388548,0.000093177,0.003337257,0.271222681,0.001775337,0.002955685,0.004539505,0.001675819,0.000118991,0.000213408,0.004969903,0.000833395,0.027228730,0.026227755,0.013432286,0.016398717,0.015712002,0.000575046,0.050015245,0.134087950,0.003023659,0.006464525,0.000024451,0.000017248,0.000087765,0.000504658,0.000832721,0.000564747,0.000001211,0.000000790
0.000000546,0.006171275,0.008033138,0.097268187,0.099426612,0.050175384,0.000047192,0.000000408,0.000000334,0.192709476,0.188014045,0.359202862,0.370304465,0.133417219,0.059205249,0.034329910,0.082334071,0.033862326,0.029238805,0.420573026,0.463102758,0.005974041,0.003940766,0.000141948,0.004805235,0.279078782,0.001479579,0.002563572,0.006334001,0.001278095,0.000162572,0.000306229,0.004102892,0.000585723,0.035153959,0.042393915,0.015593409,0.012181853,0.010798576,0.000632806,0.042410865,0.150396153,0.002013614,0.005651367,0.000032161,0.000021008,0.000108124,0.000736714,0.001042210,0.000559241,0.000001597,0.000001115
0.000000684,0.006193550,0.008546976,0.073532529,0.122630253,0.053585127,0.000040949,0.000000334,0.000000264,0.226224780,0.244272903,0.336611390,0.362369657,0.037998121,0.133745760,0.142141834,0.026649876,0.039285164,0.034692228,0.492839187,0.460490197,0.005636909,0.002484585,0.000076425,0.006313844,0.251451939,0.000882348,0.002688373,0.006409686,0.000986359,0.000204755,0.000373424,0.003421918,0.001124513,0.018314306,0.022347353,0.017223960,0.009158581,0.017337367,0.000377120,0.063909896,0.131543219,0.005451926,0.009369840,0.000020077,0.000009715,0.000096666,0.000450923,0.001080017,0.000589966,0.000001468,0.000000859
