_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000730,0.002528742,0.000717484,0.177288413,0.338938177,0.306954265,0.000044565,0.000000117,0.000000101,0.162007734,0.157459766,0.277425945,0.301597744,0.052573454,0.070651159,0.081532322,0.053309649,0.027861144,0.022810018,0.353238761,0.289576262,0.003595741,0.002362461,0.000108008,0.002107621,0.023691358,0.000050528,0.002586261,0.005965097,0.006671784,0.000050457,0.000048619,0.001183433,0.001209815,0.001470393,0.001275096,0.112175398,0.055414043,0.001330613,0.000886933,0.006590358,0.048920244,0.002274897,0.007573692,0.004273226,0.002823570,0.001506372,0.000520594,0.000751010,0.000896069,0.000001010,0.000000457
0.000000581,0.004426206,0.001351186,0.127890557,0.268242508,0.243530795,0.000025195,0.000000090,0.000000068,0.165030286,0.180913314,0.313788116,0.330024123,0.039375082,0.083841294,0.095863350,0.045754984,0.024882449,0.018167770,0.339860618,0.247112840,0.003555741,0.001963173,0.000081071,0.001483149,0.010815576,0.000030818,0.001864119,0.001624075,0.005910473,0.000172255,0.000140032,0.000874966,0.001133210,0.000710683,0.000420888,0.050132032,0.057119008,0.001568771,0.000777699,0.003046767,0.019958764,0.002790930,0.009719701,0.004010106,0.003905153,0.003349442,0.000954085,0.000557446,0.001039553,0.000001057,0.000000427
0.000000662,0.003656428,0.000706790,0.172376633,0.283389390,0.328055978,0.000052276,0.000000123,0.000000095,0.140715584,0.135934666,0.334490180,0.352592528,0.029878786,0.107097931,0.117659263,0.037498821,0.023080556,0.016329087,0.351246804,0.255591482,0.004300355,0.002789681,0.000159351,0.002239965,0.028856594,0.000062015,0.002801954,0.004641269,0.006568737,0.000039053,0.000035952,0.002684438,0.001129933,0.002289264,0.001893245,0.061106347,0.037355177,0.001940079,0.000924853,0.003533824,0.044240419,0.001001601,0.009562611,0.004847036,0.003718061,0.001612815,0.000524575,0.001286805,0.001752928,0.000001107,0.000000541
0.000000535,0.002974384,0.000696784,0.156277746,0.347581834,0.330231547,0.000064365,0.000000134,0.000000083,0.144394100,0.159597740,0.422541142,0.421166450,0.027796919,0.112846576,0.128177375,0.036895126,0.018369813,0.011171251,0.318495214,0.253384143,0.004536715,0.002401424,0.000301047,0.001331058,0.027378349,0.000089192,0.003049355,0.003827395,0.008752376,0.000033847,0.000028699,0.004751162,0.000737829,0.004545928,0.003254763,0.039528526,0.043274626,0.002018966,0.001264724,0.001385840,0.020383362,0.000421329,0.010230152,0.016582862,0.017607860,0.002901498,0.001078451,0.003176044,0.005593542,0.000001274,0.000000578
0.000001086,0.004945411,0.000928951,0.131931886,0.268972039,0.302828997,0.000190852,0.000000300,0.000000161,0.146993235,0.173510149,0.351535350,0.372225493,0.029058816,0.103733331,0.119067907,0.039716762,0.023284718,0.014167224,0.361482173,0.250439167,0.004462046,0.002190298,0.000590375,0.001782593,0.098281570,0.000191255,0.005567015,0.003342247,0.011648449,0.000121127,0.000085704,0.004010162,0.000431735,0.021175679,0.016692631,0.068806976,0.085124962,0.000440119,0.000920162,0.003850594,0.056264520,0.000363191,0.010591116,0.039063204,0.042450629,0.007988195,0.002580280,0.005313733,0.010651073,0.000001080,0.000001487
0.000001186,0.004120907,0.000969813,0.154255226,0.270484895,0.267589957,0.000255280,0.000000364,0.000000196,0.141719893,0.192633912,0.353345573,0.366576582,0.036868762,0.091573648,0.101502672,0.043645333,0.023555879,0.015609492,0.355571002,0.261186689,0.004751148,0.002086543,0.000706386,0.001484630,0.115635142,0.000325415,0.005048171,0.003267438,0.019066561,0.000175114,0.000110457,0.002814099,0.000287745,0.033309873,0.026855264,0.081068717,0.127887979,0.000206994,0.001077377,0.005043096,0.083760977,0.000420292,0.010072319,0.059821077,0.073204018,0.011505075,0.003481610,0.006144108,0.013786239,0.000001065,0.000001672
0.000001348,0.006188751,0.001060478,0.107177041,0.243894994,0.295407861,0.000189756,0.000000359,0.000000138,0.171403155,0.216590688,0.429650784,0.438842058,0.022630770,0.122417413,0.139246553,0.035377230,0.018306708,0.010202249,0.351867139,0.231740743,0.004102652,0.001492761,0.000458049,0.001182127,0.105674833,0.000278453,0.005483274,0.001990517,0.017918695,0.000465663,0.000315246,0.002328581,0.000352100,0.020879524,0.013622340,0.053528428,0.122903123,0.000270453,0.000925292,0.006327351,0.051602017,0.001054006,0.018103654,0.014890653,0.021432964,0.006060739,0.002226074,0.008995068,0.021479174,0.000001012,0.000001712
0.000000769,0.006703694,0.001381532,0.115740977,0.223870873,0.282160550,0.000044728,0.000000132,0.000000080,0.158497229,0.174043611,0.422141135,0.414355725,0.036665052,0.086595476,0.100488506,0.048137598,0.018785467,0.011554196,0.341259480,0.219413668,0.004214759,0.001983579,0.000142145,0.001084237,0.018766865,0.000054993,0.003204286,0.000789377,0.015249861,0.000454522,0.000354676,0.000587422,0.001002576,0.001884482,0.000786229,0.034563251,0.189941674,0.000556163,0.000414612,0.005204611,0.020727048,0.002319233,0.007824942,0.007801813,0.017617909,0.004158336,0.003528456,0.000388574,0.001390899,0.000000704,0.000000713
0.000000642,0.007671590,0.002081136,0.113953732,0.179219261,0.213563427,0.000022495,0.000000071,0.000000075,0.181456730,0.207078561,0.363768786,0.370773822,0.033603918,0.100046799,0.111644402,0.041794881,0.021990979,0.015390799,0.354361922,0.289441556,0.003130355,0.001654425,0.000063581,0.000905390,0.008899095,0.000035308,0.002617970,0.002728415,0.012181985,0.000129894,0.000104456,0.000316120,0.000493522,0.000378227,0.000222357,0.101048246,0.099295393,0.000943057,0.002186606,0.005224342,0.017453635,0.005296090,0.004140961,0.007248499,0.007752052,0.003459121,0.001052983,0.000156228,0.000317468,0.000000629,0.000000340
0.000001234,0.009943003,0.002140917,0.076997347,0.170844555,0.233535245,0.000018219,0.000000124,0.000000128,0.213888735,0.252686411,0.419245720,0.418448150,0.026881812,0.130192190,0.132961944,0.035444230,0.019487457,0.013867892,0.298007667,0.283012688,0.002544733,0.001348818,0.000053133,0.000767557,0.006579868,0.000030212,0.002243021,0.001978215,0.002129392,0.002190809,0.002249745,0.000199698,0.000721979,0.000189931,0.000151131,0.092407793,0.052117150,0.000838180,0.000638321,0.007662016,0.008984082,0.017693607,0.009591176,0.005918664,0.004897401,0.008423083,0.005265169,0.000254034,0.000394544,0.000000877,0.000000684
