_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000004854,0.077000178,0.136480242,0.021775244,0.012090488,0.006653225,0.000023017,0.000000071,0.000000269,0.217561275,0.242052063,0.132622406,0.138236269,0.041339308,0.101934716,0.119846128,0.056415286,0.104819804,0.105813563,0.405279666,0.377339005,0.005075251,0.002139217,0.000010136,0.000776250,0.018403802,0.000053135,0.005376290,0.128928319,0.076599933,0.000014112,0.000028464,0.000092851,0.004113716,0.000036443,0.000023733,0.339742482,0.342825741,0.000869081,0.000633750,0.190070719,0.256057411,0.142002717,0.008581209,0.009942773,0.012755494,0.000194311,0.001823719,0.000101374,0.000124905,0.000000144,0.000000460
0.000006587,0.094247848,0.145868793,0.022747476,0.010095608,0.005114242,0.000025185,0.000000096,0.000000390,0.221738547,0.222828388,0.115844324,0.117601946,0.029503839,0.139742255,0.148605242,0.043037802,0.118703581,0.124272577,0.398029804,0.365071565,0.004881801,0.002382383,0.000012859,0.000526885,0.020634294,0.000075012,0.006151012,0.111247830,0.061743572,0.000029203,0.000074022,0.000079829,0.003021151,0.000047918,0.000032049,0.316485494,0.416932493,0.000536128,0.000605255,0.253420502,0.276467562,0.142692596,0.008063467,0.009923697,0.016007546,0.000182143,0.005908461,0.000083637,0.000102183,0.000000164,0.000000690
0.000007967,0.100750089,0.153236702,0.026438328,0.008560689,0.005023352,0.000026246,0.000000095,0.000000414,0.224106401,0.254914403,0.107550979,0.119675636,0.027103612,0.148380145,0.161916360,0.042881515,0.130202472,0.128956795,0.422053099,0.365302145,0.004896855,0.001997372,0.000011734,0.000559436,0.022244275,0.000073555,0.007047833,0.141017690,0.044108696,0.000024958,0.000073328,0.000085434,0.005369341,0.000035930,0.000025609,0.302268118,0.344589204,0.000603424,0.000370008,0.251297027,0.326255351,0.145485505,0.009314354,0.010693722,0.015145863,0.000144993,0.007433343,0.000108729,0.000097275,0.000000166,0.000000751
0.000007008,0.079416707,0.125921398,0.027481042,0.010075101,0.005391462,0.000024122,0.000000092,0.000000437,0.204599664,0.237609535,0.120392129,0.131703019,0.027591813,0.160675004,0.158988521,0.036804818,0.123047858,0.121207893,0.439961493,0.364863008,0.005759985,0.002458490,0.000014244,0.000598370,0.020509634,0.000073571,0.006617348,0.153914452,0.039907694,0.000023035,0.000070681,0.000096887,0.004453104,0.000040495,0.000032121,0.307198584,0.310129434,0.000684227,0.000425617,0.223937646,0.322666943,0.104542948,0.007250116,0.008555567,0.011945319,0.000125320,0.007890024,0.000089575,0.000073155,0.000000204,0.000000756
0.000004753,0.065464839,0.081255414,0.030636920,0.016552424,0.010402358,0.000017122,0.000000068,0.000000398,0.176265806,0.221089095,0.117844522,0.128588110,0.020916507,0.184992969,0.186893418,0.028247841,0.117685631,0.116434351,0.418060362,0.355384022,0.006460581,0.002737270,0.000016641,0.000583377,0.014496214,0.000065843,0.005964842,0.129508793,0.024005011,0.000034972,0.000105773,0.000134657,0.007358337,0.000046912,0.000038287,0.255655229,0.260496825,0.000899257,0.000188363,0.101913124,0.129809931,0.083142303,0.004980484,0.004903788,0.006798932,0.000167123,0.007678370,0.000089628,0.000074950,0.000000272,0.000000660
0.000003342,0.053687077,0.086264886,0.035096180,0.019507185,0.009515347,0.000015724,0.000000054,0.000000279,0.191841379,0.227015182,0.124026164,0.134368584,0.020437518,0.181548953,0.186537683,0.027785579,0.110273242,0.106801674,0.420015067,0.336292416,0.006220022,0.002534843,0.000018189,0.000582947,0.013755833,0.000071115,0.006200824,0.104819216,0.030716499,0.000018911,0.000050703,0.000213351,0.007533806,0.000058198,0.000040424,0.199271694,0.248529732,0.001525831,0.000236908,0.074036740,0.108999908,0.054319639,0.004624096,0.003570505,0.005655250,0.000129827,0.003597785,0.000094981,0.000093172,0.000000270,0.000000480
0.000003050,0.036852591,0.055029240,0.044838801,0.029828692,0.017810525,0.000014568,0.000000060,0.000000268,0.198088825,0.234136507,0.126226902,0.135408774,0.019541817,0.185458213,0.189146817,0.026513796,0.109751873,0.101672255,0.426809072,0.338285565,0.005972820,0.002289244,0.000018575,0.000540720,0.009310136,0.000046894,0.004442966,0.044461023,0.010705085,0.000101198,0.000237406,0.000184984,0.009712167,0.000064767,0.000049465,0.169019520,0.175166696,0.001169026,0.000104786,0.055352628,0.040927693,0.070346452,0.005856881,0.004043685,0.005322713,0.000358327,0.005088468,0.000161843,0.000152403,0.000000332,0.000000535
0.000002176,0.033001646,0.054660987,0.044824909,0.040719431,0.016705228,0.000042810,0.000000172,0.000000207,0.611278653,0.621697783,0.699846506,0.664832473,0.025836568,0.204238564,0.229516298,0.010250296,0.009267754,0.006477121,0.541010022,0.518007874,0.001284183,0.000193394,0.000050779,0.001167593,0.058040611,0.000325504,0.003015411,0.016007824,0.015044990,0.000063231,0.000112527,0.002689454,0.002531712,0.002323291,0.002581129,0.042196024,0.085956655,0.005640491,0.000447912,0.064651795,0.105396315,0.011441087,0.036525626,0.000695615,0.001008969,0.000083309,0.001283457,0.003972215,0.004275729,0.000000772,0.000000748
0.000002158,0.009416102,0.016608365,0.112509824,0.078383893,0.038102958,0.000109232,0.000000395,0.000000315,0.714699030,0.700125098,0.738959968,0.706797421,0.042826459,0.246884599,0.177435562,0.008393691,0.007410288,0.004412928,0.500045896,0.581948757,0.000904698,0.000116703,0.000215201,0.000776997,0.091521479,0.000945670,0.002164438,0.021685796,0.013451603,0.000143032,0.000219048,0.007005652,0.001380838,0.021208398,0.031247333,0.046913985,0.063099116,0.002796377,0.000488558,0.023881432,0.047660917,0.003852369,0.047662321,0.004367229,0.005426202,0.000323310,0.002681202,0.055084813,0.055629399,0.000001919,0.000001130
0.000002028,0.014457299,0.020818748,0.117838740,0.050863221,0.028826328,0.000131067,0.000000404,0.000000317,0.650156021,0.639181018,0.685102105,0.647806227,0.037785072,0.187776133,0.185945094,0.011705503,0.010374893,0.006936969,0.533699632,0.542044103,0.001129839,0.000169245,0.000253652,0.001886977,0.127074271,0.000521929,0.002224459,0.016782444,0.008853269,0.000277989,0.000414012,0.006381429,0.001614248,0.033892877,0.044388447,0.046837792,0.062416691,0.001719380,0.000232806,0.022402182,0.047692746,0.003053742,0.047494397,0.005097052,0.005708801,0.000515652,0.003308546,0.061233398,0.053645533,0.000001669,0.000001620
