_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000010714,0.287512600,0.325886339,0.001146825,0.003416608,0.002586182,0.000098239,0.000000515,0.000000518,0.114649467,0.204048946,0.017029975,0.028032318,0.037285581,0.101346634,0.122881144,0.056633826,0.480663270,0.456766903,0.897052169,0.679764032,0.006157280,0.002380780,0.000122954,0.000575094,0.006301858,0.000042132,0.000959396,0.010052146,0.072638571,0.006108124,0.003990790,0.000086925,0.000030401,0.000449714,0.000483554,0.276156038,0.250083864,0.000230285,0.013132877,0.077657245,0.070471033,0.065561011,0.002604171,0.587105274,0.569967628,0.043498460,0.032057725,0.000086767,0.000302605,0.000000293,0.000002737
0.000010628,0.225438878,0.304930300,0.001714843,0.004222275,0.002699583,0.000095178,0.000000480,0.000000449,0.098025694,0.183705106,0.015295988,0.024915196,0.041948862,0.099012494,0.110706791,0.053088419,0.489627808,0.485027462,0.897713602,0.687569320,0.007523316,0.002749117,0.000102947,0.000730811,0.006357853,0.000033918,0.000962473,0.010636548,0.062793188,0.003362596,0.002201785,0.000103509,0.000046819,0.000393247,0.000453066,0.273965031,0.227022380,0.000317547,0.009796949,0.071673334,0.071182258,0.067109562,0.002868073,0.621166587,0.591119647,0.026301859,0.017560529,0.000104595,0.000331578,0.000000291,0.000002479
0.000007424,0.224135607,0.349873662,0.001199491,0.003988964,0.002006667,0.000092051,0.000000387,0.000000350,0.097552985,0.191573113,0.013991695,0.022530792,0.032576691,0.116482526,0.131113812,0.047184337,0.505880237,0.504592896,0.893751085,0.708712459,0.007004697,0.002452938,0.000122197,0.000588331,0.005672071,0.000035335,0.000877063,0.007011944,0.051758628,0.002661328,0.001667719,0.000159702,0.000043374,0.000491862,0.000573107,0.180921078,0.160467774,0.000491638,0.010551072,0.038021728,0.054107811,0.033657093,0.002526850,0.626850426,0.615355730,0.025522945,0.016466238,0.000125361,0.000436291,0.000000313,0.000002088
0.000007948,0.197119221,0.322598785,0.001457108,0.004762146,0.002155194,0.000088825,0.000000447,0.000000401,0.102982476,0.194291458,0.014513131,0.021961611,0.040308896,0.107670806,0.112746947,0.048919171,0.507658422,0.509743214,0.883680999,0.705301881,0.006674720,0.002456423,0.000121542,0.000532548,0.005436503,0.000038072,0.000814679,0.008020005,0.061296288,0.003727245,0.002357513,0.000123811,0.000026520,0.000494395,0.000544895,0.208713934,0.184599414,0.000379232,0.017408462,0.045694098,0.055378720,0.042475455,0.002633785,0.619813442,0.600643277,0.034979180,0.022124687,0.000128931,0.000425814,0.000000354,0.000002152
0.000010045,0.242129758,0.317784250,0.001462423,0.003994655,0.002465679,0.000095894,0.000000471,0.000000522,0.105508849,0.187650174,0.017158324,0.027019439,0.032312572,0.121333539,0.131663963,0.046140522,0.473971725,0.459592104,0.892138362,0.695121884,0.006616147,0.002672488,0.000121240,0.000860919,0.006840456,0.000027213,0.001061658,0.009799805,0.061738193,0.005033608,0.003355852,0.000094903,0.000061844,0.000438536,0.000480492,0.271901429,0.256239086,0.000236549,0.005734759,0.075592093,0.073356025,0.061109304,0.002476642,0.594336867,0.569805861,0.041343037,0.029854525,0.000096042,0.000314023,0.000000271,0.000002618
0.000008753,0.313648790,0.335948139,0.000901673,0.002802580,0.002552833,0.000083334,0.000000431,0.000000431,0.126085341,0.215525016,0.015909946,0.026598854,0.026048273,0.128732741,0.156789929,0.046946526,0.501160741,0.471155643,0.903469384,0.670661092,0.005297130,0.002068320,0.000127267,0.000480234,0.004632140,0.000035870,0.000821975,0.007337469,0.046545658,0.005805746,0.003999584,0.000115698,0.000032364,0.000374149,0.000430610,0.208047494,0.180316240,0.000352813,0.012116631,0.046992991,0.044429768,0.052814733,0.002635640,0.597967982,0.577802777,0.039428994,0.036309473,0.000096726,0.000323035,0.000000317,0.000002366
0.000008513,0.253058702,0.325074255,0.001425553,0.003686714,0.002379950,0.000086545,0.000000400,0.000000390,0.114798233,0.206854597,0.017479092,0.028110903,0.040148985,0.103945546,0.113308974,0.050884373,0.463424861,0.456858218,0.890731514,0.709657788,0.005793924,0.002196830,0.000104713,0.000696899,0.005480158,0.000030552,0.000853963,0.009109370,0.064138561,0.003440895,0.002211661,0.000110100,0.000033419,0.000423048,0.000462098,0.228594899,0.195957109,0.000355974,0.013295138,0.051976737,0.052985247,0.051906127,0.002852693,0.588852644,0.566001773,0.030973684,0.020873729,0.000111590,0.000377153,0.000000306,0.000002121
0.000012628,0.235197961,0.415230334,0.000816358,0.003568979,0.001572618,0.000094647,0.000000550,0.000000800,0.112485252,0.198764250,0.024160760,0.036941923,0.041011192,0.099995017,0.110881001,0.054787666,0.406937301,0.373124033,0.873648167,0.693079352,0.006052174,0.002395147,0.000118627,0.000853237,0.006461074,0.000026889,0.000992293,0.011834364,0.082385764,0.012039291,0.008682180,0.000065682,0.000035436,0.000388953,0.000402945,0.329540551,0.324851871,0.000144007,0.009160801,0.116836302,0.070982814,0.098028481,0.003299256,0.516318202,0.502050042,0.076941505,0.074162409,0.000101722,0.000356659,0.000000297,0.000002906
0.000009768,0.211360544,0.498237699,0.000731671,0.003493031,0.000869862,0.000091341,0.000000518,0.000000705,0.125455126,0.216573030,0.026238950,0.038966626,0.027764868,0.133842438,0.146233320,0.043969922,0.384067327,0.360616833,0.859920382,0.730147839,0.004972741,0.002027288,0.000135570,0.000624962,0.006164513,0.000036986,0.000956423,0.009801026,0.112040736,0.013168441,0.008651993,0.000066456,0.000013457,0.000463074,0.000437730,0.269184887,0.286710888,0.000139332,0.029730611,0.081020653,0.069085278,0.067261748,0.003260853,0.462788343,0.477243513,0.100483768,0.078066573,0.000103332,0.000401224,0.000000355,0.000002755
0.000009649,0.226950556,0.537950873,0.000546115,0.003157270,0.000827856,0.000078559,0.000000515,0.000000636,0.121001862,0.202118039,0.027795572,0.039926518,0.032342765,0.107775331,0.132381380,0.054501090,0.364854723,0.343335032,0.853685021,0.719342232,0.005075634,0.002229265,0.000124090,0.000493835,0.004070683,0.000031970,0.000649465,0.007728357,0.059044681,0.013422721,0.009887570,0.000086202,0.000030530,0.000347482,0.000376898,0.227758661,0.234294057,0.000228445,0.012164043,0.061434127,0.039376736,0.080326624,0.004286915,0.526048303,0.531036615,0.072382167,0.086460061,0.000175126,0.000568713,0.000000361,0.000002637
0.000012218,0.258428961,0.530424714,0.000432642,0.002534511,0.000806375,0.000088698,0.000000433,0.000000615,0.162563965,0.245408058,0.028736716,0.042906605,0.017346557,0.196154967,0.204289570,0.031771790,0.384198189,0.356254339,0.903124392,0.805010319,0.003925940,0.001552984,0.000116933,0.000782187,0.006341899,0.000025159,0.001223741,0.010449351,0.056335345,0.011316385,0.008816624,0.000086374,0.000067755,0.000294367,0.000340487,0.278928667,0.249628559,0.000190308,0.004482294,0.079124123,0.057759948,0.084042035,0.003626022,0.496021807,0.463153929,0.074113116,0.072742261,0.000134942,0.000436797,0.000000247,0.000002600
