_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000995,0.001791599,0.001900323,0.195303231,0.400411904,0.255155146,0.000427027,0.000000508,0.000000271,0.074532673,0.059379183,0.286007106,0.294690251,0.210187554,0.017101811,0.038204789,0.214408040,0.035202291,0.020489972,0.382239461,0.111029953,0.017957848,0.005489006,0.000809293,0.012285866,0.168204173,0.000040193,0.003803515,0.004286748,0.021980394,0.001242838,0.001663399,0.003135554,0.000288596,0.138529256,0.101927638,0.040523060,0.313503504,0.000309810,0.000394453,0.009233117,0.018330619,0.001268037,0.011430311,0.021495705,0.047833256,0.002749620,0.027499566,0.026551720,0.051612590,0.000001353,0.000004359
0.000001525,0.002901719,0.002922894,0.149875775,0.341622859,0.222316265,0.000419970,0.000000564,0.000000277,0.075714663,0.072483227,0.239144310,0.262306660,0.201473370,0.017376479,0.039272346,0.212441504,0.039883800,0.024188785,0.389308065,0.134906128,0.015086650,0.004647098,0.000648509,0.008833332,0.159031883,0.000046137,0.005189529,0.006808963,0.023561100,0.000949442,0.001353687,0.002686207,0.000282395,0.079963520,0.063917845,0.054188672,0.335753053,0.000289722,0.000462593,0.011720031,0.016913969,0.001930349,0.014384343,0.035854440,0.076672025,0.002330245,0.033375051,0.027527397,0.046376344,0.000001077,0.000004703
0.000000860,0.003926334,0.005382260,0.139656529,0.319873571,0.167585537,0.000311532,0.000000503,0.000000277,0.052997898,0.049439132,0.294534206,0.299467206,0.323873043,0.009045593,0.025505910,0.274418771,0.033871435,0.019684201,0.372107685,0.089312240,0.023980848,0.006636832,0.000601427,0.013950579,0.193948761,0.000045520,0.003271820,0.003206289,0.019717060,0.000817611,0.001279536,0.005420718,0.000144758,0.140558675,0.096906036,0.018599855,0.204587296,0.000568312,0.001053404,0.005477679,0.016858911,0.000917728,0.013948232,0.011110633,0.029084630,0.001481303,0.028255478,0.039121702,0.080431879,0.000001731,0.000005006
0.000000475,0.005285542,0.008715565,0.084344000,0.299241036,0.136331931,0.000409330,0.000000289,0.000000325,0.055135772,0.055296998,0.319789201,0.316113383,0.344828010,0.008928734,0.024343183,0.288742721,0.033514731,0.019718742,0.338077515,0.131978303,0.025200741,0.006788478,0.001221326,0.020854507,0.152173206,0.000025098,0.002507542,0.003029063,0.017307382,0.000386413,0.000480080,0.006281289,0.000180966,0.337039083,0.259984493,0.021595001,0.192954004,0.000648292,0.000696643,0.003936297,0.019086750,0.000372819,0.005057753,0.021331657,0.049963988,0.003603264,0.028015478,0.045588735,0.109646223,0.000001632,0.000003604
0.000001042,0.003822887,0.005514083,0.114936627,0.280731529,0.150362834,0.000427789,0.000000537,0.000000414,0.077992290,0.051472969,0.350486159,0.331461698,0.275170445,0.012940057,0.027328713,0.221581265,0.027639180,0.018361878,0.334336966,0.156763315,0.017384937,0.006857069,0.000908041,0.022390470,0.144870400,0.000023001,0.002184340,0.004198763,0.012338902,0.001955142,0.003051902,0.002677673,0.000411954,0.260017902,0.204073146,0.041715171,0.263114393,0.000325118,0.000195175,0.009715548,0.017534634,0.002106674,0.014111299,0.019552762,0.035366025,0.002990822,0.031500027,0.088552773,0.154047117,0.000001857,0.000005598
0.000000571,0.004521302,0.007239505,0.103925511,0.249109164,0.111806385,0.000208174,0.000000363,0.000000204,0.100772835,0.111147039,0.384656072,0.374558866,0.237194657,0.016831337,0.032634370,0.196266383,0.025417795,0.016292647,0.320727497,0.291439652,0.012607094,0.003333301,0.000482972,0.043133911,0.234081969,0.000024310,0.003126114,0.001948315,0.010610401,0.002203635,0.003250637,0.002436979,0.000410650,0.174859449,0.109576091,0.016200682,0.192781717,0.000444118,0.000156897,0.011169238,0.020110510,0.001826079,0.008426700,0.002623835,0.005255032,0.001380338,0.011677267,0.016301803,0.035433490,0.000001178,0.000003632
0.000000437,0.002491291,0.006723893,0.170219392,0.316857606,0.074634403,0.000208797,0.000000354,0.000000123,0.135683149,0.193069950,0.303891331,0.322441787,0.208313107,0.021054639,0.041489478,0.193092927,0.041026242,0.025351208,0.475710690,0.362152785,0.009783428,0.001670587,0.000548952,0.016758956,0.217005745,0.000040071,0.004368131,0.001556617,0.013569877,0.001795911,0.002095383,0.003504764,0.000143649,0.107258320,0.084249765,0.010953081,0.120310448,0.000619313,0.000546485,0.008170015,0.013860401,0.000934035,0.004805694,0.003153584,0.006422273,0.002028036,0.009469978,0.013801022,0.032684751,0.000000904,0.000002067
0.000000805,0.002998429,0.005526138,0.157966539,0.274035752,0.105000392,0.000331023,0.000000479,0.000000158,0.085008666,0.142001361,0.235532656,0.276742786,0.183271199,0.020116115,0.045319058,0.200138301,0.054355942,0.030689310,0.494831055,0.331119686,0.015207597,0.002914176,0.000469104,0.021965688,0.193371341,0.000030144,0.003643101,0.002266166,0.023037143,0.004257042,0.004618152,0.001522860,0.000252217,0.118860118,0.086141892,0.021950731,0.250302464,0.000192711,0.000213935,0.020698695,0.024845852,0.004934337,0.011478577,0.004850239,0.009168673,0.002002888,0.005979393,0.042999335,0.095264435,0.000000708,0.000003113
0.000000579,0.000811279,0.004403590,0.186694860,0.520584106,0.121327519,0.000265208,0.000000622,0.000000232,0.080988370,0.109693199,0.476064384,0.442638516,0.313596457,0.012926980,0.023669530,0.259227008,0.022628138,0.011409123,0.378278852,0.209367394,0.019118071,0.003869718,0.000631260,0.016729033,0.239397168,0.000063831,0.003112948,0.001868853,0.014813170,0.004871385,0.007194105,0.002289385,0.000086806,0.132636592,0.085740648,0.010880403,0.174527466,0.000308515,0.000797482,0.010228192,0.015840290,0.001911782,0.009391961,0.004557057,0.012727356,0.001917131,0.026610306,0.029581215,0.086176924,0.000001480,0.000003886
0.000000353,0.000574857,0.005793846,0.208951816,0.523976684,0.095288314,0.000227429,0.000000430,0.000000133,0.133574158,0.222013980,0.470043063,0.443612367,0.343398780,0.011616958,0.020414019,0.291081816,0.021748733,0.012780786,0.368071139,0.286163807,0.010973091,0.001509802,0.000545722,0.013820986,0.265070260,0.000104408,0.003620394,0.002113329,0.027690733,0.001166080,0.001453855,0.003657237,0.000136514,0.127418727,0.080632135,0.010570913,0.230033442,0.000473521,0.000753958,0.008941278,0.012525626,0.001520885,0.007498335,0.004200082,0.012190911,0.001188118,0.007872560,0.018392265,0.057188150,0.000000932,0.000001838
