_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000003214,0.080865487,0.068446860,0.018492511,0.020300176,0.028999100,0.000371017,0.000000378,0.000000343,0.267447650,0.378645986,0.315285027,0.331377059,0.018917002,0.125019863,0.157711804,0.039551701,0.036206339,0.023368595,0.743481994,0.670967340,0.002056396,0.000422722,0.000775162,0.001193642,0.157115445,0.000169687,0.015389152,0.011257149,0.011865207,0.000704570,0.000600175,0.001457951,0.000742507,0.025782855,0.051185168,0.110127598,0.132446289,0.000442387,0.000152460,0.009437992,0.016819589,0.000997101,0.004254185,0.073999375,0.085795738,0.009391353,0.023595354,0.002466410,0.004938185,0.000000390,0.000003266
0.000003118,0.040496398,0.044373512,0.026213305,0.038577557,0.045334201,0.000562909,0.000000406,0.000000342,0.427654773,0.545865834,0.487338871,0.461255640,0.025485689,0.115268022,0.126943111,0.039715491,0.021876991,0.012714948,0.783731937,0.717225730,0.001205055,0.000186174,0.000970286,0.002168728,0.172080100,0.000130534,0.012414317,0.013051753,0.019684654,0.000538561,0.000399078,0.001729085,0.000807196,0.047194201,0.084986895,0.140532389,0.167968988,0.000399208,0.000153935,0.009593238,0.021218253,0.001014823,0.004862248,0.145785928,0.147386864,0.015879327,0.019170273,0.006777777,0.012780720,0.000000565,0.000003040
0.000004036,0.044329904,0.053858828,0.014304957,0.039618224,0.046610158,0.000607731,0.000000477,0.000000473,0.441090524,0.540403008,0.464949429,0.428877026,0.050484169,0.074170463,0.075175613,0.057038844,0.024039116,0.015860939,0.815420985,0.774487257,0.001161298,0.000187505,0.000956409,0.002433022,0.197444946,0.000144498,0.013222397,0.017126285,0.011014143,0.000743109,0.000633469,0.002129881,0.001512027,0.041845277,0.086400330,0.130423620,0.124432199,0.000481458,0.000062463,0.008304998,0.019541949,0.000910826,0.004827315,0.193762526,0.177581221,0.023886377,0.042480413,0.008857211,0.012586234,0.000000586,0.000003519
0.000004245,0.032720283,0.048411831,0.013068908,0.049959026,0.036027338,0.000571118,0.000000528,0.000000586,0.228484854,0.283408880,0.117242046,0.127779752,0.009257808,0.227439940,0.232106209,0.024774503,0.101709947,0.084822409,0.738780737,0.647846103,0.002366590,0.000857436,0.001092280,0.001677456,0.172052607,0.000135872,0.013349480,0.012005496,0.011539801,0.001471825,0.001266320,0.001015047,0.000427152,0.033064108,0.063259572,0.120538704,0.122433014,0.000226369,0.000177354,0.010555081,0.031162137,0.001203425,0.004473804,0.161437050,0.169149145,0.027302746,0.059616283,0.006025358,0.010958155,0.000000559,0.000004347
0.000004098,0.031092735,0.027074924,0.020617211,0.060217921,0.072021000,0.000620000,0.000000623,0.000000691,0.143145338,0.122286499,0.075703144,0.084288746,0.008748919,0.212133646,0.225533009,0.027381666,0.125262305,0.111216724,0.662117720,0.522564232,0.004112807,0.002934483,0.001286229,0.001632366,0.176072925,0.000135047,0.008498761,0.021094657,0.006676371,0.001184011,0.001198392,0.001238923,0.001106517,0.052502122,0.091613635,0.134368896,0.098029450,0.000190421,0.000066525,0.008891283,0.022266814,0.001222208,0.007399234,0.120003909,0.105507441,0.018836319,0.031275902,0.014634960,0.021259744,0.000000708,0.000005454
0.000004123,0.020143855,0.025655998,0.029069459,0.081012547,0.071646176,0.000574661,0.000000726,0.000000688,0.114500001,0.077270798,0.056739774,0.061338417,0.009709123,0.194530532,0.209029332,0.027760111,0.154032812,0.144898191,0.647037923,0.538108885,0.005289427,0.004752470,0.001219612,0.001562764,0.172468379,0.000133634,0.006727707,0.022187589,0.007363357,0.001248797,0.001390549,0.001117499,0.000954989,0.069577247,0.113575414,0.142318189,0.117867790,0.000154190,0.000084496,0.009076747,0.020990973,0.001663865,0.010006564,0.066321984,0.062988505,0.010849671,0.025471484,0.021739062,0.030804785,0.000000883,0.000006104
0.000003310,0.019683056,0.024123333,0.044157617,0.078475460,0.065925293,0.000427585,0.000000643,0.000000536,0.097647168,0.054206796,0.041930899,0.043873228,0.008870620,0.201282024,0.211171731,0.024260592,0.188212663,0.180968791,0.607973337,0.518691778,0.005715874,0.006609980,0.000900630,0.001583958,0.215911061,0.000185479,0.007662447,0.027511740,0.008541992,0.000889944,0.000985111,0.001498433,0.000920575,0.066412270,0.101348840,0.141181588,0.105837204,0.000199590,0.000100290,0.008791113,0.017650273,0.001726074,0.010130715,0.026619779,0.024566703,0.006024947,0.007843103,0.014567285,0.018076768,0.000000776,0.000004715
0.000003000,0.043651324,0.041336160,0.026659701,0.046403836,0.042901292,0.000284923,0.000000596,0.000000475,0.085360296,0.032740686,0.041968975,0.040648177,0.007668113,0.215286955,0.224714473,0.021849377,0.184114844,0.178777531,0.571072936,0.428996235,0.006340366,0.009493830,0.000563757,0.002521458,0.260966957,0.000170982,0.008215562,0.015624540,0.008773874,0.000717984,0.000797877,0.001756904,0.000742202,0.047617402,0.066679925,0.093577281,0.091831237,0.000423665,0.000167453,0.010109629,0.015246824,0.002765199,0.013767657,0.009292326,0.009722034,0.003221781,0.004794532,0.011092150,0.016114429,0.000000635,0.000003911
0.000002277,0.041094489,0.044945415,0.030366417,0.045008481,0.033181295,0.000213183,0.000000493,0.000000467,0.074707411,0.025801601,0.053131275,0.053736236,0.007467175,0.219781592,0.232949361,0.020665685,0.151544422,0.149985805,0.568074584,0.369212836,0.007446748,0.012962837,0.000433304,0.002493012,0.253138095,0.000204016,0.007430648,0.015653618,0.005571505,0.000437285,0.000528140,0.002077453,0.000641205,0.036697496,0.054788098,0.068165556,0.047923300,0.000750945,0.000264732,0.010363070,0.021249918,0.002687942,0.014373118,0.003505861,0.003223232,0.001745310,0.002790421,0.009467970,0.011780892,0.000000658,0.000003127
0.000001820,0.041004516,0.041726802,0.024489943,0.044984613,0.033515122,0.000115323,0.000000519,0.000000328,0.096122362,0.046472836,0.046479590,0.048070181,0.008111845,0.206940144,0.223480746,0.021930823,0.169731572,0.169463769,0.591458917,0.477812141,0.005280405,0.007479561,0.000241206,0.004992234,0.268478930,0.000164152,0.007472327,0.006120141,0.004567698,0.000538243,0.000566781,0.002804617,0.000746312,0.021832081,0.028828004,0.031330314,0.030398160,0.002592936,0.000280632,0.014113832,0.021714684,0.004237185,0.016037971,0.000643170,0.000541490,0.001095721,0.001314924,0.003371181,0.005192217,0.000000570,0.000002259
