_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000909,0.519479334,0.643971801,0.000001695,0.002968740,0.001839434,0.000019591,0.000000026,0.000000052,0.184988230,0.228821903,0.270008981,0.457114041,0.079671547,0.031780124,0.072344512,0.154041827,0.071632862,0.016116221,0.620404601,0.351392061,0.005948579,0.001850286,0.000017268,0.000641482,0.010946394,0.000218720,0.003988522,0.082818583,0.159993365,0.000003084,0.000004011,0.000683023,0.001180745,0.000060889,0.000044608,0.074244298,0.081397712,0.020750085,0.005972297,0.031871978,0.072346702,0.101011485,0.010664207,0.000748238,0.000895529,0.000076456,0.000107394,0.000234025,0.000373276,0.000000097,0.000000077
0.000000787,0.583298445,0.679284334,0.000002051,0.001708821,0.001173354,0.000026600,0.000000021,0.000000060,0.176352680,0.294641793,0.229556486,0.453788549,0.081144892,0.030712724,0.070223197,0.153951049,0.084899418,0.016756294,0.598120809,0.282023013,0.006344077,0.001293947,0.000031213,0.001435830,0.009507867,0.000108167,0.002345975,0.156849042,0.201287523,0.000001608,0.000002034,0.001353868,0.001248343,0.000114289,0.000106999,0.092940047,0.073616020,0.021882387,0.006286818,0.025153449,0.096612632,0.039327066,0.010121895,0.000885874,0.000842569,0.000067666,0.000063601,0.000458300,0.000561931,0.000000163,0.000000079
0.000000631,0.632148743,0.736390471,0.000001032,0.002003662,0.001026254,0.000039663,0.000000027,0.000000093,0.193974480,0.302595496,0.139595538,0.555674076,0.092954881,0.015307318,0.064324223,0.249412835,0.143396676,0.010758015,0.599807322,0.222320735,0.005187902,0.001415803,0.000071963,0.002236894,0.015353299,0.000111889,0.002898620,0.094287708,0.075953074,0.000003172,0.000004611,0.002397737,0.002222771,0.000405145,0.000530382,0.086159483,0.071710944,0.015710581,0.001774582,0.032201145,0.135020316,0.011648608,0.008469579,0.000678463,0.000670297,0.000057713,0.000122545,0.000615738,0.000729843,0.000000214,0.000000150
0.000000776,0.600493073,0.689500093,0.000001969,0.001715070,0.001120190,0.000033365,0.000000028,0.000000070,0.187171653,0.296202004,0.233874336,0.442425638,0.076799504,0.031989761,0.075681508,0.147435799,0.078938894,0.016594747,0.594972849,0.315763026,0.005981175,0.001231354,0.000042571,0.002647295,0.016161634,0.000096307,0.003179221,0.088283859,0.100795783,0.000001881,0.000002291,0.002829497,0.000976618,0.000249813,0.000297372,0.062281642,0.037139364,0.043622784,0.007873664,0.042830698,0.166272998,0.017633120,0.009883984,0.000267142,0.000204332,0.000056212,0.000041907,0.000498797,0.000595996,0.000000187,0.000000091
0.000000499,0.467545569,0.557606697,0.000004473,0.003202147,0.002111657,0.000041853,0.000000031,0.000000065,0.215977892,0.251743168,0.164407492,0.557904541,0.070187159,0.020662325,0.077390581,0.196757272,0.115885921,0.009801794,0.487418056,0.206091374,0.004504585,0.001611855,0.000113275,0.000784799,0.008785422,0.000140436,0.001333135,0.079854414,0.133857042,0.000007359,0.000008901,0.001630165,0.001654210,0.000804071,0.000781690,0.075385869,0.105289638,0.005129177,0.001378629,0.014436858,0.041723147,0.011931523,0.014640400,0.002187476,0.002939763,0.000115680,0.000182505,0.001630967,0.003238477,0.000000236,0.000000157
0.000000599,0.660489798,0.720739365,0.000001087,0.001696748,0.001340610,0.000034532,0.000000025,0.000000071,0.225905284,0.288983136,0.267426729,0.638495386,0.055966321,0.029520372,0.095469512,0.164737225,0.072843015,0.006104860,0.645454824,0.228822619,0.004291008,0.001379933,0.000066783,0.000924376,0.007652957,0.000136701,0.001436490,0.093126938,0.087562278,0.000004729,0.000006263,0.001182191,0.002070182,0.000309293,0.000328371,0.098200843,0.079910450,0.011821763,0.001889883,0.021791227,0.066461653,0.020548683,0.010048285,0.001152852,0.001123667,0.000097249,0.000140232,0.000749424,0.001011542,0.000000233,0.000000132
0.000000763,0.433171034,0.418255538,0.000009491,0.004655101,0.004562649,0.000025959,0.000000052,0.000000051,0.265536487,0.261868626,0.353028566,0.540471911,0.040025398,0.049764875,0.115349114,0.105934963,0.043612827,0.008389596,0.493622631,0.224081218,0.004033661,0.001355454,0.000054046,0.000218239,0.008474181,0.000640564,0.001282990,0.028163692,0.053032145,0.000019430,0.000025786,0.001121140,0.000779439,0.000428186,0.000372143,0.038347527,0.062852561,0.010660051,0.003651565,0.028229063,0.035551891,0.035751399,0.025858937,0.000444532,0.000613565,0.000078927,0.000207703,0.000665401,0.001428851,0.000000245,0.000000150
0.000000826,0.690451264,0.723031759,0.000001363,0.001072492,0.001155384,0.000039903,0.000000027,0.000000067,0.261176020,0.400167435,0.416337579,0.615753412,0.063408770,0.046773154,0.090469249,0.115873940,0.044403970,0.006831928,0.734273553,0.309974104,0.003974359,0.000687297,0.000050417,0.001292498,0.015399256,0.000233269,0.003135505,0.098172277,0.127443135,0.000002327,0.000003017,0.001903571,0.000612269,0.000320775,0.000335221,0.063376427,0.048861057,0.033923861,0.011668053,0.047204018,0.166375592,0.018899953,0.007387333,0.000293987,0.000288071,0.000048618,0.000071058,0.000376554,0.000473407,0.000000193,0.000000093
0.000001078,0.698604822,0.741273820,0.000000791,0.000977614,0.001003381,0.000036317,0.000000032,0.000000075,0.263333648,0.372870862,0.321817696,0.522502899,0.061546527,0.045249265,0.088653602,0.119325265,0.060663279,0.011656895,0.680398464,0.292747885,0.003589411,0.000833954,0.000045218,0.000921636,0.009545211,0.000182817,0.001873894,0.070924222,0.109841369,0.000009751,0.000011401,0.001070767,0.000527678,0.000233677,0.000238017,0.104371905,0.069083117,0.012403944,0.009614949,0.035928853,0.083285287,0.046334084,0.013302222,0.000905048,0.000823880,0.000134460,0.000129011,0.000612126,0.000859432,0.000000218,0.000000117
0.000000977,0.455930948,0.537292838,0.000006532,0.003764033,0.002395490,0.000032357,0.000000078,0.000000050,0.239258185,0.354532897,0.236113369,0.697649598,0.039050516,0.033552144,0.119449198,0.152586296,0.093476802,0.004591951,0.609695315,0.204489082,0.003536197,0.000902637,0.000061016,0.000069790,0.004352739,0.000736025,0.000914939,0.029472670,0.120532267,0.000104771,0.000148329,0.000465479,0.000320761,0.000286210,0.000162140,0.057780985,0.190532312,0.001686051,0.006095543,0.012366032,0.007220148,0.113570184,0.062214125,0.007783796,0.017619139,0.000311110,0.001657741,0.003567128,0.007840172,0.000000285,0.000000277
