_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000703,0.004046939,0.002405505,0.218672022,0.164801881,0.186084509,0.000229393,0.000000509,0.000000614,0.130574763,0.031158889,0.384678364,0.383701235,0.015511889,0.204645216,0.190465450,0.018515242,0.020366395,0.020071987,0.406839341,0.269660085,0.007207318,0.018110583,0.001209784,0.001482116,0.062390268,0.000178381,0.000862067,0.041486342,0.002913249,0.000089233,0.000132742,0.007532729,0.005537178,0.182971328,0.383783102,0.065551974,0.022980407,0.003966177,0.000051765,0.007786329,0.010317859,0.001181396,0.021043137,0.007262657,0.003384987,0.000995581,0.001654262,0.263475746,0.126364201,0.000002591,0.000001896
0.000000565,0.004002792,0.002432905,0.228002429,0.174061924,0.181092352,0.000215973,0.000000412,0.000000479,0.131878823,0.037965413,0.382102996,0.383304119,0.014335737,0.217520908,0.200293973,0.018773865,0.021589832,0.020808509,0.418136090,0.286516637,0.007543870,0.016129058,0.001358724,0.001135131,0.054434109,0.000205132,0.000866321,0.045698367,0.004839550,0.000027792,0.000041419,0.010866668,0.002742875,0.181303710,0.356231004,0.062534928,0.025654223,0.005332802,0.000147369,0.004899107,0.010034123,0.000597551,0.014862183,0.009205219,0.005016981,0.000663591,0.001381876,0.191524029,0.098066933,0.000002626,0.000001589
0.000000617,0.003182013,0.002129355,0.247820064,0.185102299,0.187921375,0.000222465,0.000000425,0.000000564,0.154495955,0.036604855,0.397468507,0.396656096,0.017581781,0.196252167,0.182987601,0.020040611,0.019272098,0.020186782,0.373596907,0.290506721,0.006293622,0.015866054,0.001439752,0.001611026,0.056554228,0.000168322,0.000913822,0.064081699,0.005397556,0.000025636,0.000038099,0.011402118,0.005077153,0.179366991,0.354916334,0.074311271,0.028941834,0.004579938,0.000082381,0.005353621,0.011956782,0.000707522,0.016910894,0.012885514,0.006510579,0.000721277,0.001277912,0.267946869,0.132981747,0.000002556,0.000001555
0.000000717,0.002947427,0.001769391,0.282788634,0.180109218,0.199522376,0.000246231,0.000000467,0.000000587,0.144256070,0.038708501,0.402439564,0.401678532,0.015782656,0.203310922,0.184824333,0.021270536,0.019997070,0.019677309,0.405380726,0.289585978,0.007025258,0.015524389,0.001413708,0.001685275,0.060886778,0.000171268,0.001046943,0.065029688,0.004230519,0.000032932,0.000050020,0.010175575,0.004043756,0.159479126,0.338752151,0.087212794,0.025997533,0.003991863,0.000099715,0.005988378,0.012282886,0.000776145,0.016917037,0.012140643,0.005547412,0.000771823,0.001353701,0.223922595,0.100834772,0.000002585,0.000001802
0.000000752,0.005171422,0.002832494,0.209843054,0.141012728,0.168192551,0.000246608,0.000000410,0.000000613,0.131437615,0.029264519,0.379030973,0.379750431,0.014673717,0.208173662,0.190767348,0.019511158,0.021726130,0.020897942,0.420962185,0.238673851,0.007717588,0.018819084,0.001305367,0.001570182,0.064136818,0.000183810,0.001038105,0.066266358,0.003979601,0.000032042,0.000052250,0.009380681,0.004337519,0.167662650,0.353545487,0.077337466,0.025574800,0.004213827,0.000086790,0.006596424,0.013232405,0.000808152,0.016811533,0.009135853,0.004394385,0.000603933,0.001469754,0.218930110,0.094504565,0.000002546,0.000001897
0.000000624,0.003934415,0.002456029,0.228859499,0.158465266,0.178079516,0.000203143,0.000000376,0.000000532,0.140049487,0.043653123,0.408022851,0.405242413,0.016010851,0.197771162,0.184908748,0.021010540,0.020231906,0.018469995,0.430020094,0.294171840,0.007165390,0.013278184,0.001258051,0.002090045,0.067422621,0.000164587,0.001002755,0.070612215,0.004409876,0.000018533,0.000031991,0.013800782,0.006040461,0.153213143,0.322985947,0.054627158,0.020401310,0.007034461,0.000077541,0.005804334,0.012897018,0.000647507,0.015959924,0.006321567,0.003188342,0.000361450,0.001248882,0.180076256,0.076578155,0.000002525,0.000001627
0.000000565,0.004126615,0.001465831,0.234650955,0.193240032,0.300620586,0.000023778,0.000000137,0.000000318,0.121272355,0.036203261,0.502840400,0.502069831,0.015473844,0.179338351,0.190000907,0.024133068,0.014039230,0.012069263,0.405860215,0.157425180,0.010124250,0.015508815,0.000073426,0.002357577,0.013451749,0.000065069,0.001066340,0.072529644,0.002296725,0.000007654,0.000018265,0.003454513,0.010135000,0.000950658,0.002518992,0.031915668,0.005199309,0.137005284,0.000285063,0.017716745,0.015117418,0.007063888,0.009450924,0.000096637,0.000034958,0.000034644,0.000316088,0.001232905,0.000377442,0.000002143,0.000000463
0.000000477,0.007260959,0.004474032,0.128695324,0.169241384,0.221185237,0.000012907,0.000000065,0.000000280,0.141513452,0.058012668,0.486448795,0.493449718,0.020709777,0.134315938,0.166031271,0.036432799,0.015691470,0.014844078,0.390064538,0.242394105,0.009860144,0.013071670,0.000025710,0.003826708,0.010524677,0.000028871,0.001725194,0.068365216,0.002624919,0.000010948,0.000025470,0.000469127,0.020999122,0.000178617,0.000318977,0.055080783,0.009596695,0.109708987,0.000154395,0.048962254,0.043072883,0.020083297,0.002060240,0.000041599,0.000012963,0.000051796,0.000246216,0.000041505,0.000014933,0.000000956,0.000000327
0.000000490,0.007184431,0.003583037,0.132939592,0.173035040,0.234050989,0.000010873,0.000000063,0.000000270,0.158333063,0.039888676,0.437442094,0.431338072,0.024121856,0.137747884,0.147264332,0.031105869,0.017592549,0.018127499,0.410232663,0.183510870,0.007924375,0.015815927,0.000031580,0.002790315,0.004895108,0.000023320,0.000709910,0.098967411,0.002798834,0.000008711,0.000021119,0.000708818,0.025163474,0.000193162,0.000413916,0.053927686,0.007698189,0.148645222,0.000144401,0.023392037,0.014132760,0.020794308,0.003790997,0.000073004,0.000021719,0.000044201,0.000286730,0.000130822,0.000040927,0.000001751,0.000000278
0.000000520,0.015047895,0.006894161,0.061651807,0.133038506,0.211433083,0.000013282,0.000000039,0.000000376,0.206618875,0.047918331,0.388528854,0.362942904,0.036309227,0.106434382,0.115876764,0.041055977,0.023105608,0.027203420,0.433557868,0.356693417,0.005842470,0.012435432,0.000102165,0.001854653,0.004268919,0.000017551,0.000759818,0.132330999,0.000824668,0.000027392,0.000099940,0.000660236,0.112806886,0.000399726,0.000886761,0.043389168,0.006272297,0.025813423,0.000007231,0.006404613,0.012852332,0.002357905,0.001017214,0.000429071,0.000155342,0.000129259,0.003719259,0.000137962,0.000032485,0.000001544,0.000000537
