_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000485,0.003782589,0.001541679,0.095856063,0.313414663,0.244799331,0.000019851,0.000000280,0.000000131,0.545175195,0.325708240,0.624444246,0.653597593,0.045631640,0.295400679,0.211623028,0.007149677,0.007697158,0.006187094,0.634423673,0.430820197,0.000876660,0.000430655,0.000187238,0.013395117,0.032976106,0.000061247,0.002251017,0.000394005,0.005140299,0.000497260,0.000530887,0.006643208,0.001170554,0.007382314,0.005686724,0.005426581,0.063878506,0.013126142,0.000672374,0.005793704,0.026811371,0.002767985,0.017819755,0.000147314,0.000330753,0.000390554,0.004098796,0.000294259,0.000830593,0.000002143,0.000000620
0.000001291,0.001557136,0.000744938,0.170306668,0.407859623,0.236574858,0.000051060,0.000001081,0.000000300,0.488117456,0.182464734,0.607253790,0.503524661,0.012722492,0.688963175,0.633777380,0.000643633,0.007090182,0.012759721,0.382440120,0.354177475,0.001427348,0.001148322,0.000500097,0.003576594,0.068638623,0.000351833,0.003000655,0.001041134,0.011389800,0.002962178,0.003382260,0.004927694,0.000106276,0.026859611,0.017556433,0.015155241,0.136761799,0.000999702,0.003999872,0.007997587,0.046754256,0.001799430,0.024678113,0.002476737,0.006700463,0.002778132,0.031389918,0.002192604,0.005235272,0.000004008,0.000001291
0.000001986,0.002104288,0.001152420,0.249815390,0.303024650,0.132417828,0.000078497,0.000001066,0.000000425,0.512246847,0.311468661,0.482695937,0.471387714,0.004650044,0.707068324,0.722870469,0.000969372,0.014514406,0.014594849,0.457671434,0.351770699,0.001352030,0.000498519,0.000681942,0.002797866,0.094233043,0.000577407,0.002820987,0.001268073,0.006811904,0.004558527,0.006109248,0.002856367,0.000066198,0.033680864,0.031591184,0.021538442,0.123390973,0.000466786,0.005171987,0.010313774,0.068597794,0.001863406,0.025441447,0.002349689,0.005933918,0.002695779,0.073854089,0.002252157,0.005597246,0.000004962,0.000002151
0.000002565,0.000890677,0.000514693,0.328819156,0.538560510,0.219192237,0.000189515,0.000001635,0.000000489,0.199713767,0.132122099,0.324243098,0.300540537,0.001531982,0.786818504,0.763976753,0.001621226,0.025321841,0.026447911,0.314130723,0.342216015,0.005190073,0.002197006,0.001271430,0.002608412,0.113891050,0.000755846,0.002386749,0.001493076,0.011477516,0.004930804,0.005913673,0.003241189,0.000047248,0.067026041,0.047040723,0.025778892,0.194454774,0.000232024,0.005783333,0.010512597,0.072936021,0.001439060,0.027041892,0.006866983,0.018276209,0.005080997,0.067510642,0.004653579,0.011791381,0.000004328,0.000004284
0.000001872,0.001087077,0.001032994,0.238109857,0.505459070,0.161085129,0.000208004,0.000001552,0.000000510,0.112305947,0.148508400,0.332890868,0.294656903,0.000967041,0.865119338,0.855492651,0.000752671,0.029517952,0.023625612,0.279442400,0.311905771,0.011642153,0.002320383,0.001819627,0.004933276,0.092786111,0.000303066,0.001311810,0.000738711,0.010564950,0.023163795,0.024750505,0.004740577,0.000031790,0.116331264,0.080084689,0.015032516,0.131291360,0.000387200,0.004881751,0.007906569,0.060777236,0.001107926,0.020665303,0.003287887,0.007495011,0.014643908,0.098579831,0.008425198,0.025786988,0.000007419,0.000004310
0.000001379,0.001045245,0.000670424,0.350429654,0.461090237,0.156407520,0.000154391,0.000001571,0.000000470,0.254451543,0.132217839,0.287557751,0.273797572,0.003797694,0.739866257,0.739861727,0.001249073,0.025983213,0.032894913,0.273364276,0.329464465,0.003804315,0.002448284,0.001484756,0.002429081,0.096317835,0.000577516,0.002230514,0.001038613,0.014414091,0.013560038,0.014895256,0.002675302,0.000012511,0.101372033,0.056573045,0.013779317,0.116822742,0.000345741,0.012768229,0.007859468,0.062831141,0.000695578,0.009425185,0.007418086,0.020075845,0.020219779,0.175594881,0.003640790,0.010946642,0.000005705,0.000002598
0.000000952,0.000345541,0.000291022,0.394783050,0.668801904,0.308500975,0.000201140,0.000001087,0.000000463,0.250319570,0.096939042,0.251238525,0.220248953,0.005593847,0.627359807,0.616133869,0.002637583,0.036269289,0.043377079,0.293683410,0.231964886,0.005094735,0.003188219,0.001821982,0.006493936,0.131762773,0.000427016,0.002215515,0.000548870,0.014720229,0.013887298,0.015086792,0.002239766,0.000031344,0.218189791,0.109498836,0.008136330,0.160003811,0.000294072,0.003392958,0.008930548,0.077257231,0.000763579,0.007405551,0.003091737,0.010772543,0.010751202,0.146478847,0.002792160,0.012040691,0.000005427,0.000002691
0.000001153,0.000400821,0.000420658,0.374891490,0.656769753,0.270227879,0.000229555,0.000001150,0.000000427,0.171709716,0.117909044,0.185111791,0.164391235,0.003346671,0.663045764,0.637390137,0.003115096,0.051730413,0.055130281,0.239142612,0.265066177,0.007671071,0.002630774,0.001805344,0.005015532,0.123340957,0.000406065,0.001913483,0.000517061,0.011752873,0.022582909,0.022728106,0.002819705,0.000020646,0.181370035,0.107629083,0.009176091,0.129808098,0.000355668,0.005135120,0.009232567,0.065136835,0.000681155,0.008682238,0.002999368,0.009029418,0.018768547,0.131315455,0.002684757,0.013270814,0.000005492,0.000002845
0.000001033,0.000396911,0.000388974,0.378950179,0.668167472,0.202310145,0.000312645,0.000001014,0.000000380,0.173283458,0.097379580,0.149419725,0.137123272,0.007641360,0.441446364,0.414150625,0.011572039,0.074754536,0.077998921,0.303321719,0.253779739,0.009731959,0.002836819,0.002255318,0.005912325,0.153963655,0.000418761,0.002220802,0.000444553,0.017646322,0.041913200,0.042822108,0.001592355,0.000017621,0.264749110,0.151583284,0.006583715,0.128776029,0.000251635,0.003091395,0.011375302,0.060321789,0.000897096,0.005182997,0.002558456,0.008408547,0.021861997,0.199779555,0.002247453,0.012894633,0.000004543,0.000003315
0.000001134,0.002091639,0.001477038,0.142447948,0.440749735,0.173817188,0.000400475,0.000000381,0.000000463,0.196858928,0.125562489,0.174822256,0.171806633,0.006645174,0.451295435,0.420368612,0.012148172,0.057862401,0.059037562,0.309882551,0.288631916,0.007085695,0.001959911,0.002158611,0.007992871,0.116646953,0.000162108,0.002695256,0.001483062,0.020221375,0.007190311,0.007092112,0.001354233,0.000016382,0.287979573,0.261042804,0.026337408,0.206623495,0.000123272,0.005151118,0.014967636,0.092129447,0.000604282,0.003345672,0.005490766,0.014088006,0.008751623,0.044743992,0.002243039,0.008632563,0.000002733,0.000003571
