_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001277,0.216519877,0.178984955,0.001287480,0.011555198,0.005229010,0.000128976,0.000000275,0.000000367,0.061351448,0.041312650,0.118979052,0.138865203,0.011584465,0.261382580,0.264352888,0.018546425,0.092438310,0.071153633,0.414585948,0.279936641,0.015236720,0.008626661,0.000942530,0.002784862,0.105968639,0.000138339,0.004596821,0.002097954,0.003172248,0.000626594,0.000794972,0.005606902,0.000013492,0.031621408,0.040639922,0.028489554,0.029134013,0.001126594,0.022295332,0.002652805,0.024749853,0.000212521,0.004594310,0.005291698,0.006414242,0.005556263,0.022254311,0.001457938,0.002305772,0.000001429,0.000002447
0.000001002,0.167670578,0.160480797,0.002521609,0.016818549,0.006103422,0.000114654,0.000000241,0.000000380,0.045528177,0.035263337,0.114384897,0.129773170,0.019071072,0.194103569,0.203439027,0.026657391,0.097304478,0.078008063,0.326549262,0.238039821,0.020123966,0.010892669,0.001222275,0.002746027,0.062219009,0.000073730,0.002419452,0.002136928,0.002600262,0.000404886,0.000523971,0.011091375,0.000013138,0.029498903,0.037914217,0.019751366,0.017702634,0.002089701,0.023439940,0.000916154,0.009159097,0.000107507,0.004616219,0.022337897,0.029883184,0.010500517,0.051465031,0.002824306,0.004986647,0.000001989,0.000002207
0.000001628,0.250689179,0.215206474,0.001313070,0.011660049,0.004470359,0.000238009,0.000000364,0.000000544,0.063276991,0.054315057,0.111069620,0.134963498,0.008217454,0.314931780,0.318991005,0.019451642,0.105222158,0.079227626,0.423115671,0.317931533,0.015548662,0.007394049,0.002047723,0.003114588,0.082656302,0.000100587,0.002637942,0.001792801,0.004588492,0.000635012,0.000681560,0.008626917,0.000005928,0.050973780,0.062332869,0.021353249,0.026337164,0.001162871,0.043330643,0.001228544,0.017692372,0.000124402,0.005525954,0.048504129,0.070763946,0.025029778,0.122410133,0.005305721,0.012876851,0.000002074,0.000003756
0.000001677,0.201862112,0.174768716,0.001674356,0.016746901,0.006591797,0.000328959,0.000000420,0.000000642,0.066303544,0.064172328,0.119815335,0.144028425,0.003425797,0.498597056,0.449575782,0.010172802,0.098336592,0.073205493,0.409991592,0.336584091,0.015224697,0.006586859,0.003338841,0.004319252,0.087061256,0.000085634,0.001825206,0.001619671,0.005499136,0.000571818,0.000620675,0.010141512,0.000008432,0.093902752,0.106262222,0.016630763,0.029289989,0.001222331,0.026311208,0.001091148,0.018160233,0.000109309,0.006492027,0.071313903,0.110574566,0.030571971,0.196449861,0.012668939,0.034445766,0.000002949,0.000004306
0.000002205,0.296854317,0.237224072,0.001541037,0.010227320,0.004296245,0.000613329,0.000000549,0.000001209,0.060578961,0.061758287,0.171011806,0.211944997,0.003575683,0.439413339,0.437009037,0.015636632,0.069982611,0.048746824,0.468917102,0.327955008,0.018203422,0.008129183,0.004719070,0.010340150,0.144610986,0.000085301,0.002630735,0.001780129,0.008345718,0.000611566,0.000568229,0.005853068,0.000007530,0.153562859,0.168171138,0.021948550,0.046247620,0.000474874,0.023930356,0.002507528,0.065385394,0.000162978,0.005391240,0.113306105,0.171613559,0.056418736,0.288873523,0.023888886,0.058686968,0.000001965,0.000007093
0.000002099,0.300786763,0.239894539,0.001471358,0.009453380,0.003949639,0.000598067,0.000000572,0.000001169,0.060528386,0.063321434,0.173214540,0.215063915,0.004426242,0.402314425,0.405662805,0.017412607,0.069797218,0.048456110,0.466353267,0.332447022,0.018108632,0.007933005,0.004571967,0.009712099,0.149500698,0.000095167,0.002692471,0.001748735,0.008367703,0.000692554,0.000632165,0.005919532,0.000006805,0.148555279,0.165021241,0.021511041,0.044563137,0.000446026,0.024390412,0.002482723,0.069313765,0.000163488,0.005501199,0.111188948,0.165485308,0.069014721,0.305249542,0.023896471,0.056468625,0.000001873,0.000006818
0.000002185,0.303167284,0.237542316,0.001424564,0.010195419,0.004091284,0.000658835,0.000000613,0.000001575,0.060255792,0.065428257,0.162014171,0.204550132,0.005039420,0.384908527,0.385100365,0.017896647,0.074271999,0.051788576,0.447577566,0.304953784,0.018339841,0.007741723,0.005287959,0.009444427,0.149870321,0.000123127,0.002447010,0.002042328,0.006476492,0.000654575,0.000616557,0.005839790,0.000005247,0.187776700,0.231668308,0.023938069,0.036632501,0.000452515,0.030577168,0.002607872,0.071664236,0.000171815,0.005210243,0.129920125,0.181828588,0.077158526,0.371084958,0.030521575,0.061978363,0.000002315,0.000006872
0.000001842,0.327035427,0.249493346,0.001270211,0.008911834,0.003858947,0.000722489,0.000000520,0.000001549,0.057399493,0.060734708,0.194195792,0.242589161,0.005230753,0.381904542,0.388373017,0.018650090,0.065686956,0.043263722,0.479365587,0.307826340,0.020983845,0.008313490,0.006037358,0.017327767,0.150315151,0.000072028,0.002433640,0.001950023,0.006675716,0.000608873,0.000532835,0.005511780,0.000007779,0.222416490,0.275671065,0.020829145,0.035593994,0.000447344,0.017112074,0.002567276,0.076001614,0.000182028,0.004153418,0.170671210,0.242680907,0.076515928,0.346539795,0.041022267,0.088518150,0.000001866,0.000006512
0.000001887,0.356337041,0.308417380,0.000999675,0.007841423,0.002720833,0.000780214,0.000000490,0.000001456,0.077231832,0.071222872,0.218254060,0.256014943,0.003912604,0.463078529,0.447252542,0.013904725,0.057914421,0.041180268,0.417193204,0.325105548,0.016998371,0.007252681,0.006202033,0.019618694,0.182321057,0.000090538,0.003045147,0.002172959,0.006473884,0.000447599,0.000381587,0.006322909,0.000012124,0.230679706,0.279856771,0.021344833,0.038174301,0.000489890,0.010908494,0.002464411,0.090726696,0.000183978,0.003713315,0.263106048,0.355851829,0.065498114,0.300340235,0.049147751,0.094769083,0.000001621,0.000006217
0.000001928,0.384679347,0.320236772,0.000915752,0.006355559,0.002219941,0.000822565,0.000000546,0.000001553,0.085363127,0.069947191,0.149206221,0.181669325,0.005636963,0.390340954,0.392971992,0.019006880,0.088206217,0.067677014,0.436510950,0.344568014,0.014623899,0.007244736,0.006809585,0.020850420,0.163877293,0.000071769,0.002984025,0.002300318,0.007864133,0.000598747,0.000491035,0.005533819,0.000007478,0.265314728,0.338957697,0.023858128,0.037620477,0.000455110,0.015572677,0.003117847,0.096668951,0.000242276,0.003175650,0.267472297,0.338241845,0.085022472,0.340295166,0.060666792,0.115036413,0.000001514,0.000005785
0.000001808,0.334598631,0.271349877,0.001262395,0.008200062,0.002971711,0.000811694,0.000000502,0.000001403,0.083421811,0.068280734,0.124651775,0.156630367,0.006071578,0.361055821,0.380901158,0.022117760,0.106915876,0.081163526,0.452234179,0.348050922,0.016081953,0.007059101,0.006801299,0.021962974,0.158501163,0.000064688,0.002769294,0.002181980,0.006393159,0.000501314,0.000421138,0.006353655,0.000009047,0.268369913,0.362414062,0.021048231,0.031040672,0.000520578,0.012806796,0.002724493,0.083511151,0.000206664,0.002995251,0.273994118,0.349044591,0.070574276,0.317718923,0.055618275,0.109909013,0.000001506,0.000005669
0.000002042,0.368900239,0.295742124,0.001165545,0.006898083,0.002670050,0.000905501,0.000000620,0.000002008,0.074613065,0.063450575,0.112055801,0.139429823,0.006306124,0.359036744,0.385934472,0.023062725,0.120019943,0.095704414,0.483132958,0.369287074,0.016239336,0.008196713,0.007386399,0.021873191,0.161101326,0.000079656,0.002790998,0.002090299,0.007186568,0.000823858,0.000653819,0.004648021,0.000003359,0.293920040,0.404613346,0.028047958,0.034206390,0.000311053,0.031507846,0.003511612,0.119619526,0.000228622,0.002691882,0.260818005,0.305657148,0.125586465,0.353123426,0.048900895,0.089726523,0.000001634,0.000006793
0.000001620,0.344004035,0.322922498,0.001450628,0.009012004,0.002723519,0.000978905,0.000000491,0.000001577,0.075550236,0.067406014,0.132918745,0.161648005,0.007671823,0.320884287,0.350709617,0.025563342,0.098702952,0.078762077,0.415586531,0.327083260,0.017909113,0.008019262,0.007565751,0.018327629,0.115173087,0.000070243,0.001706232,0.001321457,0.005482417,0.000573141,0.000433090,0.004810172,0.000007497,0.399862647,0.509257257,0.022590701,0.035855368,0.000428370,0.015927380,0.003762805,0.131353348,0.000237237,0.002823649,0.343393952,0.419911355,0.072649479,0.258216769,0.086428113,0.153237045,0.000001716,0.000006235
0.000001931,0.327151239,0.247917965,0.001939934,0.008362249,0.003766278,0.001016236,0.000000678,0.000001869,0.065247081,0.060083866,0.142122105,0.181249663,0.005836773,0.393199265,0.404139936,0.017920816,0.093539298,0.067584045,0.468960792,0.271590322,0.020743003,0.008731547,0.007121499,0.020414963,0.119547307,0.000070270,0.001753164,0.001044051,0.005636374,0.001645180,0.001177134,0.003449193,0.000004452,0.365738600,0.439872026,0.022541177,0.039577510,0.000326479,0.020874450,0.005318915,0.122809023,0.000464297,0.004200731,0.250611216,0.334680796,0.139009163,0.348083407,0.109826759,0.208789736,0.000001901,0.000006084
0.000001883,0.288167864,0.221098378,0.002603443,0.011690895,0.004827474,0.001015937,0.000000801,0.000002233,0.062965401,0.066812359,0.165484324,0.199441791,0.004884029,0.397079885,0.422086656,0.019495232,0.079637095,0.061418235,0.457893342,0.338551193,0.020299785,0.008443786,0.008105564,0.018982356,0.097041570,0.000061169,0.001306062,0.001027539,0.005686183,0.002084238,0.001519725,0.003575218,0.000002796,0.382429719,0.484625041,0.020706698,0.034901902,0.000313629,0.029724525,0.005019512,0.123867154,0.000429788,0.004163236,0.215390727,0.284029484,0.169690937,0.413454890,0.146756098,0.256009161,0.000002199,0.000007304
0.000001850,0.278388470,0.210323766,0.002814631,0.012141610,0.005058633,0.001005404,0.000000779,0.000002184,0.062382430,0.066541120,0.157993168,0.191811293,0.004685790,0.408595204,0.431453228,0.018632449,0.083686702,0.064313680,0.454203695,0.332909018,0.020720430,0.008401278,0.008261051,0.019384703,0.092715651,0.000058396,0.001242383,0.001015594,0.005668414,0.002027192,0.001480020,0.003585488,0.000002983,0.388767153,0.488609463,0.020559249,0.035509326,0.000314779,0.027644629,0.004943288,0.122785859,0.000435281,0.004181651,0.216076896,0.288554996,0.163261667,0.416174650,0.144842863,0.256195843,0.000002249,0.000007110
0.000002269,0.243075773,0.143564552,0.004011482,0.014697963,0.007144875,0.001056932,0.000001085,0.000002317,0.057920884,0.061212387,0.124501243,0.155549183,0.007165644,0.351055533,0.371477544,0.020704558,0.106318884,0.082659483,0.468858838,0.321562797,0.020087477,0.010121107,0.007139047,0.016137162,0.105602987,0.000083319,0.001475610,0.000908016,0.005082843,0.003073826,0.002184504,0.003038692,0.000002033,0.367315561,0.480602950,0.024833683,0.035368625,0.000236722,0.041130986,0.006985258,0.152201429,0.000614645,0.004948954,0.269081086,0.339212090,0.185344860,0.374747336,0.158010423,0.264073879,0.000002284,0.000007702
0.000002465,0.156417400,0.094495185,0.006311747,0.031035243,0.013079454,0.001165762,0.000001074,0.000002350,0.047331035,0.049199700,0.085694499,0.108894333,0.013510936,0.232100084,0.275122881,0.034260102,0.153771400,0.120421447,0.472128034,0.281306714,0.025898434,0.012326936,0.006134088,0.019452697,0.105442755,0.000069311,0.001505614,0.000850302,0.005513735,0.003464992,0.002465573,0.002161596,0.000002789,0.373350769,0.456885785,0.028793687,0.047821790,0.000164707,0.027819445,0.009910372,0.168380663,0.000827431,0.004692071,0.262828290,0.361857533,0.169621706,0.394311070,0.132375598,0.228710055,0.000002241,0.000008181
0.000002815,0.139556795,0.077963762,0.006027372,0.039185278,0.015422989,0.001315578,0.000000984,0.000002272,0.049079333,0.049760815,0.072165601,0.089842454,0.009099257,0.293297827,0.323208362,0.026616264,0.169941112,0.135399342,0.460346222,0.280127972,0.023042252,0.011819507,0.006221888,0.016706770,0.103862099,0.000089536,0.001426166,0.001053912,0.005936943,0.002765392,0.002039237,0.001898324,0.000003283,0.377980202,0.471126705,0.035029843,0.056204692,0.000122870,0.025448803,0.010896138,0.218491584,0.000838139,0.005227064,0.285091639,0.379774004,0.130582348,0.338763744,0.112115666,0.189258739,0.000002402,0.000008931
