_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001151,0.000139138,0.000782118,0.526757479,0.702533782,0.335802466,0.000148504,0.000000258,0.000001292,0.020075738,0.010463694,0.335529447,0.333554775,0.084977940,0.069059804,0.074856833,0.086724669,0.037714962,0.023694944,0.160079449,0.027439503,0.081232719,0.048258357,0.000730144,0.002528632,0.001807577,0.000008663,0.000043235,0.175075412,0.048401155,0.000655017,0.001105059,0.000331498,0.000178754,0.004959190,0.008000197,0.429437637,0.379069299,0.000093764,0.003905239,0.009217383,0.040852714,0.007981151,0.010395323,0.292930365,0.188472539,0.005531095,0.028659383,0.007063551,0.004708900,0.000006586,0.000003181
0.000001442,0.000154209,0.000910876,0.532377839,0.680071771,0.308386236,0.000156162,0.000000307,0.000001080,0.027346589,0.014308763,0.335890532,0.324250132,0.064838842,0.087981902,0.097172812,0.065396026,0.038857620,0.025467962,0.199180111,0.041657515,0.064747870,0.038753834,0.000577850,0.002879634,0.002188034,0.000011573,0.000057187,0.170084164,0.054768153,0.000236953,0.000376345,0.000508342,0.000183259,0.003474959,0.005253215,0.338824511,0.303134024,0.000236945,0.006034869,0.010317660,0.061140168,0.008348619,0.010915370,0.521851659,0.373504966,0.003757798,0.016545136,0.007206788,0.005027641,0.000005052,0.000003116
0.000001338,0.000137335,0.001006993,0.573070526,0.683431208,0.301135391,0.000154875,0.000000356,0.000001003,0.040772401,0.017472968,0.382115334,0.361927032,0.064996451,0.089809030,0.101341620,0.067659490,0.033688232,0.022908235,0.227633849,0.049663190,0.054597124,0.034559153,0.000598308,0.002903553,0.001580681,0.000009303,0.000044357,0.095518015,0.038186084,0.000345310,0.000517444,0.000648277,0.000212556,0.003177976,0.005035734,0.245637104,0.241695389,0.000382710,0.005202173,0.007855105,0.051946219,0.009957283,0.010635594,0.657627821,0.535835564,0.003797492,0.016337967,0.011873546,0.009088038,0.000005107,0.000003492
0.000001259,0.000143948,0.001017485,0.568964362,0.678160012,0.298114747,0.000151129,0.000000333,0.000000965,0.038029503,0.016566610,0.374826312,0.356553763,0.072278313,0.082347654,0.092618562,0.071642160,0.034436997,0.023169624,0.222296357,0.046507094,0.057124756,0.036191285,0.000602298,0.002905243,0.001541152,0.000009367,0.000042034,0.100473009,0.040019605,0.000298432,0.000445322,0.000672614,0.000217995,0.003381111,0.005303605,0.244271368,0.242472067,0.000397971,0.005143212,0.007395387,0.051891107,0.009135610,0.010408973,0.649518490,0.526113570,0.003546301,0.015378275,0.011608317,0.008749841,0.000005200,0.000003308
0.000001434,0.000205651,0.001058136,0.542926252,0.648129642,0.335154384,0.000186575,0.000000430,0.000000984,0.046843030,0.020025218,0.373741686,0.356394738,0.066354036,0.095262691,0.103822850,0.064870328,0.036191795,0.023987588,0.269575000,0.060059931,0.052639756,0.031287216,0.000725879,0.002684533,0.001600071,0.000010792,0.000047424,0.070754535,0.032653440,0.000346999,0.000507955,0.000737558,0.000198317,0.004594070,0.007070862,0.189000040,0.219963953,0.000486928,0.004944346,0.006886519,0.051092785,0.007978373,0.008588725,0.739185929,0.672036409,0.003301068,0.023208549,0.015741555,0.011630002,0.000005322,0.000004305
0.000001561,0.000443045,0.001117190,0.478007615,0.580540419,0.371567965,0.000253108,0.000000546,0.000001285,0.046283714,0.020574549,0.384646744,0.371891230,0.080520332,0.086321980,0.092232384,0.077411465,0.037101377,0.023851048,0.257494271,0.060690101,0.055641785,0.034740634,0.001057286,0.002794561,0.001437760,0.000009235,0.000042736,0.060642816,0.050596192,0.000325759,0.000431236,0.000697547,0.000145554,0.009032289,0.015161798,0.220852688,0.304654658,0.000408228,0.006660827,0.006898070,0.051261041,0.008175547,0.007971698,0.810045123,0.774118006,0.005607172,0.037403338,0.034588002,0.028485067,0.000006273,0.000005209
0.000001745,0.000426184,0.001260688,0.477449775,0.595711887,0.379523546,0.000301728,0.000000688,0.000001530,0.047180396,0.025957748,0.410549223,0.404130012,0.082772419,0.086826451,0.097170867,0.083073795,0.035522431,0.022174729,0.240898117,0.063347936,0.056216978,0.032278329,0.001175947,0.002931569,0.001440203,0.000007907,0.000046281,0.060132865,0.072153606,0.000268557,0.000338563,0.000920485,0.000145902,0.009614686,0.015759127,0.248365521,0.358943522,0.000445662,0.008972729,0.006131780,0.052182570,0.009755285,0.009225251,0.865080476,0.836210907,0.008331971,0.037657041,0.082620494,0.071706161,0.000006827,0.000005644
0.000001298,0.000473365,0.001994984,0.435776889,0.575040221,0.307455987,0.000268096,0.000000543,0.000001138,0.056408327,0.026423650,0.396436840,0.388843566,0.110452011,0.064517558,0.075806104,0.107210934,0.036211077,0.023592249,0.304528028,0.066864930,0.047911208,0.029164633,0.001242255,0.002185042,0.001134134,0.000008919,0.000036626,0.057419140,0.082716681,0.000162847,0.000199173,0.001158494,0.000130245,0.012146175,0.018928885,0.179643616,0.301280588,0.000647569,0.010891045,0.004009769,0.038747344,0.007187702,0.008822672,0.841185689,0.830058098,0.005314395,0.028558183,0.099824734,0.099094063,0.000006912,0.000004653
0.000001344,0.000458586,0.003489328,0.381566465,0.578972459,0.229141891,0.000240067,0.000000547,0.000001304,0.045037996,0.028528290,0.367368937,0.370666891,0.111465782,0.060228419,0.074083120,0.111106455,0.038126454,0.025270628,0.255930036,0.074297793,0.056468450,0.026912985,0.001162761,0.002373224,0.000995887,0.000007093,0.000030396,0.048711449,0.064547896,0.000324070,0.000395061,0.000744697,0.000123527,0.009502367,0.015654419,0.208873957,0.324577481,0.000449727,0.008946985,0.005129206,0.036521163,0.009477455,0.008633523,0.845824242,0.827009320,0.008001181,0.042831685,0.067072019,0.063170470,0.000006651,0.000004999
0.000001448,0.000463696,0.002823318,0.437280983,0.577035785,0.249862999,0.000224581,0.000000472,0.000001373,0.024560586,0.017814070,0.356518507,0.364790767,0.114248358,0.061424717,0.067421839,0.109669179,0.039689746,0.025026793,0.194590479,0.048763923,0.089437343,0.039309245,0.001054864,0.002531370,0.000940648,0.000006370,0.000027953,0.057846878,0.067277938,0.000329442,0.000410064,0.000689977,0.000140071,0.007975369,0.012921914,0.220262632,0.324422657,0.000427185,0.008019604,0.005328421,0.038866144,0.010452054,0.009254213,0.836174726,0.812748313,0.006680777,0.039339155,0.063842356,0.057182841,0.000006826,0.000004665
