_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002842,0.567152023,0.585027099,0.004582670,0.001584111,0.001008292,0.000028476,0.000000827,0.000000308,0.027559940,0.032311536,0.003843986,0.004299717,0.063649781,0.038036797,0.060129058,0.112772807,0.721701562,0.736658633,0.356934458,0.205747649,0.022732051,0.012117994,0.000066869,0.004992043,0.042185385,0.000154245,0.012925673,0.000396355,0.009794642,0.002975651,0.001404620,0.003638814,0.000765102,0.004720282,0.003078365,0.004925800,0.026513347,0.650473118,0.002436216,0.267942220,0.034918141,0.054657057,0.007441534,0.000004385,0.000004146,0.000396786,0.000121732,0.000003637,0.000008637,0.000000358,0.000000397
0.000002525,0.530744672,0.583152890,0.006014442,0.002357068,0.000780383,0.000025399,0.000000584,0.000000347,0.059984192,0.056166697,0.003519286,0.002913188,0.062991433,0.040833440,0.059973925,0.103670545,0.744451940,0.751442075,0.368418276,0.330768973,0.010499019,0.008758456,0.000058436,0.009095108,0.038436837,0.000085574,0.009693461,0.001773350,0.005821690,0.000888356,0.000541562,0.002831956,0.001637176,0.004316132,0.004219753,0.008370061,0.015317915,0.779775262,0.001384543,0.380864084,0.067458853,0.049582165,0.005243431,0.000002481,0.000001366,0.000177601,0.000062435,0.000002714,0.000004515,0.000000415,0.000000328
0.000003311,0.625566244,0.609711349,0.007472542,0.001037589,0.000747453,0.000027462,0.000001107,0.000000310,0.046119668,0.032872878,0.004487626,0.003742891,0.035830539,0.065515712,0.094000511,0.078396551,0.724526286,0.717521667,0.377156466,0.232262477,0.013119480,0.014832806,0.000065099,0.009650235,0.091300130,0.000252610,0.040166888,0.000452912,0.015229838,0.000532708,0.000270971,0.007708490,0.002126924,0.004495798,0.002457033,0.002216135,0.018191893,0.923436821,0.002233634,0.373675644,0.069903851,0.055553731,0.006717167,0.000001209,0.000001153,0.000100469,0.000051758,0.000002184,0.000005206,0.000000256,0.000000306
0.000003398,0.707336187,0.726103783,0.001831712,0.000914878,0.000465251,0.000036106,0.000001004,0.000000318,0.034012489,0.022695972,0.002487010,0.002346203,0.096470304,0.023358081,0.045725033,0.186601356,0.791497886,0.790322661,0.275912076,0.173786342,0.019508524,0.023486467,0.000050878,0.008477667,0.103970520,0.000297329,0.045383506,0.000881958,0.010560549,0.000503196,0.000207129,0.008774699,0.002866102,0.003192522,0.002359644,0.002927012,0.008590909,0.962449849,0.002404147,0.431534290,0.110573791,0.049433041,0.007114241,0.000001006,0.000000563,0.000223792,0.000019557,0.000003438,0.000007037,0.000000259,0.000000216
0.000002929,0.617644548,0.655448318,0.004510826,0.001447011,0.000708194,0.000033497,0.000000929,0.000000450,0.026129005,0.018326506,0.003501832,0.002880904,0.062381666,0.034085963,0.063902959,0.146300942,0.760172367,0.739239812,0.268679500,0.162625045,0.024791300,0.029571928,0.000062211,0.017754875,0.148665488,0.000417106,0.045398436,0.001312352,0.015223910,0.000072025,0.000035254,0.030186439,0.003027795,0.005430841,0.004118319,0.001057713,0.004308201,0.989342511,0.004337151,0.390454918,0.178948984,0.023547878,0.004983864,0.000000389,0.000000249,0.000035584,0.000009333,0.000003496,0.000007559,0.000000309,0.000000222
0.000003524,0.619158387,0.638791203,0.005316672,0.001955277,0.000836488,0.000031198,0.000001205,0.000000438,0.029945333,0.018065456,0.003116113,0.002283032,0.049993273,0.043606061,0.072886966,0.108695269,0.761079669,0.752778113,0.218767852,0.135961875,0.019779142,0.028285200,0.000050263,0.011823050,0.139467254,0.000294479,0.041428190,0.000899233,0.005070474,0.000715052,0.000329441,0.015270489,0.001663990,0.002655070,0.002538157,0.001804266,0.003251506,0.971842408,0.003602473,0.354380131,0.094427161,0.043998342,0.008013582,0.000000786,0.000000348,0.000235854,0.000020765,0.000006163,0.000010109,0.000000338,0.000000298
0.000002713,0.655593038,0.644487739,0.005223314,0.001161975,0.000714887,0.000023487,0.000000953,0.000000420,0.035204891,0.023878319,0.005378373,0.004509242,0.052912764,0.041486017,0.071601517,0.118093245,0.681819439,0.663454175,0.308198094,0.163343146,0.017360138,0.023762418,0.000051941,0.013503006,0.104344398,0.000284882,0.023598429,0.001127915,0.005704780,0.000253841,0.000154879,0.025762929,0.002194611,0.003954676,0.003740668,0.000938107,0.003324816,0.986728132,0.003207472,0.408133209,0.138428718,0.040056147,0.007691377,0.000000281,0.000000177,0.000039470,0.000020555,0.000005223,0.000010790,0.000000334,0.000000265
0.000002376,0.646719635,0.676685572,0.004414449,0.001093335,0.000602924,0.000019005,0.000000935,0.000000365,0.039663218,0.018326381,0.003222364,0.002274947,0.052924305,0.040772710,0.071807094,0.125099048,0.764364481,0.753864408,0.270907491,0.155073419,0.016498430,0.031933494,0.000038977,0.015220066,0.093901098,0.000300355,0.014167784,0.000534795,0.005206876,0.000188904,0.000108197,0.023570750,0.002211011,0.004516264,0.003172606,0.000694839,0.004553837,0.988334954,0.004454072,0.340111792,0.186024770,0.037852101,0.011646127,0.000000164,0.000000127,0.000034999,0.000018401,0.000006609,0.000019365,0.000000464,0.000000246
0.000000849,0.765250802,0.752967060,0.000510584,0.000437446,0.000552549,0.000014439,0.000000237,0.000000134,0.438013375,0.294838250,0.083550595,0.083383702,0.049173471,0.055793744,0.099196598,0.096621178,0.150952026,0.154297143,0.736385942,0.568867087,0.001218613,0.001211717,0.000055405,0.006735147,0.033988118,0.000246660,0.006177168,0.001149062,0.001458267,0.000425097,0.000415084,0.006615868,0.001242280,0.003028981,0.003080629,0.001562189,0.002120958,0.942287266,0.001797909,0.136898205,0.045272321,0.015559898,0.003849203,0.000000634,0.000000394,0.000057395,0.000090106,0.000002307,0.000004398,0.000000396,0.000000206
0.000000555,0.396205157,0.352170765,0.001897071,0.006043362,0.010438347,0.000020709,0.000000187,0.000000166,0.548783183,0.413427263,0.406930238,0.423955142,0.038139835,0.065469906,0.111777075,0.078552894,0.022175252,0.017326029,0.688864946,0.475041062,0.000948754,0.000730197,0.000038447,0.018068805,0.071823098,0.000169059,0.012068803,0.002595976,0.001197726,0.000088927,0.000064648,0.007326079,0.003549334,0.001378723,0.002424740,0.002900608,0.000836983,0.963775814,0.001249154,0.148127779,0.055981345,0.011957148,0.002874135,0.000000506,0.000000138,0.000097303,0.000015841,0.000004043,0.000004577,0.000000436,0.000000179
0.000000708,0.278726101,0.233486190,0.005202787,0.010731411,0.018963741,0.000020458,0.000000277,0.000000219,0.535840273,0.394103557,0.397898942,0.405212641,0.100221261,0.027582819,0.053811140,0.150160983,0.024401058,0.020006411,0.657561243,0.448387414,0.000927100,0.000895718,0.000034460,0.017647536,0.052431837,0.000128895,0.008796893,0.001791758,0.000908675,0.000468633,0.000357799,0.003081156,0.005169921,0.001701567,0.002792877,0.003922615,0.001526900,0.907227635,0.000434142,0.256646901,0.053236768,0.026472494,0.003529497,0.000000595,0.000000175,0.000141300,0.000036653,0.000003629,0.000003786,0.000000483,0.000000282
0.000000989,0.079197593,0.123318285,0.021493882,0.023617117,0.025087800,0.000059558,0.000000780,0.000000357,0.173467547,0.119002707,0.070377775,0.084807366,0.062408019,0.024489505,0.075510062,0.162115455,0.129227072,0.109428748,0.504107952,0.292835355,0.004997126,0.004979146,0.000053403,0.021776317,0.377595454,0.001429843,0.006249190,0.001864215,0.001103212,0.001596992,0.001429965,0.002995806,0.001166965,0.017111897,0.027047390,0.003792655,0.002130109,0.602783322,0.000516117,0.173054755,0.077103101,0.027687499,0.005746434,0.000000416,0.000000119,0.000103743,0.000060953,0.000031864,0.000021099,0.000001386,0.000001050
0.000001188,0.008531353,0.015871052,0.274450123,0.084306359,0.088965252,0.000200687,0.000001808,0.000000706,0.091831349,0.035028875,0.067845434,0.064926416,0.009096265,0.230614737,0.222352326,0.022867318,0.116073802,0.137593478,0.312833130,0.167312011,0.009288764,0.018842198,0.000181570,0.014978796,0.466977000,0.002996361,0.002016490,0.001391962,0.003214699,0.147367015,0.090755038,0.001326278,0.005371672,0.087415740,0.064161763,0.003315241,0.006986135,0.028555676,0.000017113,0.044704754,0.026944790,0.012413603,0.019279025,0.000014410,0.000007975,0.009230832,0.000815582,0.000361046,0.000290653,0.000003865,0.000003396
0.000001028,0.040169574,0.077381499,0.034865379,0.047624622,0.036765546,0.000232817,0.000000966,0.000000674,0.055646434,0.023498423,0.058103207,0.066575155,0.011308448,0.106194481,0.220565945,0.055427335,0.124753818,0.126743108,0.261198074,0.109648786,0.016644180,0.021090187,0.000234979,0.004948275,0.412042588,0.003947206,0.003438705,0.001657652,0.008965400,0.017355459,0.009142697,0.000961262,0.000464278,0.113877475,0.094820783,0.013525180,0.018145084,0.009125848,0.000304093,0.040452659,0.019987570,0.010655637,0.009872979,0.000061724,0.000039876,0.006902929,0.000562781,0.000326201,0.000369671,0.000001853,0.000002816
0.000000872,0.106666148,0.152181044,0.011205646,0.024685506,0.021139758,0.000121791,0.000000401,0.000001038,0.034235224,0.015212255,0.090877704,0.101156540,0.016376980,0.131977215,0.154551327,0.035638332,0.081147999,0.091742694,0.206633359,0.097953700,0.023867941,0.035362076,0.000129537,0.038094494,0.414228857,0.000827875,0.002714749,0.002106185,0.002248270,0.003001380,0.002365019,0.000783816,0.000484768,0.060927283,0.065621056,0.024854073,0.012284368,0.016506301,0.000643588,0.049041174,0.050410137,0.007974611,0.005345657,0.000017914,0.000006719,0.001571063,0.000325161,0.000092474,0.000060812,0.000002633,0.000002131
0.000000928,0.083282843,0.119655862,0.017352575,0.030632962,0.026966950,0.000128011,0.000000416,0.000001037,0.035249382,0.016925279,0.087814964,0.100036651,0.015614327,0.135349274,0.160502464,0.035396829,0.083930604,0.092928916,0.211806118,0.099332243,0.023307187,0.032182612,0.000131108,0.039501008,0.407746822,0.000765428,0.002797196,0.002117551,0.002263456,0.003100550,0.002517584,0.000739138,0.000511059,0.062930144,0.066007838,0.026265102,0.014030844,0.013533434,0.000570995,0.052425038,0.052339055,0.008464787,0.005514164,0.000020119,0.000007879,0.001430875,0.000358529,0.000097922,0.000063793,0.000002691,0.000002315
0.000000558,0.063360527,0.128315702,0.027065249,0.031252582,0.015640851,0.000140978,0.000000285,0.000000751,0.049971968,0.018085718,0.092680141,0.092642888,0.021881420,0.114447854,0.123540826,0.035152361,0.075816110,0.097707428,0.219811842,0.146673292,0.015102886,0.028280776,0.000181801,0.035448838,0.420470446,0.000448282,0.003434066,0.006174149,0.003347977,0.000658523,0.000392048,0.001519234,0.002302937,0.054595288,0.076406427,0.040850569,0.010296307,0.019508069,0.000164635,0.027323732,0.041850667,0.003034475,0.003108435,0.000072535,0.000018222,0.004682723,0.000132900,0.000186505,0.000090134,0.000001759,0.000001199
0.000000662,0.030960647,0.079719640,0.034293495,0.082484789,0.036318000,0.000110056,0.000000515,0.000000974,0.039452560,0.016255226,0.156643316,0.154354960,0.128323898,0.024019616,0.029997079,0.131425232,0.048918281,0.056232400,0.175823972,0.105391353,0.021803593,0.035867069,0.000117174,0.023801286,0.499761254,0.001944167,0.002249854,0.005314126,0.005235178,0.001075256,0.000864389,0.001474859,0.000569434,0.070175111,0.079709336,0.025003104,0.013491331,0.023864754,0.000827216,0.040348362,0.044086777,0.006882418,0.004692324,0.000029166,0.000010883,0.001017573,0.000196785,0.000148874,0.000079573,0.000002945,0.000002037
0.000000738,0.029831382,0.047884624,0.051123068,0.068059511,0.042193219,0.000099194,0.000000344,0.000000730,0.039486341,0.022703355,0.134996951,0.143914282,0.027008409,0.093713306,0.103285231,0.041025180,0.051457409,0.059620041,0.201117143,0.134418398,0.018428413,0.023355741,0.000123198,0.030532848,0.309820294,0.000309507,0.003436839,0.004352793,0.002381891,0.000551030,0.000461603,0.001379630,0.001473388,0.040234003,0.050806638,0.032626383,0.012939844,0.015497171,0.000258519,0.064023204,0.054560892,0.006566205,0.007386676,0.000039609,0.000014244,0.000908685,0.000181569,0.000307193,0.000174860,0.000001552,0.000001428
0.000000284,0.004827009,0.057927169,0.038781136,0.238966867,0.031380631,0.000033274,0.000000180,0.000000241,0.051194791,0.079369597,0.086000524,0.096225053,0.017469430,0.172850072,0.177425593,0.020377601,0.089743331,0.104384534,0.229927793,0.242890701,0.014001302,0.008692866,0.000058973,0.010258717,0.191044435,0.000544833,0.010125651,0.001233591,0.009846156,0.000030193,0.000018623,0.005035148,0.000901002,0.008587104,0.005993562,0.005406254,0.008566150,0.191525802,0.002414558,0.072968639,0.124633871,0.003067459,0.003082594,0.000006286,0.000004223,0.000177261,0.000024567,0.000038342,0.000057575,0.000000682,0.000000232
0.000000276,0.005122884,0.051595591,0.040355209,0.236638740,0.034499105,0.000033690,0.000000184,0.000000239,0.048535410,0.074250154,0.088825926,0.099364139,0.016916879,0.174629718,0.178691790,0.020245720,0.085836731,0.099692605,0.218598485,0.236910179,0.014551906,0.009182216,0.000060772,0.011086753,0.195888236,0.000527970,0.009668089,0.001151720,0.010819015,0.000029172,0.000017472,0.005444589,0.000878424,0.009340255,0.006393313,0.005099035,0.008785916,0.192820787,0.002498132,0.067216754,0.119019389,0.002858703,0.003269318,0.000006529,0.000004549,0.000181951,0.000023984,0.000041049,0.000064243,0.000000692,0.000000236
