_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000545,0.000740214,0.001972899,0.232181311,0.692903519,0.154037103,0.000008805,0.000000860,0.000000135,0.289396524,0.297933459,0.402078718,0.387753755,0.015166212,0.358376592,0.364593863,0.004669708,0.018547844,0.019143574,0.247663349,0.327198774,0.002120998,0.001652430,0.000090639,0.000052501,0.005132931,0.000593737,0.002002058,0.000254552,0.001014997,0.009159460,0.008750858,0.004478301,0.000015921,0.000493094,0.000383605,0.005142923,0.005429502,0.127182931,0.097586408,0.001200859,0.000658717,0.003553880,0.016965328,0.001202885,0.001792339,0.016604237,0.036042597,0.000700342,0.001166808,0.000007908,0.000000398
0.000000528,0.000847075,0.002000417,0.247260526,0.659376144,0.153049156,0.000009217,0.000000971,0.000000126,0.252396911,0.275565088,0.365020990,0.351492345,0.017295092,0.327527076,0.326111346,0.005903016,0.021899225,0.022855110,0.241045222,0.327354729,0.002519844,0.002028924,0.000092926,0.000044157,0.005423920,0.000724416,0.001772166,0.000210044,0.001061945,0.011246953,0.010417454,0.004758186,0.000007665,0.000648836,0.000472098,0.004164917,0.005023209,0.120000243,0.179786950,0.001153537,0.000669880,0.003151847,0.017538864,0.001116046,0.001755398,0.018017191,0.036608554,0.000865905,0.001558961,0.000008396,0.000000436
0.000000549,0.000821528,0.001980126,0.237682492,0.681846380,0.162642509,0.000009777,0.000001053,0.000000122,0.239811510,0.274404168,0.363783985,0.350997180,0.016991248,0.333401382,0.331194460,0.005837512,0.022114795,0.022724720,0.233084321,0.314435929,0.002687739,0.002122248,0.000095669,0.000037661,0.004598135,0.000729115,0.001540504,0.000187764,0.001116244,0.015309756,0.013074358,0.004943021,0.000005791,0.000626494,0.000425435,0.004292223,0.005149490,0.113093898,0.225916535,0.000979285,0.000539417,0.003333573,0.020108176,0.001618980,0.002503706,0.028023731,0.040043935,0.001146543,0.002119367,0.000009380,0.000000451
0.000000638,0.000615817,0.002310187,0.245877445,0.711982727,0.149843842,0.000009913,0.000001080,0.000000155,0.191891611,0.215915874,0.337929964,0.326789409,0.015643407,0.329674095,0.328452587,0.006279494,0.022759609,0.024036020,0.203335539,0.285394192,0.003285155,0.003127968,0.000093213,0.000031849,0.003154915,0.000498537,0.001323233,0.000249402,0.001100419,0.020419421,0.017790902,0.002746914,0.000006484,0.000372197,0.000280586,0.007642073,0.006464221,0.067691132,0.210993007,0.001188547,0.000502086,0.005415438,0.022366188,0.002845549,0.003973272,0.039123658,0.049507082,0.001214375,0.002057418,0.000008983,0.000000498
0.000000398,0.000422010,0.001834343,0.313735276,0.724047542,0.149884135,0.000012615,0.000000915,0.000000195,0.181411982,0.183450177,0.335501790,0.319163144,0.016970690,0.332049370,0.328332692,0.005642019,0.025088698,0.027130054,0.205614865,0.292685360,0.004023527,0.004446766,0.000234087,0.000048019,0.005219495,0.000527450,0.000636373,0.000761241,0.000602060,0.003166390,0.003410998,0.017747900,0.000012474,0.001833394,0.002119197,0.007225147,0.002294620,0.116234414,0.093983196,0.000244645,0.000371605,0.000847701,0.024080170,0.009507067,0.009331746,0.028284095,0.045044098,0.008227276,0.010919158,0.000014416,0.000000544
0.000000410,0.000486071,0.002192292,0.273058355,0.727905393,0.138887137,0.000012438,0.000000862,0.000000203,0.155043125,0.172899023,0.330983073,0.316170096,0.014949276,0.367028117,0.368694752,0.004195975,0.024223231,0.026770430,0.190475658,0.294902861,0.004605644,0.004773539,0.000223243,0.000043265,0.005994474,0.000665794,0.000753087,0.000885271,0.000551108,0.002702734,0.003054442,0.017814364,0.000012702,0.001757931,0.002249492,0.007824613,0.002220776,0.117752805,0.093416758,0.000282393,0.000462161,0.000792430,0.021131616,0.006930504,0.006698378,0.021155072,0.040042091,0.006786102,0.007867374,0.000013859,0.000000533
0.000000361,0.000885342,0.003199072,0.206180647,0.679193437,0.127825826,0.000009391,0.000000689,0.000000144,0.136728853,0.158427864,0.366942942,0.361531138,0.020069817,0.296466053,0.291336179,0.006847012,0.022310192,0.021004725,0.222639129,0.257236570,0.005917567,0.005092887,0.000166965,0.000022294,0.003171434,0.000631235,0.000714821,0.000416871,0.000687649,0.004120997,0.004036813,0.008948575,0.000008486,0.000799243,0.000851515,0.006634613,0.003132635,0.116083458,0.141882837,0.000312294,0.000325564,0.001087771,0.014351464,0.006780304,0.007911913,0.029121762,0.045224089,0.001786877,0.002635989,0.000010706,0.000000454
0.000000402,0.000846073,0.002379763,0.245106801,0.671817720,0.143926352,0.000009228,0.000000924,0.000000138,0.136768132,0.161580428,0.355080336,0.348690748,0.021420252,0.293145269,0.278619736,0.007067114,0.023477949,0.021874536,0.217223302,0.258003384,0.005637461,0.005046815,0.000133137,0.000023945,0.003530824,0.000742881,0.000796054,0.000263504,0.000849960,0.009762072,0.008518976,0.006522693,0.000005716,0.000786609,0.000665529,0.005486744,0.003875082,0.104606144,0.199325487,0.000530647,0.000405777,0.001928062,0.017891310,0.003113713,0.004156682,0.032995872,0.040408675,0.001486429,0.002354285,0.000010530,0.000000471
0.000000426,0.001325554,0.003663098,0.176773369,0.633254528,0.114428408,0.000007599,0.000000750,0.000000106,0.168512613,0.162554890,0.329073519,0.320289999,0.020924306,0.297758400,0.288472176,0.006630613,0.026226738,0.025359498,0.242741093,0.268956721,0.004520730,0.004376205,0.000090844,0.000024836,0.004258352,0.000803914,0.001212435,0.000220925,0.000953881,0.006574026,0.006001292,0.004932974,0.000008936,0.000529340,0.000407349,0.004368498,0.004339622,0.122668266,0.160920277,0.000729649,0.000620504,0.002558508,0.018198794,0.001399155,0.002096587,0.015856124,0.026547438,0.000840713,0.001435025,0.000007648,0.000000413
0.000000400,0.001095829,0.003002818,0.187986717,0.651795983,0.125285268,0.000006825,0.000000661,0.000000113,0.170104176,0.147381052,0.351494938,0.344762862,0.021079866,0.292992622,0.285833210,0.006544678,0.022747897,0.022956399,0.242833361,0.270350546,0.004516179,0.004855480,0.000087417,0.000026199,0.003610494,0.000768929,0.000980187,0.000353728,0.000760706,0.004518158,0.004530216,0.005062412,0.000018220,0.000457441,0.000423133,0.005062224,0.003656008,0.148041114,0.087008096,0.000781383,0.000631156,0.002994943,0.019315785,0.001114241,0.001446805,0.009864434,0.018620921,0.000791606,0.001215617,0.000007507,0.000000383
