_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000943,0.007032473,0.003777832,0.124501370,0.175157607,0.152863264,0.000300326,0.000000274,0.000000330,0.165826753,0.192245543,0.408822447,0.438479841,0.021810455,0.132025108,0.154907778,0.037169680,0.023600779,0.015861923,0.346336454,0.277690947,0.006724581,0.003349791,0.000392526,0.078667179,0.437452167,0.000040655,0.008125342,0.011688786,0.051062271,0.000468300,0.000434546,0.001978685,0.000915982,0.055084236,0.032840401,0.107160322,0.255164027,0.000243479,0.000129902,0.016757159,0.039594278,0.002913847,0.004538046,0.012024627,0.011457095,0.002138808,0.000985187,0.008547291,0.008903402,0.000000759,0.000002981
0.000000427,0.002287875,0.001033074,0.254083335,0.254511058,0.255924195,0.000230099,0.000000193,0.000000317,0.124281548,0.150429741,0.352877140,0.388735443,0.035285711,0.110536963,0.118917845,0.042232580,0.032855544,0.024621278,0.338765174,0.374298960,0.008645984,0.005729375,0.000403699,0.181575924,0.464185804,0.000023195,0.010553979,0.026563313,0.079835445,0.000097240,0.000098713,0.003047592,0.000957796,0.054879192,0.034154925,0.066910043,0.152993187,0.000758593,0.000172198,0.012580245,0.042044330,0.001118845,0.001392002,0.005934692,0.005529698,0.001067919,0.000567769,0.002614929,0.002484682,0.000000664,0.000001422
0.000001105,0.011067640,0.003937756,0.114805423,0.107072510,0.168470964,0.000357505,0.000000252,0.000000427,0.153102353,0.151661918,0.388178676,0.420250922,0.027816627,0.123863213,0.130341813,0.040068422,0.029194362,0.018718297,0.401454240,0.277233273,0.007040625,0.004651415,0.000380989,0.273618758,0.487000972,0.000013061,0.007888745,0.022895545,0.090493210,0.000700251,0.000544297,0.001307168,0.001660807,0.038537208,0.022185100,0.129815072,0.253159553,0.000164200,0.000066858,0.014853549,0.037846144,0.004252821,0.004923167,0.017791942,0.014537813,0.004541194,0.000943623,0.008760038,0.009836171,0.000000747,0.000003277
0.000001175,0.005129437,0.005255752,0.133637071,0.205005631,0.097273447,0.000445611,0.000000598,0.000000355,0.130411908,0.146392614,0.300395280,0.316262454,0.022440162,0.138760015,0.142738730,0.034416921,0.039604433,0.030709736,0.354791403,0.369659364,0.008491998,0.005769682,0.000540945,0.089560755,0.468467236,0.000056013,0.004626451,0.010563221,0.089530192,0.002858475,0.002084094,0.001708170,0.000528786,0.148245275,0.061963484,0.088904299,0.288657248,0.000123362,0.000121505,0.013268086,0.024556039,0.004641826,0.009790526,0.023213198,0.024309581,0.009472157,0.001715817,0.020463958,0.036779385,0.000001119,0.000004910
0.000001003,0.005120879,0.002887049,0.174800217,0.153954968,0.158841535,0.000466754,0.000000428,0.000000391,0.093255915,0.092770077,0.193834513,0.204939052,0.041991815,0.092969842,0.097980194,0.050673991,0.072963081,0.060838442,0.345832080,0.357498318,0.011519361,0.010287622,0.000620220,0.223895088,0.463710546,0.000017831,0.007342761,0.021123733,0.129057840,0.000756717,0.000541604,0.002378803,0.001443966,0.110700235,0.043652840,0.097252548,0.298542589,0.000159579,0.000054352,0.009459284,0.029030614,0.002039733,0.005343765,0.047680035,0.050889824,0.010375240,0.001396408,0.015381566,0.023738509,0.000000754,0.000003374
0.000001239,0.003781073,0.002373481,0.213616654,0.187684551,0.175858706,0.000477132,0.000000578,0.000000402,0.090720534,0.094389923,0.163367704,0.181015402,0.033557534,0.109424040,0.113613509,0.039824858,0.080875769,0.064078853,0.367957294,0.334516972,0.010763477,0.009805743,0.000569516,0.104967475,0.475356519,0.000037623,0.005925359,0.018770589,0.106854722,0.001201778,0.000977527,0.002160418,0.000531188,0.131684110,0.056460802,0.099381007,0.284533888,0.000129498,0.000144982,0.009844682,0.024019921,0.002925459,0.007486744,0.038612530,0.044958796,0.007313941,0.002000330,0.024704045,0.038964190,0.000001060,0.000004169
0.000001256,0.008709482,0.006838331,0.104581341,0.136908516,0.119400166,0.000418665,0.000000616,0.000000414,0.066734232,0.076368518,0.147337586,0.163450748,0.030819895,0.106452599,0.114603788,0.042373803,0.090983018,0.075746849,0.311666220,0.383160353,0.014308264,0.013269515,0.000461259,0.151460990,0.472152114,0.000029744,0.006318426,0.009891734,0.109452419,0.002984896,0.001941297,0.001706561,0.000565062,0.107802667,0.036978528,0.081875421,0.286972880,0.000132090,0.000114730,0.009887765,0.021652896,0.003150277,0.007509807,0.034716010,0.039025068,0.018175932,0.001872219,0.012056381,0.020768177,0.000000865,0.000005100
0.000001184,0.009433344,0.006295215,0.092297152,0.144444495,0.132650077,0.000376862,0.000000545,0.000000389,0.077995762,0.103920363,0.171327710,0.200317889,0.024239404,0.127908185,0.135648310,0.035081733,0.072496913,0.056025539,0.378599942,0.349180996,0.012260958,0.008040400,0.000416570,0.082679681,0.498247743,0.000073487,0.004652899,0.007106609,0.090657666,0.003145181,0.002528080,0.001585512,0.000280778,0.137041554,0.046856340,0.048675567,0.257482171,0.000168461,0.000243877,0.009014591,0.022169244,0.002817213,0.007147951,0.015029396,0.021375850,0.007316906,0.002906326,0.006945735,0.013117899,0.000001312,0.000005797
0.000000926,0.008421844,0.005809009,0.119020835,0.128248408,0.116972141,0.000326171,0.000000451,0.000000331,0.074397340,0.087457664,0.166019365,0.190679044,0.029433472,0.112974353,0.118977807,0.038779467,0.074898258,0.059049755,0.367619187,0.338002026,0.012723031,0.009314606,0.000404410,0.130491436,0.486754000,0.000046512,0.005447339,0.006617529,0.112149686,0.001701820,0.001203136,0.001689010,0.000413611,0.125658661,0.036882773,0.044118192,0.267250866,0.000204475,0.000195866,0.008660174,0.023545567,0.002489384,0.005913597,0.012944320,0.018551756,0.007152149,0.001668748,0.005780990,0.011951996,0.000001049,0.000003969
0.000000754,0.004607045,0.001662562,0.232637271,0.175514773,0.230351597,0.000348326,0.000000460,0.000000398,0.073612109,0.070222579,0.176827371,0.208160728,0.028074367,0.121848926,0.127814442,0.037648447,0.069634758,0.056329168,0.328046829,0.298640728,0.012295781,0.013245063,0.000512285,0.151182696,0.479087859,0.000028191,0.005686730,0.006929198,0.066960543,0.001815809,0.001244783,0.001833926,0.000506658,0.110456280,0.041896451,0.057000216,0.204014987,0.000146767,0.000137203,0.007316695,0.029809989,0.001317622,0.004027199,0.020624090,0.022830239,0.013746792,0.001916290,0.006894546,0.010633517,0.000001019,0.000003866
