_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000645,0.000126520,0.000379925,0.420040488,0.724714518,0.446279258,0.000368811,0.000000986,0.000002099,0.007090201,0.003387369,0.445932865,0.396446586,0.035211310,0.160547510,0.146111637,0.011775667,0.016942164,0.014843567,0.038085651,0.030341914,0.096347570,0.165678561,0.001703173,0.001230671,0.045245625,0.000515790,0.000900538,0.073614635,0.088644557,0.000019607,0.000021391,0.023632083,0.000425766,0.362431318,0.457070351,0.083151497,0.118220948,0.012481597,0.003566975,0.006979559,0.011981200,0.002061096,0.037914079,0.086571485,0.092623033,0.000791781,0.001548619,0.464998037,0.489226758,0.000005396,0.000001427
0.000001128,0.000208803,0.000316899,0.409692407,0.685794115,0.498845756,0.000545655,0.000001194,0.000003157,0.010479382,0.002602817,0.491732240,0.445079267,0.040990368,0.138578087,0.118805274,0.015337202,0.014622299,0.011505107,0.055203106,0.018925890,0.076922238,0.172111377,0.002023235,0.001189313,0.042616080,0.000564070,0.000864056,0.123924986,0.084839270,0.000043480,0.000064009,0.012059431,0.000524429,0.415386498,0.538200021,0.104144081,0.159223750,0.007615143,0.001892801,0.014193420,0.016713006,0.004045600,0.040502865,0.105546266,0.117138863,0.000542175,0.005012068,0.479657263,0.435940266,0.000006387,0.000002715
0.000001386,0.000144289,0.000260599,0.413862675,0.740495563,0.529100180,0.000547161,0.000001422,0.000002957,0.009902982,0.002908266,0.458063990,0.404835194,0.027858658,0.185733333,0.182291329,0.009505707,0.017161645,0.013908369,0.052975588,0.022120304,0.080031835,0.173081830,0.001624740,0.000982399,0.043450113,0.000593435,0.001223903,0.115645170,0.088596530,0.000054625,0.000073428,0.010723668,0.000351487,0.308034867,0.423152000,0.123236172,0.158750549,0.007334573,0.003366039,0.017347628,0.018343685,0.005360192,0.043871168,0.137067989,0.140079528,0.000652049,0.003655912,0.513681173,0.477621198,0.000005881,0.000002609
0.000000897,0.000230902,0.000427476,0.374930263,0.663580179,0.457970291,0.000438327,0.000000791,0.000002290,0.006363447,0.003183116,0.436079651,0.385195792,0.035528567,0.144612864,0.131737918,0.014288199,0.017749945,0.015045471,0.033236556,0.024670837,0.106605455,0.153034419,0.001671851,0.001504687,0.039897949,0.000298143,0.000928226,0.092886873,0.085641280,0.000032682,0.000040114,0.010551820,0.000827438,0.355286688,0.435339957,0.119187377,0.188213781,0.005179760,0.001274279,0.012358726,0.016628617,0.003570433,0.038902007,0.072542042,0.077947922,0.000687470,0.002424659,0.487821341,0.477076471,0.000004867,0.000001769
0.000000916,0.000165291,0.000398517,0.408456326,0.728352368,0.457269996,0.000439983,0.000000809,0.000002312,0.007947455,0.002382433,0.445757151,0.388765484,0.031129489,0.157809228,0.150293097,0.012800492,0.017256550,0.014851972,0.042430311,0.019433804,0.090577535,0.186084807,0.001591320,0.001328452,0.040217768,0.000384538,0.000977376,0.142423078,0.113604523,0.000018251,0.000025167,0.012024390,0.000849613,0.310118914,0.407950670,0.118984453,0.184958845,0.006547147,0.001636943,0.012261123,0.017827936,0.003715413,0.044625625,0.063684180,0.069250889,0.000359330,0.001909757,0.463602513,0.435198158,0.000005201,0.000001794
0.000000954,0.000123979,0.000266578,0.433109581,0.753068507,0.511164129,0.000462316,0.000000925,0.000002593,0.006995884,0.002506610,0.443939537,0.385300308,0.042050604,0.116733491,0.102861173,0.021139476,0.019078819,0.015227886,0.038384285,0.019429781,0.102572709,0.180178955,0.001835691,0.001396949,0.047027137,0.000475539,0.001006151,0.152910158,0.099978745,0.000019144,0.000028280,0.015798228,0.000501537,0.336062878,0.453444898,0.118578225,0.161328793,0.006664361,0.003018359,0.009763995,0.016746540,0.002632398,0.046368763,0.056322850,0.058716848,0.000403175,0.002512962,0.402656913,0.351734191,0.000006409,0.000002121
0.000000937,0.000173276,0.000321350,0.428473443,0.720616817,0.484534770,0.000431068,0.000001023,0.000002750,0.004951017,0.002035228,0.461853147,0.410004199,0.045921065,0.120872639,0.100574695,0.018589322,0.016006637,0.013527387,0.026025752,0.020442825,0.125261649,0.212831497,0.001801696,0.001746198,0.043692369,0.000432703,0.000922183,0.132886231,0.115528099,0.000022757,0.000030910,0.016904259,0.000361484,0.381121129,0.502645969,0.103747383,0.143086299,0.008900587,0.004223073,0.010581166,0.015307340,0.003259176,0.049058050,0.069612876,0.073713675,0.000426823,0.002027359,0.477483034,0.445008069,0.000006228,0.000002104
0.000001161,0.000197995,0.000284054,0.408230245,0.714003921,0.531862497,0.000388049,0.000001227,0.000002890,0.006235515,0.002673913,0.428633034,0.388012737,0.056489665,0.114784576,0.074582450,0.021768074,0.017655946,0.013636546,0.029686289,0.016724491,0.109846458,0.172434822,0.002020137,0.000537783,0.019585751,0.000405439,0.000470031,0.058198716,0.046762511,0.000210421,0.000288365,0.009395274,0.000724468,0.296559095,0.410694718,0.095048457,0.165310010,0.004989211,0.001052353,0.010709645,0.007193839,0.004728845,0.069480583,0.072934009,0.090474308,0.001511878,0.011890750,0.441706061,0.452402532,0.000008095,0.000002424
0.000000883,0.000126300,0.000220015,0.411148727,0.752685726,0.544041991,0.000254001,0.000001286,0.000002593,0.007510255,0.003043403,0.381857157,0.351145327,0.036702365,0.170080870,0.132549554,0.011021364,0.020668194,0.016730106,0.037493553,0.020863894,0.090541951,0.162789717,0.001443168,0.000853391,0.023300257,0.000383789,0.000380470,0.046005454,0.011913877,0.000327963,0.000492402,0.015828401,0.001013354,0.242950186,0.404843569,0.066795968,0.054684021,0.008310433,0.000773577,0.007297920,0.005383161,0.003544507,0.110460393,0.018926673,0.015298164,0.001257082,0.005883618,0.407044113,0.308693618,0.000012304,0.000002240
0.000000801,0.000093875,0.000117637,0.527772784,0.762970686,0.625300884,0.000317498,0.000001115,0.000002516,0.011302895,0.003258332,0.333736390,0.300187826,0.051910385,0.122375228,0.086937584,0.020869900,0.026355093,0.021646380,0.056190733,0.015241348,0.066980481,0.154673010,0.001417481,0.001963168,0.036644839,0.000273944,0.000497969,0.027867749,0.016289016,0.000245367,0.000346855,0.013392823,0.000669725,0.313827366,0.425145060,0.065657847,0.085821487,0.005455364,0.001175938,0.008537143,0.009570277,0.002611106,0.087536186,0.013226281,0.013757567,0.001078730,0.005992094,0.210653394,0.177979007,0.000010942,0.000002237
0.000000536,0.000097056,0.000171612,0.451377422,0.786796629,0.540143967,0.000310482,0.000001215,0.000002167,0.022545328,0.004921672,0.563958406,0.540046215,0.049310643,0.156574696,0.108655959,0.015194750,0.009524474,0.008401978,0.074540898,0.037882701,0.037750233,0.136720151,0.001896973,0.002471475,0.039077990,0.000197026,0.000767544,0.057672486,0.052655607,0.000072402,0.000079158,0.017604042,0.000448512,0.253384262,0.334420919,0.103317089,0.112542547,0.004512058,0.002363182,0.006595467,0.010500626,0.001468329,0.043633472,0.046340887,0.042578187,0.001825862,0.002487537,0.239191994,0.222347930,0.000006681,0.000002019
0.000000355,0.000049200,0.000206650,0.541624904,0.813975692,0.464916378,0.000305754,0.000000651,0.000002263,0.014831106,0.005719350,0.566107988,0.542815149,0.048942745,0.135073304,0.104144856,0.018318744,0.009348769,0.008945665,0.042667754,0.044872914,0.055517726,0.113645278,0.001775784,0.004661661,0.111982472,0.000648969,0.001608382,0.125371486,0.164184391,0.000005007,0.000006603,0.025895795,0.000393881,0.388920993,0.468894839,0.081899531,0.128651798,0.007693627,0.005542640,0.008119050,0.036449593,0.000859913,0.022249414,0.008728807,0.011640524,0.000200170,0.000868921,0.062352818,0.064976126,0.000004621,0.000001359
0.000000370,0.000043354,0.000183865,0.557406604,0.824902296,0.471457005,0.000310445,0.000000647,0.000001858,0.015144477,0.008186989,0.522789955,0.492628068,0.040224820,0.147126555,0.126697779,0.015933037,0.011844646,0.010931973,0.049638189,0.056726694,0.055229459,0.086054921,0.001582085,0.004534301,0.112687230,0.000765823,0.001522485,0.113143787,0.164739117,0.000005200,0.000006603,0.023338318,0.000302699,0.391431689,0.462619096,0.081463628,0.123720318,0.008120935,0.007741239,0.009250293,0.041569110,0.001021161,0.025558198,0.006368450,0.008573487,0.000177935,0.000703728,0.054759003,0.059576269,0.000004847,0.000001274
0.000000764,0.000117917,0.000151582,0.541784883,0.725236654,0.378104806,0.000118440,0.000000998,0.000000826,0.083095826,0.041055575,0.562754393,0.559317052,0.018893048,0.246742174,0.255670458,0.007884857,0.008236826,0.008776022,0.119977124,0.245686069,0.009616612,0.025935235,0.000617390,0.001108609,0.018960204,0.000082328,0.001083603,0.042207744,0.073391095,0.000714983,0.000853236,0.000960278,0.000421298,0.017062077,0.021782234,0.297618449,0.457016826,0.000408494,0.001224275,0.020432163,0.014134036,0.005202740,0.011366601,0.035911188,0.042342152,0.003166411,0.008378388,0.002948848,0.003508046,0.000002838,0.000001860
0.000000344,0.000209821,0.000219767,0.501337409,0.667602301,0.404335439,0.000014110,0.000000324,0.000000364,0.090545788,0.037950583,0.600340486,0.586778522,0.021708777,0.206047714,0.215938285,0.011166205,0.007222845,0.007228009,0.141088277,0.166599408,0.009265811,0.023913799,0.000124854,0.000572930,0.000980772,0.000013316,0.000122315,0.015168699,0.014668575,0.001592314,0.002130424,0.000378698,0.001313981,0.000642255,0.000678615,0.140200019,0.174270034,0.002619523,0.000643159,0.006678759,0.001239484,0.028589586,0.013675443,0.010850331,0.009955384,0.003445149,0.007480659,0.000687677,0.000683926,0.000004160,0.000000640
0.000000364,0.000212737,0.000195010,0.530616283,0.656583905,0.392869025,0.000012798,0.000000329,0.000000354,0.097905569,0.034782048,0.603839040,0.588958383,0.019684762,0.239591077,0.255308509,0.008226891,0.007184364,0.006939085,0.147950545,0.155327052,0.008629467,0.024891725,0.000098563,0.000688402,0.001041171,0.000011987,0.000138037,0.014897431,0.016477538,0.001966428,0.002568816,0.000309172,0.001715375,0.000514937,0.000512662,0.149074808,0.195185319,0.002485363,0.000495771,0.009402745,0.001412892,0.048635457,0.015029754,0.008574274,0.007658044,0.003333711,0.005987237,0.000580834,0.000608007,0.000003601,0.000000575
0.000000444,0.000235801,0.000160559,0.480693281,0.634500623,0.433222085,0.000049211,0.000000456,0.000000537,0.102280907,0.032749437,0.575241923,0.570218921,0.041135125,0.159109026,0.140825838,0.014556501,0.008995284,0.006973856,0.150605157,0.100992136,0.010158197,0.025203839,0.000373575,0.000761487,0.002795231,0.000026473,0.000183140,0.025111251,0.029100638,0.001252935,0.001508587,0.000588310,0.000876248,0.004828697,0.005973611,0.279913545,0.342538148,0.000867050,0.000636022,0.008990236,0.002961228,0.009486582,0.010994515,0.025550215,0.023216663,0.004533415,0.008287638,0.001545241,0.001365902,0.000005498,0.000001059
0.000000381,0.000214125,0.000177979,0.491816372,0.661289394,0.425482124,0.000044268,0.000000654,0.000000661,0.115128100,0.025344223,0.576826692,0.583045483,0.026722440,0.171446681,0.169749454,0.015149605,0.007349875,0.008102785,0.147627518,0.100653209,0.007888128,0.032063223,0.000433997,0.000903241,0.004380595,0.000051175,0.000154596,0.025428170,0.007382995,0.000531518,0.000784941,0.003768010,0.000856009,0.010396102,0.018920572,0.102554530,0.062090315,0.006588494,0.000936622,0.004774459,0.001941640,0.004892862,0.033242963,0.007760521,0.005152028,0.001684598,0.004493701,0.009115324,0.005870835,0.000008895,0.000001185
0.000000427,0.000086860,0.000109223,0.553377748,0.768141389,0.503939986,0.000144603,0.000001362,0.000001186,0.056418709,0.011808136,0.592258573,0.583912492,0.040941428,0.125757620,0.110405706,0.024043228,0.008359165,0.008393968,0.120824799,0.072029434,0.017863480,0.068429515,0.001466843,0.001660927,0.013865492,0.000093570,0.000255764,0.033319455,0.016961249,0.000271219,0.000431989,0.012795415,0.001819246,0.136637375,0.189729959,0.058926355,0.108369991,0.007491586,0.000352157,0.005474633,0.002977863,0.002941658,0.057122935,0.018122938,0.017337125,0.001208950,0.007693962,0.138823524,0.101450741,0.000008973,0.000002024
0.000000425,0.000073014,0.000106513,0.575370550,0.777282238,0.524401665,0.000133575,0.000001377,0.000001291,0.052432809,0.013616140,0.597437739,0.588249087,0.055963609,0.117408283,0.090461500,0.024815416,0.008119023,0.007802522,0.108178400,0.081652865,0.019067563,0.063642576,0.001425096,0.001746027,0.013521707,0.000094757,0.000247535,0.032971643,0.017678795,0.000249669,0.000413395,0.012600993,0.001753856,0.133303687,0.183555961,0.057432313,0.116922446,0.007397967,0.000376129,0.005382868,0.003266693,0.002894464,0.054877717,0.017186740,0.017869839,0.001076647,0.009548602,0.130349711,0.099190556,0.000009366,0.000001943
0.000000632,0.000146546,0.000143040,0.503761411,0.713843107,0.490213543,0.000289666,0.000002929,0.000002401,0.061005533,0.013317864,0.607193172,0.612511635,0.050517768,0.129252493,0.103119269,0.021021841,0.007455039,0.007444225,0.108008556,0.087263189,0.016807931,0.068230592,0.002965342,0.002741418,0.014228323,0.000076987,0.000189679,0.022380987,0.011706275,0.003267309,0.004868928,0.008181758,0.001185763,0.452665359,0.586778998,0.071869120,0.109684519,0.003903920,0.000231383,0.011228526,0.003400136,0.007266165,0.089159332,0.039358381,0.036055151,0.004864547,0.023639312,0.495330721,0.414621532,0.000012681,0.000004431
0.000000712,0.000254306,0.000290420,0.448901147,0.638190746,0.468105823,0.000536499,0.000002428,0.000003522,0.037798971,0.010972935,0.642985582,0.631946325,0.057654671,0.121346183,0.098848246,0.024232581,0.006844406,0.006077090,0.095163547,0.067193247,0.028057106,0.080670781,0.003927042,0.010310749,0.018658314,0.000036937,0.000203030,0.017558621,0.026111132,0.004830735,0.005700789,0.006340657,0.006430399,0.643807769,0.626746774,0.056465045,0.211791977,0.002835488,0.000032809,0.015412146,0.005403704,0.007460887,0.076865867,0.140578881,0.185665548,0.015775889,0.047230333,0.422768652,0.499374717,0.000008896,0.000005639
0.000000268,0.000172998,0.000199607,0.465897024,0.684012115,0.510397315,0.000210757,0.000001078,0.000001067,0.059121780,0.014005121,0.614488482,0.608819366,0.085551977,0.073788039,0.050550587,0.050798241,0.007258811,0.006032181,0.166009471,0.062305037,0.017820772,0.049178734,0.002289596,0.002660276,0.017545225,0.000068257,0.000240784,0.012243725,0.025239617,0.000189394,0.000220982,0.016398547,0.001642372,0.410284251,0.418129802,0.038605105,0.126083642,0.009296041,0.000387605,0.005478329,0.003540210,0.001349069,0.035842903,0.016091796,0.019062474,0.001718703,0.005098967,0.139449626,0.142658815,0.000007970,0.000001930
0.000000347,0.000203251,0.000167533,0.509506345,0.710970879,0.530621529,0.000011051,0.000000184,0.000000540,0.065724030,0.015691973,0.578605175,0.558032870,0.048369572,0.136039227,0.116819978,0.018050512,0.008427673,0.006722530,0.144916609,0.046028893,0.015443936,0.040732492,0.000049935,0.001211466,0.002114971,0.000024080,0.000236261,0.010513945,0.014478587,0.000519565,0.000770364,0.000303508,0.002301978,0.000468041,0.000410027,0.104478836,0.180900723,0.005817947,0.000802349,0.022299303,0.006078116,0.058644719,0.009990375,0.000856335,0.000888148,0.000610615,0.002526337,0.000130355,0.000147375,0.000003271,0.000000416
0.000000284,0.000150194,0.000160321,0.480269670,0.742496192,0.534000993,0.000009011,0.000000332,0.000000473,0.041065279,0.016854273,0.569921851,0.561475217,0.087169804,0.086707644,0.055650629,0.040232219,0.008779244,0.008313828,0.099790484,0.091550581,0.022298766,0.051682338,0.000030947,0.001365938,0.004146407,0.000074699,0.000276274,0.003782724,0.008614223,0.000777129,0.000927113,0.000365823,0.000926609,0.000673820,0.000535442,0.030678241,0.062346559,0.028615963,0.002904812,0.054588731,0.015230810,0.086450428,0.015091689,0.000053165,0.000047082,0.000308675,0.000656976,0.000080003,0.000134347,0.000002768,0.000000359
0.000000312,0.000139816,0.000131348,0.540061176,0.783256233,0.577228487,0.000004765,0.000000268,0.000000476,0.059816614,0.020160446,0.513879061,0.493842900,0.054390695,0.117531963,0.096623622,0.025603591,0.011824482,0.010144825,0.159106493,0.079699837,0.017782047,0.040829964,0.000018867,0.002079884,0.004147279,0.000103972,0.000540782,0.007950993,0.002277323,0.000109983,0.000214280,0.001449063,0.005910943,0.000238454,0.000244946,0.010237145,0.012020295,0.422338098,0.001223501,0.048762802,0.010378805,0.099685006,0.016089410,0.000007889,0.000005376,0.000046920,0.000487128,0.000042981,0.000037769,0.000003491,0.000000198
0.000000313,0.000141064,0.000128988,0.546483159,0.774289548,0.567889392,0.000004650,0.000000275,0.000000474,0.059602197,0.020501833,0.514709711,0.496356130,0.055413578,0.114771143,0.094096631,0.026018966,0.011697308,0.009965692,0.164394319,0.080279738,0.017406717,0.039700449,0.000020516,0.001752431,0.003406994,0.000095168,0.000460048,0.008841323,0.002118852,0.000120641,0.000236973,0.001522396,0.004462624,0.000230502,0.000264444,0.011621384,0.010899402,0.410308868,0.001543387,0.037583575,0.007166201,0.092691123,0.017509941,0.000011032,0.000007249,0.000055594,0.000588940,0.000056907,0.000047762,0.000003975,0.000000207
0.000000282,0.000041510,0.000077885,0.580370247,0.857123494,0.577943563,0.000069867,0.000001005,0.000001482,0.015129314,0.005278324,0.619707227,0.604500175,0.069099307,0.151131913,0.080263913,0.017800502,0.007713313,0.005721381,0.039530706,0.036504377,0.072005197,0.130988255,0.000320919,0.017895734,0.195734099,0.000903169,0.001457354,0.025539342,0.041488759,0.000003725,0.000004754,0.123659678,0.001182029,0.090768948,0.113068685,0.005732206,0.010022092,0.339618415,0.007087087,0.022924475,0.073980540,0.001980990,0.056174312,0.000062193,0.000054416,0.000025643,0.000089465,0.008885248,0.011250458,0.000005500,0.000000655
0.000000279,0.000039929,0.000043992,0.664972126,0.862880170,0.668134034,0.000074056,0.000000775,0.000000711,0.010247689,0.006686878,0.487060219,0.464890420,0.072586775,0.093068846,0.065082110,0.032377407,0.014936453,0.009863501,0.044634022,0.042235993,0.090188496,0.094615422,0.000316349,0.010013741,0.085137762,0.000421905,0.000757332,0.020981593,0.055407878,0.000004597,0.000004786,0.104859941,0.001486415,0.093287691,0.085337892,0.006436236,0.017034445,0.283861756,0.004740228,0.012913310,0.027450105,0.003137609,0.090139873,0.000179723,0.000176645,0.000053120,0.000082375,0.038161337,0.054022141,0.000004885,0.000000440
0.000000304,0.000047665,0.000052086,0.601308227,0.856182456,0.658939719,0.000090047,0.000000915,0.000000999,0.008757553,0.005007568,0.532439590,0.513342381,0.087890409,0.089007035,0.050623201,0.036778335,0.011968900,0.007885148,0.035253406,0.034313843,0.098225594,0.120868154,0.000386656,0.010726781,0.106289066,0.000505174,0.000799343,0.021006741,0.048522238,0.000006986,0.000007389,0.092081502,0.001234527,0.134235784,0.138250783,0.007458663,0.017719068,0.221634060,0.004819401,0.016427584,0.029266631,0.003368986,0.089808352,0.000195506,0.000185608,0.000058674,0.000106983,0.047680099,0.062415265,0.000005353,0.000000591
0.000000312,0.000048389,0.000083761,0.571582615,0.859979630,0.607208431,0.000060032,0.000001476,0.000000804,0.008023894,0.006190396,0.444207698,0.436135083,0.068534262,0.090884715,0.065692507,0.033352215,0.015941579,0.012301163,0.038190067,0.053583559,0.089780867,0.118947618,0.000255150,0.013022892,0.090316221,0.000473916,0.000475485,0.009594229,0.061581485,0.000021847,0.000017330,0.131849706,0.000732959,0.118756682,0.105803125,0.002989497,0.010573273,0.360875398,0.007526821,0.015601681,0.019549336,0.006779395,0.179382265,0.000102058,0.000096778,0.000079531,0.000072449,0.070024580,0.122384436,0.000005479,0.000000641
0.000000332,0.000063772,0.000126018,0.575189292,0.827877820,0.531770945,0.000091417,0.000001303,0.000000918,0.008793602,0.005631387,0.420717835,0.398360878,0.113733113,0.064125426,0.033920046,0.060108546,0.017886750,0.013939931,0.045715462,0.054468188,0.088550121,0.118918426,0.000303219,0.024172785,0.163631856,0.000698570,0.000525902,0.018381666,0.110530794,0.000008099,0.000006913,0.113730811,0.000683699,0.229499161,0.180816427,0.003704234,0.016182354,0.313424140,0.010211412,0.020192819,0.034939636,0.005790452,0.173432350,0.000082729,0.000099563,0.000043216,0.000060039,0.056817107,0.105189234,0.000005532,0.000000754
0.000000388,0.000046992,0.000186991,0.523264408,0.842198133,0.483838022,0.000060368,0.000001736,0.000000867,0.015811333,0.010914654,0.425437212,0.408701003,0.061578482,0.087966338,0.072410084,0.034718119,0.018640611,0.013485011,0.090810753,0.072277367,0.053283002,0.068099007,0.000212220,0.018968670,0.156863227,0.000447567,0.000635445,0.008341941,0.023128631,0.000033182,0.000039806,0.097759522,0.000587936,0.098681174,0.104472689,0.003144416,0.010629551,0.303304434,0.006895833,0.017682523,0.018250667,0.007498024,0.171492934,0.000058817,0.000059404,0.000049428,0.000233043,0.050230887,0.075243384,0.000006792,0.000001036
