_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002567,0.016206900,0.017289039,0.110675037,0.172443360,0.097299933,0.000091780,0.000002332,0.000000945,0.015961893,0.008762836,0.030512851,0.023711456,0.005087197,0.348540157,0.315290064,0.008818149,0.246243417,0.260226607,0.144830778,0.142798737,0.026583677,0.037162017,0.000366813,0.000892427,0.172174647,0.000538221,0.009956324,0.000820615,0.003532363,0.002193714,0.001723533,0.016290126,0.000369978,0.017763667,0.016329240,0.027831692,0.033152558,0.012599004,0.001176676,0.004294718,0.003349006,0.000804505,0.033632431,0.023755610,0.026415734,0.070615917,0.026818695,0.000742672,0.001635983,0.000001652,0.000002397
0.000002353,0.009224845,0.006329716,0.135465384,0.223386720,0.197031498,0.000108173,0.000002329,0.000001056,0.023504080,0.011300173,0.027597979,0.023834208,0.004536480,0.384621829,0.351320475,0.007857209,0.256873876,0.261590749,0.190955997,0.132033661,0.019545045,0.029655330,0.000364582,0.001525975,0.174556658,0.000458260,0.008165751,0.001063596,0.001958985,0.005434250,0.004035607,0.014441628,0.001499097,0.019544575,0.017793210,0.022862246,0.020067209,0.015403921,0.000197543,0.006196777,0.002753780,0.000979761,0.036135022,0.013999788,0.010925867,0.099780463,0.017668240,0.000634783,0.001164669,0.000002060,0.000002261
0.000002255,0.012545493,0.010536864,0.087969996,0.203312635,0.151246816,0.000094394,0.000002080,0.000001143,0.019727547,0.008239214,0.025096213,0.020095780,0.004151032,0.409907341,0.376963884,0.006367775,0.276320308,0.286964923,0.169230938,0.125944614,0.023029469,0.037323955,0.000331502,0.001682210,0.171361580,0.000416689,0.007458720,0.001057926,0.001491680,0.006347180,0.004756087,0.015335251,0.001929456,0.016927706,0.016318068,0.020644166,0.016524417,0.018152231,0.000141337,0.006109130,0.002860627,0.000935736,0.035654668,0.010072798,0.007201311,0.101962559,0.016266743,0.000574905,0.000969307,0.000001966,0.000002115
0.000002523,0.015843546,0.013743650,0.030481873,0.199547201,0.213019773,0.000234813,0.000003640,0.000002460,0.034300059,0.010392140,0.016636338,0.014166458,0.002745147,0.419391602,0.365537941,0.012612359,0.379625201,0.366406739,0.229084462,0.089649767,0.017635388,0.033472341,0.000475228,0.003462229,0.344450235,0.001046761,0.004810310,0.001571642,0.002535362,0.003148015,0.002476279,0.026697598,0.000780553,0.032584287,0.028309098,0.014272800,0.012296719,0.019763384,0.000314137,0.004028384,0.001737420,0.001126686,0.091789506,0.070206277,0.060635209,0.327123672,0.065434843,0.002794023,0.005033052,0.000002783,0.000003148
0.000002331,0.016966442,0.016909752,0.028063718,0.179638341,0.180684358,0.000207620,0.000004001,0.000002645,0.029448181,0.008555280,0.017024899,0.013203896,0.002385653,0.483747631,0.437649786,0.007576324,0.383536309,0.378465891,0.191610828,0.092479013,0.020402638,0.040988758,0.000496785,0.003471383,0.341908038,0.001096778,0.004487387,0.001558044,0.002596813,0.004022295,0.003270356,0.029258395,0.000705484,0.036279693,0.031009002,0.012883156,0.012063862,0.023753680,0.000317096,0.004010903,0.001619138,0.001027666,0.091863096,0.064009868,0.057812549,0.347514659,0.079454049,0.002790632,0.004952707,0.000002953,0.000002982
0.000001547,0.038579281,0.040335976,0.025608815,0.090482906,0.089456856,0.000160392,0.000003276,0.000001201,0.030395947,0.009356534,0.016708573,0.012260309,0.001975444,0.534055948,0.479086250,0.005609946,0.377449811,0.383041352,0.155906364,0.102017768,0.020221610,0.035149947,0.000574193,0.002010071,0.283352941,0.001341491,0.003091814,0.000590219,0.006487301,0.002989281,0.001876888,0.031125279,0.000435151,0.063105658,0.034592576,0.007684640,0.019638103,0.022802372,0.000514810,0.003416920,0.001654102,0.000663525,0.081919394,0.033155624,0.041520245,0.242353916,0.040112201,0.002306863,0.005427680,0.000002290,0.000002293
0.000001698,0.139284298,0.154933825,0.005167989,0.023482835,0.023573553,0.000137800,0.000002070,0.000000730,0.022202224,0.010885474,0.018879095,0.014354587,0.001583862,0.585732639,0.530272961,0.003959573,0.334393412,0.340530634,0.148319900,0.162417084,0.026689976,0.029709043,0.000525180,0.001947394,0.296847910,0.001397168,0.002620700,0.000703618,0.009531264,0.002370626,0.001250654,0.023499368,0.000424778,0.057294525,0.036508385,0.013005986,0.022702049,0.014382977,0.000622132,0.003054044,0.002257550,0.000598884,0.066972300,0.014174552,0.013942271,0.071731381,0.007610139,0.001827802,0.003838012,0.000001839,0.000002223
0.000001898,0.158726498,0.159849048,0.004739672,0.027819768,0.024615308,0.000146222,0.000002096,0.000000782,0.022353260,0.010450697,0.017101265,0.013275967,0.001550245,0.537502646,0.467846006,0.006210874,0.350316256,0.352010369,0.179718465,0.175047830,0.025466075,0.027623903,0.000496642,0.001520963,0.298725069,0.001565245,0.003012523,0.000616746,0.007478015,0.002952595,0.001669328,0.019607907,0.000324619,0.049439918,0.031335797,0.012425517,0.021911643,0.013142318,0.000657361,0.003055124,0.002290363,0.000690549,0.061277568,0.014684551,0.014650564,0.113331102,0.013386259,0.001762492,0.003765153,0.000001627,0.000002581
0.000002388,0.207273334,0.229385152,0.004398318,0.014700588,0.017160608,0.000212332,0.000002375,0.000001268,0.031821091,0.013471227,0.024510071,0.018030006,0.001131311,0.569089651,0.498058051,0.007211546,0.276926696,0.279637456,0.189604089,0.187084094,0.019938579,0.022913899,0.000675977,0.000864292,0.286296427,0.003451758,0.002539281,0.001361262,0.004179706,0.002878356,0.001826792,0.015770603,0.000378208,0.055797148,0.049447261,0.020185586,0.016763745,0.007915855,0.000472186,0.003515695,0.003560871,0.000883222,0.078736365,0.025643408,0.019364368,0.229633883,0.020666914,0.005215488,0.008584690,0.000001818,0.000003054
0.000002206,0.177825242,0.198276103,0.008333547,0.013288690,0.018563692,0.000207964,0.000002768,0.000001180,0.028477091,0.011928773,0.021694927,0.015642254,0.000907948,0.651946843,0.595102608,0.004132778,0.308258474,0.311538041,0.188421696,0.170290127,0.023600964,0.025826549,0.000697801,0.000862021,0.295600563,0.003912117,0.002226371,0.001167040,0.006708395,0.002978523,0.001705599,0.016734617,0.000200576,0.072699949,0.061900135,0.020833468,0.019676255,0.008211013,0.001052900,0.003130748,0.003007946,0.000912886,0.085025661,0.021394180,0.017617876,0.189784855,0.015200645,0.005667538,0.010222087,0.000002305,0.000003085
