_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000785,0.060418744,0.238573894,0.055792034,0.006687327,0.001383485,0.000055349,0.000000146,0.000000195,0.109264433,0.084302738,0.034799334,0.034624726,0.070092887,0.042728066,0.069197953,0.083425574,0.267663807,0.288944632,0.437022090,0.559429288,0.007659287,0.004663175,0.000246280,0.001797869,0.175115332,0.000723794,0.026999462,0.005092392,0.021372674,0.000017557,0.000022178,0.002111235,0.000819663,0.020330580,0.017041257,0.023757717,0.133947954,0.006170714,0.000719105,0.032546084,0.200201869,0.000762444,0.000544278,0.000159564,0.000345447,0.000092368,0.000776493,0.000038275,0.000065730,0.000000229,0.000000484
0.000000639,0.081555031,0.196912706,0.051510453,0.005482942,0.001313818,0.000072506,0.000000155,0.000000146,0.094570033,0.084228948,0.031212853,0.032812778,0.057990238,0.052736264,0.076251738,0.066843577,0.295643419,0.312314987,0.511356831,0.566135764,0.009593215,0.004404934,0.000376014,0.002257419,0.207547545,0.000815974,0.016841235,0.002414908,0.031302553,0.000022584,0.000021924,0.002924724,0.000476866,0.048436571,0.033031590,0.013603517,0.142959386,0.004047197,0.000918318,0.014994740,0.191920534,0.000384899,0.000669818,0.000228385,0.000617207,0.000159247,0.000834743,0.000091541,0.000214885,0.000000297,0.000000546
0.000000698,0.083443776,0.233860567,0.045364376,0.005099120,0.001106028,0.000078148,0.000000159,0.000000169,0.087823063,0.080496326,0.031003997,0.032974903,0.058629133,0.051770892,0.076743484,0.068742663,0.297535270,0.311215937,0.516163588,0.565091729,0.010497959,0.004706770,0.000392523,0.001984583,0.195450649,0.000828044,0.017901659,0.002684649,0.027031187,0.000027526,0.000026874,0.002433103,0.000394212,0.045292459,0.033736348,0.017329277,0.142412230,0.003370606,0.001104886,0.016947113,0.197505936,0.000394853,0.000608504,0.000271906,0.000676211,0.000198034,0.000942272,0.000079933,0.000173030,0.000000297,0.000000592
0.000000735,0.070727013,0.243293405,0.043371350,0.007179750,0.001264377,0.000066761,0.000000151,0.000000171,0.103272401,0.098499335,0.033632431,0.036773112,0.065357171,0.044218428,0.074062772,0.079683401,0.265257269,0.277908981,0.478269935,0.553372502,0.007975763,0.003522050,0.000317927,0.001712130,0.197761372,0.000930547,0.019162474,0.003000986,0.025842462,0.000017477,0.000020640,0.002651801,0.000362433,0.034577284,0.026355844,0.017402282,0.161345303,0.003471347,0.001401448,0.018041914,0.183521152,0.000490681,0.000743849,0.000274713,0.000797694,0.000109151,0.001311268,0.000091684,0.000181006,0.000000287,0.000000566
0.000000700,0.051867679,0.289194554,0.042302709,0.007626395,0.000888079,0.000068880,0.000000148,0.000000167,0.104408972,0.092033491,0.038371027,0.040480264,0.068654813,0.046842180,0.071770944,0.074968182,0.242919490,0.263187528,0.480962992,0.555602491,0.008108911,0.003864039,0.000281737,0.002813416,0.198902071,0.000587034,0.020072110,0.002376042,0.032245331,0.000025548,0.000028292,0.001685834,0.000354254,0.031234860,0.020410009,0.017002529,0.187325582,0.002825801,0.001408028,0.026115084,0.251457304,0.000763142,0.000776773,0.000203583,0.000577430,0.000121930,0.000995051,0.000105917,0.000209194,0.000000278,0.000000542
0.000000770,0.058227200,0.237119600,0.057509352,0.007897336,0.001184886,0.000062564,0.000000169,0.000000179,0.104597017,0.096174732,0.030132001,0.034584820,0.101152219,0.030807776,0.054385070,0.105808482,0.289020479,0.294486165,0.530069053,0.520030916,0.008698172,0.003479907,0.000257936,0.003286030,0.208233565,0.000605169,0.018385770,0.002380873,0.020746632,0.000032011,0.000037694,0.002234175,0.000244852,0.029707592,0.021702433,0.014435568,0.143009588,0.003385728,0.001964228,0.021885432,0.216026440,0.000761777,0.000932314,0.000159360,0.000440299,0.000112083,0.001280115,0.000110797,0.000212319,0.000000341,0.000000636
0.000001113,0.053178612,0.168526947,0.105638765,0.008836393,0.001594652,0.000083259,0.000000293,0.000000237,0.060311649,0.057265345,0.022366988,0.026660269,0.065847248,0.042846058,0.070943989,0.079001531,0.325042218,0.320521146,0.495242238,0.417819738,0.014423091,0.006478066,0.000321557,0.002190754,0.197648242,0.000700144,0.012077317,0.002865688,0.015416335,0.000069411,0.000081489,0.002161379,0.000204322,0.036516622,0.030047238,0.021191616,0.154183030,0.001489481,0.001903516,0.020254651,0.167425841,0.000885319,0.001948383,0.000398377,0.001029306,0.000237490,0.002465469,0.000306924,0.000506832,0.000000474,0.000001058
0.000001007,0.026782893,0.202804968,0.104064628,0.013956858,0.001428034,0.000056942,0.000000280,0.000000207,0.055157151,0.063416950,0.026405465,0.030745134,0.089347616,0.033642370,0.058197759,0.097371891,0.292093128,0.302197784,0.465067863,0.492529154,0.014540574,0.006148486,0.000217601,0.003126423,0.176867798,0.000515737,0.014518275,0.001910078,0.017588882,0.000055015,0.000075072,0.002043170,0.000434689,0.022101725,0.014092132,0.014722422,0.217294946,0.002285383,0.001053097,0.029704891,0.203395739,0.001468681,0.002112941,0.000194270,0.000640902,0.000102641,0.002476664,0.000151949,0.000267224,0.000000357,0.000000885
0.000000960,0.050183147,0.238197014,0.065304689,0.009528468,0.001109150,0.000048857,0.000000241,0.000000175,0.076043285,0.079973564,0.031414244,0.035427921,0.085616171,0.038758975,0.060226344,0.084509067,0.267095119,0.278726846,0.485964805,0.512893438,0.010566810,0.004661533,0.000175147,0.002406154,0.189087376,0.000784803,0.017469946,0.001780701,0.017157754,0.000045503,0.000059495,0.002316638,0.000217805,0.018540423,0.011716673,0.011696929,0.150080577,0.003971653,0.002616674,0.027994251,0.218313977,0.001359642,0.001800846,0.000110636,0.000335879,0.000094850,0.001593457,0.000123588,0.000215683,0.000000367,0.000000698
0.000000734,0.054010406,0.185636848,0.084786557,0.010202293,0.001814389,0.000029049,0.000000222,0.000000140,0.079571314,0.087208703,0.033478420,0.042866323,0.122502260,0.025806531,0.046797123,0.126421317,0.254057854,0.258749247,0.531781554,0.500742435,0.011512106,0.004436214,0.000090141,0.003405835,0.158469915,0.000718655,0.020226521,0.001084963,0.008486559,0.000049604,0.000063507,0.002531361,0.000289638,0.008618040,0.005291035,0.005975748,0.068682007,0.022477377,0.002943834,0.046485573,0.255379200,0.001876941,0.001229137,0.000015785,0.000035861,0.000056252,0.000622756,0.000022284,0.000037846,0.000000331,0.000000469
0.000000562,0.087236911,0.311583579,0.043408174,0.013116591,0.002306954,0.000009660,0.000000113,0.000000100,0.084606439,0.079592131,0.041072413,0.048230402,0.184440702,0.018758832,0.038182188,0.244235739,0.270343393,0.261834204,0.460571498,0.567676902,0.016686535,0.008409012,0.000018898,0.026329277,0.245878935,0.000501364,0.170817345,0.002867528,0.013096804,0.000000814,0.000001232,0.005132242,0.011601234,0.001573778,0.000461721,0.001441940,0.023470946,0.864390850,0.001234904,0.165082306,0.657771409,0.009717222,0.000317608,0.000000245,0.000000289,0.000001889,0.000013290,0.000000469,0.000000724,0.000000120,0.000000100
0.000000820,0.158244058,0.324803591,0.030954449,0.009425567,0.002610795,0.000010672,0.000000143,0.000000121,0.077885009,0.064804889,0.047534250,0.053535916,0.241135672,0.014959812,0.027812712,0.293309748,0.254600614,0.238526091,0.468663663,0.535499096,0.020462545,0.011052822,0.000014804,0.040977422,0.282810092,0.000536187,0.211325631,0.004678722,0.012213343,0.000000821,0.000001191,0.004130587,0.022775320,0.001496995,0.000438995,0.001501017,0.018201431,0.941941917,0.001019334,0.342985541,0.798881054,0.021790732,0.000366111,0.000000081,0.000000070,0.000001388,0.000005081,0.000000421,0.000000559,0.000000132,0.000000093
0.000000745,0.151887834,0.368500084,0.027795814,0.010713071,0.002644872,0.000010664,0.000000124,0.000000111,0.088763855,0.077550456,0.047994103,0.058117680,0.168346331,0.019020155,0.042213276,0.266775280,0.245238930,0.221459478,0.423225880,0.529985189,0.017117932,0.009027455,0.000014596,0.040713713,0.345390499,0.000551627,0.281376392,0.005670568,0.008624256,0.000000742,0.000001163,0.004937247,0.024308207,0.001407960,0.000459008,0.001481688,0.013733584,0.954711139,0.000992708,0.245947257,0.737515271,0.017002322,0.000333987,0.000000082,0.000000063,0.000001314,0.000005449,0.000000415,0.000000488,0.000000133,0.000000093
0.000000846,0.133484125,0.290366381,0.050868638,0.011344037,0.003306991,0.000011177,0.000000126,0.000000119,0.079100981,0.081758551,0.040297918,0.044104472,0.277254224,0.012648270,0.022726139,0.343024731,0.297004670,0.267382473,0.419921011,0.527655602,0.021080863,0.009436227,0.000017452,0.041286863,0.360406846,0.000678201,0.303481013,0.006870480,0.009984711,0.000000839,0.000001317,0.004657620,0.069924146,0.001713912,0.000545713,0.001161376,0.013638334,0.960946321,0.000359452,0.301618963,0.785374761,0.017882874,0.000262699,0.000000061,0.000000051,0.000000995,0.000004636,0.000000361,0.000000454,0.000000135,0.000000087
0.000000865,0.131702259,0.287388861,0.051794570,0.011547734,0.003311171,0.000011059,0.000000131,0.000000121,0.080538906,0.081929885,0.040755853,0.044303469,0.276442140,0.012737246,0.022737421,0.340911657,0.294017464,0.265638113,0.416693509,0.528573990,0.020454068,0.009336821,0.000017040,0.040667523,0.358088493,0.000669521,0.301885515,0.006660540,0.009351158,0.000000950,0.000001524,0.004399770,0.063337073,0.001714929,0.000549961,0.001187622,0.013964978,0.959884524,0.000378184,0.314649791,0.783271372,0.019282777,0.000273382,0.000000058,0.000000049,0.000001016,0.000005090,0.000000363,0.000000450,0.000000137,0.000000090
0.000000528,0.117152907,0.321009904,0.066940762,0.012199194,0.003115518,0.000009519,0.000000112,0.000000104,0.043832600,0.043351930,0.045924492,0.053074174,0.210343838,0.017573448,0.033521511,0.277333885,0.261908323,0.228190839,0.377987444,0.397687763,0.036479693,0.016142653,0.000014679,0.035815462,0.299557209,0.000854876,0.234241232,0.002247643,0.007167595,0.000000831,0.000001034,0.007360762,0.028766651,0.001649594,0.000463307,0.000604062,0.009729216,0.981756508,0.000981163,0.188485578,0.741285324,0.011216001,0.000294662,0.000000040,0.000000036,0.000001561,0.000003568,0.000000297,0.000000474,0.000000153,0.000000069
0.000000766,0.150287718,0.283564150,0.071554616,0.007518085,0.002467198,0.000011947,0.000000147,0.000000116,0.087695047,0.067570701,0.036344867,0.043364663,0.272475272,0.012120963,0.024817064,0.299791366,0.284887642,0.274753749,0.460704297,0.462278068,0.016245484,0.008686413,0.000018734,0.011758955,0.261066020,0.000862924,0.191853777,0.001721506,0.005674112,0.000005873,0.000008977,0.002263190,0.003644392,0.002070966,0.000683261,0.002034728,0.026597777,0.688085318,0.001848164,0.173715338,0.627474666,0.011497578,0.000291019,0.000000310,0.000000381,0.000005935,0.000039228,0.000000477,0.000000734,0.000000143,0.000000148
