_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000427,0.000279202,0.000174299,0.496514887,0.739066243,0.560510635,0.000029156,0.000000236,0.000000490,0.022241797,0.007013219,0.152809575,0.170237228,0.122207120,0.027773550,0.041416958,0.121522725,0.058022209,0.062413301,0.185507908,0.076282702,0.035318900,0.065427594,0.000051513,0.027344955,0.207629532,0.000451673,0.010716959,0.008214525,0.001415192,0.000001416,0.000002529,0.013370279,0.004374302,0.005286555,0.005996594,0.006340339,0.007339692,0.430950969,0.002338651,0.050616506,0.442076206,0.002360817,0.005864641,0.000002157,0.000001615,0.000007417,0.000064666,0.000090096,0.000055452,0.000001433,0.000000236
0.000000435,0.001031038,0.000789431,0.333593905,0.553773165,0.362463683,0.000017974,0.000000197,0.000000459,0.025851941,0.007278093,0.210146680,0.223156333,0.107931763,0.031129567,0.047965329,0.113427490,0.039720997,0.044511192,0.156024814,0.076072231,0.029083747,0.070009299,0.000035094,0.024777623,0.201255053,0.000504986,0.015347447,0.015014952,0.001505480,0.000000620,0.000001317,0.016246293,0.004233262,0.002243026,0.002602990,0.004748987,0.004274195,0.641624331,0.003750871,0.061548963,0.534320951,0.002744527,0.005483623,0.000001048,0.000000705,0.000003495,0.000035005,0.000053708,0.000029610,0.000001056,0.000000199
0.000000553,0.001209572,0.001114562,0.312680930,0.515255332,0.297608554,0.000014343,0.000000227,0.000000472,0.026307112,0.012024962,0.237185553,0.242511317,0.102364935,0.035582207,0.046838634,0.101080887,0.035643309,0.039183177,0.152102262,0.106926829,0.028691757,0.047103722,0.000030113,0.025982780,0.183316454,0.000446374,0.017131286,0.016512224,0.000904726,0.000001344,0.000003307,0.013295376,0.005879492,0.001576180,0.002007415,0.004699888,0.003732453,0.708287597,0.002196447,0.092603259,0.522051156,0.004872832,0.006274655,0.000000593,0.000000354,0.000003109,0.000045979,0.000038590,0.000018004,0.000001120,0.000000227
0.000000637,0.001274072,0.001105106,0.285327643,0.528611660,0.321667045,0.000012841,0.000000279,0.000000425,0.029872105,0.013184326,0.234889671,0.240838364,0.108047672,0.032296691,0.046617862,0.109209083,0.034350645,0.038310144,0.140138939,0.103561975,0.025070490,0.042655475,0.000022268,0.022064783,0.152395621,0.000411595,0.016057698,0.010385532,0.000863324,0.000002842,0.000006212,0.010918113,0.005819155,0.001203666,0.001330828,0.004124881,0.004028730,0.739267945,0.002314633,0.135837823,0.498413742,0.009492718,0.010705559,0.000000463,0.000000284,0.000004411,0.000041261,0.000037535,0.000024016,0.000001034,0.000000224
0.000000743,0.002358639,0.001792910,0.213539839,0.433385819,0.272984594,0.000013850,0.000000279,0.000000386,0.035307858,0.015934173,0.266816378,0.279111743,0.138407081,0.024812169,0.037587810,0.135657370,0.028825441,0.030858109,0.151972771,0.094300449,0.021478808,0.033110570,0.000020146,0.024547983,0.147886842,0.000310731,0.014599821,0.006524696,0.000991546,0.000006531,0.000013578,0.007361479,0.006744430,0.001330512,0.001238229,0.005166116,0.007398097,0.586509943,0.001332783,0.175593570,0.499045849,0.014765258,0.013159242,0.000000574,0.000000398,0.000005978,0.000056022,0.000038551,0.000029162,0.000000924,0.000000289
0.000000649,0.001661856,0.001321671,0.232134223,0.502906978,0.283650637,0.000013290,0.000000284,0.000000325,0.036881540,0.021449406,0.262408227,0.273682296,0.140958294,0.023606252,0.039060645,0.147497058,0.030676225,0.031756539,0.144350722,0.113764189,0.021578746,0.027501522,0.000019923,0.021431576,0.136932984,0.000371808,0.015466008,0.004965338,0.001414677,0.000005450,0.000009581,0.007801507,0.005748240,0.001307285,0.001064319,0.004871188,0.008563316,0.630435348,0.001978634,0.183466479,0.499919713,0.014821153,0.011602884,0.000000558,0.000000409,0.000006778,0.000038462,0.000026054,0.000025520,0.000000850,0.000000238
0.000000752,0.002536209,0.001777452,0.204761639,0.434906602,0.280861855,0.000012831,0.000000285,0.000000435,0.033165362,0.015470799,0.274709225,0.291036934,0.127862006,0.026895443,0.042898495,0.135190815,0.029212391,0.030414319,0.157790065,0.108710021,0.024606094,0.037978981,0.000018258,0.024709728,0.152096629,0.000446612,0.017684842,0.009954176,0.001541129,0.000002744,0.000006152,0.007466882,0.007705303,0.001220043,0.001081344,0.004393880,0.007724909,0.753740907,0.002192658,0.253086269,0.616585135,0.015741328,0.009449384,0.000000261,0.000000192,0.000002471,0.000032987,0.000018573,0.000013421,0.000000928,0.000000243
0.000000716,0.002234638,0.001953395,0.206054494,0.439357221,0.267455280,0.000013517,0.000000273,0.000000387,0.028185008,0.011796295,0.275189787,0.281710327,0.107821606,0.031968515,0.045325115,0.111117005,0.028258253,0.030446060,0.132607594,0.083014935,0.027318060,0.040596548,0.000020587,0.028400833,0.160412252,0.000312747,0.013537356,0.004599340,0.001085694,0.000007184,0.000014703,0.007219457,0.011758839,0.001702777,0.001374366,0.003802864,0.009625831,0.601640344,0.000720466,0.179184496,0.466014743,0.017658519,0.015459402,0.000000461,0.000000381,0.000004712,0.000059832,0.000047496,0.000041974,0.000000918,0.000000289
0.000000574,0.001141982,0.001101254,0.249676585,0.544720531,0.305970699,0.000014829,0.000000299,0.000000408,0.033801869,0.013654741,0.279018760,0.275249630,0.129561469,0.027465416,0.038067874,0.127653494,0.030773047,0.031187996,0.160568073,0.092950746,0.026134187,0.037806254,0.000026326,0.025631603,0.194280446,0.000560825,0.010488755,0.003833636,0.000911223,0.000006846,0.000014233,0.009251661,0.005663496,0.002728551,0.002299428,0.002521400,0.006696266,0.590338707,0.001402000,0.123658657,0.491702020,0.010594004,0.012942383,0.000000392,0.000000345,0.000004341,0.000071532,0.000067091,0.000064950,0.000001282,0.000000318
0.000000508,0.001696435,0.001796222,0.216951400,0.479211658,0.239822790,0.000013701,0.000000273,0.000000416,0.023964586,0.010497807,0.273347050,0.276404709,0.109041877,0.033357110,0.041498624,0.107883617,0.027541757,0.031210706,0.107337810,0.094566584,0.030254677,0.048618395,0.000027010,0.032281894,0.193046376,0.000395263,0.010206863,0.004783283,0.001005537,0.000003162,0.000005408,0.015862035,0.005420685,0.002262853,0.002198123,0.002978640,0.004027245,0.669703305,0.001996027,0.090960369,0.453292549,0.007346286,0.013814632,0.000000633,0.000000412,0.000007159,0.000033796,0.000096826,0.000089045,0.000001103,0.000000239
0.000000427,0.001038230,0.001215240,0.281854063,0.546963453,0.281315148,0.000014687,0.000000286,0.000000364,0.026599143,0.011054465,0.280789465,0.276425660,0.092743732,0.037589166,0.050072029,0.093537793,0.028480476,0.030059470,0.140996575,0.093216322,0.028953021,0.046034981,0.000029755,0.035977066,0.192098215,0.000342513,0.009368985,0.003566824,0.001124784,0.000003808,0.000006151,0.016973417,0.004678901,0.002831573,0.002512959,0.002428419,0.004198389,0.665314913,0.002018962,0.075627342,0.397736102,0.005945431,0.012488083,0.000000654,0.000000455,0.000008007,0.000037532,0.000094420,0.000094912,0.000001153,0.000000241
0.000000184,0.010738896,0.008489115,0.072051287,0.198874205,0.141460851,0.000008629,0.000000045,0.000000062,0.413966119,0.373603076,0.514003158,0.564268231,0.097805932,0.041594412,0.083673663,0.171393782,0.019733662,0.010543741,0.564615250,0.597530305,0.003480724,0.001043055,0.000030662,0.093920976,0.067506015,0.000359167,0.016464522,0.019065730,0.020985177,0.000000025,0.000000022,0.037227564,0.204692036,0.000826732,0.000460826,0.000779118,0.002446002,0.989574909,0.000589286,0.103542574,0.720642567,0.002091143,0.000617367,0.000000146,0.000000087,0.000001081,0.000000416,0.000001170,0.000001986,0.000000390,0.000000024
0.000000251,0.004164298,0.002361722,0.107107028,0.333329290,0.285409480,0.000018453,0.000000113,0.000000103,0.220451564,0.188628048,0.288047612,0.370482236,0.108970948,0.027882416,0.066347636,0.203961045,0.040923242,0.023046929,0.516248941,0.428517938,0.007378663,0.003692123,0.000047335,0.121543422,0.151840165,0.000346986,0.013290515,0.016641432,0.014431634,0.000000087,0.000000086,0.048548065,0.180504426,0.002895858,0.001789731,0.001149747,0.004201721,0.966955781,0.000284356,0.170358524,0.741848052,0.002200707,0.001575041,0.000000203,0.000000115,0.000001464,0.000000822,0.000007447,0.000008692,0.000000574,0.000000067
0.000000320,0.004786680,0.004492822,0.082743257,0.316490293,0.186884299,0.000015566,0.000000163,0.000000153,0.161079973,0.112020947,0.237328738,0.299770653,0.090685561,0.027565310,0.075705275,0.195036173,0.041642454,0.030347204,0.450312853,0.437305957,0.009266603,0.006878440,0.000049644,0.123543523,0.168073922,0.000336453,0.009184360,0.023561588,0.010683669,0.000000063,0.000000076,0.073090754,0.200860485,0.002527197,0.001698469,0.001187828,0.003388498,0.951305270,0.000244917,0.122035123,0.719258368,0.002101866,0.003472860,0.000000354,0.000000200,0.000001322,0.000001305,0.000024385,0.000027319,0.000000695,0.000000106
0.000000330,0.007971254,0.006375149,0.061447918,0.239991501,0.152775347,0.000016882,0.000000151,0.000000173,0.123806745,0.079385027,0.253934085,0.313804358,0.114039570,0.024541190,0.055502564,0.180486917,0.035591852,0.028086813,0.385951251,0.359080166,0.010640558,0.009249533,0.000041020,0.119920947,0.174404204,0.000231151,0.008359442,0.022376405,0.005372199,0.000000118,0.000000169,0.040388934,0.071213633,0.002767578,0.002058712,0.002539971,0.004544828,0.889138699,0.000380654,0.124208286,0.689376712,0.002569458,0.004228301,0.000000625,0.000000303,0.000002278,0.000002623,0.000030143,0.000028194,0.000000700,0.000000146
0.000000328,0.008585761,0.007115676,0.055605464,0.231469333,0.146365255,0.000016743,0.000000146,0.000000172,0.125104085,0.081136130,0.260936528,0.321329415,0.110130258,0.025138997,0.057285834,0.178969249,0.035104580,0.027199419,0.389613956,0.363951564,0.010713859,0.009130160,0.000041047,0.118073203,0.174031705,0.000236320,0.008792787,0.024475496,0.005613525,0.000000104,0.000000151,0.042222667,0.072525240,0.002591965,0.001960747,0.002483604,0.004308640,0.899158835,0.000391335,0.125178486,0.695622325,0.002510942,0.004003361,0.000000600,0.000000288,0.000002131,0.000002455,0.000028718,0.000026658,0.000000671,0.000000141
0.000000468,0.009516137,0.007626163,0.051094364,0.229066581,0.131305262,0.000012150,0.000000175,0.000000174,0.103433579,0.050485916,0.228143305,0.271213412,0.115678549,0.027782314,0.052921679,0.154637963,0.037384249,0.035169616,0.350482881,0.284377158,0.011860970,0.014033186,0.000019280,0.054465339,0.085747987,0.000174410,0.006143663,0.016067278,0.007201189,0.000000479,0.000000657,0.012299621,0.063400060,0.001047421,0.000622813,0.005643889,0.013201914,0.809925437,0.000404490,0.238772810,0.586287618,0.012298018,0.006912442,0.000000716,0.000000384,0.000004019,0.000003855,0.000011978,0.000013363,0.000000593,0.000000139
0.000000510,0.025914149,0.014536125,0.044215295,0.116587058,0.087082759,0.000008384,0.000000103,0.000000160,0.107747369,0.046959564,0.229882076,0.265709639,0.186810344,0.015922410,0.033570714,0.200301602,0.033789255,0.034159612,0.312026918,0.222287849,0.010172808,0.011637777,0.000011273,0.012137459,0.028699841,0.000087505,0.002792518,0.013102827,0.005282006,0.000002565,0.000004182,0.001622919,0.010480282,0.000392606,0.000222830,0.028433943,0.046645947,0.215624273,0.000864041,0.213180006,0.425833195,0.027442371,0.004232781,0.000004647,0.000002988,0.000017642,0.000031694,0.000005732,0.000005839,0.000000425,0.000000164
0.000000481,0.027167622,0.015932880,0.040234227,0.121106647,0.085723199,0.000007040,0.000000101,0.000000179,0.097518958,0.038538810,0.250658333,0.275544435,0.146868110,0.022922594,0.042331412,0.172061086,0.032452174,0.034412105,0.257154286,0.228136092,0.011325933,0.016629076,0.000008159,0.019962002,0.029564185,0.000078528,0.003292461,0.014937969,0.008017684,0.000001416,0.000002062,0.001683657,0.022830978,0.000297804,0.000137746,0.022017874,0.043286290,0.445848525,0.000678310,0.376447320,0.598093748,0.045483340,0.003538985,0.000002051,0.000001170,0.000012372,0.000012945,0.000002456,0.000002773,0.000000326,0.000000114
0.000000294,0.012443083,0.007319590,0.065185398,0.192078099,0.147881165,0.000010003,0.000000098,0.000000163,0.068220362,0.016994379,0.229755461,0.255292863,0.175550267,0.019210868,0.033597063,0.179537132,0.034796771,0.035850950,0.256638110,0.118571624,0.015402958,0.031745568,0.000016871,0.023575140,0.044148363,0.000114519,0.003652554,0.007659247,0.006237755,0.000001251,0.000001855,0.005004846,0.021475386,0.001220036,0.000650024,0.007899796,0.028258864,0.599478781,0.000564160,0.148325264,0.361850679,0.010104195,0.003594427,0.000001188,0.000000914,0.000006507,0.000013041,0.000005828,0.000007608,0.000000563,0.000000123
0.000000285,0.011133011,0.006740435,0.079934381,0.195182249,0.147774577,0.000010005,0.000000101,0.000000157,0.065899082,0.016339507,0.213523462,0.235810503,0.183553562,0.019246101,0.030632962,0.181228280,0.037151374,0.039334577,0.255584359,0.118651636,0.015395151,0.032361474,0.000017984,0.023277732,0.042688843,0.000113599,0.003483772,0.007326048,0.005981064,0.000001204,0.000001724,0.005701879,0.023647293,0.001305924,0.000707480,0.007212433,0.025257228,0.631207824,0.000512011,0.132981166,0.324924052,0.009235063,0.003877429,0.000001210,0.000000918,0.000006811,0.000012092,0.000006709,0.000008715,0.000000597,0.000000117
