_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001093,0.000376225,0.000347739,0.476098090,0.616448104,0.357641190,0.000444853,0.000000671,0.000000752,0.021923807,0.013823560,0.262400627,0.242581055,0.005342714,0.427313149,0.441432416,0.004260014,0.039559893,0.028909361,0.181905583,0.066122085,0.046633121,0.042193878,0.001137926,0.000605619,0.044578917,0.000730209,0.001084422,0.017834006,0.026143759,0.000016077,0.000014332,0.010225707,0.000502680,0.093245283,0.116507895,0.034380998,0.061731659,0.005851989,0.002297396,0.004816901,0.049037021,0.000850758,0.024245694,0.341889560,0.407926977,0.001132774,0.002513298,0.109777778,0.158247486,0.000003037,0.000001605
0.000001246,0.000510117,0.000275471,0.561395407,0.442788273,0.292853385,0.000254882,0.000000871,0.000000544,0.178525284,0.134935737,0.561449647,0.534646213,0.025425006,0.186034650,0.203109607,0.013350612,0.012003901,0.009042189,0.332421094,0.279667437,0.005303802,0.004293330,0.001038186,0.000599750,0.039712299,0.000509610,0.001559719,0.093053579,0.041709166,0.000023132,0.000030002,0.007287567,0.000122076,0.036517520,0.064926721,0.097647354,0.062238432,0.002205450,0.010774164,0.004043401,0.021978337,0.001090883,0.026692284,0.123684287,0.116654053,0.001021845,0.003490469,0.073503733,0.080816142,0.000004353,0.000001725
0.000000979,0.001037994,0.000151930,0.577398956,0.269497514,0.439452231,0.000296811,0.000000509,0.000000300,0.699441433,0.597734272,0.842311621,0.831271529,0.054623552,0.135611936,0.121265016,0.028728032,0.003347048,0.002067651,0.614544988,0.441973954,0.000780772,0.000262351,0.001010379,0.002405966,0.058238260,0.000383054,0.002914665,0.103164785,0.064874835,0.000003047,0.000003590,0.021748552,0.000408922,0.036920995,0.063025579,0.048139937,0.044754449,0.007844009,0.004995803,0.003406827,0.028004309,0.000478793,0.014331823,0.114322893,0.117127076,0.000374139,0.001062949,0.039165430,0.045654323,0.000002792,0.000000984
0.000001004,0.001150597,0.000534234,0.494969040,0.296362579,0.323700130,0.000345083,0.000000459,0.000000249,0.737480044,0.674256504,0.826207638,0.805626869,0.062975377,0.132016227,0.107555628,0.030739656,0.004078336,0.002315107,0.683150649,0.602216303,0.000700558,0.000150176,0.000989186,0.002009306,0.155731365,0.000975731,0.008973842,0.228129029,0.143734947,0.000001036,0.000001301,0.042435493,0.000495758,0.044578150,0.085542642,0.061524898,0.045274314,0.011620683,0.006592756,0.003900160,0.034774031,0.000274445,0.007447862,0.033937585,0.033154897,0.000188018,0.000342369,0.025854617,0.026552809,0.000001944,0.000000774
0.000000620,0.002249441,0.001391197,0.394485176,0.189314306,0.169982612,0.000282703,0.000000205,0.000000180,0.518147707,0.431163996,0.652196169,0.625373542,0.014851374,0.281868666,0.292378902,0.012160264,0.010558034,0.006473307,0.593233943,0.308147073,0.001511886,0.000556558,0.001093025,0.001316082,0.173814580,0.001300815,0.009210993,0.336667627,0.250893682,0.000000263,0.000000334,0.047985345,0.000186506,0.045081738,0.079670496,0.054246880,0.033698294,0.016301759,0.022963898,0.002642066,0.040333416,0.000145178,0.005456197,0.018728202,0.021886559,0.000066597,0.000179990,0.016588354,0.018501034,0.000001629,0.000000524
0.000000802,0.006291073,0.003199576,0.244978681,0.106660992,0.121690996,0.000298948,0.000000213,0.000000196,0.448857754,0.398429662,0.612114251,0.579658270,0.010303832,0.309474438,0.306718767,0.011432435,0.012403260,0.007298189,0.595120668,0.272640169,0.001692448,0.000595862,0.000988111,0.001791026,0.182564437,0.000531379,0.008786643,0.194912672,0.137892559,0.000001125,0.000001395,0.031946372,0.000265617,0.044979118,0.071242005,0.059392862,0.041826047,0.008867556,0.009175624,0.003084823,0.020285366,0.000278792,0.009862295,0.019154979,0.023420203,0.000161402,0.000379482,0.030498182,0.034434143,0.000001449,0.000000745
0.000000988,0.052605975,0.046323638,0.062580325,0.029450603,0.023393393,0.000422704,0.000000143,0.000000208,0.328517914,0.297579974,0.496265173,0.449122906,0.006294452,0.350700766,0.344233006,0.010658187,0.019159615,0.012516216,0.530721903,0.294183731,0.002607514,0.000956844,0.001616694,0.001506329,0.159407839,0.000565160,0.006377087,0.211670220,0.217531353,0.000000807,0.000000895,0.019190609,0.000268279,0.092781976,0.137408793,0.092428111,0.084165700,0.004070923,0.006296298,0.002906062,0.036651637,0.000201975,0.007926002,0.037442084,0.046941638,0.000179970,0.000334832,0.028901204,0.043228898,0.000001136,0.000001109
0.000000572,0.014626126,0.013367040,0.181666166,0.072000846,0.051739875,0.000091598,0.000000128,0.000000152,0.154259250,0.137660950,0.373310179,0.371021926,0.005887797,0.303079575,0.287672728,0.017499091,0.026898071,0.015488101,0.375571609,0.224468559,0.007602800,0.003077297,0.000525315,0.000478469,0.038770285,0.000438951,0.002182616,0.116073005,0.073913112,0.000000859,0.000001161,0.022779740,0.000528538,0.013397316,0.017579317,0.028250961,0.025242904,0.030002864,0.007773007,0.002314870,0.009317760,0.000574407,0.016630162,0.003375658,0.004901383,0.000069483,0.000228706,0.010362092,0.014228256,0.000001408,0.000000487
0.000000964,0.021896575,0.017963037,0.066816650,0.111211441,0.071320109,0.000041271,0.000000096,0.000000226,0.124022678,0.096319266,0.287428617,0.313239723,0.004692652,0.338992149,0.327553779,0.016451817,0.030586151,0.021851335,0.301901937,0.246899799,0.007002598,0.004757181,0.000147993,0.000554177,0.006486281,0.000079253,0.001485147,0.140217945,0.017897971,0.000005777,0.000006759,0.002302713,0.000253917,0.000454944,0.001014293,0.148577496,0.015096602,0.012650736,0.021515219,0.003902818,0.007303715,0.003867662,0.013058099,0.007175513,0.003503365,0.000479169,0.000205986,0.001106367,0.000883199,0.000001363,0.000000502
0.000001158,0.057957165,0.041258607,0.045365311,0.042636778,0.030144610,0.000046446,0.000000091,0.000000228,0.191015601,0.141686335,0.389811456,0.375617683,0.010054193,0.271294206,0.270923793,0.014755299,0.022145139,0.016093850,0.361492008,0.218751505,0.004242227,0.003071495,0.000211757,0.000670076,0.003797665,0.000026486,0.000588576,0.106141508,0.057411861,0.000042423,0.000053535,0.000438556,0.000350748,0.000740777,0.001050662,0.208337605,0.110363476,0.001065461,0.003891184,0.005407077,0.005910193,0.005962403,0.010204541,0.058077548,0.053257104,0.001203505,0.001844863,0.000890373,0.001269608,0.000001529,0.000000842
0.000001243,0.005303417,0.005929642,0.261041313,0.189727068,0.093607515,0.000008867,0.000000163,0.000000236,0.248472109,0.128580689,0.309703916,0.293392152,0.050158523,0.070209220,0.079900943,0.064694777,0.027527142,0.025980856,0.337302238,0.205626592,0.003464307,0.003377845,0.000011022,0.000829973,0.004339818,0.000064800,0.000486922,0.121648766,0.012679601,0.000033392,0.000063294,0.000279340,0.002145802,0.000055264,0.000078882,0.064939812,0.018621186,0.022296725,0.002600457,0.037265491,0.011831845,0.371774405,0.061518345,0.000372197,0.000168741,0.000114895,0.000379001,0.000541674,0.000376010,0.000001247,0.000000291
0.000002092,0.063278407,0.022594670,0.077166691,0.042759418,0.048376210,0.000013745,0.000000103,0.000000254,0.220006019,0.070056379,0.472750962,0.458088398,0.016376028,0.202674925,0.199496686,0.020587778,0.013614431,0.012653076,0.312029183,0.118151292,0.003622016,0.006019310,0.000023844,0.000886280,0.002453766,0.000028110,0.000359454,0.362382978,0.045262463,0.000033296,0.000062917,0.000172647,0.001805918,0.000047352,0.000063126,0.198809996,0.043974813,0.002317590,0.002080297,0.010619826,0.008855981,0.273698479,0.068375617,0.008448574,0.003544997,0.000357658,0.000520087,0.002140173,0.001421493,0.000001378,0.000000598
0.000001324,0.032749746,0.010998166,0.124135435,0.063826405,0.075897805,0.000009466,0.000000083,0.000000247,0.191762283,0.093293436,0.458948523,0.434890836,0.028772388,0.176714465,0.185688779,0.015144811,0.015012957,0.012564505,0.314828187,0.110605828,0.004524199,0.005035211,0.000014574,0.001216868,0.003600185,0.000040409,0.000486345,0.289001048,0.038387261,0.000012648,0.000026298,0.000221499,0.003161748,0.000047394,0.000057825,0.148412362,0.044851944,0.008004725,0.001639701,0.023230724,0.018869625,0.254684716,0.033840399,0.001354645,0.000659219,0.000117499,0.000359938,0.000480862,0.000276963,0.000001304,0.000000283
0.000001569,0.138485387,0.052116029,0.047535293,0.022580216,0.025090499,0.000012589,0.000000091,0.000000265,0.366818994,0.159358814,0.572214365,0.581994951,0.016670486,0.170305297,0.178810671,0.028985990,0.008063121,0.007878384,0.352745891,0.190622583,0.001797751,0.002904390,0.000013979,0.002120746,0.007034804,0.000050006,0.000977330,0.396463066,0.053765580,0.000004227,0.000007379,0.000315078,0.002834137,0.000044396,0.000064684,0.162277758,0.029099049,0.019389220,0.003377278,0.053792309,0.063514188,0.252227724,0.031563267,0.000610587,0.000225452,0.000083101,0.000105851,0.000286379,0.000146388,0.000000686,0.000000332
0.000000930,0.098307207,0.035629861,0.078418098,0.025751811,0.028284591,0.000029528,0.000000096,0.000000170,0.283645868,0.142105877,0.515092313,0.518009245,0.007136272,0.261626303,0.268718183,0.016559387,0.011281834,0.008609452,0.443087548,0.212143853,0.002467169,0.002710128,0.000079101,0.003072011,0.014427714,0.000038850,0.001747168,0.172250137,0.039590087,0.000005901,0.000008140,0.001286145,0.005060948,0.000598056,0.001113678,0.074694380,0.027523881,0.030777754,0.000672849,0.041507594,0.032882195,0.020428084,0.015565817,0.000380052,0.000208371,0.000066077,0.000080986,0.000414979,0.000330917,0.000000709,0.000000401
0.000001118,0.128896222,0.040307682,0.086943455,0.016601076,0.026974346,0.000048246,0.000000144,0.000000173,0.346360952,0.187388301,0.579338908,0.592673540,0.019519504,0.120857649,0.154748201,0.041536760,0.008349281,0.005596922,0.513330877,0.241804093,0.001765933,0.001771104,0.000097291,0.004112856,0.023802489,0.000035376,0.002432909,0.132459506,0.031355307,0.000013083,0.000016266,0.001286816,0.006448493,0.001116984,0.001891955,0.086258672,0.034048188,0.013025631,0.000324113,0.049446005,0.032210093,0.021450594,0.020368384,0.000767205,0.000408404,0.000129605,0.000112480,0.001042253,0.000847200,0.000000532,0.000000650
0.000000907,0.122679301,0.037906166,0.093963049,0.016122058,0.025635926,0.000064666,0.000000099,0.000000148,0.377093852,0.223180890,0.560886025,0.580162764,0.013004101,0.177292362,0.201132834,0.031212362,0.009265290,0.007104140,0.449608594,0.273903042,0.001519508,0.001388601,0.000226985,0.002051226,0.014265899,0.000036878,0.001885044,0.251127034,0.072263069,0.000007032,0.000007585,0.001337287,0.003551361,0.001633184,0.002806504,0.151046962,0.053384770,0.005416183,0.000571788,0.012897706,0.013042439,0.005851448,0.012457593,0.006977959,0.004203926,0.000300600,0.000150457,0.001423686,0.001229594,0.000000627,0.000000578
0.000000981,0.091388695,0.035221834,0.112107009,0.018695381,0.020734169,0.000062898,0.000000106,0.000000169,0.408641517,0.236598611,0.560945094,0.572216451,0.010665953,0.217747763,0.218935579,0.025147894,0.009051888,0.007789719,0.397525281,0.267482489,0.001344611,0.001261488,0.000243851,0.002074121,0.011356361,0.000026329,0.001780955,0.169382945,0.052775126,0.000019106,0.000019713,0.000975537,0.002763611,0.001404579,0.002267909,0.176122934,0.068800867,0.002895896,0.000579531,0.011919267,0.010182776,0.006746899,0.014155913,0.014206036,0.009167418,0.000688997,0.000290318,0.001458624,0.001326367,0.000000715,0.000000668
0.000000853,0.142304063,0.053870261,0.037924279,0.014529208,0.017039189,0.000026168,0.000000072,0.000000159,0.252491623,0.156563506,0.358489543,0.370636165,0.003865311,0.419667423,0.416242629,0.007492702,0.023479484,0.019488897,0.410895109,0.233629733,0.002958443,0.002644616,0.000099300,0.002342333,0.010552814,0.000032153,0.002053485,0.222128481,0.055815715,0.000008219,0.000011860,0.000650732,0.001750030,0.000486765,0.000806099,0.123132974,0.053020388,0.011410156,0.001493552,0.030073190,0.021937780,0.015888344,0.007388229,0.001233516,0.000736874,0.000114442,0.000174976,0.000144769,0.000099470,0.000000578,0.000000354
0.000000915,0.090085626,0.028281035,0.101539619,0.030788740,0.030270811,0.000016994,0.000000070,0.000000132,0.249941394,0.139552444,0.518824399,0.493605047,0.019913753,0.134060204,0.150651813,0.038327724,0.012432505,0.009050044,0.363657117,0.166929260,0.003267187,0.002876560,0.000027165,0.005073604,0.005492748,0.000008451,0.000692252,0.087199397,0.078294218,0.000036027,0.000035767,0.000146609,0.005194678,0.000130535,0.000117186,0.172922954,0.099227197,0.003741462,0.000494626,0.055145461,0.028427716,0.176166177,0.016153319,0.001727362,0.000913712,0.000533562,0.000151904,0.000130138,0.000149485,0.000000424,0.000000345
0.000000663,0.015284062,0.004772454,0.269655704,0.151501447,0.121175863,0.000022129,0.000000085,0.000000131,0.269683421,0.093919359,0.572111130,0.560578406,0.021053461,0.106663197,0.159326628,0.052271634,0.009638030,0.006236659,0.453546375,0.109202012,0.003665869,0.004478760,0.000037825,0.004702057,0.004278356,0.000016172,0.000361986,0.291777670,0.227027476,0.000004170,0.000004116,0.000329147,0.006747325,0.000181125,0.000184216,0.134373471,0.053051997,0.015804412,0.001277380,0.032933056,0.025585104,0.113233648,0.021049909,0.000979727,0.000456516,0.000137460,0.000038425,0.000280129,0.000309446,0.000000880,0.000000266
0.000001350,0.001780584,0.000627335,0.512223065,0.452675790,0.308690757,0.000036380,0.000000230,0.000000277,0.532987595,0.345394701,0.700038195,0.692534447,0.069617301,0.057086103,0.077831276,0.093341544,0.004680331,0.004631010,0.592918932,0.315032870,0.001137746,0.000978152,0.000031040,0.009533754,0.003464185,0.000007514,0.000194505,0.155066609,0.132852674,0.000101250,0.000088115,0.000069630,0.004495719,0.000156662,0.000180343,0.296321839,0.120945156,0.001034606,0.000751782,0.054784976,0.025017511,0.465079725,0.059911724,0.008349321,0.003336475,0.001451816,0.000277578,0.000844933,0.001132343,0.000001240,0.000000514
0.000001176,0.001573956,0.000442718,0.460504949,0.441192538,0.351103574,0.000038420,0.000000206,0.000000195,0.651845217,0.590092897,0.765406072,0.764496207,0.037250973,0.114868000,0.130077079,0.057936672,0.004549013,0.003296576,0.560626447,0.340756893,0.000769305,0.000371649,0.000035767,0.002371884,0.002496404,0.000013008,0.000213476,0.145707458,0.185309410,0.000285106,0.000264948,0.000039577,0.000873847,0.000148454,0.000149626,0.283892214,0.168785587,0.000460455,0.002449359,0.037204675,0.012110440,0.453598261,0.037593488,0.019923221,0.010454490,0.002472330,0.000874567,0.001196644,0.001504860,0.000001363,0.000000497
0.000001661,0.015001018,0.005924812,0.173085213,0.168447599,0.128341228,0.000031800,0.000000124,0.000000157,0.729663134,0.594449639,0.814963222,0.809519172,0.039261505,0.099547163,0.119925819,0.057779476,0.002666133,0.002436751,0.540266275,0.427773535,0.000519282,0.000246023,0.000026443,0.002137937,0.002851608,0.000021290,0.000276511,0.356571168,0.490071207,0.000030142,0.000025385,0.000054916,0.002200119,0.000106561,0.000095245,0.313985080,0.193913028,0.000806162,0.002344342,0.032206152,0.020145966,0.419790477,0.041841090,0.019841352,0.012315662,0.000809589,0.000243814,0.001025355,0.001627406,0.000000861,0.000000417
0.000001987,0.024970636,0.015698019,0.114108101,0.098464586,0.066026479,0.000028743,0.000000162,0.000000283,0.716413975,0.516148210,0.830473900,0.826918006,0.079236038,0.057388660,0.066024408,0.085702538,0.002034394,0.001859197,0.535712481,0.397414923,0.000420827,0.000301453,0.000036951,0.001435809,0.003213657,0.000017786,0.000497436,0.134931967,0.074711964,0.000193431,0.000236846,0.000075041,0.001056249,0.000129500,0.000177888,0.389575809,0.221827865,0.000487568,0.001953736,0.028810140,0.013668858,0.210855633,0.022706499,0.026770769,0.017274357,0.001586113,0.001950312,0.000773403,0.000889366,0.000001118,0.000000982
