_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000698,0.123955607,0.170909986,0.006767157,0.029079588,0.017600618,0.000019631,0.000000165,0.000000330,0.225194722,0.120427638,0.366018325,0.333160341,0.013612041,0.215682954,0.221214846,0.028819814,0.022269145,0.025466109,0.219071031,0.477344513,0.003617295,0.006298288,0.000453152,0.000194228,0.002830824,0.000154063,0.000169542,0.011572575,0.002135553,0.000039246,0.000058054,0.034488197,0.004305357,0.004846403,0.006920839,0.019916806,0.010597234,0.040176034,0.000145192,0.000543840,0.000763832,0.000562073,0.023193995,0.041515250,0.042799626,0.002668346,0.011660594,0.027967155,0.035521943,0.000001862,0.000000695
0.000000662,0.123453863,0.198493764,0.007431352,0.030347357,0.016702682,0.000009796,0.000000104,0.000000172,0.190451875,0.118661329,0.294712186,0.253279448,0.020827021,0.148637384,0.181137294,0.040348839,0.031896006,0.034295205,0.214456961,0.465153754,0.004566291,0.006330928,0.000168085,0.000128494,0.000733568,0.000078838,0.000092400,0.006204549,0.002096383,0.000038366,0.000049357,0.013445908,0.004028500,0.000855764,0.000943416,0.017868917,0.010820127,0.073684402,0.000318076,0.000407028,0.000311413,0.002371393,0.036165331,0.048453145,0.056931246,0.002548255,0.007771011,0.018025281,0.030804113,0.000001777,0.000000367
0.000000582,0.163625687,0.221169487,0.005234920,0.025884736,0.016916284,0.000009414,0.000000094,0.000000161,0.205961302,0.130188018,0.358604908,0.318224847,0.017057024,0.168702915,0.197938934,0.036497962,0.024118176,0.024385694,0.204904065,0.419073403,0.004445660,0.005967537,0.000161723,0.000141837,0.000769805,0.000080035,0.000101608,0.004416829,0.002762351,0.000044782,0.000053901,0.014139074,0.003995852,0.000850032,0.000803681,0.013332001,0.012620807,0.078120850,0.000327278,0.000385676,0.000303927,0.002322727,0.036774036,0.029968189,0.042364027,0.002445386,0.006582733,0.014520069,0.028457258,0.000001680,0.000000351
0.000000666,0.136306867,0.182625443,0.005608598,0.025975572,0.017471913,0.000012468,0.000000098,0.000000149,0.198325709,0.142278746,0.346740782,0.306772143,0.025595389,0.129123166,0.159113795,0.045058429,0.027256979,0.027080551,0.246566847,0.452934563,0.004282781,0.005236072,0.000173503,0.000154058,0.000735095,0.000053540,0.000099778,0.003848446,0.001954931,0.000068913,0.000076892,0.009710104,0.008174352,0.000907803,0.000796009,0.014863684,0.014350925,0.049163118,0.000112597,0.000444759,0.000365236,0.002391469,0.034463067,0.106816024,0.126638472,0.005231887,0.010139680,0.017330585,0.036700901,0.000001330,0.000000376
0.000000707,0.225593418,0.267098278,0.003742450,0.014254731,0.011621487,0.000012408,0.000000115,0.000000190,0.247406438,0.165791258,0.417311579,0.387849927,0.039149795,0.087291323,0.118882000,0.063903093,0.018452510,0.019467773,0.210551217,0.452389687,0.003234144,0.004284666,0.000173743,0.000170185,0.000884225,0.000058385,0.000117840,0.003652840,0.001532494,0.000130200,0.000149793,0.008307214,0.007503547,0.000884877,0.000866764,0.015193108,0.014631679,0.039898816,0.000101984,0.000542618,0.000396401,0.002354545,0.036615420,0.077215090,0.091942012,0.006559347,0.015090549,0.015255690,0.029799441,0.000001301,0.000000467
0.000000771,0.179403082,0.213348150,0.006398680,0.015073131,0.010830170,0.000017111,0.000000154,0.000000172,0.212330922,0.190861359,0.409130037,0.368126541,0.016793344,0.206610769,0.198163092,0.027979840,0.022675974,0.022377063,0.262491494,0.467141539,0.003718819,0.003695701,0.000243261,0.000139781,0.000753295,0.000060558,0.000101703,0.002119275,0.001591543,0.000189592,0.000175721,0.010013997,0.002756778,0.001228774,0.001036121,0.012438538,0.010197223,0.055027600,0.000251375,0.000418419,0.000314919,0.002158012,0.039333642,0.320074439,0.315989196,0.023469413,0.020072171,0.020965887,0.049393121,0.000001522,0.000000499
0.000000734,0.283178449,0.274688810,0.004311346,0.007444577,0.006246064,0.000016260,0.000000134,0.000000176,0.222381353,0.200787500,0.435832888,0.409269482,0.015968703,0.215549052,0.214809343,0.029310217,0.021222167,0.020900639,0.312722474,0.478622496,0.003741729,0.003656527,0.000282705,0.000152758,0.000946230,0.000064796,0.000138480,0.002453898,0.001559659,0.000130204,0.000137957,0.015201700,0.003533348,0.001126648,0.001046364,0.007440674,0.007394161,0.088384122,0.000218194,0.000286449,0.000322549,0.001250274,0.029591106,0.229299113,0.260585964,0.012650551,0.028330412,0.017305413,0.038227472,0.000001463,0.000000528
0.000000495,0.242107078,0.250935614,0.005628114,0.011168206,0.009258543,0.000016742,0.000000138,0.000000179,0.277552456,0.172552615,0.493079334,0.495202214,0.020102713,0.179254159,0.193953201,0.039127454,0.016085530,0.016687449,0.313260198,0.485872090,0.003184281,0.004959724,0.000278737,0.000131315,0.000993669,0.000080832,0.000156402,0.001787055,0.001342742,0.000085410,0.000081197,0.016127491,0.005592990,0.001112033,0.000942724,0.005228738,0.005972597,0.109645195,0.000135578,0.000278090,0.000431396,0.000737899,0.014521769,0.446081400,0.441854745,0.019443767,0.023113742,0.008134456,0.015924463,0.000001068,0.000000563
0.000000676,0.220800474,0.237604618,0.005533624,0.013656930,0.011147308,0.000017403,0.000000189,0.000000272,0.247494519,0.156750828,0.445412010,0.427020401,0.026804987,0.144066870,0.158122987,0.043638252,0.019420780,0.020642836,0.257110178,0.504317522,0.003612437,0.005308229,0.000372849,0.000097082,0.000735857,0.000079851,0.000085121,0.002720094,0.000863769,0.000188315,0.000215073,0.015983101,0.005299037,0.001705280,0.001670960,0.007868879,0.006635676,0.088669211,0.000100301,0.000300507,0.000285198,0.000951633,0.021573637,0.408190042,0.389380217,0.031252634,0.069545627,0.021865547,0.035253812,0.000001754,0.000000699
0.000000468,0.224158004,0.290442348,0.003341604,0.011342406,0.009095401,0.000018651,0.000000080,0.000000238,0.683624387,0.592350364,0.724855423,0.720246315,0.061645526,0.115594700,0.104580067,0.037169527,0.006252694,0.006149601,0.431005180,0.519108057,0.000626379,0.000355773,0.000325704,0.000348241,0.001365500,0.000059736,0.000161090,0.005388170,0.001739796,0.000098083,0.000095182,0.014426880,0.008156855,0.001793278,0.002459659,0.011580310,0.008555297,0.052553609,0.000075143,0.000346880,0.000646051,0.000422747,0.012068013,0.191744193,0.176459506,0.012221601,0.024422584,0.008318307,0.009870871,0.000002180,0.000000429
0.000000260,0.131561622,0.239393219,0.003377495,0.019011609,0.010863728,0.000019105,0.000000053,0.000000170,0.665104151,0.574987054,0.777001917,0.765739262,0.044598095,0.167711750,0.166559026,0.019618355,0.004542451,0.004164361,0.399146378,0.463347316,0.000694302,0.000340742,0.000310825,0.000625940,0.001859824,0.000050831,0.000201375,0.010411788,0.006711240,0.000027268,0.000021656,0.015040898,0.005826774,0.002490173,0.003302714,0.021767629,0.014159247,0.039493475,0.000170313,0.000435003,0.001021972,0.000363875,0.009531989,0.080948055,0.069755152,0.005270889,0.002721377,0.005522952,0.007438921,0.000002046,0.000000250
0.000000281,0.183819279,0.288945407,0.003157100,0.013874617,0.007031906,0.000014978,0.000000086,0.000000199,0.544591427,0.340161502,0.659821033,0.661512017,0.067733504,0.078305200,0.070317514,0.066677444,0.007317523,0.008235860,0.413217992,0.469873279,0.001066755,0.001161699,0.000424351,0.000300101,0.001731913,0.000096258,0.000122010,0.005484539,0.004009962,0.000059657,0.000067510,0.014333842,0.001715070,0.004370439,0.005129652,0.014843533,0.018812168,0.024528107,0.000351804,0.000391318,0.000847302,0.000289323,0.009722722,0.023099571,0.031575933,0.002848345,0.010484966,0.003953589,0.004529676,0.000002392,0.000000513
0.000000280,0.179788768,0.289213181,0.002999990,0.014360377,0.006924314,0.000015166,0.000000086,0.000000197,0.538836777,0.334786892,0.660753369,0.662309766,0.067519225,0.078705862,0.070206612,0.066391580,0.007273202,0.008137703,0.412281245,0.469612330,0.001093810,0.001173712,0.000427711,0.000319422,0.001809669,0.000094643,0.000120605,0.005587411,0.004400526,0.000059841,0.000067630,0.014030528,0.001609821,0.004644404,0.005421724,0.015590781,0.020625941,0.022298789,0.000371783,0.000411430,0.000884824,0.000297771,0.009782420,0.021184526,0.029475447,0.002597214,0.009665948,0.003942488,0.004561549,0.000002388,0.000000516
0.000000164,0.212837711,0.297659427,0.002559410,0.010999509,0.010459519,0.000010276,0.000000022,0.000000089,0.510654092,0.446191639,0.692952275,0.692328572,0.068580560,0.070028566,0.090693869,0.073650621,0.007054640,0.006135832,0.400062621,0.512383819,0.001153000,0.000588357,0.000157597,0.000514338,0.001070924,0.000045345,0.000159907,0.014478995,0.012021643,0.000004603,0.000004235,0.006283384,0.002488609,0.000814153,0.000987809,0.028630460,0.016791353,0.055885840,0.000870548,0.000342836,0.001043000,0.000419719,0.003553615,0.014675971,0.014966828,0.001115995,0.001029126,0.000718044,0.000939536,0.000001399,0.000000149
0.000000166,0.222885907,0.331440985,0.001862569,0.010821107,0.009087784,0.000010639,0.000000020,0.000000091,0.541839659,0.472614706,0.704416335,0.702732801,0.036453161,0.128248379,0.140691340,0.042886056,0.006788436,0.006066193,0.415202767,0.517312765,0.001043818,0.000515290,0.000166682,0.000464525,0.001090057,0.000051317,0.000169969,0.014646578,0.012339715,0.000004365,0.000003949,0.006171995,0.002436514,0.000776278,0.000948395,0.028765565,0.015798287,0.057357967,0.000916648,0.000324975,0.001134965,0.000391516,0.003249810,0.015170466,0.015099260,0.001178838,0.000995449,0.000618264,0.000823455,0.000001435,0.000000139
0.000000905,0.205429941,0.290208906,0.001850652,0.013615262,0.010623635,0.000087212,0.000000192,0.000000292,0.438099951,0.416458666,0.632663846,0.628147006,0.035078336,0.104536459,0.126932308,0.051783383,0.009471744,0.007874885,0.398598164,0.513051152,0.001493024,0.000713980,0.000604460,0.000806566,0.016356545,0.000108353,0.000807151,0.005164747,0.003173603,0.000349606,0.000315456,0.009584289,0.001814541,0.012486876,0.021151368,0.038264137,0.022442363,0.004982367,0.000120406,0.001538457,0.002492076,0.000403905,0.013788314,0.090454638,0.076104887,0.013840193,0.013750264,0.015447132,0.026737155,0.000001077,0.000001322
0.000000905,0.204243615,0.290132582,0.001841996,0.013698165,0.010541046,0.000088249,0.000000195,0.000000293,0.441515654,0.418710470,0.633327901,0.628393471,0.037230387,0.100754298,0.121807858,0.053193260,0.009452063,0.007954518,0.398755252,0.514958501,0.001467002,0.000705908,0.000610739,0.000803962,0.016585032,0.000110372,0.000808109,0.005161698,0.003320825,0.000344538,0.000310045,0.009643652,0.001597330,0.012960653,0.021933978,0.038509320,0.022724785,0.005049943,0.000136926,0.001534736,0.002508402,0.000396320,0.013646850,0.093503334,0.079672694,0.013939714,0.014209082,0.015441738,0.027178174,0.000001091,0.000001320
0.000001533,0.293062657,0.217906639,0.003696260,0.006450613,0.010344733,0.000317178,0.000000966,0.000001318,0.425738841,0.257081181,0.544852316,0.568422496,0.058606062,0.066042095,0.080405965,0.078670219,0.011696704,0.012584789,0.425408721,0.455264419,0.001564903,0.002096002,0.003325842,0.000618926,0.072540164,0.000731350,0.000991247,0.007440670,0.001794326,0.000579439,0.000680330,0.032990266,0.001471778,0.225561768,0.427270025,0.022167832,0.014969899,0.007090668,0.000067523,0.002505830,0.006936607,0.000201106,0.011907060,0.286504060,0.235735327,0.031023981,0.120064028,0.256722838,0.228151262,0.000001479,0.000004372
0.000001447,0.297252208,0.214389727,0.003934991,0.006515053,0.011039622,0.000304774,0.000000945,0.000001289,0.420585275,0.252208322,0.548763275,0.575255036,0.060795169,0.061315980,0.079091325,0.085413083,0.011394047,0.011988251,0.421112120,0.446145684,0.001616341,0.002198663,0.003340788,0.000628555,0.065933503,0.000633894,0.000902481,0.007226042,0.001730934,0.000591072,0.000690544,0.033812474,0.001613369,0.222759500,0.425523549,0.021316474,0.014427282,0.007523958,0.000063133,0.002389706,0.006230136,0.000200919,0.012054597,0.277443528,0.227897033,0.030206818,0.113480464,0.268570483,0.241330326,0.000001490,0.000004340
0.000002624,0.276236951,0.330103099,0.001132754,0.006634890,0.005693828,0.000345987,0.000000994,0.000001940,0.243557766,0.229666099,0.440157980,0.420844883,0.020336838,0.149367884,0.158223048,0.039200194,0.022503870,0.020094829,0.365055889,0.491596639,0.003484629,0.002365675,0.003344500,0.000396376,0.034721076,0.000904237,0.000530932,0.006704530,0.001427933,0.000826823,0.000930591,0.017343525,0.001257332,0.175843060,0.322061360,0.032208510,0.019038556,0.004726246,0.000086563,0.003836057,0.016028464,0.000388564,0.022381529,0.345535964,0.276964098,0.067687303,0.236707523,0.220537931,0.234512389,0.000001859,0.000004353
0.000002552,0.272056222,0.319940269,0.001177395,0.006625732,0.005876165,0.000341637,0.000000990,0.000001902,0.237058103,0.220186070,0.435071051,0.415607095,0.019591771,0.152807102,0.162007317,0.038533878,0.023066616,0.020470386,0.370706081,0.485230267,0.003610568,0.002558856,0.003377418,0.000393927,0.034921028,0.000903929,0.000527644,0.006708059,0.001451127,0.000784595,0.000888817,0.017819554,0.001167835,0.175890267,0.321490258,0.031767223,0.018623535,0.004773906,0.000093646,0.003678210,0.015846960,0.000367355,0.021979285,0.342977256,0.274728984,0.065675795,0.229829684,0.212223068,0.228229061,0.000001872,0.000004403
0.000000585,0.115854971,0.104092814,0.003773052,0.024049098,0.023328679,0.000009291,0.000000049,0.000000132,0.204994470,0.156866550,0.367384732,0.336475074,0.031118482,0.127688006,0.128765240,0.041500494,0.027104549,0.025157005,0.391763687,0.463627428,0.003891629,0.003590378,0.000094861,0.000135471,0.000419700,0.000030964,0.000105108,0.007754230,0.004298922,0.000070553,0.000070107,0.000858793,0.004565910,0.000139687,0.000119777,0.047767829,0.033822749,0.012198970,0.000178513,0.000739880,0.000938219,0.004524252,0.005651545,0.309062660,0.270425022,0.013067647,0.012410838,0.000461382,0.000981604,0.000000935,0.000000322
0.000000688,0.129772902,0.111515731,0.003796789,0.022288464,0.023416515,0.000009546,0.000000063,0.000000163,0.196865469,0.140304953,0.360066265,0.334155470,0.033397548,0.116239764,0.121265620,0.045549337,0.027039612,0.024853244,0.394417167,0.451187998,0.004184926,0.004192862,0.000096367,0.000128837,0.000388928,0.000029953,0.000090661,0.006211632,0.003032416,0.000122992,0.000127163,0.000794313,0.004305854,0.000142239,0.000124290,0.045802362,0.033070501,0.011154197,0.000169036,0.000869273,0.000859637,0.005625011,0.006874002,0.333947957,0.298415303,0.017012151,0.020433733,0.000549193,0.001148487,0.000001005,0.000000405
0.000000531,0.203462169,0.182851419,0.002283102,0.016403817,0.014120037,0.000013539,0.000000065,0.000000253,0.338576019,0.245266542,0.499047846,0.489543647,0.044208203,0.090065435,0.105756596,0.058835763,0.015428928,0.014390381,0.425477445,0.395982087,0.002037554,0.002082869,0.000177983,0.000208229,0.001037708,0.000034706,0.000264656,0.004839915,0.004123277,0.000263686,0.000245929,0.000659506,0.002177697,0.000323748,0.000335047,0.054882478,0.048959307,0.004873415,0.000186703,0.001398977,0.001736603,0.001874702,0.002333985,0.166045755,0.167014703,0.030488670,0.043214891,0.000181536,0.000347623,0.000000892,0.000000546
0.000000519,0.204642877,0.182915762,0.002258323,0.015917271,0.013943202,0.000014374,0.000000064,0.000000253,0.340766728,0.252006829,0.499062955,0.489632100,0.043317400,0.092315748,0.107553765,0.057801340,0.015698645,0.014558150,0.441966563,0.400349438,0.002007242,0.002012482,0.000189819,0.000210593,0.001077861,0.000035223,0.000270821,0.004984091,0.004407467,0.000243763,0.000223011,0.000669804,0.002298812,0.000354148,0.000366878,0.054587942,0.049486835,0.004688349,0.000172412,0.001411127,0.001888814,0.001680927,0.002131185,0.181946471,0.179863855,0.032355648,0.042245135,0.000177051,0.000334399,0.000000863,0.000000546
0.000000432,0.346595407,0.248678520,0.001568228,0.006729991,0.012006706,0.000013206,0.000000068,0.000000226,0.357638091,0.231945902,0.446527362,0.432336181,0.133497551,0.030179996,0.044991262,0.136788487,0.018658567,0.016523907,0.471800387,0.329490989,0.001864507,0.002326603,0.000204267,0.000236352,0.000768690,0.000034172,0.000135915,0.004123151,0.002370574,0.000373022,0.000357191,0.000860004,0.003305525,0.000483873,0.000528857,0.037045587,0.031807449,0.006982761,0.000107894,0.001000437,0.000995246,0.001423301,0.003852987,0.125088871,0.125944883,0.031944379,0.043219838,0.000271806,0.000466513,0.000001175,0.000000524
0.000000453,0.317619681,0.223954350,0.001744545,0.008341334,0.014192999,0.000013564,0.000000074,0.000000240,0.357017964,0.231996536,0.447286606,0.433988422,0.121543251,0.033149775,0.048166323,0.128056258,0.019083429,0.016484439,0.474194556,0.325220883,0.001926555,0.002352218,0.000213427,0.000221463,0.000644511,0.000031846,0.000113348,0.003563782,0.002081046,0.000378880,0.000361859,0.000966270,0.003711498,0.000492662,0.000527402,0.030677414,0.028534632,0.008936341,0.000099058,0.000916873,0.000828664,0.001541217,0.004710969,0.166806176,0.170737207,0.038009614,0.055840824,0.000388190,0.000684101,0.000001302,0.000000537
0.000000319,0.386895239,0.298442870,0.000845099,0.005370041,0.008294375,0.000011456,0.000000040,0.000000135,0.355864823,0.232243598,0.476350546,0.455716312,0.095622726,0.047756400,0.060279109,0.093331993,0.017882254,0.015047732,0.530448675,0.353204757,0.001886784,0.001969615,0.000176634,0.000172114,0.001022352,0.000046292,0.000254283,0.004215013,0.005533873,0.000157150,0.000140050,0.000920011,0.002569130,0.000426851,0.000386147,0.031076491,0.044503104,0.008170352,0.000172755,0.000907830,0.001044770,0.001117741,0.002001332,0.058960903,0.079221368,0.012620294,0.017778698,0.000129537,0.000261978,0.000000738,0.000000306
0.000000364,0.391233832,0.311247140,0.000713368,0.005423563,0.007694551,0.000011662,0.000000041,0.000000153,0.352472007,0.219016388,0.459018499,0.433880746,0.081139199,0.057796136,0.067761704,0.079852760,0.019401854,0.016607828,0.536273241,0.361127794,0.001954821,0.002057502,0.000178528,0.000173377,0.000948228,0.000040535,0.000228320,0.004398634,0.004530876,0.000235339,0.000214251,0.000791225,0.003010014,0.000392459,0.000375912,0.032689344,0.042112362,0.006966450,0.000125443,0.000996491,0.000964253,0.001383070,0.002225267,0.067282155,0.085201181,0.016581161,0.022788689,0.000150106,0.000304359,0.000000756,0.000000323
