_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000754,0.220193282,0.114776373,0.004927995,0.017498674,0.026904417,0.000304481,0.000000165,0.000000308,0.571340442,0.521387458,0.490663409,0.492617160,0.022119302,0.158857837,0.177706659,0.035146937,0.018555671,0.017869698,0.639924645,0.569127381,0.000898585,0.000322778,0.002094971,0.041506849,0.284663111,0.000032067,0.012753038,0.005197750,0.008366785,0.000026348,0.000025211,0.024562744,0.000207292,0.060990926,0.132271856,0.025409851,0.019936727,0.008782133,0.001365854,0.000602434,0.007033748,0.000027020,0.001207786,0.192440659,0.186130896,0.009158369,0.036701959,0.001349600,0.001613777,0.000000991,0.000002150
0.000000816,0.103081368,0.049072351,0.012252587,0.038781181,0.041543309,0.000427851,0.000000486,0.000000662,0.403832853,0.225185037,0.245185822,0.230639935,0.034538340,0.101520203,0.122470185,0.055264965,0.046284787,0.059127819,0.536059976,0.524689913,0.001815370,0.001741637,0.002740660,0.098047376,0.362138599,0.000024465,0.004683814,0.003652666,0.003454316,0.000080029,0.000088527,0.015895594,0.000163315,0.153717294,0.297757506,0.011163310,0.009026266,0.006594305,0.000883398,0.000678457,0.009853605,0.000061187,0.002180854,0.414540112,0.390409708,0.015467822,0.128008544,0.013443872,0.013072556,0.000001645,0.000005151
0.000001094,0.056071669,0.019758916,0.025607051,0.073510148,0.080625765,0.000623914,0.000000913,0.000000781,0.228906631,0.138166443,0.128281534,0.143137142,0.056641761,0.051502135,0.087551996,0.109618276,0.092817456,0.086563542,0.522587597,0.415378392,0.004354515,0.003453064,0.002978968,0.055127829,0.355994910,0.000047655,0.003284024,0.004285918,0.002789748,0.000233903,0.000269311,0.013962621,0.000105011,0.223720983,0.379661262,0.011001973,0.007573237,0.005426156,0.001075482,0.001071187,0.012125868,0.000136233,0.002588116,0.450023681,0.407678545,0.019042235,0.165398926,0.039648399,0.034718741,0.000002111,0.000007731
0.000000729,0.046515629,0.012671796,0.049378566,0.071705088,0.071831822,0.000531354,0.000000713,0.000000788,0.244507819,0.130135104,0.142897218,0.145100370,0.075405687,0.063242838,0.067054987,0.086666644,0.079631962,0.087010838,0.514300108,0.370073527,0.003857904,0.003294689,0.004927743,0.067842968,0.271642417,0.000033697,0.002425276,0.003106462,0.003878109,0.000149910,0.000153180,0.012756916,0.000061362,0.365230739,0.534282804,0.013451489,0.010675295,0.003572929,0.001633014,0.001181763,0.016965544,0.000074609,0.001724200,0.365228325,0.338253111,0.034307480,0.238513723,0.024125740,0.020835735,0.000002671,0.000005099
0.000000557,0.007175693,0.002145768,0.175998151,0.282370955,0.170471519,0.000424409,0.000000685,0.000000708,0.159470975,0.086344831,0.106149316,0.114403211,0.127863005,0.032348383,0.045145284,0.133544549,0.088731669,0.090004399,0.449994713,0.307435006,0.004926693,0.004780076,0.004436641,0.014043138,0.103439502,0.000041293,0.001159516,0.003193412,0.003844875,0.000081649,0.000077875,0.008990202,0.000027174,0.383057535,0.569081187,0.025425995,0.019632617,0.002000451,0.006383860,0.001754503,0.018291343,0.000085819,0.002712143,0.287153810,0.274653226,0.034936685,0.191249698,0.034844592,0.032608218,0.000003351,0.000003143
0.000000358,0.017674614,0.005512273,0.028740369,0.171323359,0.079048812,0.000356230,0.000000363,0.000000565,0.168862268,0.081626430,0.138510212,0.147271082,0.113898084,0.049857125,0.045034513,0.116438165,0.075247072,0.077255592,0.463908732,0.287780076,0.005321544,0.004559250,0.006118627,0.014006266,0.052276984,0.000018206,0.000542285,0.003393733,0.004909718,0.000113094,0.000115035,0.012615969,0.000022246,0.441331983,0.602953970,0.021310208,0.019871393,0.002282966,0.005982490,0.001290667,0.011446417,0.000068606,0.003104323,0.185478255,0.171559229,0.044416711,0.161778286,0.055206116,0.061374798,0.000003857,0.000002208
0.000000201,0.005665569,0.002454829,0.107099980,0.337782145,0.120870456,0.000138737,0.000000150,0.000000202,0.118548654,0.046400376,0.151115701,0.155629024,0.198958352,0.030209141,0.024115700,0.183686599,0.062627226,0.064960063,0.410034746,0.155734599,0.007730174,0.007536883,0.002257566,0.012125086,0.048896387,0.000021267,0.000801839,0.004015803,0.010369195,0.000063655,0.000073007,0.011312752,0.000028351,0.177778259,0.211191222,0.015519799,0.043157939,0.001948584,0.006623519,0.001119459,0.010856991,0.000040893,0.001971626,0.016179243,0.025893709,0.002622702,0.019836398,0.002828018,0.003424359,0.000002813,0.000001309
0.000000093,0.002425348,0.001952737,0.161525965,0.500329256,0.156613708,0.000067181,0.000000076,0.000000087,0.065316148,0.037013453,0.108192585,0.124605522,0.116327778,0.050737217,0.043607235,0.109262623,0.085018419,0.080806591,0.481275797,0.099257655,0.015064610,0.009586408,0.000602940,0.019402435,0.023882220,0.000013773,0.000374996,0.001159068,0.033717386,0.000065685,0.000040643,0.010671192,0.000059715,0.074224077,0.046836421,0.007453112,0.056875844,0.007991445,0.007318714,0.002024192,0.012231609,0.000191339,0.002421418,0.000837440,0.001416251,0.001693709,0.000624560,0.000876954,0.002594181,0.000002254,0.000000340
0.000000068,0.001553202,0.000853940,0.252842665,0.546701312,0.202650696,0.000036186,0.000000085,0.000000041,0.090775445,0.119309381,0.181417987,0.212323323,0.150247619,0.035730105,0.029258594,0.150865749,0.048939697,0.039264187,0.415226668,0.179535538,0.008816699,0.003659954,0.000300224,0.005770672,0.013039321,0.000021874,0.000341815,0.000482366,0.033582229,0.000228618,0.000119394,0.002979634,0.000042998,0.027151870,0.012784746,0.005469272,0.061325442,0.010442159,0.010546797,0.003743350,0.007802112,0.000620351,0.001725732,0.000273330,0.000486857,0.001914506,0.000535379,0.000348476,0.000965294,0.000001824,0.000000202
0.000000116,0.003350651,0.002483535,0.125106215,0.535628974,0.182619065,0.000062323,0.000000053,0.000000064,0.078945018,0.101299740,0.179427847,0.221293613,0.082586117,0.051813394,0.067668654,0.079114325,0.043819230,0.033886671,0.411770672,0.174647138,0.010417823,0.004041302,0.000254395,0.013942888,0.033081897,0.000020928,0.000699893,0.001766604,0.040111091,0.000024953,0.000019033,0.002771256,0.000081596,0.034297187,0.020253003,0.015388668,0.083429858,0.005473270,0.008032599,0.006622171,0.038002588,0.000411220,0.001478351,0.000397230,0.000596877,0.000364909,0.000338223,0.000268471,0.000679758,0.000001511,0.000000306
