_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000003229,0.674210191,0.713580132,0.000026569,0.000612856,0.000354898,0.000187986,0.000000146,0.000000282,0.220228806,0.102300540,0.068598144,0.060104094,0.034014687,0.160564721,0.152714238,0.026617890,0.214066580,0.256936342,0.828948259,0.821175516,0.002435845,0.004315094,0.000699107,0.000967614,0.255993575,0.002566123,0.140378714,0.142849728,0.309466690,0.000002209,0.000003083,0.003182845,0.000353381,0.014323566,0.017750060,0.071500748,0.171778709,0.003306247,0.003427129,0.008292736,0.180645943,0.000586159,0.001130086,0.006740509,0.016993606,0.000110259,0.001059641,0.000113782,0.000232697,0.000000123,0.000000574
0.000002804,0.524772882,0.608656108,0.000070278,0.001350082,0.000923929,0.000169845,0.000000082,0.000000271,0.217231795,0.233511016,0.105775855,0.116185665,0.078432657,0.084385887,0.065746874,0.048660330,0.133984163,0.143249080,0.867416501,0.780518889,0.002303422,0.001186828,0.000534710,0.001084976,0.202600062,0.002115172,0.069387473,0.117668360,0.309072465,0.000000858,0.000001121,0.003272086,0.000366975,0.009122175,0.013847769,0.077278636,0.201226041,0.003100304,0.003409005,0.009699765,0.217346072,0.000617164,0.001326627,0.006702364,0.020213434,0.000064973,0.000973840,0.000140462,0.000335768,0.000000122,0.000000380
0.000002592,0.454889208,0.554374099,0.000134217,0.002165843,0.001489537,0.000199895,0.000000114,0.000000249,0.090241171,0.078185707,0.022857362,0.021702541,0.309076518,0.008609387,0.014931283,0.293961465,0.378486842,0.395198911,0.824689686,0.789702535,0.006404653,0.004032905,0.000641277,0.001224142,0.213330299,0.001945401,0.047206819,0.136486605,0.284889668,0.000000471,0.000000492,0.004710554,0.000862777,0.015179044,0.022041950,0.091130108,0.163488626,0.003252289,0.001388004,0.005915669,0.160935655,0.000322552,0.000948350,0.009090516,0.022687228,0.000084556,0.000467525,0.000202432,0.000423548,0.000000106,0.000000496
0.000002396,0.459064752,0.575752378,0.000131276,0.001879010,0.001236757,0.000195786,0.000000112,0.000000218,0.094413139,0.077227265,0.022214204,0.021629686,0.237573385,0.011925671,0.025102006,0.229332864,0.389522970,0.405367434,0.834195435,0.805347085,0.006367065,0.004207523,0.000622445,0.001340930,0.226664200,0.001940396,0.054406729,0.118974440,0.329672664,0.000000405,0.000000398,0.005473891,0.000794071,0.015094092,0.020467950,0.079643793,0.150536567,0.004169684,0.001832357,0.005408932,0.149477988,0.000300321,0.000874428,0.009169778,0.023318462,0.000079823,0.000372910,0.000190497,0.000417395,0.000000103,0.000000453
0.000001822,0.403950542,0.496291786,0.000294206,0.002819480,0.001654797,0.000162640,0.000000085,0.000000209,0.113984786,0.080777124,0.020264463,0.021185026,0.087323919,0.036524594,0.060771644,0.102991797,0.392185569,0.401265711,0.867449880,0.774151802,0.005277568,0.003566228,0.000718224,0.001160664,0.192815378,0.001479381,0.031356890,0.091679275,0.233034521,0.000000351,0.000000349,0.007762861,0.002062222,0.017661432,0.023039283,0.054295715,0.123350993,0.005174404,0.000605962,0.004502815,0.143414423,0.000149567,0.000809120,0.006480478,0.016308237,0.000080456,0.000430103,0.000132296,0.000323552,0.000000127,0.000000379
0.000002425,0.497552723,0.585872412,0.000197958,0.001947686,0.001161423,0.000237617,0.000000179,0.000000212,0.069491394,0.071528912,0.016784238,0.021541474,0.047040038,0.043740053,0.101758257,0.103604503,0.395489037,0.376669586,0.784225345,0.730449200,0.007976848,0.004464109,0.000798788,0.000380406,0.196354419,0.003143768,0.025837226,0.038524821,0.217977241,0.000003137,0.000002427,0.004876174,0.000377165,0.021023927,0.025482489,0.065438092,0.128209785,0.001929483,0.001868712,0.005274652,0.076144323,0.000267901,0.001379987,0.017125441,0.039820317,0.000350404,0.000842864,0.000272196,0.000782107,0.000000139,0.000000728
0.000002140,0.497087419,0.570288360,0.000181559,0.002129598,0.001916922,0.000213243,0.000000145,0.000000274,0.072471865,0.063518286,0.011304658,0.012945771,0.136652499,0.014322106,0.043696105,0.216334000,0.485078275,0.468887836,0.820626140,0.719753146,0.007746731,0.004479085,0.000887395,0.001065528,0.168887198,0.001333392,0.016915221,0.056558568,0.124494739,0.000002500,0.000002292,0.005389098,0.001089568,0.034279164,0.042602092,0.068880893,0.121453814,0.002001982,0.000536168,0.005747772,0.105757609,0.000170630,0.001038887,0.009992153,0.019284621,0.000234543,0.000798340,0.000210831,0.000459253,0.000000168,0.000000756
0.000001855,0.542169690,0.594457150,0.000115401,0.001565852,0.001931412,0.000170541,0.000000122,0.000000246,0.088177219,0.070109271,0.014437644,0.016977860,0.081443749,0.018006142,0.073213585,0.202369794,0.435912102,0.411530286,0.837103307,0.720941663,0.006465119,0.004321683,0.000634607,0.000985663,0.201952219,0.002327607,0.032138914,0.074075989,0.094497748,0.000000883,0.000000921,0.008287726,0.001320880,0.015155811,0.022203943,0.054242682,0.057887256,0.006684309,0.000792467,0.006060980,0.145096049,0.000175590,0.000766160,0.003336222,0.005158307,0.000108101,0.000319155,0.000109481,0.000153255,0.000000129,0.000000501
0.000002165,0.510365248,0.557052553,0.000185661,0.001481628,0.001837749,0.000247707,0.000000220,0.000000299,0.083111010,0.070689246,0.012085455,0.014694911,0.079979680,0.021226661,0.070406020,0.175562784,0.466804862,0.442035675,0.807500958,0.683417022,0.006648446,0.004358209,0.001023809,0.000522065,0.196854785,0.004261720,0.016276147,0.037839841,0.078235999,0.000006937,0.000005865,0.006093928,0.000357428,0.049368113,0.073827997,0.081731915,0.084350735,0.001990687,0.001308502,0.005520885,0.091403261,0.000195114,0.001108688,0.007345757,0.010744530,0.000374548,0.000701060,0.000221194,0.000380217,0.000000222,0.000000950
0.000002630,0.493469775,0.562690139,0.000141467,0.002067745,0.001973103,0.000207240,0.000000177,0.000000323,0.080782168,0.059338111,0.015002256,0.017426008,0.155304328,0.014850702,0.039600015,0.206459463,0.433869690,0.417643011,0.817498505,0.714732409,0.007281018,0.004957520,0.000693907,0.000664600,0.182262167,0.002199312,0.019726183,0.057143826,0.081389219,0.000005239,0.000005408,0.003621753,0.000526023,0.027021229,0.045149319,0.090866730,0.100476637,0.001857288,0.000985326,0.009075983,0.095725521,0.000399404,0.001202782,0.006315409,0.010003753,0.000212399,0.000929599,0.000314427,0.000481265,0.000000173,0.000000828
