_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000467,0.007415235,0.002628609,0.097099587,0.181155190,0.202170357,0.000061108,0.000000079,0.000000146,0.046035022,0.016150340,0.097518668,0.107500888,0.116480030,0.031443451,0.040807616,0.099147320,0.084711395,0.079171836,0.227937624,0.058198445,0.016076846,0.017262276,0.000314002,0.001506886,0.009982049,0.000030327,0.000577886,0.062671944,0.041558698,0.000004117,0.000004767,0.007151638,0.002072787,0.006501345,0.006481863,0.069759384,0.072656415,0.003219176,0.000947889,0.001320513,0.011836350,0.000676365,0.017823927,0.015051456,0.016137473,0.000499809,0.000396016,0.006829279,0.006824966,0.000001709,0.000000387
0.000000401,0.006608658,0.002478560,0.085668974,0.199512824,0.206867218,0.000047092,0.000000073,0.000000117,0.048267491,0.017444575,0.100807041,0.109805942,0.115346767,0.032520130,0.040931161,0.096900217,0.084150709,0.076014847,0.251460195,0.062420581,0.015955565,0.015600759,0.000276380,0.001165811,0.006284474,0.000025314,0.000425672,0.035214562,0.030165555,0.000006924,0.000007559,0.006304601,0.001762449,0.004408489,0.004163572,0.053845584,0.063627966,0.003649377,0.001006336,0.000965776,0.006991479,0.000729326,0.018154802,0.016423386,0.018636521,0.000729317,0.000511715,0.005356108,0.005614832,0.000001826,0.000000339
0.000000331,0.006325159,0.002342016,0.086664148,0.206937060,0.217148229,0.000044386,0.000000057,0.000000101,0.052833732,0.017889859,0.099473499,0.109720431,0.128125265,0.029747088,0.035913873,0.111230247,0.082179904,0.076776624,0.253759563,0.059944000,0.014939028,0.015630174,0.000257405,0.001404457,0.007544638,0.000034562,0.000533405,0.055565439,0.051382020,0.000001940,0.000002183,0.008638038,0.003319855,0.004605976,0.003966678,0.049010724,0.067370981,0.007109264,0.000794025,0.001175083,0.010748615,0.000656377,0.014294903,0.008106285,0.009709155,0.000297599,0.000222329,0.003104387,0.003311223,0.000001512,0.000000237
0.000000315,0.006556675,0.002600101,0.091528721,0.203661621,0.203794017,0.000035312,0.000000062,0.000000095,0.045647446,0.017958149,0.093149133,0.099890187,0.103044711,0.037215825,0.045731641,0.087174647,0.089325152,0.083542630,0.215139151,0.068134531,0.015297267,0.016285703,0.000234019,0.001265285,0.004718405,0.000022498,0.000354352,0.033978600,0.027340535,0.000004828,0.000005066,0.008340174,0.002079861,0.003254291,0.003155293,0.043772932,0.040443238,0.007830064,0.001118271,0.000799166,0.005588904,0.000741875,0.018320952,0.010986921,0.011146653,0.000625526,0.000291768,0.004115364,0.003988191,0.000001836,0.000000242
0.000000441,0.007297608,0.002538445,0.087303951,0.182861730,0.203501910,0.000048032,0.000000077,0.000000138,0.044880316,0.015556599,0.109150141,0.118945181,0.103513397,0.036067355,0.043140449,0.090584747,0.075173371,0.072825328,0.217031687,0.065136842,0.015745636,0.018436795,0.000247762,0.001644784,0.009341921,0.000027852,0.000570031,0.050023526,0.029640660,0.000006038,0.000007841,0.005461385,0.002827503,0.005066276,0.004995502,0.055609874,0.068843372,0.003799692,0.000580340,0.001849565,0.012510764,0.001008261,0.017730793,0.007923547,0.008685633,0.000353001,0.000450405,0.004362457,0.004031620,0.000001532,0.000000379
0.000000317,0.010695979,0.003973200,0.079433195,0.135302439,0.151192144,0.000033369,0.000000063,0.000000094,0.035151646,0.017408431,0.085021436,0.090043560,0.092164494,0.042036276,0.051443338,0.082944781,0.103398584,0.096025065,0.179681569,0.069588155,0.019339448,0.017582292,0.000269235,0.001125087,0.003198989,0.000016690,0.000270484,0.026733439,0.029016143,0.000007996,0.000007444,0.007042028,0.001493191,0.003138067,0.002878403,0.045958221,0.042546097,0.006848080,0.001473509,0.000628519,0.003816984,0.000727180,0.018312898,0.021689380,0.021916907,0.001301348,0.000376150,0.003824425,0.004316942,0.000001846,0.000000248
0.000000449,0.013310510,0.004746549,0.067219399,0.118165620,0.141791701,0.000056094,0.000000083,0.000000140,0.036419220,0.017961824,0.104785472,0.110893890,0.109132223,0.034022614,0.044311922,0.097280517,0.085338369,0.078761727,0.195053712,0.075925291,0.019451382,0.016618103,0.000361614,0.001839653,0.007803296,0.000019838,0.000504486,0.042763140,0.028872570,0.000006329,0.000006222,0.009567280,0.001659072,0.005578052,0.005883637,0.066517435,0.048290983,0.004392201,0.001115505,0.000874594,0.008069366,0.000490445,0.018028164,0.031759985,0.027779676,0.001426230,0.000418031,0.006417145,0.006818278,0.000001645,0.000000402
0.000000446,0.010539833,0.003187429,0.099770240,0.132111385,0.174369618,0.000036957,0.000000078,0.000000121,0.044420671,0.019178523,0.111413844,0.121693239,0.098673746,0.036867633,0.047383904,0.089780770,0.077444710,0.069826446,0.214066178,0.084892981,0.015832637,0.014952901,0.000249355,0.001306643,0.004706341,0.000017060,0.000395113,0.038339674,0.019326070,0.000011864,0.000013483,0.005204150,0.002161852,0.002990393,0.003222002,0.059012201,0.049916111,0.004411147,0.000773549,0.001175159,0.005015966,0.001136822,0.019687558,0.014571461,0.014292900,0.000860121,0.000529449,0.004295413,0.004082692,0.000001661,0.000000362
0.000000416,0.011909500,0.003981052,0.083578840,0.123856023,0.146940708,0.000051209,0.000000087,0.000000128,0.050158285,0.020310834,0.121830858,0.131363660,0.127151534,0.029707579,0.038884554,0.103986405,0.073127642,0.066598184,0.252064705,0.087909907,0.015657842,0.013607834,0.000367767,0.001679393,0.009315577,0.000027501,0.000517092,0.032908715,0.017489381,0.000007792,0.000008118,0.010488845,0.001894732,0.006944065,0.007779009,0.057667952,0.043338731,0.004862270,0.000767146,0.000866353,0.007150967,0.000448761,0.016636573,0.017593969,0.015981145,0.001080803,0.000486680,0.005413582,0.005244760,0.000001764,0.000000423
0.000000470,0.013075804,0.003976576,0.138073966,0.103622906,0.143662825,0.000043750,0.000000084,0.000000151,0.046625961,0.019487256,0.105474286,0.118527971,0.088001929,0.040425312,0.052363351,0.083979711,0.080079347,0.075145565,0.237322271,0.089603581,0.015513076,0.015131277,0.000260826,0.001734726,0.007870233,0.000024393,0.000572854,0.046518713,0.016787132,0.000008962,0.000009546,0.005181063,0.001796814,0.004030917,0.005080652,0.079226196,0.041323282,0.004796355,0.001024299,0.001878359,0.009071778,0.000926526,0.013454299,0.008778490,0.006781820,0.000793718,0.000323373,0.002260632,0.001990975,0.000001529,0.000000384
