_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000003131,0.000623273,0.004122884,0.412592083,0.492272258,0.065101035,0.000507388,0.000003415,0.000002508,0.119725160,0.027561301,0.144557759,0.110227339,0.052098483,0.088849477,0.090644926,0.063882753,0.079489417,0.098043665,0.248321205,0.115385801,0.011621607,0.016580943,0.002988361,0.005362467,0.071835086,0.000048180,0.003451530,0.004078675,0.006160399,0.002718854,0.002924280,0.004369578,0.000158234,0.081673831,0.087530114,0.060477823,0.072255060,0.001277341,0.001051350,0.016850673,0.031890057,0.002501347,0.009357958,0.315429181,0.320594400,0.109825611,0.449020863,0.220932022,0.208414599,0.000002694,0.000004600
0.000002223,0.000435950,0.003786773,0.459153205,0.551194012,0.076914057,0.000462212,0.000003147,0.000002317,0.107240856,0.023028221,0.132624045,0.104227595,0.051566709,0.084852085,0.091115318,0.065917924,0.082767203,0.102296390,0.239000827,0.084902368,0.012651237,0.019680174,0.003090780,0.004870973,0.066720493,0.000045248,0.002958107,0.003112791,0.005913508,0.001864676,0.002039136,0.006523967,0.000124108,0.095611684,0.094180763,0.042318616,0.058381926,0.002172880,0.001658313,0.010228525,0.020568922,0.001619916,0.008887774,0.279059738,0.308558106,0.102640703,0.479390800,0.249424025,0.242296159,0.000003316,0.000003784
0.000002113,0.000474141,0.004048991,0.436900407,0.542798519,0.067188852,0.000418327,0.000003061,0.000002265,0.104168959,0.023003345,0.139951661,0.110207178,0.044355504,0.100927919,0.100933842,0.056250751,0.077541314,0.096610002,0.235863283,0.089607045,0.012467042,0.019394912,0.003152244,0.004927416,0.061550479,0.000041021,0.002788071,0.003195742,0.006865149,0.002405139,0.002619594,0.006495075,0.000126259,0.090853773,0.082597330,0.040680524,0.061507363,0.002040684,0.001442211,0.009479545,0.016300114,0.001692436,0.009561432,0.236540005,0.265776187,0.136354238,0.507733822,0.234301701,0.239643887,0.000003436,0.000003485
0.000002530,0.000539508,0.004011682,0.400677115,0.513575077,0.065244339,0.000358606,0.000003547,0.000001881,0.094092675,0.021697829,0.136464939,0.108841568,0.049204793,0.092852339,0.090831034,0.058830075,0.077661701,0.095623694,0.237829298,0.092760302,0.012655489,0.020112220,0.002140048,0.005883880,0.098622039,0.000051207,0.004684249,0.002559831,0.006796852,0.004331747,0.005226682,0.005577883,0.000198144,0.062005702,0.045109186,0.034823526,0.075072810,0.001669103,0.000778813,0.011420666,0.013080672,0.002445770,0.014506503,0.124542028,0.161984220,0.134543255,0.564611077,0.138858795,0.171568364,0.000002798,0.000003615
0.000002969,0.000731849,0.003399916,0.378535777,0.471288025,0.069859460,0.000329762,0.000003152,0.000001637,0.106717803,0.024618795,0.143061429,0.113476798,0.044510610,0.105944447,0.097131260,0.050164260,0.075524189,0.092155159,0.257689774,0.104209967,0.011569448,0.017040860,0.001820515,0.005936993,0.115231417,0.000064785,0.005500434,0.003014171,0.005332934,0.003702763,0.004770298,0.005544414,0.000284972,0.045815628,0.034264207,0.039707899,0.072376817,0.001362210,0.000494684,0.010911005,0.015381994,0.002267815,0.016206702,0.126891151,0.151352525,0.122936353,0.537338257,0.093051121,0.113427006,0.000002615,0.000003822
0.000001670,0.000473166,0.004443422,0.327850372,0.508109510,0.061416864,0.000236228,0.000001096,0.000000966,0.081390604,0.018593211,0.112753280,0.100217886,0.028759483,0.138065144,0.127845377,0.036865003,0.088440180,0.098185681,0.249401167,0.059973337,0.015342957,0.017938433,0.001260377,0.005223257,0.098422699,0.000047792,0.004714707,0.002712243,0.004977122,0.003001634,0.004605725,0.004686831,0.000283935,0.033763230,0.024111262,0.031182708,0.084867515,0.000841543,0.000550340,0.007013635,0.012985008,0.001005615,0.013060031,0.041963436,0.062762499,0.038155422,0.266200334,0.020152668,0.031442098,0.000002820,0.000003038
0.000002383,0.000421461,0.004294917,0.375151604,0.514615715,0.054976519,0.000292520,0.000001430,0.000001280,0.079801552,0.018904690,0.120947503,0.103997387,0.030882575,0.135748848,0.122957163,0.036870427,0.084901661,0.100020699,0.211427882,0.067788087,0.015336634,0.018892247,0.001349858,0.004972117,0.116901502,0.000070382,0.005454510,0.004667977,0.005244598,0.002414196,0.003833381,0.003983078,0.000339005,0.030246388,0.024943639,0.046545215,0.090781845,0.000630663,0.000437266,0.010019620,0.022077579,0.001444164,0.015590446,0.081407435,0.102904417,0.046015639,0.345008671,0.031690147,0.044465601,0.000002579,0.000003531
0.000001953,0.000472760,0.005304493,0.312936723,0.517381251,0.050740778,0.000202497,0.000000912,0.000000964,0.060260311,0.013868766,0.112302229,0.101081833,0.020597121,0.174758881,0.159656540,0.026942171,0.085435919,0.098278001,0.177693859,0.052741908,0.021567432,0.022082822,0.001035283,0.004575503,0.083624855,0.000055223,0.003742388,0.004170246,0.003556515,0.003129666,0.006110849,0.003444052,0.000893008,0.028341152,0.022404173,0.041520506,0.119003251,0.000621753,0.000144494,0.011093305,0.014999390,0.001904382,0.017451450,0.029428802,0.042423010,0.015164389,0.208476946,0.017874124,0.022156402,0.000002800,0.000003232
0.000001744,0.000405244,0.006446678,0.265774220,0.538203239,0.040417314,0.000145533,0.000000655,0.000000731,0.067193188,0.029527865,0.152127802,0.142495200,0.022704741,0.181853101,0.168561727,0.026126113,0.069706254,0.072952859,0.243510261,0.130572185,0.021038370,0.012434121,0.000744551,0.004319166,0.061992299,0.000045783,0.005905250,0.004024439,0.004269239,0.002928685,0.005943526,0.001227240,0.000692622,0.011804591,0.008320722,0.047656167,0.165510565,0.000342907,0.000155077,0.017833548,0.025495825,0.002577353,0.007298258,0.020058589,0.031027097,0.012559973,0.252893686,0.003490302,0.004392007,0.000001641,0.000002579
0.000002076,0.000252083,0.004396535,0.318907410,0.562909722,0.048653476,0.000143557,0.000001121,0.000000722,0.130262986,0.034756836,0.176330060,0.156744495,0.035009921,0.131666467,0.124124855,0.035697456,0.062487267,0.066119336,0.372600228,0.130312383,0.011592839,0.009741089,0.000688094,0.005231412,0.065902665,0.000050057,0.006584988,0.002178995,0.003616401,0.010792378,0.020123759,0.001071116,0.000984758,0.011044008,0.005890432,0.033364370,0.164301157,0.000375965,0.000083473,0.025467595,0.018375639,0.005640481,0.011371865,0.012858110,0.021274595,0.020620510,0.300890446,0.004558727,0.006517937,0.000001588,0.000002675
