_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000000471,0.149021417,0.049810298,0.013887665,0.027785107,0.022606486,0.000006262,0.000000204,0.000000070,0.312037200,0.110217154,0.389375985,0.417375356,0.030408446,0.087786950,0.139665127,0.064784020,0.014765175,0.016064286,0.230528399,0.385871589,0.003601231,0.002807183,0.000191304,0.000833470,0.000618804,0.000012224,0.000033239,0.000924497,0.002355706,0.025925757,0.042804088,0.000758328,0.000514907,0.001752491,0.001233938,0.009563200,0.081188664,0.005973706,0.000325303,0.002681290,0.000615944,0.019176722,0.025401406,0.000832103,0.001531889,0.002354349,0.032924552,0.000611118,0.001201941,0.000002952,0.000001120
0.000000471,0.149021417,0.049810298,0.013887665,0.027785107,0.022606486,0.000006262,0.000000204,0.000000070,0.312037200,0.110217154,0.389375985,0.417375356,0.030408446,0.087786950,0.139665127,0.064784020,0.014765175,0.016064286,0.230528399,0.385871589,0.003601231,0.002807183,0.000191304,0.000833470,0.000618804,0.000012224,0.000033239,0.000924497,0.002355706,0.025925757,0.042804088,0.000758328,0.000514907,0.001752491,0.001233938,0.009563200,0.081188664,0.005973706,0.000325303,0.002681290,0.000615944,0.019176722,0.025401406,0.000832103,0.001531889,0.002354349,0.032924552,0.000611118,0.001201941,0.000002952,0.000001120
0.000000420,0.040138036,0.034067545,0.006616872,0.122656040,0.066253267,0.000020594,0.000000168,0.000000079,0.197869077,0.258438826,0.176823929,0.213923991,0.237532541,0.013364745,0.030465897,0.255393833,0.064019829,0.043564845,0.438526601,0.272068530,0.008096769,0.001024891,0.000192592,0.003318318,0.000873566,0.000002285,0.000058005,0.000500011,0.001837353,0.334972382,0.345400095,0.000301165,0.000188116,0.001537900,0.001398843,0.015826939,0.038847756,0.007688044,0.000331806,0.009142774,0.001428269,0.017764190,0.003723272,0.000318523,0.000248519,0.031806473,0.066138394,0.000186283,0.000214665,0.000003888,0.000000941
0.000000420,0.040138036,0.034067545,0.006616872,0.122656040,0.066253267,0.000020594,0.000000168,0.000000079,0.197869077,0.258438826,0.176823929,0.213923991,0.237532541,0.013364745,0.030465897,0.255393833,0.064019829,0.043564845,0.438526601,0.272068530,0.008096769,0.001024891,0.000192592,0.003318318,0.000873566,0.000002285,0.000058005,0.000500011,0.001837353,0.334972382,0.345400095,0.000301165,0.000188116,0.001537900,0.001398843,0.015826939,0.038847756,0.007688044,0.000331806,0.009142774,0.001428269,0.017764190,0.003723272,0.000318523,0.000248519,0.031806473,0.066138394,0.000186283,0.000214665,0.000003888,0.000000941
0.000000193,0.038917080,0.040473912,0.014070227,0.085425824,0.039087489,0.000061090,0.000000086,0.000000075,0.331627816,0.375542372,0.404932976,0.382147372,0.308994442,0.013798614,0.024663465,0.289630830,0.028752664,0.018978685,0.458865315,0.337398648,0.005924961,0.000401671,0.001089264,0.021432022,0.002122537,0.000001012,0.000056520,0.000438554,0.007033635,0.095218219,0.084704839,0.000559465,0.000224402,0.053710565,0.049609136,0.009496318,0.071433671,0.002234422,0.000117966,0.005887543,0.002412753,0.002561966,0.002156803,0.000821500,0.000981254,0.018139504,0.059457824,0.001120391,0.002222114,0.000003420,0.000000963
0.000000439,0.060939841,0.057554416,0.014989072,0.052987281,0.025989104,0.000112467,0.000000291,0.000000134,0.327983469,0.422917336,0.448489577,0.420059085,0.230867475,0.019104924,0.032591753,0.215143204,0.026697069,0.015733995,0.455524206,0.340447605,0.005565125,0.000306562,0.002087323,0.010849359,0.004775861,0.000004019,0.000082535,0.000277139,0.007323275,0.206422374,0.180373266,0.001561601,0.000086742,0.102931976,0.096290760,0.005791348,0.039356098,0.003174363,0.000334107,0.004586880,0.001976928,0.001948739,0.007356084,0.001333562,0.001885266,0.073437668,0.207520768,0.007796005,0.021422103,0.000006452,0.000001771
0.000000200,0.048958398,0.054179884,0.022206055,0.050976392,0.032104321,0.000032571,0.000000051,0.000000044,0.428014368,0.452692717,0.421101332,0.389857113,0.219043076,0.026052320,0.039203066,0.189369842,0.023159496,0.018069517,0.399180204,0.456064045,0.002323589,0.000191790,0.000308903,0.014316405,0.004261194,0.000002761,0.000276165,0.000739962,0.013280371,0.003968105,0.002194795,0.001349571,0.000427545,0.007093512,0.005356011,0.024047948,0.112580426,0.002409019,0.000248859,0.004867519,0.004139644,0.001685466,0.002065783,0.002044850,0.002243126,0.017615756,0.003353080,0.000245981,0.000402451,0.000000775,0.000000341
0.000000152,0.049816065,0.061159980,0.022279721,0.058848627,0.032147188,0.000014550,0.000000050,0.000000037,0.515397608,0.483682990,0.567693532,0.522722661,0.218875185,0.024624426,0.037183035,0.194673404,0.011561502,0.008481220,0.376936734,0.419293493,0.001510653,0.000180970,0.000170993,0.012034438,0.002141434,0.000002545,0.000183664,0.000346899,0.009430720,0.005852632,0.003468377,0.000845326,0.000437750,0.002940201,0.001810015,0.014816446,0.107064307,0.005703581,0.000373321,0.004742566,0.002240502,0.003738959,0.002565565,0.000863351,0.001234047,0.010120495,0.004456363,0.000066123,0.000146696,0.000000923,0.000000292
