_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000534,0.337895066,0.379794091,0.000217812,0.004792137,0.002996435,0.000008257,0.000000016,0.000000038,0.299881816,0.361470282,0.579735041,0.549778938,0.038026359,0.075730301,0.117467761,0.078002796,0.014247860,0.008172241,0.339012206,0.210177064,0.004284410,0.001146548,0.000018047,0.001214145,0.000930521,0.000049369,0.000118949,0.112026863,0.170396209,0.000000341,0.000000399,0.005535679,0.006720133,0.000065562,0.000034178,0.066378698,0.065158449,0.203002989,0.004123996,0.001485758,0.005432990,0.071244851,0.084116563,0.002352266,0.002249954,0.000055539,0.000030899,0.001622264,0.002578430,0.000000952,0.000000068
0.000001015,0.201209664,0.221016258,0.000553355,0.009895495,0.005296275,0.000016697,0.000000045,0.000000065,0.286864340,0.368648380,0.612612009,0.573608637,0.036651608,0.086790711,0.113793060,0.064805590,0.013404201,0.007291580,0.353111148,0.216905504,0.004975611,0.001300871,0.000035491,0.001557759,0.002506788,0.000100588,0.000164833,0.220283061,0.161703423,0.000000170,0.000000315,0.022876341,0.004423270,0.000276413,0.000178360,0.054589234,0.051339548,0.215341255,0.006518505,0.003322251,0.020289918,0.036089268,0.174147740,0.001358783,0.001314398,0.000011867,0.000039730,0.011014417,0.010865537,0.000001619,0.000000162
0.000001363,0.280730337,0.305440426,0.000448976,0.005516115,0.002987297,0.000018681,0.000000060,0.000000072,0.302306741,0.437149942,0.596008062,0.563342631,0.028181529,0.089946948,0.138700292,0.065820880,0.014697998,0.006728343,0.346039206,0.168637723,0.004224170,0.000839242,0.000038906,0.000933916,0.001944300,0.000085775,0.000107916,0.071559526,0.068080537,0.000002738,0.000004406,0.011707407,0.001214323,0.000333537,0.000220401,0.085798994,0.066014998,0.051652577,0.011602212,0.003101476,0.009433202,0.066263437,0.280081362,0.003233880,0.002869078,0.000058889,0.000124836,0.019471308,0.020894080,0.000002003,0.000000296
0.000000674,0.182659343,0.202395201,0.001310997,0.010283710,0.005620055,0.000011381,0.000000026,0.000000050,0.248423442,0.372753233,0.494519442,0.495236039,0.047994241,0.062164254,0.104778409,0.090190448,0.022227569,0.011979032,0.409341693,0.232691675,0.006448108,0.001276943,0.000037559,0.000768718,0.001476501,0.000119150,0.000194728,0.387094378,0.232729241,0.000000032,0.000000051,0.069034956,0.003029209,0.000140618,0.000137097,0.044068422,0.025842981,0.591076732,0.015467567,0.002232033,0.021065043,0.010223144,0.041400600,0.001331830,0.001167954,0.000007956,0.000018466,0.003656141,0.003584021,0.000001079,0.000000076
0.000000353,0.226377442,0.265508831,0.001523846,0.008566272,0.004235280,0.000007259,0.000000014,0.000000041,0.245737419,0.350994229,0.556694627,0.550129652,0.054176323,0.056763165,0.105344944,0.104831837,0.017953048,0.009723135,0.364784718,0.243971065,0.007114608,0.001364244,0.000042047,0.000435525,0.000943116,0.000134771,0.000187491,0.419338286,0.237875998,0.000000016,0.000000027,0.081364937,0.003517136,0.000108101,0.000112929,0.023953622,0.019568777,0.756294787,0.013266688,0.001209215,0.013534943,0.004000261,0.011433372,0.001067444,0.001222143,0.000005998,0.000024114,0.001197928,0.001342450,0.000000864,0.000000047
0.000000263,0.199490219,0.231838480,0.001965389,0.011066820,0.006325231,0.000006520,0.000000007,0.000000030,0.253135115,0.357574135,0.483840764,0.510477781,0.060127787,0.049341984,0.102160238,0.126413211,0.023856629,0.012914374,0.347725004,0.250947475,0.008321961,0.001366467,0.000037664,0.000353615,0.000696779,0.000156127,0.000238028,0.599825382,0.454495370,0.000000003,0.000000004,0.122079223,0.006685079,0.000062603,0.000070685,0.019322872,0.017168242,0.904625714,0.012045123,0.001009832,0.021364914,0.002187540,0.003932922,0.001129501,0.001371018,0.000003647,0.000008472,0.000429337,0.000524503,0.000000557,0.000000021
0.000000211,0.273311317,0.276929259,0.001312281,0.007726715,0.004644819,0.000005012,0.000000006,0.000000033,0.307099611,0.352310330,0.590741336,0.595017791,0.053356271,0.061249331,0.113930613,0.105236210,0.016139299,0.008831246,0.353979886,0.271734148,0.007193978,0.001242498,0.000048831,0.000192615,0.000483491,0.000211533,0.000204601,0.448284537,0.250027478,0.000000007,0.000000011,0.108173244,0.005818937,0.000069227,0.000079802,0.017066475,0.015426797,0.881192088,0.008480422,0.000604052,0.009436531,0.001453864,0.002282317,0.001428780,0.001833480,0.000007205,0.000023550,0.000253608,0.000292885,0.000000646,0.000000024
0.000000304,0.227997899,0.269968987,0.001807041,0.009123645,0.004971234,0.000007011,0.000000010,0.000000037,0.304538488,0.403303266,0.651396751,0.648441553,0.068570249,0.042785581,0.088160947,0.134085461,0.011100391,0.005194952,0.320424050,0.224962264,0.006016355,0.000904904,0.000045308,0.000450963,0.000713566,0.000111945,0.000161396,0.429714203,0.269981593,0.000000012,0.000000020,0.123603962,0.014355632,0.000115649,0.000113739,0.022755308,0.028139453,0.812755167,0.002775996,0.001167277,0.013098370,0.003401189,0.008394325,0.001402279,0.001755712,0.000006048,0.000020168,0.000972327,0.001265493,0.000000698,0.000000039
0.000000323,0.236194015,0.289603919,0.001199948,0.006952263,0.004032838,0.000007226,0.000000013,0.000000031,0.305968732,0.384945065,0.612410307,0.588768959,0.079543695,0.045021757,0.072989628,0.112265669,0.013982829,0.007091719,0.334975153,0.212587133,0.005101977,0.000965605,0.000048098,0.000339295,0.000270963,0.000035191,0.000067608,0.165593788,0.122093126,0.000000215,0.000000261,0.032641854,0.002022981,0.000104464,0.000090125,0.039705969,0.023420783,0.498177618,0.010821776,0.000371014,0.001505555,0.007445310,0.020787440,0.010178663,0.009165126,0.000064176,0.000057202,0.004187856,0.005175001,0.000001529,0.000000058
0.000000616,0.231044903,0.205833569,0.001273246,0.008661593,0.006738076,0.000017387,0.000000035,0.000000080,0.331493348,0.368580610,0.686003327,0.673261642,0.072447799,0.042984262,0.074354231,0.113114290,0.008570116,0.003974506,0.333515167,0.205614179,0.004592093,0.000937185,0.000151118,0.000362062,0.000825370,0.000074588,0.000075736,0.268519729,0.098616384,0.000000330,0.000000649,0.070592754,0.001933733,0.001072819,0.001313221,0.049416687,0.037886299,0.227083132,0.005172023,0.000967520,0.004132504,0.004417411,0.031367373,0.008464380,0.008335213,0.000024357,0.000192654,0.031122174,0.030183373,0.000002269,0.000000211
