_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000937,0.019345086,0.024774551,0.073706686,0.039823677,0.025295580,0.000101089,0.000000106,0.000000148,0.155064061,0.128322914,0.025150841,0.022950122,0.028377803,0.124253824,0.138041526,0.036764849,0.335684717,0.344587713,0.716327190,0.680729151,0.002843066,0.002754025,0.000664732,0.003201830,0.189202234,0.000159282,0.118086793,0.043229949,0.044128072,0.000000677,0.000000736,0.007149704,0.000505183,0.012027062,0.013681792,0.087098636,0.060961504,0.004300782,0.003126927,0.001752921,0.064060435,0.000069844,0.000374137,0.015603299,0.017439825,0.000511547,0.000818284,0.000087216,0.000090222,0.000000284,0.000000435
0.000001006,0.026785860,0.039235085,0.053534921,0.030726582,0.016769726,0.000172503,0.000000156,0.000000163,0.119682282,0.108197257,0.031011311,0.027541317,0.020639505,0.151974440,0.173665211,0.033899397,0.317682952,0.316131473,0.687210500,0.709751368,0.003774590,0.004116212,0.000692547,0.002553464,0.350112915,0.000547642,0.060993001,0.016788723,0.042411182,0.000000799,0.000000589,0.008449661,0.000269904,0.015718840,0.024128413,0.053404957,0.050209139,0.005394053,0.003968561,0.001270137,0.067212962,0.000103391,0.000495536,0.316074193,0.350444227,0.001761179,0.001736743,0.000384942,0.000707952,0.000000197,0.000000645
0.000001284,0.047483962,0.061062399,0.038265966,0.019406106,0.013966594,0.000254426,0.000000176,0.000000196,0.162519187,0.167028740,0.030192031,0.033832438,0.033544004,0.100533120,0.134482801,0.055693712,0.307333708,0.289625168,0.724357247,0.642637253,0.003158051,0.002562755,0.000647499,0.006394847,0.374396473,0.000244550,0.040388592,0.008025629,0.027705571,0.000004852,0.000002993,0.005420675,0.000298791,0.015960746,0.025863843,0.047105968,0.056294926,0.002847153,0.002117741,0.001903211,0.088456593,0.000171651,0.000590737,0.487728119,0.545547903,0.002872228,0.002908312,0.000625526,0.001342569,0.000000202,0.000001049
0.000001858,0.024419097,0.033213604,0.064828932,0.032470167,0.021260664,0.000262841,0.000000381,0.000000209,0.121020518,0.121547274,0.029947534,0.028427998,0.025119523,0.130073860,0.148761511,0.041104354,0.312249660,0.306343466,0.699593544,0.673956752,0.004206971,0.004125678,0.000701482,0.004268108,0.282511652,0.000230819,0.036583345,0.004771455,0.026291424,0.000010132,0.000006048,0.004862376,0.000263304,0.018350029,0.026316669,0.043930508,0.059892170,0.002026133,0.002358471,0.004060080,0.145425871,0.000249015,0.001127050,0.540163279,0.609185100,0.003340453,0.003111377,0.000908974,0.002021314,0.000000190,0.000001552
0.000001938,0.052267041,0.063264877,0.020324046,0.019382283,0.015720611,0.000084552,0.000000197,0.000000172,0.160117850,0.148332015,0.030531995,0.030180024,0.039741781,0.092568941,0.115785971,0.062928572,0.302679121,0.290980011,0.672296524,0.629286766,0.003184481,0.002635439,0.000336223,0.002342301,0.050739147,0.000070201,0.023073029,0.006057316,0.015007269,0.000011968,0.000009352,0.002630441,0.000418860,0.001776205,0.002251797,0.055351231,0.059258360,0.004038101,0.002505789,0.005939259,0.081361733,0.000384916,0.000736586,0.423819870,0.491491556,0.002362188,0.005348380,0.000041947,0.000078646,0.000000166,0.000000959
0.000001570,0.179616913,0.158869699,0.004535042,0.006670507,0.008064252,0.000070503,0.000000138,0.000000163,0.197388157,0.166011706,0.050294872,0.049981382,0.024389168,0.133806407,0.163630188,0.045878902,0.204208344,0.201233879,0.631152630,0.608333528,0.002292680,0.002461727,0.000346801,0.002210141,0.048144560,0.000071260,0.028056214,0.007828705,0.014537068,0.000006000,0.000005140,0.003265712,0.000347941,0.001547707,0.001740836,0.054021753,0.043341447,0.007520651,0.004431652,0.003486180,0.060857356,0.000303281,0.000682645,0.391868144,0.405170709,0.002736782,0.004956727,0.000040544,0.000062596,0.000000157,0.000000761
0.000001652,0.097356960,0.081443451,0.015372492,0.008152372,0.009011481,0.000152300,0.000000233,0.000000259,0.143687472,0.123931661,0.043020993,0.039802134,0.026756542,0.139362380,0.146349162,0.038375970,0.245824277,0.251062989,0.653518081,0.657609582,0.003162616,0.003822860,0.000704757,0.005338079,0.142707527,0.000101977,0.039191183,0.007922321,0.030434836,0.000007112,0.000004914,0.003948207,0.000272343,0.008239580,0.010041276,0.059147805,0.073858611,0.002118066,0.002664713,0.004627537,0.142189324,0.000171972,0.000880429,0.392503858,0.430429548,0.005102560,0.005715303,0.000141129,0.000259790,0.000000152,0.000001138
0.000001373,0.056658760,0.057905525,0.024711367,0.015105029,0.012748728,0.000173108,0.000000190,0.000000295,0.128123596,0.113926478,0.045209900,0.040651977,0.027873609,0.126283482,0.140082866,0.040517766,0.242029503,0.245956481,0.669374108,0.680445015,0.003495786,0.004044119,0.000880454,0.006831822,0.188582748,0.000128357,0.036626954,0.017013866,0.030577525,0.000002068,0.000001560,0.005955432,0.000322781,0.013734870,0.019347180,0.071005948,0.060329840,0.002229396,0.002478671,0.002766264,0.148392200,0.000090743,0.000754198,0.332512259,0.330029160,0.003510079,0.004180175,0.000255481,0.000378365,0.000000199,0.000001071
0.000001867,0.091622666,0.074143566,0.015513810,0.010253755,0.011644370,0.000197247,0.000000199,0.000000364,0.130821839,0.127700865,0.045013279,0.046293303,0.031082537,0.107084073,0.132265508,0.049273223,0.231091946,0.225769296,0.678581119,0.643424332,0.003619995,0.003478123,0.000824706,0.006230725,0.188151717,0.000130157,0.039215568,0.015119278,0.023608673,0.000003997,0.000003130,0.004334505,0.000335671,0.011900816,0.017455515,0.076555580,0.070930555,0.001791608,0.001988985,0.003909049,0.143597469,0.000135349,0.000813403,0.344269544,0.375046492,0.003646434,0.007909451,0.000248144,0.000396330,0.000000187,0.000001331
0.000001738,0.064961262,0.068143956,0.020634333,0.013796388,0.011916017,0.000175945,0.000000191,0.000000269,0.165001184,0.161331236,0.028869532,0.027602939,0.031420119,0.107279092,0.132622808,0.050420132,0.326959252,0.316167265,0.671257257,0.647213697,0.002829357,0.002451742,0.000732576,0.004948761,0.161476508,0.000133568,0.033639837,0.012858704,0.027766600,0.000003401,0.000002451,0.005186622,0.000270972,0.010773672,0.015332854,0.068893433,0.067097194,0.002252130,0.003093119,0.003843844,0.150328711,0.000120682,0.000873854,0.354578674,0.383511752,0.003230661,0.004944053,0.000218758,0.000412233,0.000000202,0.000001108
