_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000440,0.000436514,0.000581474,0.539228678,0.692361712,0.483541608,0.000024910,0.000001058,0.000000410,0.187949643,0.206981614,0.314423919,0.304952294,0.016153114,0.032777525,0.242246851,0.170183286,0.023075895,0.014749748,0.341069460,0.155492425,0.005608327,0.003890977,0.000045272,0.005284153,0.009905726,0.000081520,0.000192155,0.000888973,0.002588291,0.001882671,0.001793717,0.000993770,0.000165768,0.005261956,0.005502250,0.009926662,0.009855459,0.431375772,0.030359754,0.102645144,0.019095983,0.067466736,0.017341064,0.000001765,0.000000890,0.000183082,0.000218018,0.000125181,0.000224466,0.000012317,0.000001161
0.000000469,0.000379258,0.000071259,0.638892174,0.656612992,0.746197462,0.000030644,0.000000856,0.000000293,0.269229442,0.247781575,0.491049886,0.498883843,0.024491983,0.113610342,0.148258880,0.049265239,0.014702100,0.008747338,0.343972653,0.215512767,0.004315665,0.002312625,0.000124869,0.001160331,0.024180051,0.000239369,0.000861218,0.000180326,0.003582511,0.013625127,0.019779379,0.000498442,0.000022580,0.015159683,0.012240272,0.004386108,0.026088208,0.057703853,0.036268838,0.056938279,0.032532237,0.013661132,0.003667196,0.000004376,0.000007261,0.000337189,0.012595855,0.000088497,0.000291898,0.000007301,0.000001278
0.000000474,0.000381181,0.000075225,0.634420037,0.657625437,0.741154432,0.000030301,0.000000854,0.000000304,0.268546909,0.249505594,0.496779084,0.504058361,0.023472225,0.117075130,0.152653739,0.048026793,0.014340434,0.008513911,0.340214670,0.214584470,0.004368280,0.002279217,0.000125332,0.001150274,0.023806510,0.000245052,0.000845305,0.000187797,0.003574471,0.012864565,0.019096298,0.000503265,0.000022883,0.015027300,0.012195339,0.004386543,0.025811980,0.060948249,0.036889642,0.057893723,0.032746963,0.013810735,0.003714613,0.000004219,0.000007040,0.000318169,0.013255026,0.000085238,0.000281218,0.000007539,0.000001295
0.000001590,0.000501092,0.000168449,0.514650345,0.523686111,0.691584110,0.000871440,0.000004725,0.000002800,0.375564754,0.325912088,0.617957413,0.604342937,0.009123619,0.245691553,0.276954800,0.026207266,0.010005789,0.009932217,0.287861109,0.334016144,0.003442351,0.001796974,0.007917548,0.036158253,0.145463884,0.000215734,0.000870333,0.002613810,0.023057917,0.152437091,0.211833686,0.002606104,0.000501361,0.775841415,0.649466455,0.007769924,0.049508099,0.003367987,0.000083653,0.020594342,0.022126921,0.002120333,0.008864989,0.002819954,0.005002660,0.037889197,0.716055512,0.014497488,0.032098375,0.000014392,0.000011840
0.000001484,0.000891057,0.000213274,0.472100317,0.463956535,0.707346797,0.001239986,0.000004288,0.000003911,0.349274516,0.268404186,0.578267097,0.566944242,0.007536045,0.292102933,0.325709999,0.021600649,0.013057609,0.012958164,0.305575967,0.288739324,0.004065311,0.002789905,0.014340630,0.028128074,0.125116795,0.000256683,0.000674011,0.004008911,0.024241073,0.135477781,0.170374840,0.002516865,0.000735220,0.851186454,0.769533038,0.008353361,0.045183010,0.002716870,0.000040572,0.018419566,0.023451036,0.001317157,0.006142163,0.007982373,0.014406330,0.095661640,0.844932437,0.019213798,0.044415202,0.000013063,0.000011311
0.000001318,0.009760242,0.005563822,0.097578652,0.201083481,0.263560474,0.000524362,0.000002597,0.000001855,0.698866487,0.495543301,0.722376764,0.732112348,0.023368929,0.131346300,0.161553159,0.042335693,0.004220100,0.006173671,0.285995841,0.465837121,0.000709436,0.000529569,0.004645679,0.010033648,0.055126481,0.000157403,0.000586530,0.000827767,0.006555579,0.207643971,0.191733122,0.001616621,0.001274777,0.625396430,0.587651432,0.012992754,0.061932418,0.001644376,0.000029096,0.021730879,0.019141898,0.002291436,0.017270042,0.004138228,0.006703272,0.141616136,0.510959089,0.026427468,0.067974560,0.000008136,0.000008256
0.000000973,0.004006383,0.000582235,0.305854052,0.214090899,0.470864356,0.000398857,0.000002705,0.000001097,0.718574524,0.561607778,0.713877678,0.729611278,0.034362081,0.126007661,0.129270092,0.038508419,0.004873736,0.006603089,0.276767850,0.467052370,0.000641459,0.000418536,0.003604221,0.017147673,0.091698304,0.000130811,0.000630278,0.000763836,0.003011801,0.243306845,0.238577217,0.002995807,0.004984599,0.504129648,0.503273785,0.006175682,0.026823094,0.002981842,0.000006352,0.012388275,0.011784512,0.001414876,0.021125691,0.002522527,0.003161466,0.131724909,0.366418421,0.035218399,0.064678028,0.000009093,0.000004997
0.000001706,0.008928950,0.000542480,0.193549961,0.194553733,0.440559864,0.000076056,0.000001390,0.000000730,0.716398358,0.519112527,0.804810166,0.836879015,0.021770578,0.152757347,0.176527381,0.038419571,0.001787324,0.002494678,0.176033750,0.430026442,0.000451902,0.000437929,0.000197513,0.024207687,0.035097007,0.000012043,0.000892891,0.000623524,0.006502612,0.210829899,0.213220462,0.000266575,0.001563617,0.014021783,0.014066596,0.024881000,0.101293512,0.001561956,0.000115659,0.112873808,0.038398881,0.037080441,0.031015273,0.000234960,0.000262196,0.006863745,0.028482798,0.001585638,0.004612752,0.000004181,0.000004719
0.000002600,0.069615975,0.007436017,0.069105990,0.042344838,0.174088150,0.000167275,0.000002089,0.000000976,0.756244540,0.538682401,0.800752759,0.790558040,0.010960290,0.191472203,0.243340448,0.032326385,0.001748378,0.003594444,0.173012316,0.458428949,0.000363239,0.000335874,0.000619757,0.027812971,0.045102518,0.000011920,0.000741576,0.000641029,0.009830520,0.213097870,0.190321669,0.000495257,0.000586613,0.048676845,0.049432326,0.034831502,0.141031832,0.000650276,0.000177504,0.055531427,0.017170791,0.014336046,0.048324477,0.001899356,0.002484165,0.029630596,0.078133143,0.012460756,0.031668369,0.000004425,0.000008016
0.000001129,0.021845223,0.007163402,0.113252386,0.136503249,0.191291779,0.000029127,0.000000602,0.000000349,0.676051557,0.568995833,0.751411617,0.777761340,0.008415889,0.216268077,0.289641887,0.028865186,0.002672343,0.002824536,0.215400487,0.410497844,0.000501895,0.000314717,0.000084613,0.003221308,0.006838011,0.000016909,0.000316758,0.000294446,0.008213635,0.222751051,0.183042899,0.000099008,0.000416776,0.002200859,0.001611403,0.026650688,0.128698498,0.001675531,0.000652457,0.066424407,0.014159834,0.066273943,0.019338395,0.000238302,0.000342213,0.010503767,0.016158465,0.000374999,0.001468191,0.000003282,0.000002485
0.000000921,0.017455066,0.001307941,0.173925877,0.170082018,0.369932801,0.000050767,0.000001155,0.000000245,0.725321770,0.592053473,0.756887555,0.787709832,0.012874009,0.201298565,0.220750585,0.028577248,0.002425691,0.002863136,0.191389591,0.432632536,0.000395164,0.000295103,0.000150576,0.005350319,0.013469453,0.000030026,0.000287107,0.000211993,0.006156898,0.213567406,0.145124003,0.000598792,0.000477737,0.014022845,0.011455220,0.010536471,0.053086989,0.007190437,0.000635122,0.029724980,0.005901475,0.031047825,0.066538043,0.000171378,0.000234353,0.015073485,0.008240430,0.004458347,0.016032606,0.000006759,0.000002508
0.000001931,0.005291020,0.004249334,0.205219626,0.233937219,0.193205059,0.000083724,0.000001891,0.000000779,0.538692117,0.392156094,0.585171878,0.613310039,0.002499543,0.294491023,0.450329423,0.020788295,0.004769046,0.006067780,0.161732987,0.441220671,0.000747854,0.000605570,0.000317357,0.002742183,0.045994841,0.000105826,0.000757667,0.000770664,0.003737445,0.032793898,0.041220985,0.001402485,0.000261375,0.023920473,0.034530554,0.016873159,0.047665626,0.003794966,0.000804752,0.027264154,0.008740680,0.012881901,0.061794754,0.000492793,0.000730169,0.002799987,0.033490319,0.014012425,0.041905295,0.000004877,0.000005049
0.000001893,0.005140934,0.004117311,0.241196826,0.231426686,0.182383239,0.000062276,0.000001656,0.000000777,0.591344833,0.411415756,0.608107388,0.635462344,0.002113874,0.397560328,0.456498861,0.013350197,0.004278656,0.006075293,0.156530231,0.485228181,0.000585162,0.000529415,0.000232751,0.003447794,0.042937923,0.000094531,0.000791619,0.000789244,0.003460099,0.030363759,0.038604710,0.001279500,0.000282779,0.017272351,0.024690615,0.015214499,0.043372169,0.005384231,0.000877635,0.034607053,0.009085191,0.019165611,0.064553276,0.000289435,0.000412445,0.002012928,0.025184324,0.009747669,0.027274761,0.000004472,0.000004052
0.000001115,0.011442237,0.006575596,0.208388776,0.132742584,0.152587458,0.000045479,0.000001430,0.000000590,0.533638656,0.406380206,0.548850179,0.591128469,0.004034064,0.147876456,0.415048927,0.045226384,0.005008866,0.005946406,0.168286785,0.368372381,0.000704389,0.000573244,0.000112093,0.018535044,0.099503495,0.000105327,0.001573671,0.000408594,0.001762665,0.004122944,0.005080283,0.002891178,0.000180775,0.015594962,0.021619802,0.005173829,0.010862190,0.036840606,0.003860984,0.035190333,0.013828378,0.016740715,0.088639565,0.000032723,0.000036183,0.000329127,0.002613773,0.003439120,0.009399473,0.000004119,0.000003560
