_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000008847,0.000799594,0.000587265,0.508709908,0.435065806,0.387773991,0.000287945,0.000021556,0.000002604,0.005760198,0.001546363,0.209212393,0.178830817,0.049645681,0.132496715,0.099523351,0.026544416,0.052042585,0.083332457,0.026775369,0.058048669,0.090927355,0.446287036,0.000304129,0.000986601,0.498952240,0.075497232,0.001409442,0.435371667,0.156327501,0.011688334,0.067084834,0.006630271,0.000021754,0.137778595,0.148733303,0.003242960,0.013531205,0.016357543,0.015812729,0.032049552,0.001693619,0.070318826,0.536643624,0.005123832,0.013862611,0.000035687,0.041401502,0.046037611,0.064053237,0.000011372,0.000021377
0.000004671,0.000316152,0.000259165,0.607436001,0.491038918,0.412636608,0.000239117,0.000007587,0.000001035,0.011006135,0.018623671,0.090752974,0.129851133,0.008339887,0.267165631,0.264584512,0.016921535,0.110291347,0.089023031,0.091430150,0.076351382,0.052419983,0.062409308,0.000210116,0.000457625,0.107569031,0.007371158,0.001238360,0.050452292,0.010071972,0.009183479,0.025642438,0.003893889,0.000029491,0.067748770,0.090029813,0.007972985,0.008118885,0.020323073,0.019665938,0.078042746,0.004373341,0.064737223,0.516902983,0.001025145,0.001492822,0.000187904,0.012991659,0.042620156,0.065516971,0.000008746,0.000005235
0.000002892,0.000227044,0.000190620,0.583149314,0.671468854,0.458600074,0.000491507,0.000004621,0.000002204,0.003669696,0.009648837,0.132063270,0.221750706,0.069088124,0.196550161,0.071149640,0.014235254,0.080450423,0.037021879,0.036511313,0.021465538,0.160107613,0.112201609,0.000910953,0.001170750,0.080519207,0.007257503,0.000280325,0.120007403,0.036887459,0.011484173,0.030670350,0.006908652,0.000736042,0.557371259,0.644225657,0.007649873,0.037042428,0.009336932,0.000238774,0.079910994,0.003349721,0.089648135,0.543948650,0.005256134,0.010605811,0.000150452,0.017588157,0.410596907,0.496232688,0.000013442,0.000005795
0.000003592,0.000280697,0.000418666,0.565068543,0.527664125,0.419653386,0.000023128,0.000002890,0.000000456,0.020847540,0.035380837,0.014787721,0.024336606,0.004384087,0.451171368,0.458322436,0.006296892,0.402347416,0.397528082,0.151317626,0.294908077,0.024280593,0.032019947,0.000020734,0.000048467,0.021336721,0.013504296,0.001541082,0.028434129,0.002802446,0.001902742,0.006500736,0.000743450,0.000021997,0.000968997,0.001007945,0.002750770,0.004072973,0.072138831,0.126677483,0.096992135,0.011967124,0.198989064,0.232624844,0.000054075,0.000084208,0.000049809,0.011037223,0.000900833,0.001334858,0.000004491,0.000000990
0.000000278,0.000178038,0.000824073,0.677614927,0.558725774,0.212115973,0.000008916,0.000000423,0.000000295,0.006659171,0.037676021,0.046919063,0.567926407,0.006992472,0.067989983,0.339203328,0.105877101,0.308438778,0.011599959,0.141713008,0.072548971,0.124513812,0.035305444,0.000007458,0.001380334,0.004888327,0.000568446,0.000257721,0.037161376,0.002183573,0.000323750,0.000409462,0.000651777,0.005974825,0.000167185,0.000212785,0.004970707,0.001208482,0.552122474,0.001390654,0.069933169,0.010446881,0.640879035,0.200044602,0.000012354,0.000002655,0.000118173,0.000039050,0.000370669,0.000425105,0.000002442,0.000000264
0.000002698,0.000915651,0.001459705,0.450852752,0.358201653,0.307192832,0.000013726,0.000001089,0.000000484,0.018692750,0.046780840,0.021789936,0.104168035,0.004107914,0.271351278,0.377683461,0.021917561,0.361307651,0.138669431,0.241027847,0.171991035,0.032149315,0.029679554,0.000009669,0.000171370,0.008363917,0.002394588,0.000513563,0.049899403,0.000931403,0.002190823,0.008141530,0.000410785,0.000208817,0.000251830,0.000371187,0.008790053,0.003122152,0.062969975,0.010586685,0.060839124,0.008389417,0.445078045,0.280128896,0.000053771,0.000036442,0.000061961,0.004499063,0.000486616,0.000456629,0.000004385,0.000001244
0.000003580,0.002012700,0.003123102,0.432466060,0.219439685,0.215446323,0.000016066,0.000001201,0.000000500,0.009168270,0.020739919,0.039806630,0.142363161,0.004925403,0.246593848,0.350960881,0.026061555,0.263861239,0.097527966,0.131674126,0.104569107,0.060753807,0.068983503,0.000007526,0.000209000,0.018854840,0.006871716,0.001612214,0.086348593,0.002334639,0.000243176,0.001015604,0.000767606,0.000655198,0.000242400,0.000346954,0.003527271,0.001562000,0.279145807,0.009031641,0.092933170,0.012788255,0.532808542,0.454155385,0.000022993,0.000016799,0.000007724,0.001526394,0.000730352,0.000656903,0.000002437,0.000001028
0.000001478,0.001528912,0.001942174,0.465050429,0.286865145,0.200997084,0.000039365,0.000002932,0.000000785,0.004303523,0.004666212,0.156838909,0.491059422,0.004198171,0.120684944,0.420036048,0.062434506,0.097158544,0.014094676,0.118084557,0.060040735,0.113394730,0.202632055,0.000049707,0.000468023,0.020519590,0.002954527,0.000544260,0.064682432,0.001403969,0.002167389,0.006846666,0.001465591,0.000411952,0.003461313,0.007459319,0.004233392,0.001297141,0.236209124,0.004234120,0.086459972,0.003647248,0.159021065,0.391392916,0.000045186,0.000026021,0.000041740,0.002346129,0.003819747,0.003216760,0.000004792,0.000003390
0.000012011,0.002999786,0.001831918,0.296742648,0.226058260,0.237450063,0.000475557,0.000018415,0.000001324,0.005568174,0.004089485,0.244326845,0.271305740,0.018814828,0.180484518,0.177039415,0.024152191,0.047432560,0.039983399,0.135438561,0.065109067,0.094729364,0.248654917,0.000307983,0.000687698,0.231541336,0.011108016,0.001968688,0.085618742,0.032825816,0.160869285,0.375459641,0.004097319,0.000011079,0.121421397,0.104722217,0.007743232,0.012544690,0.009972774,0.027266933,0.041469999,0.001638311,0.053901609,0.466294199,0.006064649,0.012734327,0.000342024,0.028031001,0.082083605,0.134851560,0.000010240,0.000028742
0.000007185,0.013261882,0.034156315,0.079263292,0.133031026,0.072989441,0.000040895,0.000000935,0.000000421,0.029581115,0.056136653,0.175103143,0.285088688,0.003704913,0.301394522,0.350522995,0.018884448,0.077189021,0.033600308,0.372479796,0.237992391,0.022810619,0.022029256,0.000024303,0.000063089,0.007997584,0.001732606,0.001008680,0.102650650,0.013261737,0.000886622,0.003605747,0.000268129,0.000034778,0.000358255,0.000369300,0.026655510,0.015914984,0.011714824,0.059551377,0.031730380,0.003473721,0.251851916,0.294672459,0.002380703,0.003684841,0.000078910,0.018344769,0.003703820,0.004979117,0.000002920,0.000004187
