_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000403,0.404763609,0.402465165,0.005085463,0.002085145,0.002501446,0.000005625,0.000000026,0.000000065,0.262158751,0.177044138,0.121615514,0.125349507,0.018186690,0.090974599,0.203443572,0.064599857,0.069330439,0.070455030,0.267991811,0.274372846,0.003047501,0.002209308,0.000091195,0.000322750,0.000538316,0.000023277,0.000194159,0.017579904,0.002052206,0.000006921,0.000010115,0.012057102,0.076879516,0.000131945,0.000100256,0.005460030,0.004194799,0.314670205,0.000066479,0.000170685,0.000438369,0.002500939,0.021867631,0.005972065,0.005920441,0.000653577,0.001329035,0.004719787,0.004136438,0.000001632,0.000000139
0.000000365,0.357006371,0.341134727,0.008413081,0.002501552,0.003330856,0.000005579,0.000000025,0.000000073,0.361060143,0.230570093,0.265438020,0.267596483,0.019167515,0.135792688,0.184662893,0.042983230,0.034176890,0.034618556,0.238217935,0.277033120,0.002227902,0.001764180,0.000097840,0.000483762,0.000631658,0.000015795,0.000273745,0.016335124,0.001272345,0.000010333,0.000015698,0.011758141,0.066124983,0.000118903,0.000108443,0.005783991,0.003287950,0.326101094,0.000060395,0.000160411,0.000367049,0.001944275,0.018603979,0.008820078,0.007271350,0.001102599,0.001996149,0.004608307,0.003573365,0.000001700,0.000000153
0.000000167,0.258169949,0.253367007,0.022688774,0.003431565,0.004420390,0.000004621,0.000000019,0.000000045,0.622315109,0.400806993,0.525027335,0.531220734,0.047926556,0.074857727,0.108844891,0.072506808,0.012538294,0.014987348,0.343615681,0.300565124,0.000959746,0.000761481,0.000108915,0.000573855,0.000749720,0.000019823,0.000310756,0.014759121,0.002620348,0.000002361,0.000002925,0.031321127,0.062512383,0.000161542,0.000138733,0.003045924,0.001896361,0.613818884,0.000097791,0.000082575,0.000458928,0.000617279,0.009881872,0.007506313,0.006144938,0.000880727,0.000773763,0.003400784,0.002781169,0.000001488,0.000000088
0.000000226,0.314225405,0.301909775,0.014727237,0.002880601,0.003595452,0.000004183,0.000000024,0.000000065,0.685224175,0.507397592,0.678038955,0.686978281,0.029958079,0.152602628,0.166360170,0.029879920,0.006283801,0.007514230,0.336609304,0.332714409,0.000768758,0.000434968,0.000119066,0.000679732,0.001177600,0.000026079,0.000384111,0.016017059,0.002228522,0.000003143,0.000004753,0.114246123,0.032327477,0.000285199,0.000285065,0.001898885,0.001073038,0.695396781,0.000169557,0.000109211,0.000876685,0.000590674,0.010225499,0.004149558,0.003356131,0.000400518,0.000980569,0.009777194,0.007212376,0.000001561,0.000000109
0.000000275,0.258168846,0.322898388,0.012612544,0.004101487,0.002898167,0.000007090,0.000000040,0.000000101,0.718338788,0.521932125,0.747789800,0.755138338,0.032639842,0.128927767,0.139183775,0.035879984,0.003582843,0.004443648,0.365478039,0.393718749,0.000630910,0.000307260,0.000147436,0.002064987,0.007308557,0.000057708,0.000857188,0.017257625,0.003657371,0.000002110,0.000003226,0.196041405,0.017084444,0.001479189,0.001641400,0.001994213,0.001477882,0.644583344,0.000290474,0.000586268,0.004849194,0.000470480,0.010018029,0.000638105,0.000574923,0.000102789,0.000359313,0.007141368,0.007093691,0.000001125,0.000000167
0.000000393,0.397146344,0.443861336,0.005904796,0.001952505,0.001372574,0.000019780,0.000000060,0.000000137,0.762126505,0.585941017,0.773198605,0.785060227,0.030232422,0.134644285,0.141325876,0.035887357,0.002965180,0.003674512,0.388706565,0.448787600,0.000474470,0.000188884,0.000308243,0.004662269,0.029513398,0.000080630,0.001436458,0.022503313,0.005548638,0.000002855,0.000003791,0.239560857,0.010804960,0.006417209,0.008219934,0.004278850,0.002484156,0.372093797,0.000257214,0.000908752,0.009259776,0.000265193,0.011301490,0.001339166,0.001055416,0.000189542,0.000337280,0.015740972,0.016382325,0.000000996,0.000000304
0.000000394,0.279983699,0.361757696,0.007959747,0.003027095,0.001864638,0.000028756,0.000000066,0.000000116,0.727149010,0.593441248,0.758982658,0.762231708,0.043747906,0.098498501,0.107095420,0.048005465,0.003639042,0.003882543,0.424379736,0.460957140,0.000587436,0.000168485,0.000316107,0.008591779,0.068887763,0.000088695,0.002808250,0.022086326,0.015153755,0.000001150,0.000001472,0.262793928,0.011862423,0.009911400,0.009741839,0.003786894,0.005356267,0.294400007,0.000260736,0.001409637,0.017975785,0.000225079,0.010798825,0.001194803,0.001379011,0.000104570,0.000237216,0.016258085,0.022030935,0.000000666,0.000000282
0.000000370,0.282721728,0.302600473,0.011188803,0.003962938,0.003160736,0.000012682,0.000000053,0.000000100,0.763368249,0.582701564,0.765476942,0.773810208,0.028333660,0.140176833,0.151547313,0.034454983,0.003362919,0.003844223,0.512707412,0.471720695,0.000609570,0.000189429,0.000203152,0.002935214,0.021508383,0.000129876,0.001150922,0.023177674,0.010464138,0.000000934,0.000001471,0.318134278,0.012388789,0.004310128,0.004244585,0.001887357,0.002758702,0.557116389,0.000381136,0.000999321,0.011617506,0.000362274,0.011162695,0.000512968,0.000649782,0.000043223,0.000252453,0.011269394,0.013642147,0.000000868,0.000000219
0.000000275,0.272832841,0.288183570,0.012715624,0.004164050,0.003708308,0.000010744,0.000000047,0.000000074,0.748444974,0.582434595,0.775814176,0.784625709,0.033226967,0.129814222,0.137486175,0.036925059,0.003329965,0.003413729,0.501550019,0.426676422,0.000619331,0.000199142,0.000201560,0.001894972,0.006864948,0.000060666,0.000607807,0.013876582,0.006800790,0.000002521,0.000003394,0.169600606,0.007481831,0.002757829,0.002705901,0.002245189,0.002277013,0.597016931,0.000529192,0.000498685,0.002734140,0.000428563,0.011932888,0.001060742,0.001103187,0.000148016,0.000363925,0.008483935,0.010783363,0.000001444,0.000000193
0.000000428,0.380556554,0.418825775,0.004957388,0.002799368,0.002796812,0.000010260,0.000000046,0.000000099,0.783971608,0.655058920,0.782340407,0.786233425,0.069496363,0.064257115,0.084259905,0.075163066,0.003660365,0.003455168,0.534528017,0.507865369,0.000564743,0.000125938,0.000176242,0.001265566,0.004605779,0.000080875,0.000404747,0.024850613,0.001904156,0.000004319,0.000008266,0.126570821,0.013004798,0.001519411,0.002413453,0.002799160,0.001379157,0.569175005,0.000253218,0.000489698,0.002395996,0.000581390,0.015237950,0.001084015,0.000830134,0.000131438,0.000918410,0.009125477,0.007424710,0.000001912,0.000000260
