_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002847,0.612421393,0.672524691,0.000088063,0.001511162,0.000831063,0.000042214,0.000000141,0.000000229,0.383308709,0.190632880,0.613662899,0.608684897,0.659390569,0.003127783,0.002826728,0.653606594,0.005616680,0.006452496,0.373703033,0.353438437,0.001443069,0.001515994,0.000097046,0.006758189,0.004760833,0.000004260,0.000955779,0.090422861,0.096132100,0.000515066,0.000371098,0.000236253,0.003357636,0.000146098,0.000116431,0.479782671,0.334279448,0.000276375,0.000277910,0.019784892,0.042870782,0.135250226,0.021377830,0.126770750,0.054230493,0.018320009,0.000945431,0.004146385,0.004659971,0.000000202,0.000001029
0.000003487,0.553154349,0.552309275,0.000302640,0.002135971,0.001802523,0.000031431,0.000000152,0.000000456,0.362313628,0.150743335,0.638688326,0.643530905,0.637830377,0.002780395,0.003952900,0.629215121,0.005910962,0.004643690,0.503530145,0.246358514,0.001980243,0.001981865,0.000092408,0.003879904,0.003166029,0.000003550,0.000534687,0.188676104,0.055904049,0.001059023,0.001520039,0.000076034,0.000887653,0.000114077,0.000118431,0.537899733,0.382968724,0.000100510,0.000605733,0.023552096,0.025600230,0.179864496,0.009790513,0.141102314,0.068877093,0.007877087,0.010757624,0.001818102,0.001386896,0.000000340,0.000002329
0.000001584,0.380263567,0.394946039,0.000567735,0.004603815,0.002936327,0.000029536,0.000000111,0.000000243,0.355406851,0.213667884,0.670049191,0.659867883,0.673766613,0.003040605,0.002500154,0.653764009,0.005073352,0.003755132,0.445242435,0.248774424,0.002122625,0.001103858,0.000078728,0.007859109,0.007992881,0.000006697,0.001408943,0.038662445,0.041573886,0.000356713,0.000323236,0.000264835,0.001222476,0.000316214,0.000229466,0.268257499,0.231641054,0.000683196,0.000747847,0.051475439,0.068695642,0.075524084,0.008457699,0.005210303,0.003087883,0.003194018,0.000659298,0.000582759,0.000776325,0.000000271,0.000000815
0.000002181,0.186306849,0.244449049,0.004368427,0.010940752,0.005924913,0.000029489,0.000000259,0.000000476,0.388706654,0.146005899,0.606094003,0.612525105,0.781248212,0.001412958,0.001372033,0.771513104,0.005376127,0.005716346,0.324120104,0.246358693,0.001714318,0.002365313,0.000099094,0.005981147,0.007388103,0.000007112,0.001137019,0.080136888,0.064168192,0.000423923,0.000493908,0.000231905,0.001292890,0.000419068,0.000303154,0.356321424,0.366421014,0.000319846,0.000785092,0.049641408,0.055434391,0.087748252,0.012236150,0.011257484,0.007349545,0.002756105,0.001515226,0.001075149,0.001149303,0.000000414,0.000001909
0.000001815,0.126712114,0.174776763,0.001025466,0.016556809,0.005821654,0.000041719,0.000000177,0.000000325,0.317317128,0.224940881,0.616466761,0.600934446,0.348283559,0.020882254,0.006779623,0.328205347,0.008527352,0.005974995,0.449577034,0.254516333,0.003149724,0.001427846,0.000036230,0.007149945,0.043180738,0.000043910,0.005755893,0.026833819,0.019509003,0.000107200,0.000122616,0.000603528,0.001130969,0.000490108,0.000359760,0.071870491,0.077114902,0.006884011,0.001531185,0.425891131,0.512758374,0.074323878,0.014824879,0.000114759,0.000074047,0.000395573,0.000186771,0.000200126,0.000280912,0.000000213,0.000000444
0.000001454,0.137493253,0.341255546,0.000926190,0.013778980,0.001947428,0.000072728,0.000000409,0.000000282,0.175344437,0.134628758,0.557110727,0.546450138,0.529482484,0.005510084,0.003790318,0.512641191,0.008480366,0.007701541,0.315827966,0.274346799,0.003945949,0.002764815,0.000128477,0.009576607,0.060024984,0.000035996,0.002345454,0.006467447,0.036497720,0.000542585,0.000464242,0.001737739,0.000218592,0.004666489,0.003354059,0.044357892,0.125250742,0.001687067,0.003580692,0.092689961,0.186290309,0.026677242,0.037322681,0.000426030,0.000397491,0.000935685,0.000452549,0.006619122,0.013422153,0.000000405,0.000001273
0.000000975,0.431285948,0.507394075,0.000084703,0.002713158,0.001082475,0.000064722,0.000000345,0.000000101,0.340764761,0.179055557,0.509420514,0.511411965,0.423173815,0.007810311,0.006913607,0.422116876,0.009622989,0.012248871,0.416654378,0.416229784,0.001646010,0.001557946,0.000124795,0.037660256,0.057693519,0.000016051,0.003198396,0.001328972,0.056301888,0.000561595,0.000222599,0.005714024,0.003212397,0.005395977,0.001999040,0.007181528,0.050670464,0.017733192,0.000242990,0.052149840,0.157766312,0.035736024,0.079172485,0.000138667,0.000112639,0.002961966,0.000064148,0.023007123,0.066345930,0.000000176,0.000000412
0.000001105,0.068833157,0.409132123,0.001013820,0.017012646,0.001752337,0.000050639,0.000000060,0.000000058,0.334010780,0.443986386,0.662660718,0.588496447,0.209949121,0.027632767,0.020372558,0.200910375,0.009404332,0.004617483,0.402112573,0.223960295,0.002903246,0.000199011,0.000159068,0.002604346,0.002538666,0.000007074,0.000325675,0.026074436,0.047060959,0.000453988,0.000387147,0.001410619,0.004451259,0.000891950,0.000641789,0.064420789,0.089695558,0.002644050,0.000158283,0.008062128,0.004353053,0.064245217,0.078989886,0.013189767,0.009285038,0.002764498,0.000432233,0.049775507,0.062701814,0.000000823,0.000000302
0.000000944,0.017056458,0.503350616,0.000320624,0.039996833,0.000653100,0.000033765,0.000000066,0.000000095,0.230402410,0.430183679,0.492303669,0.467353344,0.037139263,0.219487697,0.236593097,0.010916523,0.025625065,0.010006645,0.558459759,0.247709796,0.005799548,0.000316402,0.000066578,0.001311205,0.044128072,0.000366290,0.015255054,0.011196077,0.039441351,0.000086440,0.000119715,0.001627169,0.000423518,0.000538927,0.000412841,0.017343070,0.068814367,0.007184571,0.004545760,0.066517122,0.075315498,0.021985283,0.016074041,0.000360618,0.000688459,0.000158471,0.000439881,0.000248177,0.000490963,0.000000294,0.000000153
0.000000731,0.140768483,0.523751497,0.000409277,0.004777360,0.000944961,0.000056917,0.000000098,0.000000148,0.467102528,0.352895945,0.639874101,0.622345924,0.300686419,0.019521795,0.008613995,0.307923913,0.006334994,0.007101715,0.407435566,0.327638686,0.001195868,0.000492250,0.000271547,0.006072596,0.013313998,0.000025537,0.001377044,0.019847261,0.052104857,0.000057546,0.000034712,0.005053774,0.002392263,0.002021701,0.002135213,0.083238319,0.085160680,0.004422915,0.000556650,0.008518714,0.026798490,0.005264979,0.021198645,0.005198011,0.003490690,0.002784348,0.000178076,0.003002321,0.003589768,0.000000495,0.000000338
