_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002855,0.022447595,0.019998046,0.194026574,0.060519427,0.050084211,0.000092170,0.000000659,0.000000163,0.153260067,0.133349985,0.158538967,0.163833261,0.018909944,0.042178817,0.219820365,0.128342524,0.050348066,0.045507178,0.345968783,0.413898379,0.004818673,0.004039372,0.000167491,0.000508255,0.020140132,0.000100499,0.005049320,0.002926026,0.003239653,0.000056916,0.000053192,0.004293144,0.001604025,0.001072204,0.001178784,0.034221925,0.034929015,0.018863587,0.000666564,0.007359832,0.012287665,0.002732437,0.010241834,0.523783386,0.564456522,0.003105282,0.005415697,0.002859090,0.005854169,0.000000386,0.000002109
0.000004209,0.019008912,0.018186977,0.181093410,0.074958324,0.060959835,0.000163837,0.000001110,0.000000244,0.177143484,0.150957033,0.154188052,0.159430385,0.016322877,0.041996874,0.239631712,0.132720307,0.051427614,0.045625288,0.341199964,0.410464853,0.004026636,0.003501302,0.000217730,0.000738073,0.039940864,0.000112811,0.007798521,0.002485964,0.003213151,0.000151669,0.000133915,0.004225750,0.001368679,0.002030030,0.002519028,0.037826959,0.040262990,0.010432418,0.000508228,0.014378544,0.019421412,0.003565305,0.012708897,0.580074310,0.615129709,0.004864183,0.007562007,0.006928870,0.014551372,0.000000347,0.000003431
0.000002382,0.024175834,0.025311492,0.131784767,0.078507692,0.061485495,0.000086629,0.000000668,0.000000157,0.194541916,0.160920724,0.149458289,0.155858919,0.020907007,0.036938544,0.206301197,0.144871294,0.053271361,0.048026420,0.319321156,0.395429373,0.003531081,0.003373555,0.000156411,0.000479526,0.016841969,0.000084185,0.005098815,0.001674052,0.003871511,0.000111464,0.000091169,0.003683400,0.001238254,0.001211126,0.001058324,0.028011190,0.039906759,0.021157101,0.000774038,0.007399592,0.007676063,0.002938447,0.010004386,0.516324162,0.586380363,0.006868980,0.007140043,0.002196887,0.005336864,0.000000409,0.000001956
0.000002199,0.020975344,0.025089350,0.143805400,0.081168264,0.057700168,0.000087332,0.000000685,0.000000152,0.177835166,0.159159392,0.152168453,0.157530904,0.018249966,0.033871647,0.237078607,0.160845041,0.050756674,0.044967480,0.299874842,0.377263755,0.004081873,0.003581963,0.000159781,0.000465117,0.016880067,0.000089904,0.005033890,0.001726733,0.004547018,0.000086860,0.000069777,0.004046117,0.001146730,0.001212864,0.001015140,0.026916806,0.039709408,0.023077406,0.000977346,0.006905025,0.007865093,0.002787989,0.010002904,0.507347941,0.584509730,0.005917315,0.005425132,0.002349251,0.005989098,0.000000413,0.000001891
0.000002262,0.025048634,0.027097899,0.139288872,0.069298908,0.051946755,0.000079609,0.000000707,0.000000148,0.176886514,0.154831305,0.147345975,0.154492542,0.017165707,0.035518151,0.244428724,0.155253053,0.053106222,0.046908662,0.324207097,0.376997143,0.004142375,0.003742685,0.000152664,0.000369406,0.015058973,0.000097391,0.004854371,0.001609811,0.003675724,0.000100231,0.000083516,0.004046586,0.000931216,0.000988023,0.000857406,0.023672292,0.030884063,0.026692675,0.001265890,0.005937283,0.007090608,0.002776323,0.009991072,0.523598671,0.593454123,0.006022520,0.006230727,0.002313650,0.005509558,0.000000436,0.000001993
0.000003601,0.021769473,0.020264801,0.146280512,0.074712694,0.061298389,0.000126593,0.000000866,0.000000202,0.171872839,0.130473539,0.139825374,0.142682016,0.021612149,0.038721748,0.193305239,0.132916138,0.056532901,0.052125346,0.345209628,0.418980807,0.003994387,0.004061935,0.000189285,0.000611985,0.031928621,0.000121546,0.006433266,0.002818153,0.003525243,0.000076208,0.000068361,0.004744749,0.001310976,0.001706620,0.001985392,0.040744811,0.039303582,0.012897195,0.000640159,0.010740917,0.017394267,0.002918653,0.012174590,0.545410395,0.566045403,0.003944746,0.005687493,0.004724197,0.009693830,0.000000360,0.000002675
0.000004435,0.016647965,0.014332825,0.201523632,0.071550213,0.073340461,0.000223475,0.000001436,0.000000294,0.158974141,0.132837743,0.163653612,0.173878178,0.013957107,0.040247031,0.271627575,0.144233689,0.048701294,0.040774334,0.334917694,0.403248847,0.004735600,0.004599992,0.000258444,0.001369572,0.064350925,0.000116633,0.009699734,0.003122111,0.004264677,0.000132588,0.000111853,0.005161805,0.001535732,0.003170506,0.003954117,0.044225343,0.045203835,0.008472872,0.000419320,0.018671339,0.030293558,0.003137169,0.013782018,0.589005291,0.596942544,0.004624680,0.005060256,0.007408268,0.016117062,0.000000317,0.000004566
0.000002699,0.027120473,0.034546059,0.103699267,0.060597345,0.049326416,0.000148994,0.000000874,0.000000237,0.197372109,0.147683516,0.156764716,0.162519708,0.012657289,0.055019122,0.276716292,0.114305079,0.052238669,0.047406521,0.343153179,0.462924510,0.003229585,0.003837993,0.000259103,0.000908369,0.041008424,0.000093867,0.008084437,0.002680319,0.004143435,0.000118529,0.000097654,0.004901618,0.002039695,0.002823804,0.003148421,0.030497456,0.037348140,0.012866340,0.000283256,0.010571202,0.011672062,0.001879904,0.009268083,0.537545204,0.556265593,0.008114086,0.007230049,0.003793488,0.008485119,0.000000311,0.000002835
0.000002090,0.035314947,0.045962803,0.089579239,0.054187458,0.042736974,0.000078205,0.000000639,0.000000198,0.208406568,0.157652006,0.175427586,0.182124138,0.016896067,0.048426941,0.234676465,0.123820275,0.047801331,0.042105220,0.316373289,0.424176157,0.003320844,0.003630668,0.000209348,0.000472696,0.013005130,0.000059859,0.004302602,0.001722436,0.002739000,0.000213317,0.000187346,0.004150858,0.002404712,0.001306117,0.001166705,0.017523268,0.029140240,0.024612658,0.000277658,0.005751078,0.003448178,0.002375339,0.009629950,0.487235695,0.562716722,0.011576550,0.015210827,0.002765563,0.006186314,0.000000426,0.000001988
0.000002916,0.016872013,0.020510823,0.176652223,0.085507065,0.059147276,0.000201209,0.000000994,0.000000334,0.162856832,0.136648208,0.182606608,0.185303718,0.013925520,0.059039678,0.245029241,0.098918587,0.042074151,0.036881860,0.271585643,0.371232629,0.004320994,0.004497650,0.000375749,0.001210047,0.063426360,0.000126926,0.008679070,0.003608849,0.007135667,0.000090378,0.000072570,0.005877407,0.001441843,0.005832743,0.006789156,0.044219248,0.066220321,0.007930210,0.000389010,0.014965977,0.020207541,0.001531857,0.007947883,0.510215938,0.573907733,0.005599387,0.006943910,0.004253427,0.010526048,0.000000369,0.000003199
