_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001271,0.013792523,0.027774671,0.141396597,0.137791082,0.042534154,0.000122257,0.000000801,0.000000550,0.049117863,0.023880485,0.038772665,0.044557035,0.791804194,0.001181642,0.002624676,0.730175793,0.175555229,0.173792422,0.226098478,0.089785032,0.015342719,0.011693893,0.000731884,0.004831691,0.263491720,0.000269590,0.022080800,0.001263717,0.004615236,0.000437202,0.000404756,0.005917826,0.000085957,0.008331964,0.011050519,0.015174555,0.041934114,0.001594336,0.002033682,0.002078057,0.019650711,0.000242824,0.002493620,0.070331387,0.175000131,0.048552379,0.367075622,0.000674906,0.001393580,0.000000453,0.000001649
0.000000908,0.013921289,0.022959026,0.207031205,0.090740107,0.039738145,0.000089149,0.000000742,0.000000375,0.041613255,0.019109853,0.055045340,0.061202940,0.821112514,0.000957050,0.002113005,0.761280417,0.136680365,0.135629535,0.179604262,0.093937308,0.018225795,0.013843909,0.000707245,0.007701173,0.227387294,0.000139113,0.016999049,0.000790757,0.002362074,0.000576879,0.000534654,0.010649431,0.000211056,0.009598227,0.010557475,0.011144009,0.032801103,0.002294924,0.000695809,0.001733278,0.016835487,0.000202532,0.003597187,0.035324860,0.082543872,0.040013820,0.170716435,0.001063139,0.001911383,0.000000395,0.000001511
0.000000986,0.010012550,0.017749693,0.243150592,0.109506696,0.044898808,0.000108890,0.000000882,0.000000545,0.045908216,0.019896077,0.056019813,0.063010186,0.815267026,0.001069351,0.002079387,0.760991573,0.135865986,0.133410826,0.197581515,0.086927369,0.016351651,0.014734961,0.000891638,0.007485947,0.242069110,0.000145824,0.017912384,0.001159651,0.003164971,0.000295801,0.000281985,0.014486449,0.000136850,0.011490573,0.013296458,0.013537616,0.032865938,0.002603350,0.001409565,0.001553560,0.018975783,0.000157144,0.003022859,0.072194465,0.146927908,0.056149457,0.250763416,0.001469122,0.002515061,0.000000482,0.000001647
0.000001109,0.015984025,0.023958266,0.211675748,0.078305990,0.037446856,0.000108313,0.000000948,0.000000515,0.046510957,0.020884696,0.063538402,0.070481248,0.820771396,0.000965347,0.002063103,0.763368130,0.119069651,0.116838709,0.191703409,0.093764834,0.015879663,0.014261440,0.000805659,0.007018664,0.241726622,0.000157040,0.019514792,0.001067112,0.004121255,0.000493495,0.000448816,0.009947825,0.000132291,0.011203887,0.012125446,0.015360184,0.046877246,0.001936219,0.001362105,0.002160069,0.020660596,0.000219433,0.003109060,0.052880060,0.120076030,0.053188086,0.217487857,0.001211107,0.002173642,0.000000429,0.000001818
0.000001125,0.010226159,0.014633480,0.254852414,0.105503872,0.041315500,0.000127399,0.000000908,0.000000486,0.046313919,0.027209003,0.073092803,0.078797780,0.741908550,0.001710475,0.003266488,0.673488617,0.106744803,0.108805247,0.190066293,0.117260419,0.017857825,0.011423111,0.000896498,0.006207766,0.263127029,0.000238377,0.018132117,0.001506791,0.003296347,0.000397062,0.000381194,0.008276442,0.000218758,0.010619255,0.012633957,0.016655985,0.041545473,0.001611077,0.000674831,0.002108555,0.018935304,0.000236549,0.003217622,0.098959617,0.208197206,0.052642737,0.279203862,0.001257732,0.002003687,0.000000428,0.000001726
0.000000997,0.006293909,0.009858836,0.238242269,0.176433265,0.060620304,0.000135517,0.000000874,0.000000531,0.045181829,0.024793634,0.066820845,0.071682014,0.774769902,0.001621500,0.002439713,0.715338588,0.118081853,0.115257382,0.193855584,0.091539718,0.018219002,0.011762907,0.001101231,0.007100370,0.268040657,0.000226132,0.015003005,0.000957937,0.004499308,0.000646273,0.000597085,0.006989318,0.000108142,0.015837628,0.015509712,0.012139185,0.046182487,0.001241976,0.001161644,0.001956113,0.024701891,0.000202075,0.002863968,0.049241409,0.128873229,0.063121408,0.378634930,0.001191859,0.002640405,0.000000597,0.000001656
0.000001398,0.009113305,0.016282845,0.188091055,0.161681682,0.054809313,0.000134780,0.000000953,0.000000449,0.062175676,0.038769651,0.113487065,0.121948369,0.770325065,0.001462043,0.002781855,0.697538853,0.067302726,0.062404145,0.196376368,0.118457548,0.014246580,0.007516527,0.000751215,0.006803458,0.260815412,0.000232446,0.016050039,0.001121520,0.003661027,0.001508967,0.001453691,0.004651812,0.000159173,0.010155730,0.010648341,0.017744957,0.056669921,0.000922841,0.000705972,0.003272902,0.024573376,0.000449472,0.004484306,0.035847478,0.084302522,0.044969004,0.255666047,0.001329989,0.002573490,0.000000556,0.000002307
0.000002747,0.002176102,0.004129485,0.310914516,0.400402635,0.124069497,0.000657181,0.000000695,0.000000432,0.575063944,0.751618862,0.716904879,0.678302526,0.155946463,0.043621108,0.050174646,0.143497169,0.007809461,0.003090597,0.499143302,0.452504605,0.002184716,0.000047008,0.001864733,0.016018696,0.314223230,0.000323535,0.011646565,0.002556569,0.005123088,0.000787340,0.000614361,0.006201171,0.000192254,0.035671480,0.057400562,0.042467136,0.053117938,0.000621096,0.000988354,0.004581553,0.032225806,0.000526684,0.004827561,0.241455182,0.359350771,0.057467654,0.242653668,0.010859556,0.019208504,0.000002112,0.000002680
0.000002125,0.000539448,0.001631388,0.429821283,0.619232059,0.188778684,0.000669128,0.000000720,0.000000542,0.637812018,0.759784102,0.792468429,0.763888121,0.168808237,0.045941293,0.040756546,0.157781869,0.004758514,0.002134014,0.542920172,0.440454215,0.001994681,0.000051485,0.001988762,0.014770314,0.357011259,0.000541233,0.009486188,0.004387966,0.005710111,0.000545849,0.000504161,0.005916378,0.000259252,0.033618547,0.055466492,0.037596170,0.057654995,0.000587933,0.000984970,0.003677082,0.028717337,0.000553414,0.004780768,0.192097828,0.326843381,0.029615385,0.242400825,0.010831571,0.019296777,0.000002913,0.000002793
0.000002399,0.000349928,0.000787674,0.532973289,0.653689921,0.241358012,0.000908322,0.000000836,0.000000518,0.625164270,0.733233809,0.771671057,0.745714188,0.233450383,0.037733801,0.022528732,0.212588280,0.006086749,0.002776328,0.540278077,0.485348165,0.002356190,0.000078780,0.001981915,0.016360281,0.472679853,0.001156710,0.011738305,0.006727661,0.009320521,0.000354261,0.000313077,0.006481719,0.000430081,0.043181315,0.068573020,0.037863575,0.080263808,0.000798693,0.000772250,0.003734437,0.034030881,0.000637994,0.003356659,0.417062789,0.638467610,0.011201621,0.116601638,0.007017554,0.011583105,0.000002266,0.000003388
