_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000004799,0.326202989,0.398755461,0.000843105,0.004495507,0.002337864,0.000032149,0.000000094,0.000000144,0.263726890,0.327118754,0.097000062,0.129260331,0.005908500,0.377259016,0.380403280,0.009231564,0.112684175,0.089590043,0.718223572,0.420716137,0.003338075,0.000656189,0.000015652,0.000120684,0.026325487,0.000953085,0.008046806,0.059892606,0.081861138,0.000007375,0.000008220,0.000470129,0.000612787,0.000095889,0.000119784,0.155980572,0.048554622,0.019652093,0.010278456,0.140158430,0.080243230,0.184433624,0.015622017,0.000488807,0.000307520,0.000090963,0.000105447,0.000164690,0.000180587,0.000000208,0.000000186
0.000002168,0.142630547,0.333505899,0.001763490,0.013969857,0.002768133,0.000016226,0.000000045,0.000000112,0.265731543,0.350113124,0.092784382,0.111577094,0.007284290,0.345052570,0.350056827,0.010080257,0.106057867,0.096429206,0.553702235,0.319847405,0.003395048,0.000649885,0.000009561,0.000547834,0.015515450,0.000256890,0.003918954,0.045535371,0.115602545,0.000002458,0.000002777,0.000630492,0.001070417,0.000068075,0.000056373,0.093314715,0.052753318,0.057516981,0.010291949,0.081103414,0.063258909,0.172195375,0.015930992,0.000274614,0.000218446,0.000046327,0.000057843,0.000092080,0.000128542,0.000000345,0.000000107
0.000002218,0.066664532,0.565406322,0.000926611,0.010953970,0.001164414,0.000016595,0.000000054,0.000000070,0.366267860,0.327477127,0.228517100,0.249416128,0.022370705,0.230738088,0.235392436,0.015565933,0.066075563,0.048705947,0.779870152,0.474278688,0.002554352,0.001218284,0.000003753,0.007023145,0.020656016,0.000077196,0.008564077,0.028061507,0.203481108,0.000001555,0.000000834,0.000774488,0.002591657,0.000014710,0.000012188,0.052571237,0.020330964,0.122060403,0.013404901,0.040905971,0.071543925,0.535282969,0.138224915,0.000371561,0.000271987,0.000114778,0.000008517,0.000512166,0.001548033,0.000000165,0.000000063
0.000002432,0.205560401,0.384776652,0.001838498,0.002718189,0.001086742,0.000061964,0.000000140,0.000000102,0.236373678,0.229490817,0.147660866,0.180270597,0.035059281,0.123841666,0.137476474,0.034169439,0.101255387,0.076504707,0.786404610,0.425620586,0.005887013,0.002453455,0.000044504,0.002669551,0.120471515,0.000858680,0.018622210,0.037551034,0.218157321,0.000000136,0.000000105,0.045655850,0.002172741,0.001191397,0.001296786,0.014803103,0.017779579,0.441015333,0.012437077,0.044719297,0.171219453,0.014046089,0.068861648,0.000077705,0.000135434,0.000007293,0.000009797,0.005513264,0.017043376,0.000000248,0.000000132
0.000001189,0.152279481,0.315182149,0.005936425,0.003702051,0.001624496,0.000040188,0.000000292,0.000000164,0.219146639,0.158275932,0.268524051,0.294193506,0.072530203,0.377685130,0.140540838,0.004600584,0.045346595,0.040219065,0.671452761,0.496041000,0.006262111,0.006176920,0.000058205,0.002606876,0.284152597,0.003677281,0.009209426,0.019509453,0.140580162,0.000001423,0.000001483,0.055348184,0.000617259,0.007526985,0.005878446,0.004112301,0.018384956,0.202760592,0.011779387,0.019239536,0.071324863,0.009741158,0.105651088,0.000071275,0.000188196,0.000009009,0.000040410,0.011892901,0.047468934,0.000000493,0.000000255
0.000001600,0.124356471,0.606838584,0.000599199,0.008365471,0.000493176,0.000207400,0.000000193,0.000000249,0.424168766,0.397524029,0.464202076,0.556096554,0.080599479,0.395025700,0.109431647,0.006374856,0.029682135,0.014766200,0.842093349,0.609972477,0.002070049,0.001520944,0.000225330,0.011655709,0.183317021,0.001097839,0.003016138,0.073438086,0.465641886,0.000001511,0.000001056,0.018810485,0.000380608,0.027691748,0.031478323,0.039486766,0.085437410,0.019334840,0.017977223,0.027283352,0.164518908,0.011433707,0.170542881,0.001085535,0.002640389,0.000035041,0.000036868,0.076657429,0.267338663,0.000000782,0.000000335
0.000003368,0.477295160,0.481142730,0.002616097,0.000848280,0.000687227,0.000090581,0.000000500,0.000000284,0.390046597,0.203312084,0.675982952,0.363246530,0.124922402,0.482848287,0.071756572,0.003631762,0.007582447,0.038212091,0.728948712,0.748683214,0.002168339,0.004086961,0.000131892,0.007011211,0.278244644,0.002226993,0.003659843,0.066984639,0.155591890,0.000002881,0.000003368,0.020338461,0.000295533,0.014893752,0.022506045,0.024146361,0.046816893,0.029235415,0.015708502,0.022265151,0.096957915,0.010442873,0.153639376,0.000495505,0.001054081,0.000016678,0.000138129,0.024815433,0.052950557,0.000000805,0.000000600
0.000000691,0.021095997,0.043089494,0.019018151,0.091130875,0.069042265,0.000100091,0.000000321,0.000000436,0.051724609,0.018968079,0.125528753,0.323977321,0.106970042,0.230154961,0.048021931,0.009279434,0.085456021,0.017402038,0.320667356,0.021061132,0.028269280,0.036622230,0.000170808,0.000847328,0.182758078,0.003372072,0.001788644,0.002710464,0.033407908,0.000094110,0.000096179,0.087891862,0.000796911,0.117798999,0.071905486,0.003830463,0.050489657,0.046821065,0.001014004,0.007930417,0.004974421,0.003826028,0.155403316,0.000713067,0.002904941,0.000147118,0.000645094,0.047585566,0.269276142,0.000001875,0.000000717
0.000001247,0.076666251,0.113021746,0.006077548,0.023599301,0.012620225,0.000086883,0.000000708,0.000000492,0.129766256,0.085811593,0.366188943,0.346895099,0.018995684,0.368312836,0.374130309,0.002625061,0.029648423,0.018243829,0.349745154,0.202816337,0.010687424,0.011708218,0.000304033,0.000765501,0.219935983,0.005503051,0.001841012,0.019264881,0.030641941,0.000045895,0.000081668,0.063763663,0.000086599,0.119217038,0.150409073,0.014288479,0.046792112,0.018527566,0.009835335,0.008484311,0.010066838,0.003142861,0.106078126,0.001327974,0.004022971,0.000074534,0.001999477,0.063725844,0.188460886,0.000002568,0.000001378
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
