_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001628,0.011507418,0.009501878,0.099972568,0.165678784,0.170111507,0.000243921,0.000000466,0.000000862,0.147376120,0.137828141,0.547029853,0.544845939,0.009326475,0.259349376,0.257334739,0.018250680,0.008887713,0.006001053,0.225214854,0.135336563,0.005439358,0.004112436,0.000310918,0.004898024,0.210919276,0.000592440,0.002188377,0.009711241,0.003031756,0.001574034,0.001182627,0.001258563,0.006522200,0.043128408,0.061776280,0.121323444,0.037332952,0.000509864,0.000033877,0.047053497,0.075240336,0.005086590,0.038770385,0.001912978,0.000902601,0.004151650,0.000834544,0.007279092,0.006902073,0.000001954,0.000003241
0.000001758,0.006228664,0.005146727,0.214885592,0.189411312,0.191738665,0.000230925,0.000000548,0.000001043,0.132479072,0.120237865,0.512816310,0.508359194,0.007827953,0.280989349,0.265745401,0.018707642,0.009498751,0.007005712,0.165260926,0.149255872,0.005902932,0.004615706,0.000373965,0.004277300,0.211497590,0.000637955,0.002425880,0.012857663,0.002800138,0.001499685,0.001304617,0.001691247,0.018132618,0.041355636,0.056496110,0.100865863,0.040436894,0.000613559,0.000012490,0.039856203,0.062621221,0.003849373,0.038050696,0.002807684,0.001477501,0.004085753,0.001517517,0.007455920,0.007349131,0.000001941,0.000003314
0.000001682,0.004366609,0.003906935,0.229974166,0.247490585,0.206690773,0.000265529,0.000000635,0.000000766,0.109317489,0.149905130,0.517248511,0.515995026,0.009703192,0.251689255,0.244359180,0.020796645,0.009583157,0.007327699,0.178369507,0.234111339,0.006782899,0.004038384,0.000406551,0.003102477,0.205858082,0.000684738,0.002316631,0.009331173,0.003717300,0.001896829,0.001383970,0.001448030,0.008936353,0.048132978,0.060174070,0.119867265,0.054837320,0.000336860,0.000021970,0.030403376,0.058976211,0.003349689,0.039804377,0.005877061,0.003343299,0.007711262,0.001498184,0.011007148,0.013815516,0.000001736,0.000003329
0.000001463,0.004045445,0.003473888,0.276898116,0.219826624,0.215959370,0.000316407,0.000000533,0.000001208,0.138581038,0.152273163,0.524128675,0.521841526,0.009949605,0.265327811,0.258207053,0.018780779,0.009574806,0.007270824,0.174121052,0.206960142,0.005632759,0.003816245,0.000677730,0.005336246,0.201999232,0.000537208,0.001728009,0.015447075,0.002812903,0.001701324,0.001479527,0.001502668,0.025447633,0.098025374,0.126248270,0.136946097,0.059662186,0.000268657,0.000006733,0.029046386,0.075286046,0.002010215,0.026955368,0.007079354,0.003682447,0.008278390,0.002599675,0.010794258,0.009053492,0.000002493,0.000003735
0.000001894,0.000845832,0.000938060,0.492172956,0.390086859,0.343604088,0.000233360,0.000000659,0.000001060,0.199636564,0.264087856,0.499853432,0.481688678,0.020819079,0.147926480,0.164135352,0.036052864,0.011964194,0.008815090,0.217395470,0.250626683,0.004153393,0.001547187,0.000288709,0.002783873,0.208991319,0.001351587,0.001979249,0.011992025,0.001443034,0.000916531,0.001072018,0.001508192,0.003293675,0.051693209,0.094993733,0.145792842,0.029127441,0.001087254,0.000124374,0.043622263,0.109382860,0.004977710,0.036952667,0.001011252,0.000494541,0.001670444,0.002347284,0.011461610,0.007409955,0.000003728,0.000002658
0.000002039,0.000208411,0.000175158,0.744654596,0.513472319,0.496748298,0.000204466,0.000001191,0.000001439,0.244119674,0.240277052,0.472533911,0.466509372,0.016896082,0.169632643,0.182652652,0.033227418,0.012423095,0.010016384,0.226167560,0.267196476,0.003312920,0.001902516,0.000296240,0.003681817,0.218928739,0.001171745,0.003065777,0.006920573,0.000986855,0.003619087,0.004387641,0.001259747,0.004879660,0.036814705,0.066400565,0.113070965,0.026573684,0.001682259,0.000067361,0.061532557,0.088286407,0.007138745,0.025852978,0.000525907,0.000239651,0.002564251,0.004038225,0.003864344,0.002538099,0.000003643,0.000002691
0.000002738,0.000333820,0.000222045,0.684407175,0.416081995,0.505393028,0.000234244,0.000000907,0.000001418,0.507291079,0.539303422,0.589491129,0.573960781,0.013248716,0.259855062,0.248217896,0.022911083,0.010752693,0.007196755,0.450940967,0.317489326,0.001251922,0.000357557,0.000276322,0.002897639,0.199909091,0.001376212,0.004417724,0.008167868,0.000873337,0.003284517,0.003675639,0.001316383,0.004578238,0.016722398,0.047726355,0.122251309,0.020348158,0.001722985,0.000083741,0.052781276,0.068663456,0.006767590,0.025420832,0.000923303,0.000406157,0.002904601,0.005163544,0.004052540,0.002549662,0.000003623,0.000002081
0.000001852,0.000072032,0.000056891,0.878405213,0.669658422,0.734349251,0.000427699,0.000004704,0.000002482,0.795977533,0.729903877,0.885971248,0.888855100,0.062407490,0.136990339,0.124483474,0.038212109,0.001479463,0.001203063,0.439452082,0.455309361,0.000377631,0.000225006,0.000924558,0.002800438,0.153972596,0.002829106,0.001629039,0.012114102,0.002879373,0.007503795,0.006051872,0.003851121,0.005908523,0.106069922,0.217730701,0.116949707,0.032278672,0.001192195,0.000079297,0.023974719,0.024019767,0.005483821,0.082908928,0.010698668,0.005357741,0.016548596,0.006219197,0.070658967,0.050564297,0.000010770,0.000003719
0.000001070,0.000042686,0.000035004,0.907753110,0.708989859,0.766128182,0.000495079,0.000003296,0.000001115,0.754845619,0.704217911,0.834492385,0.836430490,0.047537420,0.155015558,0.148547396,0.033552036,0.002777660,0.001914513,0.463311374,0.403248340,0.000538407,0.000265374,0.000928462,0.001480025,0.161539242,0.004403222,0.001615323,0.006887491,0.006693903,0.005173672,0.003430590,0.004093927,0.002958768,0.169745326,0.240592286,0.060232133,0.035523761,0.001468258,0.000118435,0.018675078,0.014646248,0.003569242,0.049833402,0.010249144,0.007454330,0.013844840,0.003508855,0.063476525,0.067849286,0.000006695,0.000002087
0.000001417,0.000176780,0.000096438,0.755484223,0.556244016,0.662455618,0.000335675,0.000004310,0.000000876,0.753383696,0.609472573,0.705540538,0.719033420,0.028938705,0.222586408,0.220618814,0.021415906,0.006261360,0.005825066,0.544841468,0.472822934,0.000483277,0.000474025,0.000601899,0.002060272,0.348081976,0.002578175,0.002366400,0.008243054,0.001370329,0.048465367,0.046304241,0.005721951,0.008113557,0.053393781,0.101115048,0.026522895,0.008279867,0.003087187,0.000014561,0.009163290,0.003351931,0.002560705,0.056909680,0.012701068,0.006538518,0.042917285,0.020476088,0.043750614,0.031507161,0.000004946,0.000003108
