_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001169,0.000545053,0.000439453,0.507626772,0.332277417,0.219993129,0.000163841,0.000001517,0.000000722,0.267206550,0.218163908,0.560390115,0.540849030,0.012969200,0.252938837,0.270795166,0.013677996,0.015408789,0.010777900,0.439122766,0.312781066,0.003073946,0.003041118,0.000850011,0.004948310,0.262121290,0.000209328,0.008371519,0.006240795,0.002579291,0.021809714,0.024901228,0.003105108,0.000785471,0.045591995,0.071716160,0.082519129,0.040706426,0.000513415,0.000071625,0.015402532,0.014054347,0.001709412,0.005777201,0.007744507,0.005424311,0.018601021,0.029278787,0.008221563,0.006864739,0.000001654,0.000003539
0.000000877,0.000469527,0.000467802,0.539778471,0.345091224,0.213744685,0.000111034,0.000001533,0.000000677,0.252378851,0.185908228,0.441361457,0.424097419,0.017859397,0.249940678,0.269157887,0.010341926,0.022743843,0.020614401,0.429880559,0.428402364,0.002927714,0.003841208,0.000747100,0.006255818,0.287912518,0.000179014,0.006738239,0.005995614,0.001174053,0.028392481,0.035425082,0.004585977,0.001696797,0.039130382,0.069472119,0.036985256,0.013162140,0.001049645,0.000025778,0.008469944,0.008598300,0.000883642,0.005581013,0.005875738,0.003435370,0.024184706,0.037573814,0.008450555,0.007029370,0.000001763,0.000002675
0.000001152,0.000349649,0.000257903,0.576559246,0.392474145,0.295132279,0.000109665,0.000001867,0.000000857,0.211566165,0.135131344,0.384096414,0.377434462,0.014526048,0.263222903,0.278157175,0.010935862,0.028646817,0.024375536,0.428398550,0.346947789,0.004146231,0.006023062,0.000745943,0.003866724,0.261791408,0.000259846,0.007467635,0.005781045,0.001011872,0.033255257,0.047846712,0.003773852,0.001207137,0.032286715,0.060798023,0.041565396,0.014263391,0.000962358,0.000037697,0.013019711,0.012147010,0.001371707,0.005475456,0.003073337,0.001888285,0.016575539,0.054810695,0.006464938,0.005143390,0.000001938,0.000003050
0.000001577,0.000394483,0.000281170,0.546868205,0.361149967,0.271357238,0.000100201,0.000002290,0.000000809,0.208507821,0.126698405,0.359555691,0.351674259,0.017454315,0.218918622,0.229481563,0.014091682,0.030171359,0.027182838,0.424761951,0.380738050,0.003844441,0.005888333,0.000534021,0.002995759,0.258436531,0.000360193,0.007365801,0.006180726,0.000834187,0.040457200,0.059089608,0.003559042,0.000868105,0.024436601,0.048970770,0.053543426,0.013794345,0.001054572,0.000059822,0.017000841,0.011775596,0.002546527,0.009200576,0.002435133,0.001398958,0.013141668,0.038248114,0.007151600,0.005251112,0.000001912,0.000003496
0.000000872,0.000270292,0.000166320,0.607467294,0.431705445,0.316931337,0.000053274,0.000001262,0.000000710,0.207437456,0.127740830,0.326317847,0.328415811,0.015567159,0.251326442,0.263905793,0.011710370,0.036044419,0.030674538,0.437693506,0.316486418,0.003984522,0.006083153,0.000445789,0.002770572,0.180938691,0.000302948,0.009746225,0.003998090,0.000576556,0.006886898,0.011229060,0.005971133,0.000770221,0.015834777,0.032079194,0.028724646,0.008029313,0.003843283,0.000135191,0.013743969,0.014319615,0.001209707,0.003950965,0.000699433,0.000435953,0.004103285,0.027010711,0.001733580,0.001242090,0.000001818,0.000001811
0.000000535,0.000804069,0.000806809,0.431716591,0.289241999,0.162101239,0.000024789,0.000000472,0.000000388,0.292672336,0.256009012,0.433967263,0.415617019,0.012838118,0.305348933,0.320955187,0.008942686,0.026778081,0.021344954,0.499143869,0.376597047,0.002424661,0.002412688,0.000165661,0.002940454,0.143638879,0.000346262,0.016737998,0.001178506,0.000659025,0.004627031,0.006443308,0.002131883,0.000992494,0.005682498,0.008379391,0.008727347,0.006939620,0.009991298,0.000167410,0.021529149,0.030499781,0.001790545,0.001728144,0.000064202,0.000055581,0.001257783,0.008928561,0.000160069,0.000177692,0.000001073,0.000000901
0.000000316,0.000882210,0.000743492,0.426313519,0.281760871,0.200931683,0.000012458,0.000000102,0.000000183,0.364214122,0.378487796,0.526016355,0.497840077,0.020043485,0.283932388,0.306556284,0.008494423,0.019951863,0.013471665,0.467999697,0.337575823,0.001818419,0.000994171,0.000059846,0.001345278,0.030704316,0.000163037,0.011632391,0.001323072,0.003080801,0.000759943,0.000837289,0.000497601,0.003761874,0.001194573,0.000876742,0.017033927,0.038341757,0.010698829,0.000140432,0.025398454,0.048421200,0.004109422,0.000541516,0.000084938,0.000105569,0.000826672,0.002517700,0.000018335,0.000031541,0.000000686,0.000000238
0.000000275,0.001254152,0.000995074,0.374744534,0.282062620,0.183829769,0.000012831,0.000000094,0.000000149,0.356221467,0.375964314,0.507629752,0.487230390,0.011720837,0.316469073,0.327691197,0.011584628,0.020676373,0.015051117,0.441803396,0.344591051,0.001808634,0.001033755,0.000068343,0.001151829,0.029457269,0.000197614,0.010357717,0.000973963,0.003836569,0.000476335,0.000453144,0.000628983,0.001338459,0.001341492,0.000973764,0.014981062,0.029431369,0.014869614,0.000471445,0.020170232,0.045055393,0.002888241,0.000492445,0.000068366,0.000085941,0.000696752,0.001423042,0.000015912,0.000031211,0.000000681,0.000000251
0.000000285,0.000384581,0.000188704,0.590303481,0.408318400,0.428964585,0.000020029,0.000000166,0.000000271,0.722645700,0.631326735,0.725424170,0.727618933,0.093705408,0.146913737,0.078874789,0.030085137,0.007073471,0.004912856,0.535264611,0.426518589,0.000423120,0.000327605,0.000120184,0.001579408,0.028137082,0.000226610,0.011484941,0.001684480,0.004494354,0.000359314,0.000358713,0.001026086,0.006842056,0.001974916,0.001650829,0.009570788,0.026521135,0.023807069,0.000146976,0.013221048,0.031448822,0.001733775,0.000807976,0.000211695,0.000298323,0.001067427,0.003263076,0.000059704,0.000088616,0.000001227,0.000000239
0.000000309,0.000977016,0.000367050,0.534459233,0.303286582,0.394615233,0.000028751,0.000000172,0.000000462,0.701761544,0.673025846,0.739974976,0.751672626,0.076868147,0.179560363,0.104465790,0.019872908,0.005719903,0.003853082,0.413447499,0.519754469,0.000428499,0.000251478,0.000287108,0.001920866,0.032876797,0.000252949,0.005727151,0.006482112,0.001807667,0.000172503,0.000222428,0.002787937,0.007646362,0.006189786,0.011760783,0.016151335,0.009010527,0.031358864,0.000095963,0.007197825,0.019994272,0.000357357,0.000799953,0.000444577,0.000373448,0.001040647,0.006622647,0.000158715,0.000126404,0.000002584,0.000000351
0.000000262,0.000544746,0.000398932,0.523156583,0.361871690,0.372479528,0.000054632,0.000000262,0.000000409,0.634812236,0.600241125,0.719358921,0.726537466,0.042246185,0.205000699,0.195298880,0.012655639,0.006008839,0.004703166,0.433264911,0.496093959,0.000582159,0.000303051,0.000375518,0.003550680,0.156251311,0.000600123,0.007107601,0.006926245,0.002603744,0.000098667,0.000111315,0.012408542,0.006751711,0.030202692,0.060257897,0.011384130,0.006627245,0.034265034,0.000080862,0.006780250,0.020609330,0.000194614,0.001677433,0.000519772,0.000405200,0.000787237,0.002566574,0.000963967,0.000836130,0.000002062,0.000000414
0.000000590,0.000964319,0.001202703,0.379520923,0.337132454,0.274334103,0.000090422,0.000001643,0.000000935,0.687104046,0.607356429,0.771830320,0.784176886,0.035947617,0.288213521,0.247823507,0.007086034,0.004132535,0.004026999,0.384001762,0.596759200,0.000444415,0.000412690,0.000776672,0.006350603,0.200943246,0.000375620,0.003412052,0.002389472,0.000761495,0.042855300,0.043611139,0.006787067,0.013205281,0.047736097,0.086156867,0.007141585,0.004579986,0.005509613,0.000005222,0.004631254,0.005824274,0.000336379,0.009353507,0.004134009,0.002746799,0.049256343,0.074309707,0.005894458,0.006739369,0.000004553,0.000002230
0.000000880,0.002931153,0.003482288,0.288497657,0.183687344,0.147747919,0.000122497,0.000001490,0.000000790,0.642126143,0.584612608,0.733540177,0.731614828,0.036259837,0.197039321,0.192844138,0.013380958,0.005402965,0.004994632,0.453347772,0.511996508,0.000477275,0.000416771,0.000739304,0.004492287,0.131111592,0.000173641,0.002866053,0.003898325,0.000971395,0.043055784,0.037769571,0.005258725,0.006969489,0.039131328,0.078834198,0.020383310,0.008256907,0.003122400,0.000009703,0.007849788,0.004826026,0.000688615,0.016145622,0.011120891,0.006573687,0.067986645,0.044414140,0.016752604,0.015935879,0.000002976,0.000002592
0.000000530,0.003941762,0.003963176,0.276136994,0.154024526,0.098148115,0.000044028,0.000000280,0.000000368,0.578309655,0.422843635,0.573112488,0.568385065,0.014179435,0.341146499,0.349775404,0.007468929,0.011462853,0.013136870,0.476933718,0.507887483,0.000593121,0.000615382,0.000317202,0.002075099,0.033521317,0.000067883,0.004108019,0.003680708,0.001835133,0.004181773,0.002939914,0.001367616,0.002137241,0.005267150,0.009181652,0.052096739,0.017924912,0.001716466,0.000068853,0.007557928,0.007976543,0.000825612,0.003168888,0.007181256,0.004580323,0.024802811,0.007180525,0.000880708,0.000948392,0.000001078,0.000000831
0.000000540,0.005467319,0.005919664,0.163129732,0.145050466,0.096498676,0.000015633,0.000000162,0.000000359,0.606768370,0.517659009,0.661160886,0.669222295,0.022647981,0.280320853,0.307837963,0.007629719,0.007358048,0.008529099,0.443809211,0.545374930,0.000527772,0.000368005,0.000095320,0.003319790,0.022190573,0.000068999,0.003576365,0.004931783,0.000877085,0.000866770,0.001000860,0.002195696,0.010679345,0.001371958,0.002712219,0.015594324,0.005609040,0.022158897,0.000047738,0.008423191,0.009082830,0.002322035,0.005908804,0.000485490,0.000317447,0.001503413,0.003686171,0.000618474,0.000454871,0.000001543,0.000000494
0.000000497,0.004470472,0.004493291,0.279996783,0.136227325,0.089318447,0.000014845,0.000000118,0.000000238,0.535999775,0.516456306,0.593371034,0.580277860,0.018300649,0.287347823,0.300391704,0.010676856,0.013234841,0.012392564,0.549512744,0.540098071,0.000820441,0.000428717,0.000059689,0.004159492,0.026185341,0.000054186,0.006558278,0.002187231,0.001517118,0.001201469,0.001254817,0.000607827,0.006551943,0.000856020,0.001033389,0.015666090,0.011883067,0.014185556,0.000081489,0.022180976,0.022225268,0.004497269,0.002008562,0.000134522,0.000107261,0.001186454,0.002145551,0.000079637,0.000081855,0.000000805,0.000000392
0.000000444,0.005241490,0.005920982,0.170717269,0.125190988,0.094356507,0.000017753,0.000000158,0.000000323,0.577112794,0.443058729,0.606926918,0.613698483,0.032714631,0.187110960,0.197509125,0.015442298,0.009716764,0.010591001,0.514491200,0.447728604,0.000648289,0.000594018,0.000080444,0.007519904,0.054840285,0.000099674,0.009057322,0.002903208,0.000746677,0.000472561,0.000549041,0.002790036,0.023361245,0.002100398,0.002720203,0.006863799,0.004948859,0.052108917,0.000028522,0.016279852,0.021638773,0.002140755,0.003570882,0.000073888,0.000049052,0.000639746,0.001466137,0.000197511,0.000126023,0.000001061,0.000000449
0.000000282,0.002269206,0.003409741,0.216437057,0.156759128,0.083746538,0.000027809,0.000000236,0.000000243,0.585545719,0.381516457,0.568702817,0.570167065,0.045833029,0.199672073,0.185246959,0.011593679,0.012223726,0.010809446,0.576753139,0.328406543,0.000662524,0.000801195,0.000143818,0.010237107,0.125757754,0.000170705,0.014841350,0.001464710,0.003494499,0.000338023,0.000255806,0.006665886,0.003964495,0.008056368,0.006107801,0.006868408,0.012140769,0.018322393,0.000128990,0.015587261,0.045109607,0.000930962,0.003354296,0.000165921,0.000156494,0.001212948,0.000521234,0.000285731,0.000339860,0.000000772,0.000000388
0.000000245,0.001201418,0.002393899,0.370864868,0.221699655,0.082935065,0.000016195,0.000000206,0.000000193,0.551563501,0.413209796,0.624769568,0.617184401,0.034729492,0.182666510,0.188703910,0.016797669,0.009441452,0.008827848,0.460506827,0.344274640,0.000745074,0.000715999,0.000075602,0.008726913,0.069628030,0.000166852,0.015895208,0.001133529,0.002525245,0.000208736,0.000166913,0.005587758,0.002577298,0.002931127,0.002070214,0.005769036,0.007687903,0.090667054,0.000498132,0.016188467,0.034230109,0.001938139,0.002863976,0.000051555,0.000044445,0.000672089,0.000328979,0.000079824,0.000100476,0.000000960,0.000000245
0.000000212,0.000970889,0.003077236,0.316864043,0.297805995,0.109216049,0.000015615,0.000000208,0.000000194,0.632805586,0.478505820,0.710699677,0.717569530,0.066388346,0.124717049,0.108436011,0.028133370,0.005524846,0.005754780,0.484896034,0.460157901,0.000564760,0.000476197,0.000069671,0.008520188,0.058509886,0.000184827,0.010132694,0.001742680,0.003782752,0.000070872,0.000058391,0.010126058,0.009021732,0.003674670,0.002520916,0.003450233,0.008500054,0.230896756,0.000259209,0.015496466,0.023703685,0.002122026,0.004332187,0.000039927,0.000038872,0.000295439,0.000219787,0.000179604,0.000235466,0.000001020,0.000000205
0.000000178,0.000590134,0.000914638,0.481668442,0.310610175,0.167382509,0.000019390,0.000000241,0.000000240,0.613565564,0.456877112,0.744149268,0.748309612,0.076564677,0.105827592,0.085448094,0.042408131,0.005237970,0.004266235,0.528097630,0.400181979,0.000726725,0.000650875,0.000096270,0.012062176,0.097575270,0.000288010,0.012665623,0.001837882,0.003132664,0.000057137,0.000058343,0.008606954,0.006693443,0.006053820,0.004807484,0.002278790,0.005526030,0.309026688,0.000308236,0.031642508,0.064377315,0.001584243,0.001533744,0.000008561,0.000007725,0.000112205,0.000201429,0.000070413,0.000079847,0.000001085,0.000000209
0.000000182,0.000434328,0.000437600,0.591828227,0.340369046,0.237244487,0.000022794,0.000000204,0.000000211,0.662121594,0.650400877,0.809578538,0.804585040,0.039968029,0.243693888,0.232533351,0.009742626,0.004057582,0.002254571,0.458432078,0.432467788,0.000680502,0.000229065,0.000087318,0.020818781,0.075679943,0.000149093,0.011498852,0.001580024,0.004567587,0.000085127,0.000066883,0.008015607,0.009149200,0.005001184,0.003548939,0.004017510,0.008127726,0.201253533,0.000263746,0.025919694,0.066789970,0.001887644,0.002336519,0.000023573,0.000020241,0.000421326,0.000162116,0.000085702,0.000138530,0.000001410,0.000000145
0.000000205,0.000330015,0.000381823,0.582619190,0.362539440,0.215561301,0.000023494,0.000000257,0.000000210,0.686087370,0.644230247,0.805215955,0.806500375,0.080730431,0.205785945,0.100305915,0.016078180,0.003901985,0.002111852,0.427721620,0.439837992,0.000608171,0.000216442,0.000103352,0.019944403,0.079751998,0.000150063,0.011471783,0.001041797,0.006270749,0.000135030,0.000098740,0.008232263,0.010038618,0.005596585,0.003206964,0.003174735,0.012078000,0.131241336,0.000229188,0.026134109,0.074694321,0.002128366,0.003902007,0.000032621,0.000034123,0.000490670,0.000195057,0.000140576,0.000254671,0.000001333,0.000000179
0.000000216,0.000448712,0.000423928,0.558965921,0.325484246,0.228640273,0.000022076,0.000000224,0.000000241,0.729261160,0.627984285,0.799108803,0.803768933,0.079956941,0.208854258,0.104655780,0.015802937,0.003974970,0.002392705,0.464911520,0.428551227,0.000525116,0.000238877,0.000109143,0.019408625,0.070850253,0.000115402,0.010256045,0.001307964,0.003432215,0.000205542,0.000171717,0.005873020,0.017207041,0.004886588,0.003438656,0.003180709,0.008469988,0.130177513,0.000104843,0.023759671,0.056066282,0.002112947,0.003142851,0.000030803,0.000027637,0.000519478,0.000310687,0.000129864,0.000206744,0.000001459,0.000000193
0.000000284,0.000619212,0.000480341,0.567320228,0.295057923,0.220402777,0.000017209,0.000000272,0.000000210,0.649314821,0.586037993,0.762562037,0.751662970,0.063846044,0.154680237,0.116485097,0.021888999,0.005623097,0.003418772,0.512379527,0.345905006,0.000630610,0.000315756,0.000078502,0.005171710,0.030814053,0.000136242,0.006235240,0.000470314,0.001652315,0.002585097,0.001903208,0.001197610,0.002517829,0.002317674,0.001672064,0.007962371,0.014466317,0.028749913,0.000320186,0.020263692,0.030093072,0.005376440,0.003007438,0.000050496,0.000048668,0.002283337,0.001087423,0.000078296,0.000133653,0.000001731,0.000000303
0.000000228,0.001186732,0.001033626,0.462213784,0.254377246,0.172745481,0.000009841,0.000000120,0.000000164,0.564139009,0.554122806,0.732154846,0.725369036,0.027981084,0.209159762,0.212908819,0.017311212,0.005936661,0.003999598,0.403703898,0.294888049,0.000827513,0.000412508,0.000046228,0.002597471,0.020045400,0.000200739,0.005329725,0.000972651,0.001917179,0.000228464,0.000237028,0.001315846,0.002785465,0.001026795,0.000763224,0.007806174,0.011253457,0.099764973,0.000699415,0.017084092,0.034252048,0.004931774,0.001545234,0.000022725,0.000023407,0.000315330,0.000681022,0.000026583,0.000041188,0.000001812,0.000000188
0.000000311,0.001547103,0.001572759,0.384534180,0.216966271,0.127193168,0.000009875,0.000000136,0.000000230,0.581091464,0.437988937,0.662670195,0.666898310,0.032864965,0.225428075,0.231467366,0.011519367,0.007965160,0.006765632,0.488214433,0.380451739,0.000775802,0.000663607,0.000040452,0.004701087,0.034986246,0.000138145,0.011290033,0.001659903,0.001865565,0.000303498,0.000327044,0.000907382,0.006137819,0.000878527,0.000725241,0.010789988,0.011529053,0.067685090,0.000243186,0.035144627,0.052991353,0.007043916,0.001253627,0.000022297,0.000017995,0.000363299,0.000632935,0.000021275,0.000024799,0.000001002,0.000000209
