_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002880,0.012495670,0.014897789,0.208414435,0.070482701,0.054042906,0.000487168,0.000001158,0.000000295,0.629111230,0.698330045,0.718126297,0.685785294,0.037376102,0.128100067,0.121691585,0.027585378,0.006651668,0.004248938,0.668135762,0.645698309,0.000551672,0.000171472,0.000495495,0.002612225,0.285336077,0.000539481,0.022069566,0.004021288,0.052680541,0.000126013,0.000051270,0.005676679,0.000937113,0.030359345,0.037662216,0.050241977,0.077951171,0.002606868,0.000834207,0.012469513,0.076614290,0.001656039,0.009382878,0.588261843,0.638365388,0.017286796,0.002876805,0.017538726,0.049617134,0.000000559,0.000001969
0.000002145,0.011825252,0.017164428,0.178839386,0.071785338,0.049080789,0.000394233,0.000000965,0.000000222,0.622992098,0.673074484,0.715526700,0.673940182,0.041253891,0.124692507,0.116452076,0.028083388,0.006861479,0.004557256,0.629322171,0.598823309,0.000594608,0.000191981,0.000492982,0.001562097,0.250000507,0.000731414,0.019337712,0.004194388,0.061133668,0.000060852,0.000024753,0.008975383,0.000847224,0.029081251,0.035019148,0.039008375,0.064841181,0.004731914,0.001096819,0.009727778,0.056816034,0.001169409,0.009507687,0.537363529,0.605837643,0.010123897,0.001700782,0.015331241,0.046641666,0.000000523,0.000001439
0.000001987,0.012125229,0.015051562,0.156960353,0.080930538,0.061112057,0.000392064,0.000000872,0.000000201,0.627333999,0.690588236,0.726079822,0.687278390,0.039556298,0.129159123,0.122373246,0.027123937,0.006558188,0.004179405,0.627437651,0.579436421,0.000589920,0.000182495,0.000493579,0.001484498,0.256738394,0.000804750,0.020347295,0.004178399,0.056163557,0.000047035,0.000019473,0.010341639,0.001010990,0.028438220,0.033575382,0.036302507,0.058370959,0.005568177,0.000985423,0.008422812,0.058768883,0.000948815,0.008118617,0.560077906,0.618725061,0.008925717,0.001441620,0.013738791,0.038832337,0.000000540,0.000001369
0.000001995,0.021655221,0.024520548,0.118721440,0.059450224,0.047134172,0.000390698,0.000000666,0.000000199,0.660548329,0.700034857,0.749358892,0.712650120,0.037996940,0.127512932,0.122123100,0.028394185,0.005514256,0.003631765,0.654767394,0.591586828,0.000515334,0.000159285,0.000513920,0.001860384,0.248330489,0.000683013,0.021043751,0.006000032,0.088309787,0.000027389,0.000010987,0.009133811,0.001565209,0.027712163,0.030476803,0.042912312,0.075634241,0.004614281,0.000666371,0.009199319,0.070270672,0.000772442,0.006939068,0.491791993,0.562443137,0.007831854,0.001163250,0.008251637,0.023716550,0.000000466,0.000001290
0.000001939,0.022379315,0.024547674,0.119158521,0.061352428,0.047220699,0.000382870,0.000000972,0.000000190,0.661229253,0.711175561,0.764653504,0.731781721,0.047103118,0.115270875,0.104685746,0.031446122,0.005023031,0.003320062,0.630864024,0.597865343,0.000495026,0.000165975,0.000487882,0.001847719,0.259935141,0.000656284,0.020868830,0.003821255,0.082293272,0.000052932,0.000020246,0.010617166,0.000982826,0.030814026,0.030967224,0.032217961,0.062049858,0.006440851,0.001084900,0.008681975,0.046268940,0.001072033,0.009500478,0.518322110,0.603926659,0.010861765,0.001426622,0.015469216,0.046331372,0.000000518,0.000001436
0.000002433,0.015615535,0.021470040,0.165169105,0.056349184,0.037377127,0.000432700,0.000001031,0.000000202,0.600605249,0.659836054,0.718187094,0.670418978,0.034850512,0.128873646,0.126787871,0.028845923,0.007100592,0.004365989,0.656257629,0.577200353,0.000670630,0.000200250,0.000472405,0.001314252,0.231975198,0.000814890,0.017054858,0.004157771,0.075643592,0.000081904,0.000032552,0.007059027,0.000640649,0.030413153,0.031205934,0.035629280,0.066014059,0.004298730,0.001354631,0.012638443,0.058955360,0.001528305,0.011271499,0.522844255,0.612516999,0.008985941,0.001629113,0.016942320,0.054795593,0.000000489,0.000001611
0.000004380,0.017551556,0.020523956,0.145590529,0.069453411,0.049478322,0.000597101,0.000001656,0.000000446,0.651126206,0.724761426,0.773067057,0.741609752,0.026494168,0.163836285,0.163021579,0.021241944,0.004832002,0.002678970,0.651553869,0.637503386,0.000463619,0.000124157,0.000583748,0.001198806,0.182982758,0.000682053,0.015829939,0.005363807,0.075252227,0.000707896,0.000280656,0.002229391,0.000969589,0.033546802,0.036997646,0.071987487,0.133168176,0.001006612,0.000456662,0.034614921,0.057332803,0.004072786,0.014389422,0.469543010,0.521466732,0.053746872,0.008791723,0.017799979,0.052364785,0.000000669,0.000002566
0.000003626,0.010150246,0.012447743,0.233024821,0.073311098,0.048647631,0.000465184,0.000001911,0.000000469,0.675501168,0.674004436,0.735588789,0.712300420,0.055576876,0.120883331,0.091596566,0.031160740,0.005545439,0.004019137,0.690701604,0.664023042,0.000435561,0.000173800,0.000600478,0.002124323,0.201595858,0.000386208,0.016821049,0.003260541,0.056326494,0.000723947,0.000289573,0.002991748,0.000827428,0.030145919,0.032762483,0.044432558,0.105991676,0.001489242,0.000552578,0.027061420,0.047550764,0.003300558,0.012834099,0.483299255,0.593441606,0.037656117,0.010524478,0.017045077,0.050820902,0.000000589,0.000002341
0.000004874,0.016115911,0.021211782,0.150655776,0.077395767,0.046563055,0.000449647,0.000001883,0.000000479,0.685305655,0.712606907,0.768118978,0.743444562,0.037399374,0.141751319,0.129164517,0.023748828,0.004780426,0.002977970,0.720075488,0.691975892,0.000418642,0.000121924,0.000477076,0.000946231,0.138654977,0.000489674,0.014985912,0.003568440,0.067046523,0.000754206,0.000314613,0.002008700,0.000197013,0.017991979,0.023733551,0.064710453,0.106670819,0.001211253,0.003056102,0.029819058,0.046331633,0.004802612,0.016317818,0.445992142,0.529398441,0.042554218,0.011776045,0.020284630,0.066891611,0.000000721,0.000002619
0.000003911,0.013881587,0.015012696,0.190316007,0.078283057,0.051749304,0.000407729,0.000001568,0.000000496,0.704755545,0.701827884,0.781776786,0.758113444,0.040576145,0.151644960,0.125620410,0.020254329,0.003714444,0.002701879,0.646125555,0.646170199,0.000339501,0.000123444,0.000622524,0.000992198,0.129541695,0.000443802,0.012422609,0.011277374,0.135842770,0.000869901,0.000391386,0.001515888,0.000145913,0.026319699,0.033565860,0.139388055,0.168314800,0.000489847,0.003981129,0.023329526,0.027584288,0.004530427,0.019346897,0.177352935,0.210667446,0.026278947,0.005997731,0.024324525,0.067824990,0.000001181,0.000002373
