_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000008015,0.129288182,0.143831640,0.030059515,0.015371965,0.007077906,0.000339986,0.000001001,0.000000364,0.352429062,0.322441429,0.312082559,0.298952490,0.088718444,0.046925619,0.050830748,0.090069987,0.032500770,0.031438116,0.591809988,0.507637858,0.001616769,0.000682307,0.000304094,0.006110236,0.268106729,0.000128516,0.032311931,0.002651350,0.008060272,0.000527447,0.000401382,0.005397551,0.000298127,0.005992017,0.009395679,0.023343308,0.039783776,0.003579165,0.001062823,0.018779557,0.043736521,0.003001064,0.012371340,0.589791656,0.726214647,0.004107508,0.021676710,0.009639665,0.021296455,0.000000246,0.000005143
0.000005838,0.100417197,0.206017047,0.014107657,0.022625992,0.006304155,0.000595293,0.000000625,0.000000439,0.202590868,0.324035704,0.152634084,0.171815649,0.091822587,0.037769698,0.057618786,0.102586254,0.082822166,0.067549869,0.614934206,0.471281439,0.003704904,0.000828684,0.000522867,0.006111788,0.346554190,0.000206647,0.030997457,0.003771814,0.015653888,0.000642858,0.000429190,0.003572406,0.000062288,0.018519813,0.032538746,0.028498206,0.052727699,0.001346647,0.003072872,0.013420524,0.048915364,0.001507527,0.004732540,0.533360600,0.741500616,0.006886914,0.034655996,0.008019335,0.031912502,0.000000285,0.000004503
0.000004998,0.174057677,0.203782439,0.018215001,0.011361945,0.005436685,0.000453847,0.000000451,0.000000306,0.299254835,0.356865287,0.276685894,0.275413543,0.037520811,0.091907404,0.105435848,0.044666838,0.036701355,0.032024994,0.551913619,0.478036642,0.002098719,0.000503547,0.000561959,0.003080128,0.323898345,0.000367994,0.029812092,0.003165580,0.021398434,0.000270500,0.000163780,0.003501320,0.000097886,0.017892800,0.030372499,0.027550085,0.057958797,0.001701647,0.002790291,0.009433758,0.039605673,0.001093987,0.005205048,0.481344700,0.701332569,0.005849850,0.022304600,0.006261568,0.026709901,0.000000280,0.000002839
0.000003795,0.129891232,0.115612395,0.015393047,0.023403903,0.020960167,0.000628741,0.000000441,0.000000231,0.179944888,0.260690361,0.332541972,0.361873358,0.147431985,0.019707097,0.040534299,0.153797731,0.039368693,0.017105132,0.673344731,0.275433660,0.005269197,0.001293391,0.000593822,0.003429648,0.355947196,0.000410511,0.029436437,0.005297552,0.012710405,0.000167936,0.000121945,0.006781351,0.000165994,0.018191658,0.037432071,0.017334020,0.022094088,0.004059721,0.001604559,0.008141645,0.036809921,0.000691612,0.003891075,0.496216744,0.736060381,0.001359713,0.010973039,0.007112237,0.024988856,0.000000265,0.000003787
0.000003320,0.120853081,0.149670497,0.011629722,0.027541546,0.009967498,0.000333860,0.000000529,0.000000362,0.268913537,0.285522044,0.316517204,0.315815717,0.091079056,0.041116863,0.056732219,0.093536414,0.034895577,0.027497455,0.677288890,0.451945513,0.002443264,0.000948540,0.000629107,0.002901095,0.288029045,0.000269481,0.028172908,0.003504368,0.005907971,0.000434177,0.000342542,0.005114021,0.000262605,0.010622201,0.025266856,0.013648937,0.022530658,0.003826026,0.000531878,0.007195594,0.012998191,0.000681349,0.004013004,0.379640728,0.628695607,0.006537366,0.090315640,0.003755389,0.009719261,0.000000239,0.000002915
0.000003576,0.114925146,0.108406506,0.020008987,0.024523538,0.014535907,0.000321996,0.000000488,0.000000222,0.300417244,0.190398499,0.266453266,0.233031943,0.190586254,0.019392472,0.025620112,0.175466746,0.034876112,0.040397491,0.584372759,0.559653044,0.001761237,0.001584060,0.000419694,0.002287396,0.262396574,0.000470792,0.033972144,0.005862676,0.035487659,0.000068028,0.000041032,0.003115586,0.000485353,0.011987534,0.019255649,0.027361300,0.065697789,0.002135760,0.000569939,0.013836899,0.054020822,0.001160493,0.003767529,0.401713312,0.621773303,0.002095464,0.005178620,0.003438579,0.011709940,0.000000117,0.000001988
0.000002726,0.139263436,0.159676358,0.029920004,0.020697046,0.010249309,0.000429720,0.000000310,0.000000137,0.326465636,0.451085210,0.463938206,0.420185685,0.002721947,0.508304715,0.476697862,0.005794146,0.016932342,0.013543655,0.350706875,0.509795427,0.001879140,0.000357076,0.000437213,0.003387534,0.215586200,0.000323687,0.010904636,0.004233973,0.021840680,0.000048532,0.000028903,0.011153198,0.000270566,0.020938436,0.029315373,0.019985486,0.021487171,0.011056931,0.001929689,0.006634236,0.032164544,0.000925083,0.015797760,0.537071228,0.535973132,0.002507041,0.000894286,0.018490238,0.060169727,0.000000370,0.000001903
0.000010214,0.294761837,0.264929742,0.018352989,0.004484138,0.003390600,0.000115443,0.000000470,0.000000470,0.273423374,0.190988645,0.276649445,0.270241141,0.007201990,0.363835096,0.338983804,0.008710416,0.026357345,0.031193536,0.348450780,0.683462679,0.001554679,0.000885634,0.000251457,0.004439314,0.070083551,0.000026507,0.012429825,0.048662499,0.003078916,0.000804900,0.001379138,0.001935107,0.014637285,0.001310605,0.003108416,0.080280274,0.032244317,0.002194706,0.000020065,0.020713793,0.004566213,0.015954472,0.064141050,0.073360965,0.048940551,0.003540020,0.014048369,0.026326759,0.026833918,0.000000394,0.000002457
0.000009360,0.315628678,0.349460334,0.001192729,0.008666062,0.005908394,0.000146698,0.000000234,0.000000725,0.396772683,0.268567175,0.355505019,0.361512691,0.008052513,0.293450534,0.262227476,0.019427927,0.017842487,0.022356177,0.404982120,0.568701804,0.000971010,0.000682674,0.000147274,0.005457378,0.087190256,0.000023606,0.026298929,0.015148887,0.009879804,0.004893391,0.004966396,0.000279981,0.009690188,0.000889126,0.001317775,0.248082384,0.219224423,0.000132000,0.000014382,0.115812592,0.063766427,0.029335164,0.014827184,0.023532849,0.018155990,0.012161827,0.007226210,0.001791323,0.002335953,0.000000139,0.000002386
0.000003372,0.043858256,0.098428458,0.089143582,0.024050586,0.006206146,0.000018362,0.000000397,0.000000209,0.303309679,0.166924059,0.219475254,0.175135925,0.017649760,0.214044735,0.190446645,0.019277457,0.038707718,0.058520313,0.259198010,0.654020667,0.001332329,0.001354926,0.000033013,0.002617698,0.011577914,0.000009500,0.002306920,0.005087589,0.004523258,0.016753405,0.018928770,0.000107738,0.012843092,0.000222579,0.000158206,0.046229631,0.088147119,0.000716243,0.000020354,0.071384683,0.009221448,0.250082791,0.104810007,0.004231380,0.003469660,0.010953323,0.006466935,0.001557420,0.002438757,0.000000293,0.000000914
