_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000002154,0.000304630,0.000298916,0.678558648,0.434789747,0.264001399,0.000199248,0.000004648,0.000001167,0.075668998,0.070703126,0.543035865,0.618340015,0.076916449,0.244055048,0.078197084,0.008272497,0.009452540,0.004200450,0.146953478,0.172350168,0.010755326,0.012368223,0.000334359,0.192506567,0.321914136,0.000023526,0.003707186,0.005261017,0.045373160,0.018708654,0.025497144,0.005654987,0.003356843,0.071989983,0.036855187,0.010340239,0.173426598,0.002523098,0.000080117,0.033529676,0.009152512,0.109398328,0.301657557,0.005779908,0.010609045,0.001470688,0.008897011,0.457278162,0.572416723,0.000003555,0.000005524
0.000001760,0.000219311,0.000086396,0.763033748,0.389642030,0.342115611,0.000394317,0.000003698,0.000001051,0.166049033,0.146746308,0.476352513,0.599169731,0.115296096,0.202707663,0.046642881,0.014485482,0.016571864,0.004905757,0.282374769,0.209434003,0.005806517,0.005743327,0.000895280,0.086743124,0.321496427,0.000042824,0.002992270,0.017060703,0.038077906,0.006804546,0.010989544,0.011658653,0.001423577,0.150122404,0.124621436,0.015635259,0.104030088,0.003684769,0.000153264,0.014584319,0.005837481,0.020982167,0.117957830,0.022137644,0.032442398,0.001981172,0.016102618,0.574548483,0.633849263,0.000005360,0.000004443
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000001916,0.000521490,0.000197856,0.648373485,0.254594862,0.263976812,0.000799433,0.000002576,0.000000868,0.213122189,0.211335912,0.487153560,0.527969003,0.089311235,0.165712938,0.062059470,0.020098077,0.021082284,0.007388564,0.308704078,0.237386152,0.004847519,0.003501950,0.001608951,0.074873112,0.369544804,0.000071057,0.003919255,0.062417954,0.063589871,0.001809368,0.002411589,0.019993944,0.001984104,0.194432035,0.207426354,0.034876872,0.085432604,0.004211293,0.000098998,0.008431985,0.005818818,0.008182451,0.054987084,0.133078888,0.123532012,0.004324294,0.007536641,0.498061359,0.512476206,0.000004299,0.000004030
0.000000608,0.001659530,0.000330758,0.684988260,0.173184916,0.297881842,0.000355944,0.000000543,0.000001122,0.032123715,0.029144138,0.234116599,0.376100838,0.123134367,0.212052897,0.038172182,0.014931570,0.042749837,0.015583675,0.203663915,0.136307299,0.021067616,0.028542327,0.000937068,0.191007465,0.499157459,0.000045139,0.001748749,0.272167027,0.292216778,0.000045553,0.000083098,0.026610937,0.000914727,0.228953883,0.224889606,0.007426728,0.028178055,0.011995715,0.000496006,0.003438592,0.007548906,0.002535798,0.033524655,0.010146732,0.017595779,0.000158067,0.001699965,0.296811730,0.281014442,0.000003678,0.000001790
0.000000657,0.002254778,0.000726480,0.531705141,0.236638501,0.241343647,0.000316263,0.000000490,0.000000765,0.051888466,0.032574810,0.288505077,0.365728736,0.112929277,0.169479668,0.041121669,0.020563548,0.035681929,0.016115820,0.258491188,0.200501323,0.015229831,0.021537585,0.000944798,0.158018857,0.484427840,0.000082529,0.001730812,0.591301203,0.493524820,0.000007418,0.000016469,0.043448422,0.001160881,0.254990131,0.240073457,0.005824503,0.022991229,0.028424395,0.000603400,0.003027580,0.007301012,0.002394343,0.036533102,0.006684214,0.012152446,0.000033846,0.000735451,0.362008721,0.324835360,0.000003878,0.000001748
0.000000858,0.004076562,0.000854631,0.316780359,0.212712735,0.231130138,0.000249741,0.000000705,0.000000510,0.085239075,0.078924641,0.462235600,0.458577067,0.041714590,0.216699004,0.140468985,0.009920913,0.017141646,0.009291005,0.221949384,0.226037696,0.009225992,0.008220194,0.000738754,0.033445861,0.304623902,0.000174305,0.001768203,0.252618492,0.202446640,0.000026316,0.000055888,0.028779181,0.001692781,0.246811479,0.276144087,0.006268791,0.029004356,0.024573630,0.000294320,0.010741597,0.010274135,0.007833200,0.066005267,0.002613918,0.004394969,0.000039413,0.000835117,0.605759680,0.610096693,0.000003576,0.000001447
0.000000985,0.002684196,0.000899107,0.380775005,0.200085446,0.224878833,0.000286386,0.000000450,0.000000574,0.041088644,0.029718136,0.442943007,0.405016720,0.049524192,0.154859245,0.109465159,0.014916612,0.019865964,0.011136508,0.182337821,0.138911113,0.020512024,0.015877917,0.000696884,0.121272646,0.260166287,0.000021783,0.005303188,0.198426738,0.248660684,0.000015174,0.000025690,0.019821364,0.006048500,0.144874439,0.107682124,0.011369859,0.065771349,0.012192197,0.000113261,0.010392587,0.017291948,0.006718287,0.043242529,0.005649182,0.008655659,0.000089023,0.000488915,0.619506776,0.636899114,0.000001771,0.000001174
