_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000000303,0.039187897,0.067208461,0.001514291,0.084561870,0.032104015,0.000075136,0.000000072,0.000000297,0.028669914,0.015607425,0.228744000,0.233138233,0.049250737,0.065055072,0.074388839,0.047800578,0.037360445,0.033126108,0.189731270,0.094527476,0.036125701,0.023046618,0.000400014,0.004883479,0.261634588,0.000439937,0.005058415,0.009492073,0.005436433,0.000002429,0.000004191,0.050048232,0.001875434,0.047434684,0.061223693,0.009057882,0.011497671,0.038788192,0.000408992,0.002535813,0.043740090,0.000074094,0.003085345,0.000416401,0.000533943,0.000090221,0.000565916,0.001677248,0.001704281,0.000000903,0.000000494
0.000000377,0.028862184,0.051106635,0.002652333,0.093800917,0.037628375,0.000097578,0.000000101,0.000000338,0.025169356,0.011925749,0.202185825,0.208774984,0.024154266,0.116591163,0.123504907,0.028939290,0.042599048,0.038548429,0.169044405,0.078459039,0.037022050,0.029313127,0.000418150,0.005586337,0.384474009,0.000435983,0.005828519,0.008626795,0.006322736,0.000009703,0.000015314,0.029421126,0.001520899,0.047553703,0.058239035,0.013556510,0.018697534,0.013142855,0.000282731,0.002003287,0.021650817,0.000120864,0.004272608,0.001431374,0.001976251,0.000287130,0.001201698,0.003086923,0.003405590,0.000000925,0.000000750
0.000000446,0.033032730,0.046745781,0.002951023,0.085127473,0.052263308,0.000068762,0.000000100,0.000000280,0.022161910,0.012738445,0.208676130,0.221337646,0.016914777,0.136160269,0.148325667,0.026523368,0.038299356,0.031777367,0.176962763,0.065211751,0.040385392,0.025362637,0.000211433,0.004416539,0.357295513,0.000719651,0.005271186,0.003844158,0.006011688,0.000009203,0.000013932,0.027867936,0.002576225,0.024580590,0.022767993,0.006912333,0.016671611,0.021011805,0.000261072,0.002926340,0.041167267,0.000258364,0.008683510,0.000331423,0.000545424,0.000123211,0.000571498,0.002482284,0.003528435,0.000000805,0.000000664
0.000000530,0.026197759,0.033161700,0.004250221,0.096697889,0.076387525,0.000071239,0.000000110,0.000000261,0.031730123,0.018552983,0.202625304,0.217072815,0.011383303,0.176744133,0.190179482,0.022339357,0.037716240,0.031252906,0.203795433,0.081449360,0.028980918,0.019668199,0.000175833,0.003325840,0.329086244,0.001109723,0.005191179,0.004005308,0.008757184,0.000005447,0.000007396,0.026473239,0.003123499,0.017170776,0.014819607,0.008010390,0.018860593,0.020768467,0.000335933,0.004104252,0.086338125,0.000366925,0.012486741,0.000245386,0.000387479,0.000093962,0.000273973,0.002485258,0.003842405,0.000000749,0.000000600
0.000000651,0.021041233,0.031151371,0.007077360,0.111419059,0.090922423,0.000079777,0.000000125,0.000000474,0.026544355,0.013272738,0.237395689,0.247484282,0.008033472,0.207254499,0.222819537,0.021258650,0.031237928,0.026729520,0.159250259,0.075585492,0.031728331,0.029779039,0.000188913,0.002868952,0.267028689,0.001262283,0.004284510,0.007619516,0.004651541,0.000005744,0.000008221,0.020797625,0.008957164,0.015972607,0.017203275,0.012165299,0.012222465,0.023107514,0.000136643,0.008945819,0.177980602,0.000415220,0.012648264,0.000140560,0.000139044,0.000093511,0.000222094,0.002114929,0.001973769,0.000000822,0.000000709
0.000000888,0.010289987,0.017227713,0.017063342,0.173380494,0.138572112,0.000096434,0.000000169,0.000000694,0.015979452,0.006495419,0.159361914,0.167651311,0.008422780,0.206816941,0.217398584,0.019794812,0.048466235,0.044027474,0.124992229,0.053486794,0.048665419,0.053942878,0.000243545,0.001291741,0.229789034,0.002526910,0.002572291,0.009821195,0.003757156,0.000006355,0.000011099,0.023927907,0.005097206,0.031418577,0.038657654,0.015925109,0.012756003,0.014988791,0.000227261,0.007140771,0.164586022,0.000374543,0.018549472,0.000221692,0.000226149,0.000077908,0.000487884,0.005458798,0.004811170,0.000001500,0.000000982
0.000001388,0.016426506,0.022890259,0.011865682,0.142718971,0.126552418,0.000070497,0.000000235,0.000000818,0.015666656,0.007502229,0.173448592,0.179464027,0.004631177,0.285655022,0.278706819,0.014923150,0.044724476,0.038600311,0.127828941,0.049762506,0.051126905,0.048507974,0.000153045,0.000939022,0.204919159,0.003424505,0.002411614,0.007405001,0.002275462,0.000012730,0.000025311,0.021595983,0.003279967,0.016174719,0.020280024,0.012502402,0.008841891,0.029120643,0.000441037,0.013841409,0.177021310,0.001048126,0.034788564,0.000065784,0.000065260,0.000048507,0.000590105,0.005394511,0.004376403,0.000001707,0.000001202
