_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001509,0.006290310,0.026376553,0.041795798,0.332346767,0.051201738,0.000039500,0.000000408,0.000000241,0.035855480,0.038588528,0.033836477,0.041151810,0.000569448,0.787263393,0.754954875,0.001919940,0.224105537,0.214891717,0.268936843,0.303368747,0.033282317,0.008589305,0.000123175,0.027654301,0.018845884,0.000010122,0.001104490,0.000785407,0.000869378,0.029980721,0.034291197,0.002971544,0.000888819,0.005291552,0.003150187,0.005258466,0.026829997,0.029445546,0.000168096,0.024417812,0.008034194,0.026623463,0.037454553,0.000055862,0.000043831,0.003803405,0.003140893,0.001535763,0.002978666,0.000002703,0.000001438
0.000001058,0.008288602,0.034729835,0.048031066,0.268560708,0.044566952,0.000018475,0.000000180,0.000000205,0.033906080,0.037820119,0.039372098,0.043947946,0.000474194,0.811636686,0.784267426,0.001672192,0.195975438,0.191767737,0.187515944,0.289874077,0.033688445,0.008724533,0.000069666,0.013173529,0.005758278,0.000006193,0.000657627,0.001356299,0.001027229,0.012657409,0.015089146,0.000858896,0.000821292,0.001004048,0.000713973,0.013121801,0.038102210,0.020892307,0.000318219,0.021719974,0.006094612,0.039173111,0.017208718,0.000098092,0.000066675,0.003135168,0.002219605,0.000256261,0.000417839,0.000002079,0.000000776
0.000001061,0.008901455,0.030764118,0.049843956,0.262663752,0.052085649,0.000014977,0.000000175,0.000000204,0.037959166,0.039335389,0.047219262,0.052930173,0.000525491,0.809042037,0.782811642,0.001585434,0.166772127,0.166755810,0.188178658,0.271946907,0.031278435,0.008494447,0.000048754,0.014306630,0.004592459,0.000004137,0.000746629,0.001047230,0.001134404,0.020628421,0.020880323,0.000553908,0.000863103,0.000516796,0.000323139,0.017104378,0.046841700,0.020819789,0.000325989,0.029466975,0.006339084,0.069924422,0.014619009,0.000093057,0.000058005,0.006085613,0.001978396,0.000135248,0.000232123,0.000001687,0.000000636
0.000001075,0.012058210,0.039518535,0.031487651,0.232228309,0.043665946,0.000012026,0.000000126,0.000000197,0.036877025,0.041954551,0.048486207,0.055466890,0.000589097,0.806705832,0.783383608,0.001503322,0.166866213,0.163762420,0.201906279,0.287746727,0.032248490,0.008035753,0.000032467,0.013701457,0.004642780,0.000004453,0.000772079,0.001540338,0.001172652,0.015252776,0.016489318,0.000318934,0.001131088,0.000305575,0.000192759,0.024319047,0.057796728,0.014961367,0.000253437,0.042072941,0.009658870,0.119074635,0.011496158,0.000083429,0.000049033,0.004368694,0.001580766,0.000076231,0.000133361,0.000001232,0.000000509
0.000001116,0.011749179,0.041063000,0.051228933,0.206483081,0.038465567,0.000012416,0.000000124,0.000000233,0.044151902,0.042479657,0.051553197,0.058076300,0.000519184,0.833250344,0.815022349,0.001146947,0.156984195,0.159980088,0.210236266,0.293319702,0.028444229,0.008460082,0.000024431,0.021815445,0.006402177,0.000003738,0.001079484,0.002130297,0.001564932,0.008737892,0.008349037,0.000278620,0.002088929,0.000256488,0.000152581,0.036434375,0.073619157,0.015703134,0.000176568,0.081190228,0.024182562,0.165467545,0.009799032,0.000066788,0.000032079,0.004725581,0.000775683,0.000049550,0.000083723,0.000000883,0.000000424
0.000001167,0.010216396,0.049995150,0.030360503,0.227279767,0.033318952,0.000010873,0.000000124,0.000000198,0.046100318,0.045963410,0.058737028,0.062126704,0.000855241,0.770504832,0.743685126,0.001795012,0.146428302,0.150229603,0.212027296,0.297222614,0.026073297,0.007265801,0.000026280,0.016263759,0.004495083,0.000002542,0.000762728,0.001236258,0.001353622,0.030314034,0.032237921,0.000183149,0.002181024,0.000222200,0.000112787,0.033749394,0.106025711,0.006647564,0.000096038,0.057686236,0.013418314,0.206182465,0.013591774,0.000115133,0.000073241,0.007172202,0.002413908,0.000081988,0.000158507,0.000000907,0.000000532
0.000000780,0.002986376,0.018064266,0.096557535,0.347389877,0.033557944,0.000007170,0.000000158,0.000000131,0.069339521,0.065901689,0.076472439,0.077321887,0.001877801,0.697983503,0.684299350,0.001679845,0.114362322,0.121803775,0.227342650,0.406667590,0.014869837,0.005648038,0.000029613,0.006418574,0.004074299,0.000006521,0.000766826,0.001218689,0.001695782,0.017508630,0.021766044,0.000233671,0.000681719,0.000248836,0.000132613,0.020398168,0.076677077,0.005255747,0.000382256,0.025349138,0.007717325,0.112071767,0.014910790,0.000169034,0.000149757,0.004009756,0.003222043,0.000112074,0.000242065,0.000001248,0.000000420
0.000000544,0.005501807,0.021589838,0.079844914,0.329687923,0.052590039,0.000009983,0.000000119,0.000000119,0.044171929,0.045010868,0.049640205,0.055430528,0.000966369,0.744335175,0.728615105,0.001956827,0.154401600,0.160543948,0.195993483,0.344404757,0.024571367,0.008175929,0.000038325,0.019113971,0.005584814,0.000006398,0.000880534,0.001307470,0.001430169,0.002003484,0.001800305,0.001729248,0.003789497,0.000541012,0.000293929,0.008476241,0.026155682,0.100033171,0.000150522,0.021796595,0.010773473,0.036122590,0.012516216,0.000031260,0.000018426,0.002091740,0.000344083,0.000086519,0.000177358,0.000001305,0.000000261
0.000000480,0.004420071,0.015496466,0.053896833,0.356545866,0.044905689,0.000006266,0.000000106,0.000000103,0.066756882,0.032640800,0.059211101,0.063637845,0.003739244,0.563723087,0.564931989,0.002910003,0.142737240,0.148806825,0.312299252,0.249584794,0.018364297,0.009877301,0.000025454,0.009569138,0.005549712,0.000012140,0.001021731,0.000865197,0.001107964,0.004718157,0.005881599,0.000723463,0.002583959,0.000381743,0.000190538,0.007151126,0.044155423,0.035067193,0.000123570,0.023397561,0.009030540,0.063892066,0.011130041,0.000026466,0.000025713,0.001070971,0.001060208,0.000041057,0.000105163,0.000001124,0.000000239
0.000000576,0.002580405,0.010665162,0.132019445,0.330320090,0.047944292,0.000010635,0.000000136,0.000000167,0.061048981,0.027945109,0.058682386,0.061631963,0.006306306,0.387745231,0.378091991,0.008547711,0.150096789,0.164512888,0.260612369,0.210761935,0.017959042,0.013040259,0.000036697,0.013003875,0.011763156,0.000012580,0.001628250,0.001789501,0.001108636,0.005386836,0.008674123,0.000508238,0.001858549,0.000764784,0.000507134,0.014836869,0.058685388,0.011350023,0.000121411,0.045366429,0.018195046,0.045290109,0.006975894,0.000035157,0.000029428,0.000766906,0.001558433,0.000031156,0.000053405,0.000000941,0.000000432
